	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedTeepN3.c3d
	R_KNEE_MOMENT	R_KNEE_MOMENT	R_KNEE_MOMENT	L_KNEE_MOMENT	L_KNEE_MOMENT	L_KNEE_MOMENT	R_HIP_MOMENT	R_HIP_MOMENT	R_HIP_MOMENT	L_HIP_MOMENT	L_HIP_MOMENT	L_HIP_MOMENT	R_ANKLE_MOMENT	R_ANKLE_MOMENT	R_ANKLE_MOMENT	L_ANKLE_MOMENT	L_ANKLE_MOMENT	L_ANKLE_MOMENT	WAIST_JOINT_MOMENT	WAIST_JOINT_MOMENT	WAIST_JOINT_MOMENT	NECK_MOMENT	NECK_MOMENT	NECK_MOMENT	L_SHOULDER_MOMENT	L_SHOULDER_MOMENT	L_SHOULDER_MOMENT	R_SHOULDER_MOMENT	R_SHOULDER_MOMENT	R_SHOULDER_MOMENT	L_ELBOW_MOMENT	L_ELBOW_MOMENT	L_ELBOW_MOMENT	R_ELBOW_MOMENT	R_ELBOW_MOMENT	R_ELBOW_MOMENT	L_WRIST_MOMENT	L_WRIST_MOMENT	L_WRIST_MOMENT	R_WRIST_MOMENT	R_WRIST_MOMENT	R_WRIST_MOMENT
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1																																										
2																																										
3	-1.87656	-10.11968	3.08099	1.35274	8.03350	2.79573	-2.37253	-16.83944	2.92584	-3.16811	16.56849	7.49381	-28.04572	12.72025	-0.39588	-3.96479	1.98463	1.33390	-3.03023	19.86196	0.48035	16.71604	0.02131	3.03646	-1.94364	3.81967	0.65417	0.44587	-1.99155	0.39584	0.50232	0.27099	0.22148	1.03648	-0.03208	0.15784	0.17333	-0.05691	-0.00809	0.06116	0.01274	0.03352
4	-0.95317	-9.86712	3.07950	0.20071	8.72545	2.74934	1.12049	-18.24954	4.10505	-7.58137	19.94018	7.03401	-28.14764	12.75998	-0.36385	-3.71993	1.99581	1.37591	-4.30271	21.63536	4.87445	7.73251	-7.86903	4.30728	0.18403	4.30904	0.04549	2.05695	-0.24077	0.80297	0.97163	0.45001	0.20626	1.73312	0.44323	0.54010	0.19425	-0.01392	-0.02351	0.22477	0.01844	0.08755
5	-0.35642	-9.76378	3.15405	-0.73677	7.84465	2.41559	1.03656	-18.46661	4.99624	-10.27948	14.36246	3.75141	-28.26191	12.87565	-0.31310	-3.62556	1.97286	1.35180	-8.04023	13.06502	1.76466	-0.08515	-13.06454	-1.27388	3.71568	1.89425	-0.86919	0.32245	-0.61384	0.21642	1.52072	0.19230	-0.00310	1.37568	0.08513	0.32879	0.09107	0.12730	0.01498	0.20333	-0.06686	0.04743
6	-0.87440	-9.79822	3.21761	-0.56307	6.46870	2.16428	-2.66837	-16.01150	4.60277	-9.22841	7.32088	1.59062	-28.44173	13.10193	-0.32986	-3.65953	1.96661	1.29846	-13.16083	6.41575	-4.28735	5.85800	-12.26164	-6.61756	5.35582	-0.73629	-1.20631	-2.49074	-2.72686	-0.61723	1.44331	-0.12836	-0.09225	0.42566	-0.65641	-0.21172	-0.15421	0.26526	0.10362	0.02758	-0.13358	-0.03710
7	-1.68167	-9.97442	3.23871	0.63880	6.43212	2.35008	-5.16315	-14.07735	3.48551	-4.88494	7.69960	3.48244	-28.72504	13.44753	-0.39211	-3.79413	1.92655	1.26294	-11.61512	10.22510	-5.50512	21.49887	-6.86333	-4.71924	2.67683	-0.29471	-0.41781	-3.39671	-3.33075	-0.86607	0.60760	-0.05852	0.09742	-0.07133	-0.71374	-0.40326	-0.35290	0.27615	0.16658	-0.09879	-0.07853	-0.07013
8	-1.92845	-10.20114	3.31450	1.65405	7.44778	2.72158	-5.18913	-16.44806	3.41139	-1.81678	12.42699	6.46754	-29.04342	13.79997	-0.41678	-4.01522	1.83165	1.27222	-6.01184	15.73304	-1.86778	26.36038	0.55934	0.15366	-0.44695	1.57854	0.35401	-1.67312	-1.68074	-0.39460	0.23478	-0.07225	0.17377	0.33916	-0.04377	-0.06771	-0.26447	0.10032	0.11186	-0.03917	0.03869	-0.01778
9	-2.50784	-9.96840	3.50612	1.54209	7.32617	2.63426	-7.39709	-21.20907	5.37522	-4.55634	12.27659	5.59149	-29.24314	13.95219	-0.40347	-4.14303	1.69325	1.28150	-10.14363	10.98514	0.06949	14.74808	6.22419	-0.30082	1.47164	0.96689	-0.29284	0.86498	-0.70026	0.26830	1.70474	-0.92811	-0.26989	1.10441	0.30475	0.28484	0.21710	-0.21695	-0.07277	0.12382	0.07898	0.05826
10	-3.51464	-9.48403	3.69796	0.31085	5.97593	2.09221	-10.66382	-24.66586	8.09003	-12.79454	8.26166	1.78863	-29.27910	13.83869	-0.42917	-4.02482	1.55885	1.25318	-24.41380	-0.28736	-0.62135	3.62920	3.84755	-5.03093	5.90198	-1.85689	-1.63923	1.66591	-1.76431	0.44325	3.77671	-2.19726	-0.95606	1.36588	-0.14661	0.24125	0.75758	-0.49822	-0.26492	0.19119	0.00272	0.07675
11	-3.52366	-9.49965	3.65438	-1.14689	5.72622	1.84483	-7.92097	-25.68152	8.68680	-20.17649	8.35589	0.37150	-29.36360	13.73009	-0.50910	-3.84174	1.56173	1.24340	-31.29086	-4.93116	0.43309	7.19575	-5.87746	-5.76896	4.98071	-1.64603	-1.43224	0.07246	-3.35379	-0.03805	3.40256	-1.94316	-0.91992	0.94475	-0.84039	-0.09917	0.71020	-0.39839	-0.23926	0.08277	-0.10612	0.01833
12	-2.66308	-9.68573	3.26896	-1.18157	7.23330	2.23933	0.00893	-22.83491	5.82990	-18.04715	13.36757	3.07475	-29.72459	13.94307	-0.57377	-3.81544	1.75527	1.29779	-18.51430	4.23703	2.58708	19.04560	-11.69280	-0.00856	-2.27408	3.67030	0.78658	-1.95274	-4.18062	-0.61585	0.24021	0.53691	0.17852	0.40629	-1.12452	-0.42886	-0.00129	0.15459	0.04951	-0.06866	-0.14325	-0.06717
13	-2.12060	-9.38533	2.79737	0.41695	8.45301	2.69950	5.89851	-16.22246	1.89633	-7.31068	17.37749	6.33007	-30.25342	14.39488	-0.57423	-3.89540	1.94659	1.35004	4.31859	21.19682	2.29534	22.61071	-7.54638	6.42411	-7.90541	8.25898	2.67322	-2.03287	-3.82351	-0.57952	-2.36604	2.81489	1.24097	0.38091	-0.75335	-0.47705	-0.59918	0.62195	0.31327	-0.08059	-0.08127	-0.10934
14	-2.26273	-8.90810	2.64835	1.51337	7.78852	2.59817	5.36096	-10.50928	0.45095	0.37868	16.22371	6.46894	-30.69012	14.75843	-0.54504	-3.99803	1.90988	1.30300	14.23637	30.96515	-0.57290	14.16048	-0.73894	8.95863	-6.64446	7.20802	2.40770	0.11111	-2.47144	0.15281	-2.04506	2.66753	1.21564	0.97703	-0.08016	-0.17694	-0.50712	0.55093	0.29091	0.05333	-0.01203	-0.07982
15	-2.48379	-8.87692	2.88653	1.21136	6.05720	2.10160	-0.17703	-10.30403	2.18079	-1.11926	10.92508	3.84149	-30.93146	14.91164	-0.53693	-4.06553	1.69041	1.16918	2.49042	24.86409	-3.86953	6.57536	1.81759	7.79174	-1.67079	3.87164	0.89861	2.35220	-1.39430	0.88225	0.04143	1.18855	0.50421	1.63316	0.11989	0.19612	-0.01548	0.20377	0.08778	0.16784	-0.04672	-0.01204
16	-2.29719	-9.38671	3.23807	0.83756	5.18469	1.83560	-5.28314	-16.12918	5.06683	-6.65945	6.32055	1.56231	-31.03862	14.96182	-0.57230	-3.98981	1.54163	1.08479	-15.73202	8.47004	-4.87183	9.61508	1.89128	3.60701	2.12950	2.48998	-0.32489	2.75653	-1.18028	0.94512	1.76288	0.07989	-0.10161	1.80005	-0.19178	0.37112	0.32547	-0.04228	-0.08072	0.18182	-0.11716	0.05028
17	-2.38389	-9.68843	3.40210	1.11283	5.74162	2.00276	-6.84157	-23.89109	7.01916	-9.70605	5.93271	1.33493	-31.14941	15.02950	-0.64512	-3.78375	1.60221	1.14276	-23.70935	-6.01299	-2.77872	18.94271	1.44996	-2.43650	3.56675	2.01399	-0.92147	1.68126	-1.45178	0.43957	2.34007	-0.67911	-0.45578	1.54875	-0.41404	0.31373	0.36777	-0.19328	-0.15719	0.17240	-0.09270	0.07710
18	-3.36373	-9.12413	3.28519	1.35675	6.70048	2.28457	-6.69281	-27.24779	7.17887	-9.35482	8.91986	2.39131	-31.35989	15.14862	-0.71013	-3.66580	1.77743	1.28399	-21.15117	-9.06839	-0.09766	22.09613	0.51975	-7.10714	3.44391	1.13854	-0.97478	0.06395	-2.58289	-0.16126	2.07024	-1.09355	-0.51782	1.09800	-0.54864	0.05711	0.26950	-0.24521	-0.13759	0.16774	-0.02845	0.05295
19	-4.43859	-8.15358	3.03280	1.05512	6.89925	2.37112	-6.33844	-23.10847	5.78383	-7.80174	11.60867	3.63303	-31.70374	15.31427	-0.72093	-3.84023	1.87457	1.34965	-14.71888	0.24472	0.48409	10.96730	-0.17681	-7.73126	2.46516	0.76225	-0.59682	-1.56374	-4.35634	-0.55608	1.52667	-0.84587	-0.27367	0.70633	-0.88031	-0.24626	0.16998	-0.13724	-0.04538	0.14520	-0.04625	0.00272
20	-4.41257	-7.71664	2.83187	0.22034	6.73682	2.38572	-4.53206	-15.31292	3.80319	-7.33391	13.26211	5.37579	-32.14469	15.52601	-0.68435	-4.21985	1.82941	1.28292	-8.59191	15.55522	0.17091	-2.58547	-2.27315	-4.62282	1.12179	1.11391	-0.14737	-2.53377	-4.81250	-0.69805	1.14092	-0.40885	-0.05463	0.61685	-1.12650	-0.35611	0.12658	-0.01757	0.01595	0.09620	-0.12501	-0.03577
21	-3.51138	-8.18653	2.79499	-0.62431	7.20486	2.53944	-1.78828	-10.81695	2.50271	-8.08435	15.57874	7.58756	-32.54150	15.72910	-0.67094	-4.43169	1.73484	1.18471	-5.62964	28.03255	1.17604	3.51914	-7.30714	-0.51584	0.28018	1.68994	0.04917	-2.74785	-2.99755	-0.69037	1.13040	-0.24795	-0.09622	0.60825	-0.87542	-0.22924	0.15986	-0.02663	-0.02021	0.00062	-0.16804	-0.05546
22	-2.76535	-9.00248	2.87568	-0.75876	7.58147	2.59490	0.14264	-12.52162	2.55095	-7.52468	15.79824	7.82332	-32.78000	15.86232	-0.72791	-4.27005	1.66274	1.13063	-4.32140	28.11744	1.44897	26.04510	-12.25312	1.82882	0.85476	2.24063	-0.05650	-2.71063	-1.07929	-0.59959	1.48957	-0.15417	-0.23046	0.37251	-0.40137	-0.06919	0.22405	-0.07769	-0.09134	-0.10646	-0.15435	-0.06054
23	-2.33417	-9.52644	2.96716	-0.11355	6.87543	2.30640	0.92689	-18.70974	3.78773	-5.18116	10.78401	4.46961	-32.86930	15.93714	-0.80662	-3.91340	1.63414	1.12476	-2.74895	12.74450	-1.56123	37.07480	-12.72926	2.02622	1.85460	2.13331	-0.22489	-2.20065	-1.34863	-0.34397	1.70520	-0.07767	-0.26813	0.18576	-0.28150	-0.02297	0.19436	-0.06459	-0.10119	-0.12053	-0.11626	-0.04197
24	-2.15457	-9.52858	3.00589	0.62796	5.69048	1.90158	0.16257	-24.37155	5.13257	-4.21946	4.37284	0.21638	-32.92035	15.99710	-0.83418	-3.66698	1.65836	1.14910	-4.09030	-4.59280	-5.56800	26.34716	-8.54505	0.99660	1.67709	1.22075	-0.25500	-0.85474	-2.81041	0.03432	1.39136	-0.18991	-0.22041	0.45216	-0.48747	-0.02892	0.05973	-0.00911	-0.04534	-0.02027	-0.06570	-0.00387
25	-2.85321	-8.75995	2.90007	0.59620	5.44084	1.85527	-1.89284	-23.36938	5.06745	-5.92242	3.84352	-0.27274	-33.10239	16.07351	-0.80953	-3.76987	1.72921	1.20569	-7.31131	-3.49034	-5.81041	12.26297	-3.69790	-0.98226	1.11295	0.77634	-0.32219	0.41023	-2.99995	0.22292	1.01279	-0.26721	-0.14168	0.98045	-0.48221	0.01092	-0.00170	0.03871	0.00516	0.08464	-0.00518	0.01883
26	-4.47723	-7.37342	2.69061	-0.44486	6.43627	2.23055	-4.27162	-15.77893	3.92570	-9.23052	10.32712	3.43101	-33.35501	16.12696	-0.78006	-4.11832	1.80842	1.30111	-9.93155	16.16614	-1.25100	8.71962	-1.01288	-2.59891	1.62695	1.76453	-0.54801	0.72493	-1.82554	0.14383	1.05748	0.00736	-0.01865	1.30606	-0.14437	0.08273	0.11114	0.07647	0.01790	0.10861	0.02779	0.00539
27	-5.77765	-6.42036	2.62983	-1.53928	7.13186	2.46206	-7.20090	-9.34264	3.75429	-13.35921	15.60690	6.04669	-33.38099	16.09911	-0.78218	-4.24046	1.84340	1.36969	-16.75648	30.20575	2.88278	8.05793	0.02211	-0.93674	2.19038	3.10321	-0.53879	0.78924	-1.12136	0.15041	1.16520	0.43849	0.14596	1.29809	0.08514	0.12580	0.23986	0.11825	0.02775	0.08871	0.00849	-0.01274
28	-5.66211	-7.15626	2.88152	-1.66708	6.36303	2.20125	-9.24954	-11.21739	4.89439	-15.48343	12.88157	4.27761	-33.22800	16.08848	-0.83368	-4.02601	1.83125	1.33359	-24.81134	21.28232	1.53119	0.69067	-0.51036	3.71323	1.13124	2.86871	-0.00802	1.14318	-1.46405	0.34173	0.91102	0.46423	0.22802	1.14051	-0.02829	0.13377	0.20724	0.12796	0.05321	0.10926	-0.01786	0.00476
29	-4.44424	-8.95069	3.17363	-0.92477	5.04417	1.79690	-7.26033	-18.98518	5.47363	-12.73086	6.46419	1.30620	-33.26730	16.25723	-0.88902	-3.86844	1.78281	1.21268	-21.41109	1.94190	-3.19758	-7.16152	-4.06032	6.09931	-0.43104	1.27137	0.56727	0.87172	-2.05411	0.35956	0.74426	-0.02953	0.12545	1.05498	-0.31214	0.12760	0.11125	0.05231	0.05497	0.18512	-0.01612	0.04885
30	-3.40204	-9.79480	3.17774	0.26099	4.60840	1.67576	-2.56185	-24.19061	4.86125	-7.35608	4.86005	1.02173	-33.56326	16.52469	-0.88605	-3.90672	1.69796	1.10742	-8.19667	-4.79499	-5.15850	-2.85871	-9.44848	3.18197	-0.67510	0.94728	0.64680	-0.23748	-2.63249	0.12632	1.04224	-0.32649	-0.03737	1.11923	-0.61306	0.07998	0.11782	-0.05217	0.00726	0.22925	-0.02173	0.06611
31	-3.57975	-8.91317	2.93767	1.29730	5.46157	1.94107	-0.42776	-22.26496	4.03750	-3.78740	9.74983	3.55564	-33.90554	16.72395	-0.83948	-3.99628	1.67361	1.12378	-0.22373	7.39124	-2.23312	15.10573	-10.95226	-1.88396	0.01436	2.92634	0.26849	-0.47682	-3.10705	0.04605	1.29176	0.08077	-0.08460	1.26961	-0.79524	-0.00166	0.15683	-0.06302	-0.04828	0.17407	-0.06269	0.02834
32	-4.54578	-7.55092	2.67118	1.27209	6.40158	2.30739	-1.79660	-16.49350	3.15932	-3.22503	13.84643	6.11463	-34.17634	16.87994	-0.81603	-4.09859	1.77686	1.22015	-1.96070	23.21639	1.18445	34.35389	-4.60952	-4.82002	0.62765	4.70502	-0.24627	1.04288	-3.16674	0.31635	1.12765	0.63952	-0.03596	1.43305	-0.78133	-0.02155	0.10554	0.03416	-0.05433	0.08255	-0.12092	-0.02069
33	-4.83277	-7.32063	2.55576	0.01820	6.59134	2.46693	-3.39849	-13.84495	2.30873	-4.79008	12.48841	6.48749	-34.32950	17.02635	-0.84846	-4.16995	1.89089	1.26991	-7.27761	25.84983	1.16736	40.55451	4.53116	-3.80417	0.49296	4.13629	-0.39996	2.37323	-3.28833	0.62218	0.81555	0.71392	0.02756	1.50972	-0.74842	0.04334	0.02248	0.16264	-0.00178	0.05126	-0.15979	-0.02423
34	-4.20124	-8.04366	2.64294	-1.20394	6.73247	2.41326	-4.45754	-16.16330	2.68841	-6.92412	10.37894	5.17742	-34.34687	17.07224	-0.90628	-4.09264	1.83537	1.23471	-12.27187	17.32180	-0.86630	30.69323	7.25857	0.42654	-0.75332	2.28996	0.07443	1.43797	-3.86146	0.60629	0.49836	0.38726	0.08872	1.34393	-0.80413	0.09353	-0.01245	0.22606	0.06276	0.06772	-0.14480	0.00980
35	-3.54469	-8.47549	2.82445	-1.22185	6.95447	2.23018	-4.65786	-19.31051	4.57441	-7.86995	10.83212	3.52374	-34.29114	17.00564	-0.93832	-3.93609	1.59391	1.15985	-13.38216	8.65096	-2.20196	14.29838	1.37292	3.93095	-1.50909	1.45218	0.50559	-1.11081	-3.73892	0.21314	0.24892	0.07495	0.11800	0.84667	-0.74738	0.06281	-0.03671	0.15618	0.07920	0.04573	-0.09297	0.02725
36	-3.69475	-8.35561	2.99688	-0.11053	6.61958	2.05861	-3.70338	-20.22245	6.37900	-6.29363	10.47831	2.16400	-34.27491	16.96790	-0.94343	-3.89268	1.36960	1.13987	-8.17323	3.66016	-2.70219	4.75660	-5.88503	3.16846	0.12882	1.53051	0.07654	-2.57103	-2.21576	-0.24976	0.39123	-0.16678	0.00674	0.37242	-0.50908	0.00195	-0.07088	-0.02214	0.02453	-0.00204	-0.07202	0.00804
37	-5.10196	-8.41913	3.22974	0.76341	5.82289	2.01939	-5.02031	-19.83161	6.98922	-4.67261	8.09455	1.67050	-34.35211	17.04268	-0.96564	-4.01002	1.32264	1.20538	-5.87734	2.49068	-2.52659	7.43881	-5.71795	0.00333	2.64070	1.08263	-0.75388	-1.51712	-0.75016	-0.32576	1.00092	-0.48414	-0.24918	0.36812	-0.23348	0.00242	-0.04565	-0.17536	-0.05966	0.02497	-0.06523	-0.00681
38	-6.36947	-8.51169	3.32560	0.06378	5.14652	2.00854	-8.01580	-18.22231	6.16357	-8.12659	7.25869	2.37322	-34.47221	17.22921	-0.97107	-4.18366	1.41861	1.25413	-14.45017	8.12890	-1.15542	13.18141	0.32513	-2.10449	3.39691	0.86278	-0.94056	-0.21783	-0.61689	-0.10830	1.73764	-0.53627	-0.39362	0.50024	0.06729	0.06124	0.09153	-0.15887	-0.09847	0.11971	0.02344	0.01718
39	-5.36226	-8.32778	3.00903	-1.43566	5.13512	1.96403	-5.71600	-15.98304	4.11149	-14.54734	10.11378	3.82403	-34.59061	17.46132	-0.92703	-4.29752	1.59305	1.22519	-21.86942	17.89628	0.70735	9.70921	1.48772	-3.55048	2.56399	2.06244	-0.45400	-1.09175	-1.26476	-0.14584	2.06769	-0.02949	-0.23727	0.40727	0.26668	0.10180	0.25519	-0.00845	-0.06843	0.18504	0.14491	0.05534
40	-2.71273	-8.35699	2.53466	-1.73411	5.50235	1.88902	2.29000	-15.67894	2.21229	-15.33996	13.28788	4.68173	-34.70189	17.58948	-0.89894	-4.27966	1.75692	1.14753	-14.23352	21.63797	0.87520	1.28688	-5.23749	-4.26525	1.22402	3.82875	0.10374	-1.71297	-1.85132	-0.23646	1.55525	0.69545	0.11535	0.79520	0.03825	0.16491	0.28844	0.12047	-0.00256	0.20319	0.12272	0.07196
41	-1.72283	-8.76403	2.45820	-0.17952	5.60979	1.80333	6.06440	-17.84614	2.19996	-7.84911	13.10842	4.31250	-34.81190	17.55544	-0.93766	-4.10471	1.78327	1.06235	0.49306	16.77479	-0.98720	1.57695	-11.05014	-0.58250	-0.98738	5.07562	0.53518	1.41080	-2.23296	0.38808	0.42085	1.07844	0.41091	2.12990	-0.47623	0.35738	0.16651	0.14213	0.05488	0.21557	-0.04693	0.06757
42	-3.69593	-8.84733	2.78695	1.55198	5.54154	1.81370	0.56697	-19.72487	3.70519	-0.75334	10.33770	3.49154	-34.92038	17.48973	-0.99270	-3.89193	1.66855	1.01632	3.73194	10.91502	-2.71465	9.54951	-9.42841	6.04423	-3.20025	5.08331	0.70378	5.15698	-2.28940	1.26958	-0.29844	0.75418	0.37392	3.03530	-0.65802	0.51647	0.04222	0.06418	0.05530	0.18689	-0.16387	0.04826
43	-6.36390	-8.47493	3.08275	1.23129	5.52718	1.93459	-7.51442	-20.02966	4.90228	-3.32689	7.34580	2.84052	-35.00492	17.47857	-1.02147	-3.85623	1.55565	1.05565	-9.33320	7.42008	-2.95506	14.71392	-1.89522	6.80956	-2.11127	2.48154	0.21305	4.04476	-2.21608	1.17996	0.32746	-0.20972	-0.08257	2.21850	-0.43611	0.34785	0.06489	-0.03099	-0.01539	0.09664	-0.12454	0.01170
