	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d
	RTOES_DIST	RTOES_DIST	RTOES_DIST	LTOES_DIST	LTOES_DIST	LTOES_DIST	RTOES_PROX	RTOES_PROX	RTOES_PROX	LTOES_PROX	LTOES_PROX	LTOES_PROX	RFTS_DIST	RFTS_DIST	RFTS_DIST	LFTS_DIST	LFTS_DIST	LFTS_DIST	RFTS_PROX	RFTS_PROX	RFTS_PROX	LFTS_PROX	LFTS_PROX	LFTS_PROX
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	0.28580	0.23370	0.00619	0.19938	0.69738	0.00414	0.24651	0.20205	0.01339	0.18760	0.64856	0.01281	0.27111	0.18245	0.01845	0.16853	0.65997	0.02016	0.11898	0.06112	0.01951	0.12555	0.46598	0.01657
2	0.28566	0.23372	0.00614	0.19939	0.69733	0.00447	0.24633	0.20205	0.01303	0.18759	0.64839	0.01235	0.27094	0.18246	0.01807	0.16854	0.65985	0.01967	0.11884	0.06110	0.01974	0.12523	0.46593	0.01672
3	0.28560	0.23387	0.00609	0.19936	0.69730	0.00468	0.24622	0.20217	0.01249	0.18755	0.64825	0.01186	0.27085	0.18260	0.01750	0.16853	0.65976	0.01917	0.11877	0.06122	0.01993	0.12496	0.46589	0.01685
4	0.28571	0.23391	0.00609	0.19930	0.69726	0.00472	0.24625	0.20223	0.01210	0.18750	0.64817	0.01164	0.27088	0.18264	0.01704	0.16850	0.65970	0.01898	0.11869	0.06141	0.02000	0.12480	0.46586	0.01696
5	0.28593	0.23380	0.00609	0.19919	0.69720	0.00464	0.24642	0.20218	0.01211	0.18741	0.64816	0.01193	0.27102	0.18252	0.01692	0.16842	0.65967	0.01934	0.11858	0.06160	0.01988	0.12482	0.46580	0.01706
6	0.28616	0.23364	0.00604	0.19907	0.69717	0.00449	0.24665	0.20210	0.01242	0.18731	0.64827	0.01268	0.27120	0.18236	0.01712	0.16829	0.65972	0.02011	0.11850	0.06178	0.01962	0.12505	0.46578	0.01704
7	0.28626	0.23359	0.00592	0.19909	0.69718	0.00428	0.24677	0.20209	0.01264	0.18732	0.64843	0.01331	0.27131	0.18232	0.01731	0.16827	0.65982	0.02073	0.11851	0.06184	0.01943	0.12535	0.46582	0.01689
8	0.28617	0.23373	0.00584	0.19934	0.69720	0.00403	0.24673	0.20218	0.01261	0.18752	0.64852	0.01339	0.27130	0.18245	0.01731	0.16845	0.65991	0.02078	0.11868	0.06175	0.01946	0.12548	0.46593	0.01667
9	0.28598	0.23399	0.00587	0.19969	0.69721	0.00386	0.24659	0.20234	0.01249	0.18779	0.64851	0.01299	0.27121	0.18269	0.01724	0.16875	0.65995	0.02037	0.11890	0.06160	0.01969	0.12537	0.46605	0.01652
