	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	0.00000	0.00000	-0.65639	0.00000	0.00000	2.62169
2	0.00000	0.00000	-0.65847	0.00000	0.00000	2.62024
3	0.00000	0.00000	-0.66055	0.00000	0.00000	2.61879
4	0.00000	0.00000	-0.66262	0.00000	0.00000	2.61735
5	0.00000	0.00000	-0.66468	0.00000	0.00000	2.61591
6	0.00000	0.00000	-0.66673	0.00000	0.00000	2.61447
7	0.00000	0.00000	-0.66876	0.00000	0.00000	2.61304
8	0.00000	0.00000	-0.67078	0.00000	0.00000	2.61161
9	0.00000	0.00000	-0.67278	0.00000	0.00000	2.61020
10	0.00000	0.00000	-0.67475	0.00000	0.00000	2.60879
11	0.00000	0.00000	-0.67670	0.00000	0.00000	2.60740
12	0.00000	0.00000	-0.67863	0.00000	0.00000	2.60602
13	0.00000	0.00000	-0.68052	0.00000	0.00000	2.60464
14	0.00000	0.00000	-0.68239	0.00000	0.00000	2.60329
15	0.00000	0.00000	-0.68423	0.00000	0.00000	2.60194
16	0.00000	0.00000	-0.68605	0.00000	0.00000	2.60061
17	0.00000	0.00000	-0.68783	0.00000	0.00000	2.59929
18	0.00000	0.00000	-0.68958	0.00000	0.00000	2.59799
19	0.00000	0.00000	-0.69130	0.00000	0.00000	2.59670
20	0.00000	0.00000	-0.69299	0.00000	0.00000	2.59543
21	0.00000	0.00000	-0.69464	0.00000	0.00000	2.59417
22	0.00000	0.00000	-0.69627	0.00000	0.00000	2.59294
23	0.00000	0.00000	-0.69786	0.00000	0.00000	2.59171
24	0.00000	0.00000	-0.69942	0.00000	0.00000	2.59051
25	0.00000	0.00000	-0.70095	0.00000	0.00000	2.58933
26	0.00000	0.00000	-0.70244	0.00000	0.00000	2.58817
27	0.00000	0.00000	-0.70391	0.00000	0.00000	2.58703
28	0.00000	0.00000	-0.70533	0.00000	0.00000	2.58591
29	0.00000	0.00000	-0.70673	0.00000	0.00000	2.58482
30	0.00000	0.00000	-0.70809	0.00000	0.00000	2.58375
