	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	-1.06919	-14.05188	138.99695	-3.04320	43.40356	323.89838
2	-1.06889	-14.03832	138.94904	-3.06602	43.40458	323.84088
3	-1.06860	-14.02475	138.90099	-3.08887	43.40555	323.78333
4	-1.06832	-14.01115	138.85260	-3.11178	43.40644	323.72562
5	-1.06806	-13.99750	138.80373	-3.13478	43.40721	323.66769
6	-1.06783	-13.98379	138.75421	-3.15789	43.40780	323.60947
7	-1.06762	-13.97000	138.70392	-3.18114	43.40819	323.55087
8	-1.06746	-13.95611	138.65263	-3.20457	43.40833	323.49185
9	-1.06733	-13.94212	138.60023	-3.22820	43.40816	323.43234
10	-1.06726	-13.92799	138.54654	-3.25206	43.40766	323.37219
11	-1.06724	-13.91373	138.49146	-3.27617	43.40680	323.31140
12	-1.06728	-13.89933	138.43495	-3.30052	43.40555	323.25006
13	-1.06737	-13.88481	138.37711	-3.32509	43.40395	323.18817
14	-1.06751	-13.87016	138.31799	-3.34985	43.40199	323.12589
15	-1.06770	-13.85541	138.25763	-3.37479	43.39967	323.06320
16	-1.06793	-13.84054	138.19609	-3.39989	43.39701	323.00024
17	-1.06820	-13.82558	138.13339	-3.42513	43.39402	322.93707
18	-1.06852	-13.81053	138.06964	-3.45047	43.39069	322.87375
19	-1.06888	-13.79540	138.00484	-3.47591	43.38704	322.81036
20	-1.06927	-13.78020	137.93906	-3.50143	43.38307	322.74698
21	-1.06970	-13.76491	137.87228	-3.52700	43.37879	322.68365
22	-1.07017	-13.74955	137.80452	-3.55262	43.37420	322.62042
23	-1.07067	-13.73410	137.73578	-3.57827	43.36930	322.55731
24	-1.07120	-13.71856	137.66603	-3.60394	43.36409	322.49438
25	-1.07176	-13.70294	137.59528	-3.62960	43.35859	322.43167
26	-1.07235	-13.68722	137.52351	-3.65525	43.35279	322.36923
27	-1.07297	-13.67142	137.45074	-3.68087	43.34671	322.30713
28	-1.07362	-13.65551	137.37695	-3.70645	43.34033	322.24536
29	-1.07430	-13.63951	137.30212	-3.73198	43.33366	322.18399
30	-1.07500	-13.62340	137.22630	-3.75742	43.32673	322.12305
31	-1.07573	-13.60719	137.14948	-3.78276	43.31954	322.06265
32	-1.07648	-13.59088	137.07162	-3.80798	43.31210	322.00275
33	-1.07724	-13.57446	136.99278	-3.83306	43.30443	321.94345
34	-1.07803	-13.55793	136.91296	-3.85796	43.29654	321.88480
35	-1.07883	-13.54129	136.83214	-3.88268	43.28845	321.82684
36	-1.07965	-13.52454	136.75034	-3.90718	43.28017	321.76962
37	-1.08048	-13.50768	136.66759	-3.93145	43.27171	321.71323
38	-1.08132	-13.49070	136.58386	-3.95546	43.26308	321.65762
39	-1.08217	-13.47361	136.49918	-3.97920	43.25431	321.60297
40	-1.08303	-13.45641	136.41353	-4.00263	43.24540	321.54919
41	-1.08390	-13.43908	136.32690	-4.02573	43.23637	321.49640
42	-1.08477	-13.42164	136.23930	-4.04849	43.22724	321.44458
43	-1.08565	-13.40407	136.15074	-4.07087	43.21802	321.39380
44	-1.08654	-13.38638	136.06120	-4.09285	43.20873	321.34412
45	-1.08743	-13.36857	135.97067	-4.11441	43.19937	321.29553
46	-1.08832	-13.35064	135.87918	-4.13553	43.18998	321.24811
47	-1.08922	-13.33258	135.78670	-4.15618	43.18056	321.20187
48	-1.09011	-13.31439	135.69324	-4.17635	43.17112	321.15686
49	-1.09100	-13.29607	135.59877	-4.19600	43.16169	321.11313
50	-1.09188	-13.27761	135.50330	-4.21513	43.15228	321.07059
51	-1.09276	-13.25901	135.40683	-4.23371	43.14290	321.02945
52	-1.09363	-13.24026	135.30933	-4.25172	43.13358	320.98956
53	-1.09448	-13.22137	135.21080	-4.26914	43.12432	320.95105
54	-1.09532	-13.20232	135.11122	-4.28595	43.11515	320.91391
55	-1.09614	-13.18311	135.01062	-4.30213	43.10607	320.87817
56	-1.09694	-13.16374	134.90897	-4.31766	43.09711	320.84390
57	-1.09771	-13.14421	134.80623	-4.33253	43.08829	320.81100
58	-1.09847	-13.12449	134.70242	-4.34672	43.07961	320.77957
59	-1.09919	-13.10460	134.59753	-4.36021	43.07109	320.74960
60	-1.09989	-13.08453	134.49152	-4.37301	43.06274	320.72113
61	-1.10056	-13.06426	134.38440	-4.38509	43.05459	320.69409
62	-1.10120	-13.04380	134.27612	-4.39643	43.04664	320.66855
63	-1.10180	-13.02313	134.16673	-4.40704	43.03892	320.64450
64	-1.10236	-13.00225	134.05617	-4.41688	43.03143	320.62195
65	-1.10288	-12.98115	133.94444	-4.42596	43.02420	320.60092
66	-1.10337	-12.95983	133.83150	-4.43426	43.01722	320.58136
67	-1.10381	-12.93828	133.71736	-4.44179	43.01052	320.56329
68	-1.10421	-12.91650	133.60202	-4.44853	43.00410	320.54675
69	-1.10456	-12.89447	133.48541	-4.45448	42.99799	320.53168
70	-1.10486	-12.87220	133.36757	-4.45964	42.99218	320.51807
71	-1.10512	-12.84966	133.24841	-4.46400	42.98669	320.50595
72	-1.10533	-12.82687	133.12799	-4.46756	42.98153	320.49527
73	-1.10548	-12.80381	133.00626	-4.47032	42.97671	320.48611
74	-1.10558	-12.78047	132.88319	-4.47227	42.97224	320.47839
75	-1.10563	-12.75685	132.75877	-4.47341	42.96813	320.47211
76	-1.10561	-12.73294	132.63301	-4.47375	42.96438	320.46722
77	-1.10552	-12.70873	132.50587	-4.47329	42.96100	320.46378
78	-1.10537	-12.68422	132.37732	-4.47204	42.95797	320.46170
79	-1.10514	-12.65940	132.24738	-4.46998	42.95532	320.46100
80	-1.10483	-12.63426	132.11601	-4.46714	42.95304	320.46164
81	-1.10444	-12.60880	131.98322	-4.46350	42.95114	320.46359
82	-1.10397	-12.58301	131.84897	-4.45908	42.94961	320.46689
83	-1.10340	-12.55687	131.71326	-4.45388	42.94847	320.47147
84	-1.10274	-12.53040	131.57607	-4.44791	42.94770	320.47733
85	-1.10198	-12.50358	131.43739	-4.44118	42.94730	320.48438
86	-1.10112	-12.47641	131.29723	-4.43371	42.94728	320.49268
87	-1.10015	-12.44890	131.15556	-4.42552	42.94761	320.50211
88	-1.09906	-12.42103	131.01242	-4.41662	42.94830	320.51273
89	-1.09787	-12.39281	130.86777	-4.40703	42.94934	320.52441
90	-1.09655	-12.36424	130.72159	-4.39675	42.95073	320.53723
91	-1.09511	-12.33530	130.57390	-4.38580	42.95247	320.55106
92	-1.09355	-12.30601	130.42468	-4.37421	42.95454	320.56592
93	-1.09185	-12.27635	130.27396	-4.36199	42.95692	320.58179
94	-1.09002	-12.24633	130.12170	-4.34916	42.95963	320.59854
95	-1.08805	-12.21595	129.96793	-4.33575	42.96264	320.61630
96	-1.08594	-12.18521	129.81264	-4.32178	42.96594	320.63492
97	-1.08369	-12.15411	129.65582	-4.30728	42.96951	320.65442
98	-1.08129	-12.12265	129.49751	-4.29227	42.97336	320.67477
99	-1.07874	-12.09083	129.33768	-4.27676	42.97745	320.69589
100	-1.07604	-12.05866	129.17633	-4.26079	42.98179	320.71780
101	-1.07318	-12.02612	129.01349	-4.24438	42.98636	320.74048
102	-1.07016	-11.99323	128.84915	-4.22756	42.99115	320.76382
103	-1.06698	-11.95998	128.68332	-4.21034	42.99615	320.78793
104	-1.06364	-11.92638	128.51602	-4.19275	43.00135	320.81265
105	-1.06014	-11.89243	128.34729	-4.17482	43.00673	320.83807
106	-1.05646	-11.85813	128.17712	-4.15657	43.01229	320.86407
107	-1.05262	-11.82349	128.00552	-4.13804	43.01802	320.89072
108	-1.04861	-11.78850	127.83252	-4.11923	43.02390	320.91788
109	-1.04442	-11.75317	127.65813	-4.10018	43.02991	320.94565
110	-1.04006	-11.71749	127.48236	-4.08091	43.03606	320.97394
111	-1.03552	-11.68149	127.30524	-4.06145	43.04233	321.00272
112	-1.03080	-11.64515	127.12682	-4.04183	43.04872	321.03201
113	-1.02590	-11.60850	126.94711	-4.02208	43.05521	321.06183
114	-1.02081	-11.57153	126.76615	-4.00221	43.06180	321.09207
115	-1.01553	-11.53426	126.58399	-3.98227	43.06848	321.12280
116	-1.01006	-11.49669	126.40064	-3.96227	43.07524	321.15396
117	-1.00440	-11.45882	126.21615	-3.94225	43.08208	321.18558
118	-0.99854	-11.42067	126.03054	-3.92223	43.08899	321.21759
119	-0.99248	-11.38224	125.84386	-3.90224	43.09596	321.25003
120	-0.98622	-11.34354	125.65614	-3.88231	43.10299	321.28290
121	-0.97976	-11.30459	125.46742	-3.86246	43.11008	321.31616
122	-0.97308	-11.26539	125.27777	-3.84270	43.11722	321.34982
123	-0.96620	-11.22596	125.08723	-3.82308	43.12443	321.38391
124	-0.95909	-11.18630	124.89585	-3.80361	43.13169	321.41843
125	-0.95177	-11.14642	124.70367	-3.78432	43.13902	321.45337
126	-0.94422	-11.10635	124.51073	-3.76523	43.14641	321.48871
127	-0.93644	-11.06609	124.31709	-3.74636	43.15385	321.52444
128	-0.92844	-11.02564	124.12279	-3.72775	43.16137	321.56064
129	-0.92019	-10.98504	123.92791	-3.70940	43.16894	321.59723
130	-0.91171	-10.94428	123.73250	-3.69134	43.17658	321.63431
131	-0.90297	-10.90339	123.53662	-3.67358	43.18430	321.67181
132	-0.89398	-10.86238	123.34038	-3.65614	43.19210	321.70984
133	-0.88473	-10.82127	123.14379	-3.63903	43.19998	321.74829
134	-0.87521	-10.78007	122.94698	-3.62227	43.20795	321.78732
135	-0.86542	-10.73880	122.74996	-3.60588	43.21602	321.82684
136	-0.85535	-10.69747	122.55283	-3.58987	43.22419	321.86691
137	-0.84499	-10.65610	122.35564	-3.57427	43.23246	321.90753
138	-0.83435	-10.61471	122.15850	-3.55907	43.24084	321.94873
139	-0.82341	-10.57330	121.96146	-3.54429	43.24934	321.99054
140	-0.81218	-10.53190	121.76463	-3.52993	43.25797	322.03299
141	-0.80066	-10.49052	121.56806	-3.51600	43.26673	322.07608
142	-0.78884	-10.44917	121.37185	-3.50250	43.27564	322.11984
143	-0.77671	-10.40788	121.17609	-3.48946	43.28470	322.16437
144	-0.76428	-10.36665	120.98085	-3.47686	43.29391	322.20963
145	-0.75155	-10.32550	120.78622	-3.46473	43.30330	322.25562
146	-0.73851	-10.28445	120.59227	-3.45306	43.31286	322.30243
147	-0.72516	-10.24352	120.39910	-3.44186	43.32260	322.35004
148	-0.71150	-10.20271	120.20679	-3.43113	43.33252	322.39853
149	-0.69753	-10.16205	120.01540	-3.42087	43.34264	322.44791
150	-0.68325	-10.12155	119.82505	-3.41109	43.35296	322.49826
151	-0.66866	-10.08123	119.63582	-3.40178	43.36348	322.54953
152	-0.65375	-10.04111	119.44776	-3.39295	43.37422	322.60184
153	-0.63854	-10.00120	119.26100	-3.38461	43.38517	322.65512
154	-0.62302	-9.96151	119.07560	-3.37674	43.39634	322.70953
155	-0.60719	-9.92207	118.89165	-3.36936	43.40774	322.76501
156	-0.59104	-9.88288	118.70923	-3.36246	43.41937	322.82166
157	-0.57458	-9.84398	118.52840	-3.35604	43.43124	322.87946
158	-0.55782	-9.80536	118.34925	-3.35011	43.44334	322.93851
159	-0.54074	-9.76705	118.17186	-3.34467	43.45568	322.99875
160	-0.52335	-9.72907	117.99630	-3.33971	43.46827	323.06027
161	-0.50564	-9.69143	117.82264	-3.33523	43.48109	323.12311
162	-0.48763	-9.65416	117.65097	-3.33123	43.49417	323.18732
163	-0.46930	-9.61725	117.48136	-3.32773	43.50750	323.25290
164	-0.45067	-9.58073	117.31387	-3.32470	43.52108	323.31989
165	-0.43172	-9.54462	117.14858	-3.32216	43.53492	323.38831
166	-0.41247	-9.50892	116.98552	-3.32009	43.54900	323.45822
167	-0.39292	-9.47366	116.82474	-3.31850	43.56333	323.52963
168	-0.37306	-9.43883	116.66630	-3.31738	43.57791	323.60254
169	-0.35292	-9.40446	116.51023	-3.31673	43.59273	323.67700
170	-0.33248	-9.37055	116.35659	-3.31654	43.60780	323.75302
171	-0.31175	-9.33713	116.20544	-3.31681	43.62310	323.83063
172	-0.29074	-9.30419	116.05682	-3.31753	43.63865	323.90985
173	-0.26944	-9.27176	115.91077	-3.31871	43.65443	323.99072
174	-0.24787	-9.23984	115.76733	-3.32033	43.67045	324.07318
175	-0.22603	-9.20844	115.62650	-3.32239	43.68669	324.15738
176	-0.20392	-9.17757	115.48830	-3.32487	43.70315	324.24323
177	-0.18156	-9.14722	115.35276	-3.32777	43.71983	324.33072
178	-0.15894	-9.11742	115.21990	-3.33107	43.73671	324.41995
179	-0.13608	-9.08817	115.08971	-3.33477	43.75379	324.51086
180	-0.11298	-9.05947	114.96224	-3.33886	43.77107	324.60355
181	-0.08965	-9.03133	114.83749	-3.34333	43.78854	324.69791
182	-0.06609	-9.00376	114.71549	-3.34816	43.80620	324.79404
183	-0.04232	-8.97676	114.59622	-3.35335	43.82403	324.89188
184	-0.01833	-8.95033	114.47969	-3.35890	43.84204	324.99152
185	0.00587	-8.92447	114.36589	-3.36479	43.86022	325.09283
186	0.03026	-8.89919	114.25481	-3.37102	43.87857	325.19592
187	0.05484	-8.87449	114.14645	-3.37757	43.89707	325.30072
188	0.07960	-8.85036	114.04082	-3.38445	43.91573	325.40729
189	0.10454	-8.82682	113.93789	-3.39164	43.93453	325.51559
190	0.12965	-8.80385	113.83766	-3.39914	43.95348	325.62558
191	0.15491	-8.78148	113.74013	-3.40693	43.97258	325.73734
192	0.18033	-8.75968	113.64528	-3.41501	43.99180	325.85077
193	0.20590	-8.73845	113.55307	-3.42336	44.01115	325.96591
194	0.23160	-8.71781	113.46349	-3.43198	44.03063	326.08273
195	0.25743	-8.69773	113.37650	-3.44084	44.05023	326.20120
196	0.28338	-8.67823	113.29207	-3.44994	44.06994	326.32129
197	0.30944	-8.65929	113.21017	-3.45926	44.08976	326.44296
198	0.33561	-8.64092	113.13080	-3.46880	44.10969	326.56628
199	0.36187	-8.62311	113.05389	-3.47854	44.12971	326.69116
200	0.38823	-8.60586	112.97945	-3.48848	44.14983	326.81760
201	0.41466	-8.58917	112.90745	-3.49859	44.17003	326.94553
202	0.44116	-8.57304	112.83786	-3.50887	44.19032	327.07495
203	0.46773	-8.55746	112.77064	-3.51931	44.21067	327.20590
204	0.49434	-8.54245	112.70579	-3.52990	44.23111	327.33820
205	0.52100	-8.52799	112.64328	-3.54064	44.25160	327.47195
206	0.54769	-8.51409	112.58308	-3.55151	44.27214	327.60712
207	0.57440	-8.50075	112.52518	-3.56250	44.29274	327.74365
208	0.60113	-8.48797	112.46954	-3.57361	44.31338	327.88147
209	0.62786	-8.47574	112.41614	-3.58481	44.33406	328.02060
