	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N3_finishedFinal\finishedUpperN3.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	0.11872	0.06136	0.00969	0.12623	0.46596	0.00977
2	0.11856	0.06132	0.00993	0.12591	0.46588	0.00992
3	0.11846	0.06142	0.01011	0.12563	0.46582	0.01004
4	0.11834	0.06160	0.01018	0.12545	0.46578	0.01016
5	0.11821	0.06183	0.01006	0.12546	0.46574	0.01026
6	0.11812	0.06205	0.00981	0.12570	0.46574	0.01024
7	0.11814	0.06214	0.00961	0.12601	0.46581	0.01008
8	0.11831	0.06204	0.00965	0.12616	0.46592	0.00987
9	0.11853	0.06186	0.00988	0.12605	0.46604	0.00972
10	0.11864	0.06173	0.01015	0.12578	0.46611	0.00973
11	0.11858	0.06170	0.01031	0.12560	0.46616	0.00989
12	0.11845	0.06175	0.01028	0.12561	0.46620	0.01012
13	0.11837	0.06184	0.01011	0.12568	0.46621	0.01038
14	0.11832	0.06193	0.00990	0.12561	0.46618	0.01056
15	0.11819	0.06210	0.00977	0.12544	0.46617	0.01048
16	0.11793	0.06237	0.00974	0.12540	0.46622	0.01012
17	0.11765	0.06264	0.00985	0.12559	0.46624	0.00973
18	0.11745	0.06274	0.01005	0.12589	0.46617	0.00954
19	0.11739	0.06261	0.01027	0.12601	0.46603	0.00964
20	0.11739	0.06236	0.01047	0.12585	0.46592	0.00994
21	0.11741	0.06211	0.01057	0.12553	0.46590	0.01030
22	0.11747	0.06195	0.01048	0.12533	0.46594	0.01053
23	0.11764	0.06185	0.01018	0.12541	0.46604	0.01049
24	0.11789	0.06174	0.00988	0.12570	0.46615	0.01030
25	0.11808	0.06166	0.00978	0.12597	0.46628	0.01012
26	0.11804	0.06170	0.00994	0.12607	0.46643	0.01006
27	0.11784	0.06182	0.01023	0.12602	0.46656	0.01014
28	0.11773	0.06192	0.01041	0.12591	0.46658	0.01022
29	0.11784	0.06196	0.01035	0.12587	0.46646	0.01019
30	0.11803	0.06198	0.01011	0.12592	0.46627	0.01007
31	0.11812	0.06203	0.00982	0.12599	0.46610	0.00995
