	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d
	RTOES_DIST	RTOES_DIST	RTOES_DIST	LTOES_DIST	LTOES_DIST	LTOES_DIST	RTOES_PROX	RTOES_PROX	RTOES_PROX	LTOES_PROX	LTOES_PROX	LTOES_PROX	RFTS_DIST	RFTS_DIST	RFTS_DIST	LFTS_DIST	LFTS_DIST	LFTS_DIST	RFTS_PROX	RFTS_PROX	RFTS_PROX	LFTS_PROX	LFTS_PROX	LFTS_PROX
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	0.33979	0.19466	0.00599	0.13985	0.68655	0.00327	0.29620	0.17501	0.00999	0.11969	0.64330	0.00825	0.31224	0.15461	0.01553	0.09986	0.65965	0.01521	0.14324	0.07862	0.01802	0.01922	0.48468	0.00967
2	0.33979	0.19462	0.00595	0.13939	0.68682	0.00313	0.29621	0.17502	0.01030	0.11938	0.64356	0.00867	0.31222	0.15461	0.01588	0.09950	0.65983	0.01570	0.14314	0.07879	0.01795	0.01936	0.48466	0.00960
3	0.33961	0.19467	0.00586	0.13912	0.68699	0.00312	0.29605	0.17510	0.01052	0.11919	0.64377	0.00926	0.31205	0.15468	0.01611	0.09934	0.65997	0.01653	0.14294	0.07891	0.01795	0.01929	0.48480	0.00937
4	0.33936	0.19475	0.00574	0.13905	0.68705	0.00325	0.29583	0.17517	0.01057	0.11915	0.64388	0.00978	0.31183	0.15475	0.01613	0.09936	0.66003	0.01731	0.14275	0.07894	0.01808	0.01910	0.48499	0.00909
5	0.33922	0.19482	0.00569	0.13912	0.68704	0.00349	0.29568	0.17521	0.01037	0.11919	0.64384	0.00971	0.31171	0.15480	0.01591	0.09946	0.65999	0.01738	0.14267	0.07890	0.01829	0.01895	0.48508	0.00910
6	0.33923	0.19489	0.00571	0.13925	0.68703	0.00369	0.29566	0.17525	0.01006	0.11924	0.64374	0.00901	0.31172	0.15485	0.01554	0.09955	0.65994	0.01666	0.14271	0.07889	0.01843	0.01889	0.48505	0.00949
7	0.33928	0.19505	0.00572	0.13936	0.68701	0.00368	0.29572	0.17537	0.00986	0.11929	0.64366	0.00820	0.31180	0.15496	0.01526	0.09961	0.65993	0.01575	0.14284	0.07891	0.01846	0.01884	0.48503	0.00994
8	0.33929	0.19530	0.00572	0.13948	0.68691	0.00350	0.29576	0.17555	0.00982	0.11934	0.64357	0.00771	0.31188	0.15515	0.01514	0.09971	0.65989	0.01526	0.14303	0.07885	0.01845	0.01864	0.48511	0.01013
9	0.33925	0.19550	0.00572	0.13965	0.68671	0.00337	0.29576	0.17567	0.00984	0.11940	0.64342	0.00754	0.31192	0.15530	0.01514	0.09986	0.65978	0.01525	0.14322	0.07866	0.01847	0.01823	0.48526	0.01007
