	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	0.00000	0.00000	0.45705	0.00000	0.00000	-0.78777
2	0.00000	0.00000	0.44955	0.00000	0.00000	-0.78885
3	0.00000	0.00000	0.44200	0.00000	0.00000	-0.78995
4	0.00000	0.00000	0.43438	0.00000	0.00000	-0.79106
5	0.00000	0.00000	0.42668	0.00000	0.00000	-0.79218
6	0.00000	0.00000	0.41887	0.00000	0.00000	-0.79334
7	0.00000	0.00000	0.41093	0.00000	0.00000	-0.79452
8	0.00000	0.00000	0.40285	0.00000	0.00000	-0.79575
9	0.00000	0.00000	0.39461	0.00000	0.00000	-0.79702
10	0.00000	0.00000	0.38619	0.00000	0.00000	-0.79834
11	0.00000	0.00000	0.37757	0.00000	0.00000	-0.79973
12	0.00000	0.00000	0.36876	0.00000	0.00000	-0.80116
13	0.00000	0.00000	0.35976	0.00000	0.00000	-0.80265
14	0.00000	0.00000	0.35059	0.00000	0.00000	-0.80418
15	0.00000	0.00000	0.34126	0.00000	0.00000	-0.80576
16	0.00000	0.00000	0.33177	0.00000	0.00000	-0.80738
17	0.00000	0.00000	0.32214	0.00000	0.00000	-0.80903
18	0.00000	0.00000	0.31237	0.00000	0.00000	-0.81071
19	0.00000	0.00000	0.30248	0.00000	0.00000	-0.81242
20	0.00000	0.00000	0.29248	0.00000	0.00000	-0.81415
21	0.00000	0.00000	0.28236	0.00000	0.00000	-0.81590
22	0.00000	0.00000	0.27213	0.00000	0.00000	-0.81767
23	0.00000	0.00000	0.26181	0.00000	0.00000	-0.81946
24	0.00000	0.00000	0.25138	0.00000	0.00000	-0.82126
25	0.00000	0.00000	0.24086	0.00000	0.00000	-0.82308
26	0.00000	0.00000	0.23025	0.00000	0.00000	-0.82490
27	0.00000	0.00000	0.21955	0.00000	0.00000	-0.82674
28	0.00000	0.00000	0.20877	0.00000	0.00000	-0.82858
29	0.00000	0.00000	0.19791	0.00000	0.00000	-0.83043
30	0.00000	0.00000	0.18698	0.00000	0.00000	-0.83228
