	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	0.14308	0.07868	0.00865	0.01952	0.48479	0.00197
2	0.14300	0.07885	0.00858	0.01966	0.48479	0.00190
3	0.14281	0.07898	0.00859	0.01955	0.48499	0.00166
4	0.14261	0.07901	0.00872	0.01931	0.48525	0.00139
5	0.14251	0.07897	0.00892	0.01912	0.48536	0.00140
6	0.14252	0.07896	0.00907	0.01904	0.48529	0.00178
7	0.14262	0.07900	0.00910	0.01899	0.48522	0.00223
8	0.14280	0.07897	0.00909	0.01877	0.48528	0.00243
9	0.14298	0.07878	0.00911	0.01832	0.48544	0.00236
10	0.14309	0.07855	0.00910	0.01797	0.48557	0.00222
11	0.14308	0.07844	0.00897	0.01806	0.48557	0.00208
12	0.14303	0.07848	0.00879	0.01847	0.48552	0.00201
13	0.14303	0.07863	0.00874	0.01880	0.48553	0.00205
14	0.14309	0.07881	0.00888	0.01890	0.48562	0.00212
15	0.14313	0.07899	0.00909	0.01893	0.48567	0.00209
16	0.14312	0.07917	0.00927	0.01901	0.48559	0.00198
17	0.14311	0.07936	0.00937	0.01910	0.48535	0.00189
18	0.14319	0.07956	0.00943	0.01916	0.48506	0.00192
19	0.14339	0.07964	0.00948	0.01909	0.48488	0.00211
20	0.14363	0.07949	0.00958	0.01886	0.48493	0.00236
21	0.14379	0.07921	0.00970	0.01862	0.48519	0.00246
22	0.14379	0.07901	0.00980	0.01853	0.48548	0.00235
23	0.14367	0.07905	0.00985	0.01861	0.48565	0.00214
24	0.14349	0.07931	0.00988	0.01883	0.48561	0.00194
25	0.14334	0.07960	0.00992	0.01908	0.48541	0.00182
26	0.14331	0.07968	0.00999	0.01910	0.48522	0.00184
27	0.14337	0.07948	0.01012	0.01878	0.48518	0.00193
28	0.14347	0.07912	0.01029	0.01833	0.48531	0.00201
29	0.14356	0.07885	0.01042	0.01812	0.48554	0.00200
30	0.14362	0.07878	0.01049	0.01827	0.48574	0.00194
31	0.14363	0.07885	0.01049	0.01859	0.48584	0.00197
