	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedElbowN4.c3d
	R_KNEE_MOMENT	R_KNEE_MOMENT	R_KNEE_MOMENT	L_KNEE_MOMENT	L_KNEE_MOMENT	L_KNEE_MOMENT	R_HIP_MOMENT	R_HIP_MOMENT	R_HIP_MOMENT	L_HIP_MOMENT	L_HIP_MOMENT	L_HIP_MOMENT	R_ANKLE_MOMENT	R_ANKLE_MOMENT	R_ANKLE_MOMENT	L_ANKLE_MOMENT	L_ANKLE_MOMENT	L_ANKLE_MOMENT	WAIST_JOINT_MOMENT	WAIST_JOINT_MOMENT	WAIST_JOINT_MOMENT	NECK_MOMENT	NECK_MOMENT	NECK_MOMENT	L_SHOULDER_MOMENT	L_SHOULDER_MOMENT	L_SHOULDER_MOMENT	R_SHOULDER_MOMENT	R_SHOULDER_MOMENT	R_SHOULDER_MOMENT	L_ELBOW_MOMENT	L_ELBOW_MOMENT	L_ELBOW_MOMENT	R_ELBOW_MOMENT	R_ELBOW_MOMENT	R_ELBOW_MOMENT	L_WRIST_MOMENT	L_WRIST_MOMENT	L_WRIST_MOMENT	R_WRIST_MOMENT	R_WRIST_MOMENT	R_WRIST_MOMENT
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1																																										
2																																										
3	0.00981	-9.36259	2.13266	5.18198	-3.86690	-1.06559	-9.76993	-1.75648	0.93065	-6.69996	4.06145	0.98568	-11.47668	14.41340	-1.35051	10.88299	1.50375	-0.62767	-7.17735	17.99695	-5.18356	23.62377	-13.74482	7.07657	6.58643	4.42118	1.96044	3.65375	-7.04448	-1.78969	1.30147	-3.57295	-0.52253	2.67399	1.85863	0.27084	0.04905	-0.28777	0.00970	0.25299	0.13207	0.10929
4	-0.53840	-10.89198	2.33507	6.17043	-4.44679	-1.12982	-15.51311	-10.20386	0.55033	-2.16698	-1.95395	-0.46117	-11.54626	14.48301	-1.41433	10.96838	0.98229	-0.63284	-9.49379	0.47897	-9.18664	38.11643	-8.09697	3.26330	4.52136	3.87762	2.95558	3.38198	-7.74689	-2.72701	0.69783	-3.00117	-0.07090	2.72426	1.67210	0.43085	-0.09131	-0.27462	0.10209	0.19500	0.03062	0.12921
5	0.03556	-11.17318	2.32044	7.05126	-4.32780	-0.90776	-13.28966	-15.76145	0.61405	-3.26750	-2.59866	0.14538	-11.50504	14.48785	-1.38325	11.56170	0.39103	-0.59672	-9.28335	-6.37689	-5.55009	48.21220	14.83279	-6.16356	4.47938	3.38966	2.44137	2.37308	-8.28780	-7.93280	0.69791	-2.93202	0.03744	3.13194	2.29418	-0.45748	0.03670	-0.33655	-0.01662	0.21068	0.07476	0.05577
6	0.36042	-9.63553	2.20898	6.80958	-3.37923	-0.55652	-8.21834	-13.40536	1.72396	-10.04539	4.26967	1.92549	-11.47193	14.45166	-1.30290	12.69393	-0.26052	-0.59749	-11.80596	4.17289	2.39567	40.61686	28.70513	-13.46495	5.85152	2.75699	-0.18626	1.91029	-8.05374	-11.00834	1.07425	-2.81972	-0.39911	3.51039	3.06032	-1.16188	0.26978	-0.33393	-0.24315	0.29386	0.24683	-0.03172
7	-0.40003	-7.70521	2.09556	5.47284	-2.52690	-0.32691	-8.48695	-7.36396	2.48452	-17.04103	12.62955	3.20668	-11.61629	14.49047	-1.27949	13.73263	-0.80858	-0.65334	-20.33513	21.20973	6.32655	20.12668	15.40955	-10.55708	6.45949	2.33575	-2.70535	3.27120	-6.69993	-5.53496	1.07270	-2.04246	-0.73577	3.44328	2.89455	-0.39099	0.25782	-0.10906	-0.29121	0.39729	0.37771	-0.02922
8	-1.49077	-6.41837	1.88351	4.58386	-2.52685	-0.27237	-14.00885	-2.98133	1.58370	-19.35282	16.31568	3.58085	-11.90020	14.66023	-1.34375	14.29497	-1.26973	-0.69414	-29.80861	33.05753	3.44009	4.74326	-8.91973	1.27856	6.18594	2.56679	-2.60831	5.43464	-4.97575	5.15514	0.93250	-1.59176	-0.59962	2.71595	1.60450	1.12370	0.08356	0.08885	-0.10168	0.44234	0.33470	0.01247
9	-1.64263	-5.61444	1.57083	5.67082	-3.38026	-0.35968	-17.40900	-0.72019	-0.04973	-14.49179	13.47276	3.08318	-12.12504	14.89959	-1.41239	14.57737	-1.81331	-0.66952	-28.88207	35.22018	-2.65849	3.49676	-19.42136	12.90306	6.23534	3.15714	-0.28703	6.38874	-4.19512	11.99024	1.01390	-2.39095	0.11439	1.66493	0.32212	1.70089	0.01200	-0.08117	0.16935	0.37687	0.18711	0.01991
10	-0.39176	-5.43314	1.36257	8.18736	-4.33613	-0.45580	-11.87138	-0.87376	-0.78706	-4.89104	6.87060	2.31720	-12.21441	15.21482	-1.40236	14.77726	-2.31425	-0.60460	-11.61404	26.87804	-5.51576	7.57413	-15.13638	17.62815	6.77402	3.52012	0.90252	6.33542	-4.64057	12.50837	0.93184	-3.24517	0.92176	1.08545	0.23253	1.02960	0.02181	-0.39310	0.31808	0.29116	0.15899	0.00228
11	1.34845	-6.21491	1.41135	9.76399	-4.87882	-0.43462	-0.01901	-4.65375	-0.25046	1.53852	0.82821	2.06219	-12.29760	15.67713	-1.34728	14.81741	-2.44917	-0.55591	9.81341	10.50947	-2.25101	9.07253	-7.52681	13.07961	7.61238	3.65198	-1.03103	6.02060	-5.28550	9.73318	0.61260	-3.00304	0.88496	1.09751	1.05255	-0.07876	0.00970	-0.42387	0.21472	0.22301	0.26467	-0.06914
12	1.66881	-7.13742	1.68297	9.09063	-5.13381	-0.38133	5.40875	-8.65021	1.14265	-0.45590	-0.83290	2.17759	-12.46269	16.15229	-1.35680	14.79953	-2.35792	-0.57414	13.44637	-1.86613	2.73524	14.07118	2.09959	-0.32332	8.19459	3.88602	-3.37598	4.57714	-5.45087	3.59637	0.48820	-2.29667	0.11420	1.46940	1.80498	-0.91159	0.00881	-0.21322	-0.03157	0.13610	0.28796	-0.16355
13	0.09673	-6.95762	1.99112	7.28357	-4.84578	-0.32350	-1.51931	-7.92197	2.90911	-7.66342	3.76383	2.33888	-12.67317	16.45439	-1.46569	14.98975	-2.47835	-0.61769	-3.50350	2.93316	4.78972	25.58702	14.33349	-15.49924	7.39228	4.06216	-2.27862	1.86765	-5.94688	-6.39695	0.62652	-2.13976	-0.18752	2.38831	2.25154	-1.13650	0.07213	-0.11267	-0.15275	0.11202	0.16167	-0.14422
14	-1.44746	-6.08929	2.15773	6.11473	-3.91503	-0.15528	-11.54768	-4.57397	4.11976	-12.89975	10.62294	2.66699	-12.92252	16.73858	-1.58296	15.30376	-2.80754	-0.58297	-20.69659	18.52675	4.04490	31.26450	17.77328	-19.72312	5.47146	3.72938	1.56482	0.33905	-7.15869	-13.38515	0.68610	-2.61615	0.58918	3.51945	2.48634	-0.75744	0.13323	-0.24780	-0.01901	0.24227	0.05041	0.00731
15	-1.30177	-6.09635	2.20351	6.01042	-3.29231	0.07439	-15.15293	-3.50370	3.71336	-13.19700	13.27557	3.23169	-13.21547	17.26090	-1.60647	15.42876	-3.00328	-0.46909	-24.46253	28.10474	1.87606	20.83618	6.04803	-7.24984	4.18469	2.90768	3.55214	1.92220	-7.69751	-8.87740	0.65783	-2.95926	1.25134	3.50213	2.16168	-0.29273	0.13644	-0.36462	0.14000	0.36204	0.05807	0.09826
16	0.28081	-7.26549	2.20683	6.54279	-3.92887	0.14419	-12.82197	-3.84015	1.88045	-11.25539	10.34066	3.76768	-13.52887	17.93517	-1.55072	15.33449	-3.00128	-0.39036	-20.54988	27.85251	-0.75522	5.32162	-6.67650	9.85425	4.32333	2.20653	1.62691	5.14050	-6.91339	2.93815	0.80065	-2.61648	0.54207	2.43495	1.53705	0.02769	0.15408	-0.28148	0.02931	0.35388	0.16086	0.05586
17	1.57895	-8.27301	2.13232	7.62419	-5.16622	0.02306	-10.31155	-3.17059	-0.08347	-9.16804	6.25565	4.30446	-13.92202	18.50887	-1.54011	15.21995	-2.98360	-0.40507	-17.29948	24.29492	-2.01151	4.69027	-6.60410	13.21249	4.83366	2.04661	-1.62176	6.39748	-5.66517	8.47778	0.97063	-1.75488	-0.83781	1.85678	1.38234	0.39186	0.21240	-0.13232	-0.24794	0.27552	0.25721	0.00588
18	1.13006	-8.37694	2.00583	9.11851	-5.61447	-0.09323	-10.78822	-3.49107	-1.25550	-6.29005	5.09094	4.82065	-14.42123	18.90788	-1.64916	15.19043	-3.01412	-0.43172	-14.34965	20.05902	-1.23504	21.38775	-1.31045	2.55422	4.87438	2.25540	-3.01695	4.65795	-5.00231	3.90978	0.97371	-1.17674	-1.47669	2.08308	1.63428	0.58859	0.23436	-0.11160	-0.35009	0.18933	0.24807	0.01316
19	-0.22923	-7.93216	1.93062	9.96034	-5.55354	-0.21132	-12.25477	-5.53072	-1.35509	-4.88876	5.49909	4.14051	-14.85593	19.20987	-1.79455	15.23567	-3.10348	-0.41819	-12.20925	14.07334	-0.75521	37.54870	-2.28396	-6.09897	5.17546	2.67536	-1.90681	2.71775	-5.42355	-1.84767	1.02456	-1.75694	-1.07136	2.34469	1.71024	0.40873	0.18594	-0.26702	-0.15735	0.17155	0.16302	0.05117
20	-0.38430	-7.42465	1.96448	9.37408	-5.85177	-0.37758	-11.37369	-5.90934	-0.16649	-7.58633	5.35144	2.10578	-15.10438	19.51559	-1.86326	15.31165	-3.25020	-0.37886	-13.21241	10.32879	-1.08247	35.24398	-4.58130	-5.44150	6.24039	3.10723	-0.20962	2.65180	-6.29256	-2.17062	1.15781	-3.07978	-0.21162	2.25528	1.45744	0.12805	0.10903	-0.48102	0.12663	0.22742	0.09945	0.07357
21	1.22364	-7.13763	2.09307	8.26311	-5.77834	-0.32262	-7.36800	-2.61734	1.91629	-10.40909	6.23270	0.99646	-15.27501	19.92288	-1.84072	15.35107	-3.30428	-0.26298	-11.84062	15.98672	0.25178	15.54341	-0.75359	-2.23607	7.13547	3.19775	0.09225	3.68406	-6.56957	0.67654	0.97659	-3.65607	0.64002	2.11600	1.23865	0.04248	0.04117	-0.54953	0.26433	0.29921	0.11509	0.03818
22	2.95860	-7.29821	2.24410	7.67268	-4.96840	0.00012	-3.87616	1.99252	3.39564	-9.97298	7.45271	1.38792	-15.49418	20.38770	-1.81216	15.35634	-3.23927	-0.09026	-7.48471	26.71802	1.32603	-3.19990	1.77303	-1.35187	7.05356	3.12405	-0.68901	4.43208	-6.09294	2.47505	0.51462	-2.97217	1.06553	2.20223	1.32894	0.08144	0.00715	-0.34866	0.16731	0.35354	0.19543	-0.04001
23	3.25671	-7.98499	2.28912	7.36514	-4.75396	0.20266	-4.80824	3.25145	2.73159	-10.25293	4.92057	1.36176	-15.80424	20.78864	-1.87031	15.33528	-3.20297	-0.02138	-10.21083	27.84867	-1.83308	-6.43636	-6.59472	0.27654	6.38489	3.38135	-0.95763	4.69762	-5.47999	3.15862	0.31530	-1.98975	0.81405	2.26737	1.51239	0.17194	0.01527	-0.00764	-0.03945	0.35949	0.26799	-0.07672
24	2.32983	-9.10829	2.20994	6.96344	-5.31533	0.24937	-8.19773	-1.99361	0.18103	-14.23129	0.70058	1.50729	-16.20863	21.17808	-1.99649	15.18299	-3.10696	-0.07825	-19.97562	15.94124	-5.07211	4.22746	-16.95719	4.28983	5.88431	3.92727	-0.20711	4.96480	-5.17006	4.56409	0.54529	-1.62365	0.33269	2.05871	1.47219	0.38278	0.03331	0.17754	-0.09641	0.30468	0.27316	-0.02413
25	1.41634	-10.13942	2.19207	6.98214	-5.41101	0.41047	-9.48458	-9.95510	-1.88427	-17.35089	1.77001	3.98706	-16.55181	21.64489	-2.06853	14.97865	-2.87140	-0.12003	-23.72772	6.08514	-1.97611	20.61131	-10.65473	4.74538	6.09620	4.35660	0.63851	4.90122	-5.35647	4.54705	0.83221	-2.02578	0.26750	1.89842	1.43211	0.35228	0.01170	0.06119	0.07377	0.23140	0.22255	0.01801
26	1.02870	-10.17068	2.35163	7.92652	-5.12522	0.54469	-8.99905	-12.22998	-1.41759	-14.18340	7.17273	6.96936	-16.64951	22.08468	-2.04993	14.97872	-2.73862	-0.07637	-16.58363	9.65823	3.87544	35.19777	9.57640	-2.21934	6.80250	4.27357	0.83637	3.76253	-6.18795	-0.54451	0.91237	-2.95247	0.50716	2.30140	1.86081	-0.27111	-0.02399	-0.24926	0.23657	0.20108	0.17334	-0.03909
27	1.07676	-9.24214	2.57910	9.31507	-5.61742	0.29224	-9.98645	-7.57157	1.11364	-7.59022	8.78994	6.16288	-16.54254	22.30309	-2.03101	15.21052	-2.92281	-0.00013	-10.14288	17.51060	4.49688	34.86401	17.68088	-7.14390	6.82737	3.55778	0.42498	2.68090	-7.06548	-5.91730	0.88966	-3.56105	0.33114	2.89364	2.40203	-0.85942	0.01977	-0.48321	0.13838	0.23917	0.16699	-0.09793
28	1.54731	-8.44296	2.67445	10.16621	-6.56110	-0.20168	-12.43492	-2.61702	3.35317	-5.44684	5.21779	1.68706	-16.43009	22.28009	-2.08469	15.46178	-3.30761	0.04918	-15.60005	18.40592	-0.24827	14.22616	1.12702	1.08608	5.88085	2.76212	-0.20376	3.84245	-6.84879	-2.13339	0.91459	-3.17233	-0.27217	2.69770	2.14046	-0.52273	0.13460	-0.45706	-0.10829	0.31680	0.20299	-0.03892
29	2.00038	-8.08096	2.45701	9.85189	-6.45695	-0.30546	-12.99702	-0.17290	3.25834	-9.22244	1.92206	-1.54352	-16.50716	22.27396	-2.21530	15.46109	-3.49232	0.11880	-24.88349	16.52110	-4.58575	-3.97798	-19.23195	14.59206	5.33106	2.79568	-0.13903	6.37016	-5.84008	7.56133	1.11319	-2.65521	-0.68262	1.92561	1.25142	0.47285	0.22142	-0.32122	-0.21253	0.38059	0.23948	0.08220
30	2.15248	-7.61933	1.99559	8.46399	-5.54621	0.14115	-9.83545	2.27453	1.27239	-13.84508	0.97506	-0.72261	-16.73063	22.46057	-2.34599	15.18380	-3.31105	0.22613	-23.74432	18.82588	-5.33671	5.71364	-17.51794	14.08152	5.77463	3.80973	1.04527	6.51440	-5.43969	8.97034	1.33716	-2.88534	-0.62353	1.78827	0.92485	0.97212	0.20549	-0.26820	-0.12829	0.36002	0.20275	0.11635
31	2.01387	-7.10964	1.69831	7.24099	-4.99719	0.62695	-6.51646	4.11676	-0.22239	-15.21776	2.76416	2.43654	-16.80503	22.67446	-2.38077	15.02338	-3.08792	0.28765	-15.49444	24.23615	-2.83873	32.93503	0.91956	-2.41201	6.30312	4.63943	1.98051	3.56265	-6.10427	-1.04299	1.29112	-3.27468	-0.22803	2.49882	1.59284	0.50194	0.13508	-0.30787	-0.00791	0.25632	0.11691	0.04371
32	1.28652	-6.87766	1.77628	7.36904	-4.87322	0.79563	-6.98483	1.83976	-0.27291	-12.54101	7.18856	5.25451	-16.62599	22.81300	-2.32749	15.18541	-3.03010	0.29492	-10.55397	27.24503	0.89216	46.05559	11.27200	-16.31091	6.43224	4.33837	0.86990	0.95878	-6.90786	-10.25343	1.03562	-2.89840	0.10257	2.99926	2.39616	-0.24030	0.12344	-0.32151	0.02558	0.14079	0.08306	-0.02676
33	0.05464	-7.02290	2.02312	8.11297	-4.93592	0.75285	-10.59784	-4.45437	0.11585	-8.57172	10.90289	6.62090	-16.41318	22.95384	-2.28934	15.38918	-3.01068	0.29606	-11.20771	24.65968	3.40618	34.60708	7.55840	-14.36779	6.93654	3.54334	-1.74441	1.31999	-6.99803	-9.57412	0.90245	-2.21203	0.14504	2.88178	2.58104	-0.40527	0.16894	-0.27231	-0.00571	0.12608	0.13261	-0.01633
34	-0.90418	-6.98049	2.10344	8.27233	-5.00050	0.72919	-14.82942	-7.94520	0.12256	-7.35394	11.32641	6.65041	-16.33579	23.02872	-2.33141	15.43107	-2.98070	0.30627	-16.87495	21.31253	2.98563	15.71713	1.38784	-1.42338	7.90159	3.31963	-3.07634	4.04361	-6.75012	-2.20948	0.93825	-2.26018	0.23263	2.78849	2.32297	-0.00829	0.14380	-0.23358	0.03737	0.29091	0.22157	0.04376
35	-0.65106	-6.19275	1.85207	7.95932	-4.99344	0.75045	-15.82468	-3.93645	-0.12561	-10.48029	8.59263	5.39105	-16.34935	22.90284	-2.41314	15.37486	-2.99652	0.33013	-25.02372	20.61046	0.14573	8.08867	-3.74964	8.99408	7.80440	3.60375	-1.45345	6.28973	-6.65227	3.57566	0.89838	-2.88227	0.56656	2.78226	1.98030	0.19886	0.00157	-0.21704	0.17533	0.44513	0.25257	0.04444
36	0.59624	-5.25569	1.49467	7.75786	-5.57527	0.59803	-11.93108	2.00507	0.11111	-15.06743	3.89418	2.91315	-16.36285	22.62751	-2.47906	15.34684	-3.06432	0.34510	-28.94491	18.36959	-2.41035	14.46347	-8.69154	7.55909	6.21906	3.78355	1.36218	5.99438	-6.74954	2.97290	0.80970	-3.21076	0.56440	2.65464	1.84782	0.00157	-0.09405	-0.19156	0.18474	0.40334	0.21045	-0.02254
37	1.34551	-4.95750	1.40585	7.64882	-7.28663	0.16552	-6.97238	2.17636	1.35249	-16.57616	-0.66625	0.30711	-16.34200	22.42112	-2.51738	15.37477	-3.11147	0.31446	-24.33135	12.57092	-2.42238	24.21198	-6.96479	-2.28650	4.86059	3.76821	2.24846	4.16508	-6.89584	-1.65857	0.87303	-2.91175	-0.17512	2.59280	2.09100	-0.27789	-0.00540	-0.15333	-0.06101	0.27989	0.19755	-0.08426
38	0.60568	-4.98917	1.58714	7.33959	-8.80744	-0.20485	-5.22386	-2.99549	2.81820	-15.28066	-1.89669	-0.63428	-16.28192	22.45341	-2.53327	15.31195	-2.99862	0.26875	-17.44356	7.23528	-0.00415	26.76019	2.40024	-7.68367	5.01165	3.57752	0.74647	3.28590	-6.68308	-3.81853	1.09359	-2.52966	-0.93944	2.59257	2.30944	-0.39061	0.18026	-0.18964	-0.31570	0.25613	0.22887	-0.07825
39	-0.93736	-4.79105	1.72448	6.91544	-8.28543	-0.13356	-7.66432	-7.46491	3.03134	-15.02244	2.07105	0.69351	-16.16374	22.59418	-2.53084	15.09609	-2.75450	0.25535	-19.16328	7.16220	2.12257	22.37763	8.04889	-3.25998	5.96369	3.09316	-0.73397	3.81394	-5.96953	-1.38499	1.33105	-2.72255	-0.84741	2.35568	2.00225	-0.23725	0.29992	-0.38338	-0.26771	0.28760	0.20076	0.00530
40	-1.96929	-4.31030	1.58098	6.72977	-6.17889	0.27490	-12.28920	-6.81105	1.43029	-15.11118	8.28938	3.20396	-16.07044	22.58667	-2.53275	14.81986	-2.56340	0.26445	-27.07332	13.68476	0.89701	20.70474	2.37550	1.38820	6.48310	2.79782	-0.66136	4.04733	-5.37469	0.61586	1.41670	-3.13301	-0.15340	2.05751	1.56872	0.05527	0.28354	-0.55462	0.00940	0.25010	0.11885	0.08904
41	-2.15436	-3.67026	1.19006	6.58349	-4.78899	0.64598	-14.29751	-2.11702	-0.87267	-13.45939	10.98247	5.58212	-16.17675	22.38531	-2.57009	14.49104	-2.48211	0.24909	-28.22758	21.97244	-1.80262	27.36766	-7.27817	-2.50093	6.68892	3.17585	-0.04161	3.15505	-5.50785	-1.82770	1.28225	-3.16900	0.44783	2.21337	1.73649	0.29718	0.18461	-0.51327	0.21168	0.17711	0.10563	0.10649
42	-2.13809	-3.17050	0.88111	6.09920	-5.63849	0.69043	-11.27345	0.99281	-1.85416	-12.85506	6.97253	6.51483	-16.44082	22.10779	-2.61536	14.14830	-2.48965	0.17844	-21.32428	22.32820	-1.47657	33.98041	-7.82585	-9.41894	7.23159	3.57577	-0.29982	2.46378	-6.40758	-5.67476	1.02340	-3.04842	0.84350	2.85067	2.38507	0.42071	0.10033	-0.38746	0.23384	0.18758	0.18706	0.07622
43	-2.07678	-2.84763	0.87725	5.67097	-7.92637	0.36383	-6.74005	-0.21736	-0.85897	-15.29117	-1.42598	4.97636	-16.58023	21.92325	-2.58610	13.89959	-2.55809	0.08292	-17.00947	11.31415	0.75348	28.50699	1.37592	-7.99762	7.57777	3.45476	-0.87421	3.36840	-7.29087	-5.31316	0.93531	-3.15524	0.71542	3.35776	2.70475	0.40475	0.08847	-0.34221	0.10331	0.29835	0.25974	0.03619
