	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	0.05614	0.02935	0.01129	0.06761	0.51688	0.00466
2	0.05623	0.02950	0.01150	0.06724	0.51702	0.00474
3	0.05623	0.02953	0.01171	0.06687	0.51708	0.00475
4	0.05620	0.02945	0.01176	0.06676	0.51695	0.00472
5	0.05617	0.02934	0.01161	0.06689	0.51680	0.00474
6	0.05617	0.02924	0.01135	0.06701	0.51683	0.00484
7	0.05620	0.02916	0.01117	0.06701	0.51704	0.00497
8	0.05627	0.02914	0.01110	0.06703	0.51720	0.00506
9	0.05628	0.02918	0.01105	0.06714	0.51722	0.00509
10	0.05616	0.02925	0.01102	0.06717	0.51720	0.00506
11	0.05595	0.02933	0.01102	0.06707	0.51723	0.00497
12	0.05581	0.02944	0.01107	0.06698	0.51730	0.00483
13	0.05585	0.02959	0.01111	0.06708	0.51733	0.00465
14	0.05601	0.02975	0.01113	0.06740	0.51727	0.00446
15	0.05613	0.02982	0.01113	0.06763	0.51726	0.00432
16	0.05612	0.02975	0.01112	0.06737	0.51744	0.00436
17	0.05604	0.02965	0.01103	0.06661	0.51781	0.00460
18	0.05600	0.02968	0.01084	0.06581	0.51820	0.00482
19	0.05606	0.02988	0.01064	0.06541	0.51848	0.00478
20	0.05605	0.03012	0.01057	0.06546	0.51860	0.00460
21	0.05585	0.03025	0.01066	0.06583	0.51850	0.00460
22	0.05558	0.03031	0.01074	0.06640	0.51821	0.00487
23	0.05548	0.03041	0.01072	0.06690	0.51790	0.00523
24	0.05562	0.03054	0.01067	0.06707	0.51776	0.00551
25	0.05586	0.03064	0.01067	0.06694	0.51778	0.00563
26	0.05600	0.03070	0.01071	0.06677	0.51791	0.00559
27	0.05603	0.03072	0.01082	0.06667	0.51808	0.00543
28	0.05606	0.03071	0.01102	0.06666	0.51819	0.00525
29	0.05618	0.03073	0.01129	0.06678	0.51816	0.00517
30	0.05637	0.03086	0.01152	0.06696	0.51806	0.00520
31	0.05649	0.03111	0.01168	0.06700	0.51797	0.00529
