	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d
	RTOES_DIST	RTOES_DIST	RTOES_DIST	LTOES_DIST	LTOES_DIST	LTOES_DIST	RTOES_PROX	RTOES_PROX	RTOES_PROX	LTOES_PROX	LTOES_PROX	LTOES_PROX	RFTS_DIST	RFTS_DIST	RFTS_DIST	LFTS_DIST	LFTS_DIST	LFTS_DIST	RFTS_PROX	RFTS_PROX	RFTS_PROX	LFTS_PROX	LFTS_PROX	LFTS_PROX
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	0.28018	0.20005	0.00430	0.11414	0.70169	0.00397	0.24462	0.16713	0.00706	0.10592	0.65387	0.00502	0.27274	0.14769	0.01212	0.08689	0.66289	0.00988	0.13488	0.02007	0.02135	0.05461	0.47386	0.01155
2	0.28020	0.19990	0.00401	0.11427	0.70178	0.00384	0.24460	0.16703	0.00677	0.10599	0.65397	0.00482	0.27270	0.14754	0.01177	0.08699	0.66302	0.00975	0.13467	0.02013	0.02126	0.05439	0.47406	0.01169
3	0.28034	0.19979	0.00388	0.11440	0.70189	0.00362	0.24472	0.16694	0.00666	0.10610	0.65408	0.00478	0.27280	0.14744	0.01168	0.08711	0.66314	0.00969	0.13469	0.02011	0.02106	0.05452	0.47417	0.01177
4	0.28049	0.19978	0.00398	0.11444	0.70190	0.00338	0.24488	0.16691	0.00679	0.10623	0.65409	0.00492	0.27296	0.14743	0.01190	0.08717	0.66311	0.00967	0.13491	0.02001	0.02092	0.05504	0.47406	0.01180
5	0.28053	0.19982	0.00419	0.11446	0.70177	0.00321	0.24497	0.16691	0.00708	0.10636	0.65395	0.00518	0.27307	0.14747	0.01227	0.08722	0.66291	0.00971	0.13516	0.01987	0.02099	0.05573	0.47375	0.01177
6	0.28046	0.19980	0.00435	0.11453	0.70154	0.00317	0.24494	0.16686	0.00737	0.10649	0.65373	0.00543	0.27306	0.14745	0.01257	0.08730	0.66264	0.00983	0.13530	0.01968	0.02130	0.05623	0.47342	0.01168
7	0.28036	0.19969	0.00439	0.11469	0.70135	0.00332	0.24487	0.16673	0.00753	0.10662	0.65355	0.00558	0.27301	0.14734	0.01268	0.08744	0.66247	0.01001	0.13534	0.01950	0.02170	0.05625	0.47326	0.01161
8	0.28039	0.19955	0.00437	0.11492	0.70126	0.00357	0.24489	0.16660	0.00754	0.10672	0.65346	0.00560	0.27304	0.14720	0.01261	0.08760	0.66243	0.01018	0.13534	0.01941	0.02189	0.05579	0.47333	0.01162
9	0.28056	0.19946	0.00436	0.11509	0.70126	0.00374	0.24502	0.16653	0.00743	0.10675	0.65347	0.00553	0.27315	0.14709	0.01243	0.08769	0.66252	0.01025	0.13534	0.01943	0.02173	0.05518	0.47353	0.01176
