	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	0.00000	0.00000	-2.43056	0.00000	0.00000	0.25049
2	0.00000	0.00000	-2.43307	0.00000	0.00000	0.25156
3	0.00000	0.00000	-2.43560	0.00000	0.00000	0.25262
4	0.00000	0.00000	-2.43816	0.00000	0.00000	0.25369
5	0.00000	0.00000	-2.44076	0.00000	0.00000	0.25474
6	0.00000	0.00000	-2.44341	0.00000	0.00000	0.25579
7	0.00000	0.00000	-2.44613	0.00000	0.00000	0.25682
8	0.00000	0.00000	-2.44893	0.00000	0.00000	0.25785
9	0.00000	0.00000	-2.45183	0.00000	0.00000	0.25885
10	0.00000	0.00000	-2.45483	0.00000	0.00000	0.25984
11	0.00000	0.00000	-2.45795	0.00000	0.00000	0.26081
12	0.00000	0.00000	-2.46119	0.00000	0.00000	0.26176
13	0.00000	0.00000	-2.46455	0.00000	0.00000	0.26269
14	0.00000	0.00000	-2.46802	0.00000	0.00000	0.26361
15	0.00000	0.00000	-2.47160	0.00000	0.00000	0.26451
16	0.00000	0.00000	-2.47527	0.00000	0.00000	0.26540
17	0.00000	0.00000	-2.47905	0.00000	0.00000	0.26627
18	0.00000	0.00000	-2.48293	0.00000	0.00000	0.26713
19	0.00000	0.00000	-2.48690	0.00000	0.00000	0.26797
20	0.00000	0.00000	-2.49095	0.00000	0.00000	0.26881
21	0.00000	0.00000	-2.49510	0.00000	0.00000	0.26964
22	0.00000	0.00000	-2.49934	0.00000	0.00000	0.27046
23	0.00000	0.00000	-2.50366	0.00000	0.00000	0.27127
24	0.00000	0.00000	-2.50807	0.00000	0.00000	0.27207
25	0.00000	0.00000	-2.51257	0.00000	0.00000	0.27287
26	0.00000	0.00000	-2.51715	0.00000	0.00000	0.27366
27	0.00000	0.00000	-2.52183	0.00000	0.00000	0.27445
28	0.00000	0.00000	-2.52659	0.00000	0.00000	0.27523
29	0.00000	0.00000	-2.53143	0.00000	0.00000	0.27601
30	0.00000	0.00000	-2.53636	0.00000	0.00000	0.27678
