	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	13.68552	-65.08062	408.89200	-11.34800	51.55124	378.10464
2	13.67053	-65.02835	408.71594	-11.35339	51.53554	377.96698
3	13.65549	-64.97589	408.53949	-11.35875	51.51981	377.82913
4	13.64034	-64.92303	408.36212	-11.36403	51.50401	377.69080
5	13.62503	-64.86958	408.18350	-11.36920	51.48814	377.55182
6	13.60950	-64.81532	408.00311	-11.37423	51.47215	377.41183
7	13.59370	-64.76008	407.82062	-11.37908	51.45601	377.27075
8	13.57757	-64.70364	407.63550	-11.38371	51.43968	377.12830
9	13.56106	-64.64581	407.44745	-11.38809	51.42317	376.98425
10	13.54412	-64.58638	407.25589	-11.39218	51.40642	376.83835
11	13.52669	-64.52522	407.06058	-11.39595	51.38941	376.69046
12	13.50880	-64.46232	406.86160	-11.39939	51.37217	376.54068
13	13.49046	-64.39777	406.65915	-11.40253	51.35470	376.38916
14	13.47168	-64.33165	406.45340	-11.40535	51.33703	376.23608
15	13.45249	-64.26399	406.24460	-11.40787	51.31918	376.08167
16	13.43292	-64.19488	406.03293	-11.41010	51.30117	375.92596
17	13.41297	-64.12437	405.81860	-11.41203	51.28302	375.76929
18	13.39266	-64.05254	405.60178	-11.41367	51.26474	375.61166
19	13.37203	-63.97947	405.38269	-11.41504	51.24636	375.45340
20	13.35107	-63.90519	405.16150	-11.41613	51.22790	375.29456
21	13.32981	-63.82973	404.93829	-11.41694	51.20937	375.13525
22	13.30824	-63.75311	404.71313	-11.41748	51.19076	374.97559
23	13.28636	-63.67535	404.48602	-11.41775	51.17210	374.81561
24	13.26418	-63.59646	404.25708	-11.41774	51.15339	374.65543
25	13.24170	-63.51646	404.02631	-11.41746	51.13464	374.49509
26	13.21893	-63.43535	403.79376	-11.41691	51.11584	374.33472
27	13.19587	-63.35315	403.55951	-11.41608	51.09702	374.17432
28	13.17251	-63.26988	403.32361	-11.41498	51.07819	374.01404
29	13.14887	-63.18556	403.08612	-11.41361	51.05934	373.85394
30	13.12494	-63.10022	402.84714	-11.41198	51.04049	373.69412
31	13.10075	-63.01392	402.60672	-11.41008	51.02165	373.53467
32	13.07631	-62.92670	402.36502	-11.40793	51.00285	373.37573
33	13.05161	-62.83859	402.12216	-11.40552	50.98409	373.21735
34	13.02667	-62.74965	401.87823	-11.40288	50.96538	373.05969
35	13.00150	-62.65991	401.63333	-11.39999	50.94675	372.90277
36	12.97611	-62.56944	401.38757	-11.39688	50.92820	372.74680
37	12.95051	-62.47826	401.14108	-11.39353	50.90975	372.59180
38	12.92471	-62.38643	400.89392	-11.38997	50.89141	372.43787
39	12.89872	-62.29398	400.64618	-11.38619	50.87321	372.28519
40	12.87255	-62.20095	400.39807	-11.38220	50.85514	372.13376
41	12.84621	-62.10738	400.14948	-11.37802	50.83724	371.98364
42	12.81971	-62.01331	399.90063	-11.37365	50.81951	371.83502
43	12.79308	-61.91877	399.65164	-11.36910	50.80198	371.68793
44	12.76631	-61.82382	399.40244	-11.36437	50.78465	371.54239
45	12.73942	-61.72848	399.15332	-11.35948	50.76754	371.39856
46	12.71243	-61.63279	398.90427	-11.35443	50.75068	371.25656
47	12.68534	-61.53679	398.65536	-11.34924	50.73407	371.11639
48	12.65817	-61.44052	398.40674	-11.34390	50.71773	370.97818
49	12.63093	-61.34399	398.15851	-11.33842	50.70169	370.84201
50	12.60364	-61.24726	397.91068	-11.33282	50.68599	370.70789
51	12.57631	-61.15033	397.66342	-11.32710	50.67061	370.57596
52	12.54896	-61.05325	397.41681	-11.32126	50.65561	370.44629
53	12.52160	-60.95605	397.17093	-11.31531	50.64098	370.31888
54	12.49424	-60.85876	396.92587	-11.30927	50.62677	370.19391
55	12.46690	-60.76140	396.68176	-11.30313	50.61298	370.07135
56	12.43960	-60.66401	396.43866	-11.29690	50.59964	369.95135
57	12.41235	-60.56659	396.19669	-11.29059	50.58677	369.83389
58	12.38518	-60.46917	395.95587	-11.28420	50.57439	369.71912
59	12.35809	-60.37175	395.71637	-11.27775	50.56251	369.60699
60	12.33111	-60.27434	395.47818	-11.27123	50.55116	369.49756
61	12.30425	-60.17695	395.24149	-11.26465	50.54035	369.39087
62	12.27754	-60.07960	395.00626	-11.25801	50.53010	369.28705
63	12.25100	-59.98229	394.77267	-11.25133	50.52043	369.18600
64	12.22463	-59.88504	394.54077	-11.24461	50.51135	369.08792
65	12.19846	-59.78785	394.31061	-11.23784	50.50289	368.99277
66	12.17251	-59.69072	394.08231	-11.23105	50.49506	368.90051
67	12.14680	-59.59363	393.85590	-11.22423	50.48785	368.81131
68	12.12134	-59.49659	393.63153	-11.21738	50.48129	368.72510
69	12.09616	-59.39957	393.40915	-11.21051	50.47539	368.64197
70	12.07126	-59.30259	393.18887	-11.20362	50.47014	368.56183
71	12.04668	-59.20561	392.97076	-11.19672	50.46556	368.48480
72	12.02242	-59.10864	392.75491	-11.18981	50.46166	368.41095
73	11.99851	-59.01167	392.54135	-11.18290	50.45845	368.34021
74	11.97496	-58.91468	392.33017	-11.17599	50.45594	368.27264
75	11.95179	-58.81766	392.12143	-11.16908	50.45412	368.20822
76	11.92902	-58.72058	391.91519	-11.16218	50.45299	368.14706
77	11.90667	-58.62342	391.71146	-11.15529	50.45256	368.08905
78	11.88474	-58.52616	391.51035	-11.14843	50.45284	368.03424
79	11.86327	-58.42876	391.31189	-11.14159	50.45380	367.98267
80	11.84226	-58.33121	391.11612	-11.13478	50.45546	367.93430
81	11.82172	-58.23350	390.92316	-11.12800	50.45782	367.88916
82	11.80169	-58.13558	390.73300	-11.12126	50.46088	367.84726
83	11.78217	-58.03744	390.54575	-11.11456	50.46463	367.80859
84	11.76317	-57.93904	390.36136	-11.10791	50.46906	367.77319
85	11.74470	-57.84039	390.17996	-11.10130	50.47417	367.74100
86	11.72676	-57.74141	390.00153	-11.09474	50.47994	367.71201
87	11.70937	-57.64211	389.82614	-11.08821	50.48635	367.68619
88	11.69252	-57.54245	389.65381	-11.08173	50.49341	367.66357
89	11.67623	-57.44241	389.48459	-11.07529	50.50109	367.64407
90	11.66050	-57.34195	389.31845	-11.06890	50.50938	367.62772
91	11.64535	-57.24105	389.15552	-11.06254	50.51828	367.61447
92	11.63077	-57.13968	388.99576	-11.05623	50.52776	367.60437
93	11.61676	-57.03782	388.83923	-11.04996	50.53782	367.59729
94	11.60331	-56.93545	388.68597	-11.04374	50.54843	367.59326
95	11.59043	-56.83254	388.53592	-11.03756	50.55959	367.59232
96	11.57810	-56.72907	388.38919	-11.03143	50.57126	367.59436
97	11.56632	-56.62501	388.24573	-11.02535	50.58344	367.59937
98	11.55508	-56.52035	388.10553	-11.01933	50.59612	367.60736
99	11.54437	-56.41507	387.96875	-11.01335	50.60926	367.61826
100	11.53420	-56.30913	387.83527	-11.00744	50.62285	367.63208
101	11.52456	-56.20251	387.70514	-11.00158	50.63688	367.64880
102	11.51542	-56.09521	387.57843	-10.99579	50.65134	367.66837
103	11.50676	-55.98719	387.45505	-10.99006	50.66618	367.69080
104	11.49858	-55.87844	387.33502	-10.98440	50.68141	367.71603
105	11.49086	-55.76893	387.21838	-10.97881	50.69697	367.74408
106	11.48357	-55.65866	387.10513	-10.97330	50.71288	367.77484
107	11.47670	-55.54759	386.99515	-10.96788	50.72909	367.80844
108	11.47023	-55.43571	386.88861	-10.96254	50.74560	367.84470
109	11.46414	-55.32300	386.78540	-10.95730	50.76236	367.88364
110	11.45841	-55.20943	386.68555	-10.95215	50.77938	367.92529
111	11.45302	-55.09501	386.58899	-10.94709	50.79662	367.96954
112	11.44795	-54.97970	386.49573	-10.94214	50.81406	368.01648
113	11.44318	-54.86350	386.40573	-10.93730	50.83169	368.06598
114	11.43866	-54.74640	386.31894	-10.93258	50.84948	368.11801
115	11.43439	-54.62836	386.23529	-10.92797	50.86740	368.17261
116	11.43034	-54.50940	386.15482	-10.92348	50.88546	368.22968
117	11.42649	-54.38948	386.07739	-10.91912	50.90361	368.28925
118	11.42280	-54.26860	386.00305	-10.91489	50.92184	368.35129
119	11.41926	-54.14674	385.93170	-10.91080	50.94013	368.41574
120	11.41584	-54.02389	385.86334	-10.90685	50.95845	368.48254
121	11.41252	-53.90004	385.79785	-10.90305	50.97680	368.55179
122	11.40928	-53.77518	385.73514	-10.89942	50.99515	368.62338
123	11.40610	-53.64929	385.67526	-10.89595	51.01349	368.69733
124	11.40295	-53.52237	385.61798	-10.89267	51.03180	368.77359
125	11.39982	-53.39441	385.56335	-10.88957	51.05004	368.85220
126	11.39668	-53.26540	385.51123	-10.88667	51.06822	368.93307
127	11.39351	-53.13531	385.46161	-10.88397	51.08631	369.01624
128	11.39029	-53.00416	385.41437	-10.88148	51.10429	369.10165
129	11.38700	-52.87191	385.36945	-10.87922	51.12215	369.18933
130	11.38364	-52.73858	385.32669	-10.87720	51.13987	369.27927
131	11.38018	-52.60415	385.28604	-10.87542	51.15743	369.37146
132	11.37663	-52.46861	385.24741	-10.87391	51.17482	369.46585
133	11.37296	-52.33195	385.21063	-10.87267	51.19203	369.56250
134	11.36916	-52.19417	385.17560	-10.87171	51.20904	369.66135
135	11.36522	-52.05525	385.14224	-10.87105	51.22582	369.76242
136	11.36114	-51.91520	385.11047	-10.87069	51.24237	369.86572
137	11.35689	-51.77400	385.08017	-10.87066	51.25868	369.97122
138	11.35247	-51.63165	385.05118	-10.87095	51.27473	370.07892
139	11.34789	-51.48813	385.02338	-10.87160	51.29050	370.18881
140	11.34313	-51.34346	384.99658	-10.87260	51.30601	370.30087
141	11.33820	-51.19762	384.97076	-10.87397	51.32122	370.41513
142	11.33310	-51.05060	384.94577	-10.87574	51.33614	370.53159
143	11.32782	-50.90240	384.92139	-10.87790	51.35075	370.65024
144	11.32235	-50.75303	384.89758	-10.88047	51.36505	370.77100
145	11.31671	-50.60247	384.87418	-10.88346	51.37902	370.89395
146	11.31088	-50.45071	384.85101	-10.88690	51.39265	371.01904
147	11.30488	-50.29778	384.82800	-10.89079	51.40596	371.14633
148	11.29872	-50.14365	384.80505	-10.89514	51.41891	371.27576
149	11.29240	-49.98836	384.78198	-10.89997	51.43153	371.40735
150	11.28595	-49.83191	384.75870	-10.90529	51.44379	371.54105
151	11.27936	-49.67430	384.73514	-10.91112	51.45571	371.67691
152	11.27266	-49.51553	384.71109	-10.91746	51.46727	371.81497
153	11.26585	-49.35562	384.68646	-10.92433	51.47848	371.95514
154	11.25895	-49.19457	384.66113	-10.93175	51.48932	372.09747
155	11.25196	-49.03239	384.63504	-10.93972	51.49980	372.24194
156	11.24491	-48.86912	384.60800	-10.94825	51.50992	372.38858
157	11.23782	-48.70478	384.58005	-10.95736	51.51968	372.53732
158	11.23072	-48.53940	384.55096	-10.96705	51.52909	372.68829
159	11.22362	-48.37302	384.52072	-10.97733	51.53815	372.84137
160	11.21655	-48.20568	384.48926	-10.98821	51.54686	372.99664
161	11.20954	-48.03738	384.45642	-10.99969	51.55522	373.15405
162	11.20259	-47.86819	384.42212	-11.01179	51.56324	373.31363
163	11.19574	-47.69812	384.38635	-11.02451	51.57093	373.47540
164	11.18901	-47.52721	384.34894	-11.03787	51.57829	373.63934
165	11.18242	-47.35551	384.30991	-11.05185	51.58532	373.80542
166	11.17599	-47.18306	384.26910	-11.06647	51.59205	373.97372
167	11.16974	-47.00992	384.22653	-11.08173	51.59848	374.14413
168	11.16368	-46.83614	384.18210	-11.09763	51.60464	374.31671
169	11.15783	-46.66177	384.13580	-11.11418	51.61055	374.49142
170	11.15223	-46.48685	384.08752	-11.13136	51.61619	374.66833
171	11.14687	-46.31144	384.03732	-11.14919	51.62160	374.84729
172	11.14179	-46.13560	383.98499	-11.16767	51.62680	375.02844
173	11.13701	-45.95936	383.93057	-11.18680	51.63178	375.21170
174	11.13252	-45.78278	383.87396	-11.20658	51.63659	375.39709
175	11.12834	-45.60589	383.81519	-11.22700	51.64122	375.58456
176	11.12449	-45.42877	383.75412	-11.24807	51.64571	375.77414
177	11.12096	-45.25144	383.69083	-11.26977	51.65007	375.96579
178	11.11776	-45.07396	383.62518	-11.29211	51.65432	376.15955
179	11.11491	-44.89637	383.55716	-11.31509	51.65849	376.35532
180	11.11242	-44.71873	383.48672	-11.33870	51.66259	376.55319
181	11.11028	-44.54108	383.41385	-11.36294	51.66663	376.75308
182	11.10852	-44.36346	383.33847	-11.38781	51.67065	376.95502
183	11.10711	-44.18593	383.26059	-11.41329	51.67467	377.15894
184	11.10608	-44.00853	383.18015	-11.43937	51.67871	377.36493
185	11.10540	-43.83131	383.09714	-11.46605	51.68279	377.57285
186	11.10508	-43.65432	383.01151	-11.49331	51.68695	377.78278
187	11.10512	-43.47761	382.92331	-11.52114	51.69120	377.99466
188	11.10551	-43.30121	382.83249	-11.54953	51.69556	378.20847
189	11.10625	-43.12519	382.73892	-11.57846	51.70007	378.42419
190	11.10734	-42.94958	382.64270	-11.60793	51.70475	378.64185
191	11.10877	-42.77444	382.54376	-11.63792	51.70961	378.86136
192	11.11053	-42.59981	382.44214	-11.66842	51.71470	379.08279
193	11.11263	-42.42575	382.33783	-11.69940	51.72002	379.30606
194	11.11505	-42.25231	382.23090	-11.73085	51.72559	379.53110
195	11.11778	-42.07955	382.12131	-11.76274	51.73146	379.75793
196	11.12082	-41.90750	382.00916	-11.79506	51.73762	379.98654
197	11.12416	-41.73623	381.89438	-11.82780	51.74411	380.21689
198	11.12780	-41.56578	381.77707	-11.86092	51.75096	380.44897
199	11.13172	-41.39621	381.65723	-11.89441	51.75817	380.68268
200	11.13593	-41.22758	381.53488	-11.92825	51.76578	380.91806
201	11.14040	-41.05992	381.41006	-11.96243	51.77380	381.15509
202	11.14513	-40.89330	381.28287	-11.99691	51.78224	381.39365
203	11.15012	-40.72777	381.15332	-12.03169	51.79112	381.63382
204	11.15533	-40.56338	381.02151	-12.06673	51.80046	381.87552
205	11.16078	-40.40019	380.88745	-12.10202	51.81025	382.11871
206	11.16644	-40.23824	380.75128	-12.13754	51.82053	382.36340
207	11.17231	-40.07760	380.61292	-12.17325	51.83130	382.60953
208	11.17838	-39.91831	380.47256	-12.20916	51.84258	382.85709
209	11.18463	-39.76043	380.33020	-12.24523	51.85439	383.10602
210	11.19106	-39.60400	380.18594	-12.28144	51.86671	383.35632
211	11.19764	-39.44909	380.03986	-12.31778	51.87957	383.60791
212	11.20438	-39.29572	379.89209	-12.35423	51.89298	383.86078
213	11.21125	-39.14397	379.74268	-12.39077	51.90691	384.11490
214	11.21825	-38.99386	379.59174	-12.42739	51.92141	384.37018
