	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	0.13451	0.01979	0.01188	0.05522	0.47369	0.00366
2	0.13428	0.01985	0.01179	0.05496	0.47388	0.00379
3	0.13430	0.01983	0.01159	0.05511	0.47398	0.00387
4	0.13455	0.01973	0.01145	0.05568	0.47386	0.00391
5	0.13482	0.01959	0.01152	0.05646	0.47355	0.00388
6	0.13497	0.01940	0.01182	0.05701	0.47321	0.00380
7	0.13499	0.01921	0.01222	0.05702	0.47306	0.00372
8	0.13497	0.01912	0.01241	0.05651	0.47314	0.00374
9	0.13495	0.01916	0.01226	0.05585	0.47335	0.00386
10	0.13493	0.01924	0.01197	0.05551	0.47355	0.00403
11	0.13486	0.01928	0.01184	0.05564	0.47365	0.00416
12	0.13475	0.01928	0.01191	0.05593	0.47360	0.00426
13	0.13464	0.01932	0.01202	0.05605	0.47343	0.00440
14	0.13455	0.01946	0.01210	0.05597	0.47326	0.00460
15	0.13445	0.01968	0.01222	0.05586	0.47321	0.00479
16	0.13436	0.01993	0.01243	0.05583	0.47334	0.00486
17	0.13435	0.02011	0.01261	0.05591	0.47352	0.00480
18	0.13444	0.02013	0.01268	0.05609	0.47358	0.00470
19	0.13452	0.01999	0.01267	0.05641	0.47346	0.00466
20	0.13452	0.01977	0.01271	0.05679	0.47321	0.00467
21	0.13448	0.01958	0.01281	0.05706	0.47299	0.00468
22	0.13447	0.01953	0.01282	0.05714	0.47292	0.00466
23	0.13452	0.01967	0.01264	0.05718	0.47304	0.00462
24	0.13465	0.01991	0.01243	0.05719	0.47325	0.00463
25	0.13482	0.02006	0.01236	0.05703	0.47344	0.00475
26	0.13501	0.02001	0.01243	0.05678	0.47354	0.00488
27	0.13511	0.01986	0.01248	0.05674	0.47346	0.00493
28	0.13504	0.01979	0.01247	0.05694	0.47323	0.00494
29	0.13487	0.01987	0.01249	0.05710	0.47295	0.00500
30	0.13471	0.02004	0.01257	0.05711	0.47275	0.00509
31	0.13464	0.02020	0.01262	0.05706	0.47271	0.00512
