	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d
	Head_AngMom_wrt_LAB	Head_AngMom_wrt_LAB	Head_AngMom_wrt_LAB	Head_Shadow_AngMom_wrt_LAB	Head_Shadow_AngMom_wrt_LAB	Head_Shadow_AngMom_wrt_LAB	Trunk_AngMom_wrt_LAB	Trunk_AngMom_wrt_LAB	Trunk_AngMom_wrt_LAB	R_UA_AngMom_wrt_LAB	R_UA_AngMom_wrt_LAB	R_UA_AngMom_wrt_LAB	R_FA_AngMom_wrt_LAB	R_FA_AngMom_wrt_LAB	R_FA_AngMom_wrt_LAB	R_Hand_AngMom_wrt_LAB	R_Hand_AngMom_wrt_LAB	R_Hand_AngMom_wrt_LAB	L_UA_AngMom_wrt_LAB	L_UA_AngMom_wrt_LAB	L_UA_AngMom_wrt_LAB	L_FA_AngMom_wrt_LAB	L_FA_AngMom_wrt_LAB	L_FA_AngMom_wrt_LAB	L_Hand_AngMom_wrt_LAB	L_Hand_AngMom_wrt_LAB	L_Hand_AngMom_wrt_LAB	Pelvis_AngMom_wrt_LAB	Pelvis_AngMom_wrt_LAB	Pelvis_AngMom_wrt_LAB	R_Thigh_AngMom_wrt_LAB	R_Thigh_AngMom_wrt_LAB	R_Thigh_AngMom_wrt_LAB	R_Shank_AngMom_wrt_LAB	R_Shank_AngMom_wrt_LAB	R_Shank_AngMom_wrt_LAB	R_Foot_AngMom_wrt_LAB	R_Foot_AngMom_wrt_LAB	R_Foot_AngMom_wrt_LAB	R_Foot_Shadow_AngMom_wrt_LAB	R_Foot_Shadow_AngMom_wrt_LAB	R_Foot_Shadow_AngMom_wrt_LAB	R_Toes_AngMom_wrt_LAB	R_Toes_AngMom_wrt_LAB	R_Toes_AngMom_wrt_LAB	L_Thigh_AngMom_wrt_LAB	L_Thigh_AngMom_wrt_LAB	L_Thigh_AngMom_wrt_LAB	L_Shank_AngMom_wrt_LAB	L_Shank_AngMom_wrt_LAB	L_Shank_AngMom_wrt_LAB	L_Foot_AngMom_wrt_LAB	L_Foot_AngMom_wrt_LAB	L_Foot_AngMom_wrt_LAB	L_Foot_Shadow_AngMom_wrt_LAB	L_Foot_Shadow_AngMom_wrt_LAB	L_Foot_Shadow_AngMom_wrt_LAB	L_Toes_AngMom_wrt_LAB	L_Toes_AngMom_wrt_LAB	L_Toes_AngMom_wrt_LAB	FullBody_AngMom	FullBody_AngMom	FullBody_AngMom
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1																																																															
2	0.00002	-0.00001	0.00006	0.00099	-0.00099	0.00390	0.01363	-0.04644	0.01717	-0.00359	0.00124	-0.00038	-0.00290	0.00138	0.00187	0.00028	0.00101	0.00154	-0.00405	-0.00133	-0.00170	-0.00197	0.00141	0.00156	0.00092	-0.00131	0.00012	0.00345	0.00145	0.00218	-0.00473	-0.00381	0.01627	0.00037	0.00379	0.00063	-0.00034	-0.00081	-0.00051	-0.00034	-0.00081	-0.00051	-0.00001	-0.00000	-0.00000	-0.01743	-0.00228	-0.01000	0.00130	-0.00021	-0.00092	0.00028	-0.00005	0.00031	0.00028	-0.00005	0.00031	-0.00001	0.00000	0.00000			
3	-0.00002	-0.00006	0.00007	-0.00123	-0.00308	0.00434	0.03054	-0.03346	0.06351	-0.00372	-0.00031	-0.00199	-0.00250	0.00128	0.00254	-0.00026	0.00113	0.00148	-0.00100	-0.00202	-0.00129	-0.00223	-0.00062	-0.00046	0.00006	-0.00030	-0.00096	-0.00015	0.00007	0.00223	-0.00499	0.00320	0.02130	0.00210	0.00444	0.00091	0.00012	-0.00185	-0.00089	0.00012	-0.00185	-0.00089	-0.00001	0.00000	-0.00000	-0.00210	0.00120	-0.01928	0.00120	0.00297	-0.00238	-0.00014	-0.00034	0.00073	-0.00014	-0.00034	0.00073	-0.00001	-0.00000	0.00000	0.04567	-0.45357	0.19567
4	-0.00005	-0.00005	0.00000	-0.00275	-0.00229	0.00023	0.04895	-0.02046	0.06945	-0.00291	-0.00035	-0.00317	-0.00058	0.00146	0.00152	-0.00106	0.00016	0.00087	0.00163	-0.00182	-0.00004	-0.00128	-0.00219	-0.00124	-0.00084	0.00096	-0.00110	-0.00019	-0.00264	0.00309	-0.00506	0.01851	0.00274	0.00181	0.00111	0.00016	0.00007	-0.00112	-0.00074	0.00007	-0.00112	-0.00074	-0.00001	-0.00000	-0.00000	0.00335	-0.00628	-0.01273	0.00206	0.00538	-0.00146	-0.00132	-0.00004	0.00067	-0.00132	-0.00004	0.00067	-0.00000	-0.00001	0.00000	0.07309	-0.33974	0.10086
5	-0.00002	0.00002	-0.00007	-0.00107	0.00147	-0.00462	0.04473	-0.03051	0.03537	-0.00187	0.00104	-0.00286	0.00101	0.00160	-0.00039	-0.00138	-0.00108	0.00022	0.00212	-0.00050	0.00065	0.00006	-0.00145	-0.00053	-0.00086	0.00120	-0.00031	0.00091	-0.00410	0.00268	-0.00185	0.03418	-0.01294	-0.00057	-0.00399	0.00079	-0.00001	0.00011	-0.00011	-0.00001	0.00011	-0.00011	0.00000	-0.00001	-0.00000	-0.00419	-0.01114	-0.00612	0.00267	0.00526	-0.00044	-0.00145	0.00014	0.00076	-0.00145	0.00014	0.00076	0.00001	-0.00001	0.00000	0.12094	-0.13295	-0.05045
6	0.00006	0.00008	-0.00008	0.00352	0.00430	-0.00531	0.02217	-0.05249	-0.00348	-0.00162	0.00221	-0.00132	0.00094	0.00099	-0.00168	-0.00092	-0.00137	-0.00025	0.00023	0.00063	0.00011	0.00047	0.00070	0.00059	-0.00020	0.00038	0.00048	-0.00028	-0.00371	0.00126	0.00150	0.03895	-0.00624	-0.00261	-0.00661	0.00309	0.00013	0.00055	0.00034	0.00013	0.00055	0.00034	0.00000	0.00000	0.00000	-0.01258	-0.00782	-0.01221	0.00208	0.00367	-0.00114	-0.00022	-0.00025	0.00092	-0.00022	-0.00025	0.00092	-0.00000	-0.00000	0.00000	0.17300	0.05516	-0.14832
