	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	0.00000	0.00000	-2.55683	0.00000	0.00000	-0.04870
2	0.00000	0.00000	-2.55407	0.00000	0.00000	-0.04358
3	0.00000	0.00000	-2.55130	0.00000	0.00000	-0.03846
4	0.00000	0.00000	-2.54852	0.00000	0.00000	-0.03335
5	0.00000	0.00000	-2.54571	0.00000	0.00000	-0.02825
6	0.00000	0.00000	-2.54287	0.00000	0.00000	-0.02317
7	0.00000	0.00000	-2.53999	0.00000	0.00000	-0.01810
8	0.00000	0.00000	-2.53707	0.00000	0.00000	-0.01304
9	0.00000	0.00000	-2.53409	0.00000	0.00000	-0.00801
10	0.00000	0.00000	-2.53104	0.00000	0.00000	-0.00300
11	0.00000	0.00000	-2.52793	0.00000	0.00000	0.00199
12	0.00000	0.00000	-2.52475	0.00000	0.00000	0.00694
13	0.00000	0.00000	-2.52151	0.00000	0.00000	0.01187
14	0.00000	0.00000	-2.51820	0.00000	0.00000	0.01676
15	0.00000	0.00000	-2.51484	0.00000	0.00000	0.02161
16	0.00000	0.00000	-2.51143	0.00000	0.00000	0.02643
17	0.00000	0.00000	-2.50796	0.00000	0.00000	0.03121
18	0.00000	0.00000	-2.50445	0.00000	0.00000	0.03594
19	0.00000	0.00000	-2.50090	0.00000	0.00000	0.04063
20	0.00000	0.00000	-2.49731	0.00000	0.00000	0.04526
21	0.00000	0.00000	-2.49368	0.00000	0.00000	0.04986
22	0.00000	0.00000	-2.49002	0.00000	0.00000	0.05440
23	0.00000	0.00000	-2.48633	0.00000	0.00000	0.05889
24	0.00000	0.00000	-2.48261	0.00000	0.00000	0.06334
25	0.00000	0.00000	-2.47885	0.00000	0.00000	0.06773
26	0.00000	0.00000	-2.47508	0.00000	0.00000	0.07208
27	0.00000	0.00000	-2.47128	0.00000	0.00000	0.07637
28	0.00000	0.00000	-2.46746	0.00000	0.00000	0.08062
29	0.00000	0.00000	-2.46362	0.00000	0.00000	0.08482
30	0.00000	0.00000	-2.45976	0.00000	0.00000	0.08896
