	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	13.08611	-54.04608	567.87860	-20.31185	45.36252	315.68356
2	13.06651	-54.03526	567.80267	-20.30802	45.32878	315.69492
3	13.04687	-54.02435	567.72620	-20.30408	45.29504	315.70612
4	13.02715	-54.01327	567.64880	-20.29987	45.26130	315.71710
5	13.00730	-54.00193	567.56982	-20.29529	45.22756	315.72766
6	12.98728	-53.99023	567.48889	-20.29020	45.19380	315.73776
7	12.96706	-53.97811	567.40540	-20.28447	45.16005	315.74725
8	12.94658	-53.96547	567.31891	-20.27799	45.12629	315.75598
9	12.92581	-53.95221	567.22888	-20.27061	45.09252	315.76385
10	12.90471	-53.93826	567.13489	-20.26222	45.05873	315.77075
11	12.88324	-53.92354	567.03644	-20.25271	45.02495	315.77652
12	12.86142	-53.90804	566.93353	-20.24207	44.99118	315.78122
13	12.83928	-53.89178	566.82629	-20.23030	44.95747	315.78470
14	12.81684	-53.87474	566.71466	-20.21742	44.92384	315.78705
15	12.79413	-53.85695	566.59882	-20.20343	44.89034	315.78818
16	12.77117	-53.83840	566.47876	-20.18835	44.85697	315.78812
17	12.74800	-53.81910	566.35455	-20.17218	44.82378	315.78683
18	12.72463	-53.79905	566.22626	-20.15493	44.79081	315.78427
19	12.70110	-53.77827	566.09399	-20.13662	44.75808	315.78046
20	12.67743	-53.75674	565.95776	-20.11724	44.72562	315.77533
21	12.65363	-53.73446	565.81750	-20.09679	44.69345	315.76892
22	12.62971	-53.71141	565.67316	-20.07524	44.66160	315.76105
23	12.60570	-53.68758	565.52472	-20.05258	44.63007	315.75180
24	12.58159	-53.66294	565.37201	-20.02880	44.59889	315.74103
25	12.55741	-53.63747	565.21503	-20.00386	44.56806	315.72873
26	12.53317	-53.61117	565.05365	-19.97777	44.53761	315.71490
27	12.50887	-53.58400	564.88794	-19.95049	44.50757	315.69937
28	12.48454	-53.55596	564.71765	-19.92202	44.47793	315.68219
29	12.46018	-53.52702	564.54285	-19.89233	44.44873	315.66327
30	12.43581	-53.49718	564.36346	-19.86144	44.41996	315.64261
31	12.41146	-53.46644	564.17950	-19.82936	44.39165	315.62015
32	12.38714	-53.43479	563.99103	-19.79608	44.36381	315.59583
33	12.36288	-53.40221	563.79803	-19.76163	44.33644	315.56970
34	12.33870	-53.36871	563.60046	-19.72602	44.30956	315.54163
35	12.31461	-53.33429	563.39825	-19.68925	44.28316	315.51172
36	12.29063	-53.29893	563.19165	-19.65133	44.25729	315.47980
37	12.26680	-53.26263	562.98041	-19.61227	44.23193	315.44592
38	12.24312	-53.22539	562.76471	-19.57209	44.20710	315.41003
39	12.21961	-53.18719	562.54437	-19.53079	44.18282	315.37213
40	12.19629	-53.14804	562.31964	-19.48840	44.15907	315.33215
41	12.17319	-53.10794	562.09045	-19.44493	44.13587	315.29010
42	12.15030	-53.06688	561.85669	-19.40038	44.11321	315.24600
43	12.12766	-53.02486	561.61847	-19.35478	44.09113	315.19977
44	12.10528	-52.98188	561.37592	-19.30814	44.06960	315.15143
45	12.08318	-52.93793	561.12885	-19.26048	44.04864	315.10095
46	12.06137	-52.89302	560.87738	-19.21181	44.02825	315.04831
47	12.03987	-52.84713	560.62158	-19.16214	44.00845	314.99350
48	12.01869	-52.80028	560.36133	-19.11150	43.98922	314.93649
49	11.99787	-52.75246	560.09680	-19.05990	43.97059	314.87732
50	11.97740	-52.70369	559.82800	-19.00738	43.95254	314.81604
51	11.95731	-52.65398	559.55499	-18.95394	43.93510	314.75250
52	11.93762	-52.60332	559.27771	-18.89962	43.91825	314.68677
53	11.91835	-52.55174	558.99628	-18.84443	43.90202	314.61893
54	11.89950	-52.49921	558.71075	-18.78839	43.88639	314.54883
55	11.88110	-52.44578	558.42108	-18.73153	43.87138	314.47662
56	11.86317	-52.39142	558.12738	-18.67387	43.85698	314.40219
57	11.84571	-52.33617	557.82971	-18.61543	43.84320	314.32565
58	11.82877	-52.28002	557.52808	-18.55625	43.83006	314.24698
59	11.81234	-52.22300	557.22272	-18.49635	43.81753	314.16614
60	11.79646	-52.16512	556.91345	-18.43575	43.80564	314.08328
61	11.78113	-52.10638	556.60046	-18.37449	43.79437	313.99835
62	11.76638	-52.04682	556.28387	-18.31259	43.78373	313.91135
63	11.75223	-51.98642	555.96368	-18.25008	43.77374	313.82233
64	11.73869	-51.92523	555.63995	-18.18699	43.76437	313.73135
65	11.72579	-51.86324	555.31274	-18.12334	43.75564	313.63840
66	11.71354	-51.80047	554.98224	-18.05917	43.74756	313.54352
67	11.70195	-51.73693	554.64838	-17.99451	43.74012	313.44675
68	11.69105	-51.67265	554.31134	-17.92940	43.73333	313.34814
69	11.68083	-51.60763	553.97107	-17.86385	43.72719	313.24768
70	11.67132	-51.54190	553.62781	-17.79791	43.72170	313.14548
71	11.66254	-51.47546	553.28143	-17.73159	43.71687	313.04153
72	11.65449	-51.40833	552.93207	-17.66495	43.71269	312.93588
73	11.64719	-51.34053	552.57996	-17.59801	43.70918	312.82855
74	11.64066	-51.27207	552.22498	-17.53080	43.70633	312.71960
75	11.63489	-51.20298	551.86731	-17.46334	43.70415	312.60910
76	11.62991	-51.13325	551.50696	-17.39568	43.70264	312.49704
77	11.62571	-51.06292	551.14404	-17.32783	43.70181	312.38351
78	11.62229	-50.99200	550.77869	-17.25983	43.70166	312.26852
79	11.61967	-50.92051	550.41089	-17.19171	43.70219	312.15216
80	11.61785	-50.84846	550.04077	-17.12349	43.70342	312.03442
81	11.61683	-50.77588	549.66846	-17.05521	43.70533	311.91544
82	11.61662	-50.70277	549.29395	-16.98690	43.70794	311.79514
83	11.61723	-50.62916	548.91736	-16.91858	43.71126	311.67368
84	11.61865	-50.55506	548.53882	-16.85027	43.71527	311.55099
85	11.62087	-50.48050	548.15833	-16.78200	43.71999	311.42731
86	11.62389	-50.40550	547.77606	-16.71379	43.72543	311.30252
87	11.62772	-50.33008	547.39209	-16.64566	43.73157	311.17676
88	11.63233	-50.25426	547.00653	-16.57763	43.73842	311.05005
89	11.63772	-50.17806	546.61945	-16.50973	43.74600	310.92245
90	11.64390	-50.10150	546.23090	-16.44196	43.75429	310.79404
91	11.65085	-50.02460	545.84100	-16.37436	43.76331	310.66486
92	11.65857	-49.94739	545.44983	-16.30694	43.77305	310.53497
93	11.66705	-49.86988	545.05762	-16.23972	43.78352	310.40436
94	11.67628	-49.79211	544.66418	-16.17271	43.79473	310.27316
95	11.68625	-49.71408	544.26984	-16.10592	43.80667	310.14145
96	11.69696	-49.63581	543.87463	-16.03936	43.81936	310.00925
97	11.70839	-49.55734	543.47858	-15.97305	43.83278	309.87659
98	11.72054	-49.47868	543.08179	-15.90699	43.84696	309.74353
99	11.73339	-49.39985	542.68445	-15.84120	43.86189	309.61020
100	11.74694	-49.32087	542.28656	-15.77569	43.87757	309.47656
101	11.76118	-49.24178	541.88824	-15.71047	43.89402	309.34274
102	11.77609	-49.16257	541.48950	-15.64555	43.91124	309.20877
103	11.79167	-49.08329	541.09064	-15.58095	43.92922	309.07474
104	11.80790	-49.00394	540.69159	-15.51668	43.94797	308.94064
105	11.82476	-48.92456	540.29242	-15.45275	43.96751	308.80667
106	11.84226	-48.84515	539.89343	-15.38918	43.98782	308.67273
107	11.86037	-48.76576	539.49457	-15.32598	44.00893	308.53903
108	11.87909	-48.68639	539.09595	-15.26315	44.03083	308.40552
109	11.89840	-48.60707	538.69769	-15.20072	44.05352	308.27234
110	11.91829	-48.52782	538.29987	-15.13870	44.07702	308.13950
111	11.93874	-48.44866	537.90271	-15.07709	44.10131	308.00711
112	11.95974	-48.36960	537.50610	-15.01590	44.12641	307.87518
113	11.98128	-48.29069	537.11029	-14.95515	44.15231	307.74380
114	12.00333	-48.21193	536.71545	-14.89484	44.17900	307.61304
115	12.02588	-48.13334	536.32147	-14.83497	44.20650	307.48291
116	12.04892	-48.05496	535.92859	-14.77557	44.23479	307.35352
117	12.07242	-47.97680	535.53699	-14.71663	44.26388	307.22488
118	12.09638	-47.89887	535.14655	-14.65818	44.29377	307.09711
119	12.12077	-47.82122	534.75757	-14.60020	44.32446	306.97021
120	12.14558	-47.74384	534.37000	-14.54272	44.35594	306.84424
121	12.17079	-47.66678	533.98407	-14.48573	44.38820	306.71930
122	12.19638	-47.59005	533.59979	-14.42924	44.42125	306.59534
123	12.22233	-47.51367	533.21729	-14.37326	44.45508	306.47247
124	12.24862	-47.43767	532.83667	-14.31780	44.48967	306.35071
125	12.27524	-47.36206	532.45807	-14.26285	44.52503	306.23010
126	12.30217	-47.28687	532.08148	-14.20842	44.56115	306.11066
127	12.32938	-47.21213	531.70709	-14.15453	44.59802	305.99252
128	12.35686	-47.13784	531.33502	-14.10117	44.63564	305.87561
129	12.38460	-47.06405	530.96521	-14.04834	44.67400	305.76007
130	12.41257	-46.99076	530.59784	-13.99606	44.71308	305.64584
131	12.44075	-46.91800	530.23322	-13.94431	44.75287	305.53299
132	12.46914	-46.84578	529.87103	-13.89311	44.79338	305.42148
133	12.49770	-46.77414	529.51166	-13.84244	44.83456	305.31149
134	12.52644	-46.70309	529.15521	-13.79233	44.87643	305.20288
135	12.55531	-46.63266	528.80164	-13.74276	44.91897	305.09583
136	12.58432	-46.56287	528.45105	-13.69374	44.96216	304.99023
137	12.61343	-46.49372	528.10364	-13.64527	45.00600	304.88620
138	12.64264	-46.42526	527.75940	-13.59735	45.05046	304.78372
139	12.67192	-46.35748	527.41846	-13.54998	45.09553	304.68277
140	12.70126	-46.29041	527.08081	-13.50315	45.14117	304.58340
141	12.73063	-46.22405	526.74664	-13.45687	45.18739	304.48566
142	12.76001	-46.15843	526.41602	-13.41113	45.23415	304.38947
143	12.78939	-46.09356	526.08881	-13.36594	45.28144	304.29489
144	12.81875	-46.02945	525.76538	-13.32129	45.32923	304.20190
145	12.84806	-45.96612	525.44562	-13.27718	45.37751	304.11060
146	12.87731	-45.90359	525.12964	-13.23361	45.42625	304.02087
147	12.90648	-45.84186	524.81750	-13.19059	45.47544	303.93286
148	12.93555	-45.78093	524.50928	-13.14810	45.52503	303.84641
149	12.96452	-45.72083	524.20496	-13.10615	45.57501	303.76169
150	12.99335	-45.66154	523.90454	-13.06474	45.62535	303.67853
151	13.02204	-45.60309	523.60822	-13.02387	45.67603	303.59705
152	13.05056	-45.54547	523.31592	-12.98354	45.72701	303.51724
153	13.07890	-45.48869	523.02777	-12.94375	45.77827	303.43915
154	13.10705	-45.43277	522.74377	-12.90450	45.82979	303.36264
155	13.13498	-45.37770	522.46399	-12.86578	45.88153	303.28784
156	13.16268	-45.32349	522.18842	-12.82761	45.93348	303.21466
157	13.19014	-45.27014	521.91711	-12.78997	45.98558	303.14319
158	13.21733	-45.21765	521.65009	-12.75286	46.03782	303.07339
159	13.24425	-45.16602	521.38739	-12.71628	46.09016	303.00522
160	13.27087	-45.11526	521.12909	-12.68024	46.14258	302.93872
161	13.29718	-45.06536	520.87518	-12.64472	46.19505	302.87393
162	13.32317	-45.01633	520.62567	-12.60972	46.24752	302.81073
163	13.34882	-44.96817	520.38062	-12.57524	46.29998	302.74924
164	13.37412	-44.92088	520.14008	-12.54129	46.35238	302.68939
165	13.39904	-44.87445	519.90399	-12.50785	46.40471	302.63120
166	13.42358	-44.82891	519.67242	-12.47493	46.45692	302.57465
167	13.44773	-44.78424	519.44543	-12.44253	46.50898	302.51978
168	13.47148	-44.74043	519.22302	-12.41063	46.56087	302.46655
169	13.49480	-44.69750	519.00513	-12.37924	46.61255	302.41495
170	13.51770	-44.65545	518.79181	-12.34836	46.66398	302.36502
171	13.54015	-44.61428	518.58307	-12.31798	46.71514	302.31671
172	13.56215	-44.57398	518.37897	-12.28811	46.76600	302.27002
173	13.58368	-44.53456	518.17944	-12.25873	46.81651	302.22498
174	13.60473	-44.49602	517.98462	-12.22986	46.86666	302.18158
175	13.62531	-44.45838	517.79437	-12.20149	46.91641	302.13980
176	13.64541	-44.42163	517.60889	-12.17364	46.96573	302.09970
177	13.66502	-44.38578	517.42804	-12.14629	47.01460	302.06128
178	13.68413	-44.35084	517.25195	-12.11947	47.06297	302.02448
179	13.70275	-44.31681	517.08057	-12.09316	47.11083	301.98935
180	13.72086	-44.28369	516.91394	-12.06738	47.15813	301.95593
181	13.73847	-44.25150	516.75214	-12.04213	47.20486	301.92416
182	13.75556	-44.22024	516.59509	-12.01741	47.25098	301.89407
183	13.77214	-44.18992	516.44287	-11.99322	47.29647	301.86569
184	13.78819	-44.16055	516.29547	-11.96958	47.34130	301.83908
185	13.80373	-44.13214	516.15302	-11.94649	47.38543	301.81415
186	13.81875	-44.10468	516.01538	-11.92396	47.42885	301.79095
187	13.83324	-44.07822	515.88269	-11.90198	47.47152	301.76953
188	13.84720	-44.05274	515.75488	-11.88057	47.51343	301.74994
189	13.86063	-44.02826	515.63202	-11.85974	47.55454	301.73209
190	13.87353	-44.00478	515.51422	-11.83949	47.59482	301.71603
191	13.88590	-43.98233	515.40137	-11.81981	47.63426	301.70184
192	13.89773	-43.96090	515.29358	-11.80073	47.67283	301.68942
193	13.90902	-43.94050	515.19073	-11.78222	47.71053	301.67886
194	13.91977	-43.92115	515.09296	-11.76430	47.74733	301.67010
195	13.92999	-43.90285	515.00018	-11.74696	47.78324	301.66327
196	13.93966	-43.88560	514.91241	-11.73020	47.81822	301.65820
197	13.94880	-43.86944	514.82971	-11.71401	47.85228	301.65497
198	13.95738	-43.85434	514.75201	-11.69840	47.88540	301.65359
199	13.96543	-43.84032	514.67944	-11.68337	47.91756	301.65408
200	13.97293	-43.82740	514.61182	-11.66890	47.94876	301.65643
201	13.97989	-43.81558	514.54932	-11.65501	47.97899	301.66058
202	13.98631	-43.80485	514.49182	-11.64168	48.00825	301.66660
203	13.99220	-43.79522	514.43939	-11.62892	48.03653	301.67441
204	13.99755	-43.78670	514.39191	-11.61672	48.06383	301.68405
205	14.00238	-43.77929	514.34955	-11.60507	48.09016	301.69550
206	14.00669	-43.77297	514.31213	-11.59397	48.11551	301.70874
207	14.01049	-43.76777	514.27979	-11.58343	48.13987	301.72375
208	14.01376	-43.76369	514.25244	-11.57342	48.16325	301.74051
209	14.01653	-43.76072	514.23010	-11.56396	48.18564	301.75906
210	14.01880	-43.75886	514.21271	-11.55504	48.20705	301.77933
211	14.02057	-43.75812	514.20032	-11.54665	48.22749	301.80133
212	14.02186	-43.75849	514.19293	-11.53879	48.24695	301.82504
213	14.02266	-43.75998	514.19043	-11.53145	48.26546	301.85049
214	14.02300	-43.76258	514.19293	-11.52463	48.28300	301.87756
