	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	0.11777	0.08509	0.01031	0.02864	0.51651	0.00158
2	0.11779	0.08502	0.01038	0.02878	0.51650	0.00153
3	0.11793	0.08501	0.01020	0.02905	0.51637	0.00136
4	0.11805	0.08505	0.00997	0.02923	0.51620	0.00130
5	0.11808	0.08507	0.00988	0.02923	0.51611	0.00142
6	0.11808	0.08509	0.00998	0.02924	0.51613	0.00155
7	0.11807	0.08515	0.01021	0.02936	0.51624	0.00155
8	0.11801	0.08527	0.01049	0.02943	0.51633	0.00142
9	0.11794	0.08536	0.01072	0.02943	0.51624	0.00126
10	0.11790	0.08537	0.01083	0.02949	0.51594	0.00122
11	0.11789	0.08536	0.01077	0.02962	0.51559	0.00135
12	0.11788	0.08535	0.01055	0.02969	0.51546	0.00151
13	0.11794	0.08530	0.01026	0.02961	0.51561	0.00150
14	0.11809	0.08523	0.01004	0.02947	0.51586	0.00133
15	0.11818	0.08522	0.01001	0.02934	0.51601	0.00121
16	0.11807	0.08528	0.01014	0.02921	0.51602	0.00129
17	0.11786	0.08525	0.01025	0.02903	0.51603	0.00145
18	0.11774	0.08505	0.01021	0.02889	0.51610	0.00151
19	0.11780	0.08485	0.01001	0.02895	0.51610	0.00145
20	0.11790	0.08482	0.00977	0.02926	0.51598	0.00132
21	0.11790	0.08493	0.00961	0.02953	0.51586	0.00119
22	0.11781	0.08501	0.00960	0.02939	0.51587	0.00108
23	0.11770	0.08498	0.00973	0.02887	0.51600	0.00106
24	0.11763	0.08489	0.00988	0.02836	0.51610	0.00121
25	0.11763	0.08480	0.00995	0.02817	0.51609	0.00145
26	0.11771	0.08476	0.00984	0.02822	0.51604	0.00157
27	0.11787	0.08473	0.00959	0.02822	0.51609	0.00148
28	0.11797	0.08466	0.00941	0.02811	0.51623	0.00130
29	0.11795	0.08457	0.00942	0.02807	0.51639	0.00116
30	0.11795	0.08450	0.00953	0.02822	0.51651	0.00104
31	0.11808	0.08447	0.00958	0.02850	0.51656	0.00091
