	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FInishedUpperN4.c3d
	R_KNEE_MOMENT	R_KNEE_MOMENT	R_KNEE_MOMENT	L_KNEE_MOMENT	L_KNEE_MOMENT	L_KNEE_MOMENT	R_HIP_MOMENT	R_HIP_MOMENT	R_HIP_MOMENT	L_HIP_MOMENT	L_HIP_MOMENT	L_HIP_MOMENT	R_ANKLE_MOMENT	R_ANKLE_MOMENT	R_ANKLE_MOMENT	L_ANKLE_MOMENT	L_ANKLE_MOMENT	L_ANKLE_MOMENT	WAIST_JOINT_MOMENT	WAIST_JOINT_MOMENT	WAIST_JOINT_MOMENT	NECK_MOMENT	NECK_MOMENT	NECK_MOMENT	L_SHOULDER_MOMENT	L_SHOULDER_MOMENT	L_SHOULDER_MOMENT	R_SHOULDER_MOMENT	R_SHOULDER_MOMENT	R_SHOULDER_MOMENT	L_ELBOW_MOMENT	L_ELBOW_MOMENT	L_ELBOW_MOMENT	R_ELBOW_MOMENT	R_ELBOW_MOMENT	R_ELBOW_MOMENT	L_WRIST_MOMENT	L_WRIST_MOMENT	L_WRIST_MOMENT	R_WRIST_MOMENT	R_WRIST_MOMENT	R_WRIST_MOMENT
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1																																										
2																																										
3	6.53629	-5.36327	1.52012	31.55869	10.93045	2.80985	-4.19951	5.50676	-2.68819	-30.01923	33.35570	6.00210	-15.52828	20.98289	-4.08803	0.51694	5.32007	3.11240	-50.27445	18.06879	-4.47239	45.43688	-3.49365	-4.52239	11.74972	-1.54330	-1.39236	8.51490	-4.69799	-2.30898	0.05995	-2.64161	0.29596	2.20949	2.18694	-0.48115	-0.05425	0.09643	-0.08609	0.08991	0.13912	-0.07831
4	7.15084	-4.17582	0.98551	32.32174	10.70948	2.92984	2.89795	13.92385	-4.01549	-24.60107	34.89924	8.91986	-15.40223	21.15882	-3.96736	0.73077	5.41398	3.11380	-30.61291	34.86500	-2.81186	35.69189	-6.88696	-9.00470	9.54799	-1.36859	-1.40144	9.23752	-5.58366	-3.44224	0.40235	-1.91831	0.26307	2.57805	2.47374	-0.77106	-0.00291	0.03757	0.02916	0.13020	0.06288	-0.10634
5	7.41905	-3.83738	0.97722	31.80864	10.07537	2.72645	6.02406	16.69805	-2.35069	-24.44819	38.89010	10.07325	-15.18718	20.87192	-3.91535	1.23156	5.29838	3.03373	-25.48989	47.45044	0.68579	35.56404	-13.75153	-6.66721	5.63860	-0.09609	-0.22265	7.93290	-4.68697	-2.16117	1.08453	-1.42255	-0.15928	2.18401	1.72839	-0.46070	0.16002	-0.18547	0.07935	0.19271	0.05068	-0.07491
6	7.63468	-4.47940	1.26217	30.72707	9.19359	2.42760	4.63266	10.49156	-0.09196	-28.77076	40.13680	9.09230	-15.06082	20.48093	-3.95260	1.47647	5.21664	2.86176	-33.98805	41.62027	3.55402	44.37156	-18.92781	0.95986	3.45452	0.94975	1.23850	5.82201	-2.60455	0.34895	1.85820	-1.91991	-0.74106	1.66596	0.69498	0.16863	0.30285	-0.35691	0.02724	0.27162	0.16415	-0.04925
7	7.80033	-5.41522	1.45012	28.66689	8.06382	2.38999	1.09882	2.80689	-0.34502	-37.39281	35.53768	7.03344	-15.08528	20.34550	-4.01031	1.26876	5.37254	2.71366	-49.57993	24.28050	2.73603	47.74697	-21.05025	6.12777	4.46749	0.99581	1.70746	5.39480	-1.43707	2.00802	1.86221	-2.56567	-0.75777	1.51464	0.29593	0.53436	0.29583	-0.30684	-0.03368	0.30265	0.25977	-0.03708
8	7.46478	-6.02981	1.54273	26.52195	7.17691	2.58862	-3.29735	0.36903	-2.36479	-43.76812	28.90692	5.36302	-15.07437	20.25245	-4.02614	0.92017	5.54862	2.68690	-62.83085	10.90576	-1.61864	43.24522	-20.76298	5.34185	6.62481	0.44337	1.23406	7.26849	-2.37976	1.61964	0.86884	-2.51385	-0.04349	1.72003	0.79197	0.39725	0.15779	-0.15392	-0.02824	0.23349	0.18353	0.01174
9	7.26029	-5.59916	1.38515	27.01635	7.60284	2.71003	-3.89888	3.73889	-3.38794	-39.26293	28.04297	5.78110	-14.85518	19.93448	-3.96677	0.75667	5.44881	2.76088	-58.75662	13.64403	-3.79285	39.59124	-13.95808	1.34437	7.39523	-0.38471	0.29951	9.59843	-4.27422	-0.13355	-0.24145	-1.94019	0.69744	2.02814	1.74510	-0.02553	0.00916	-0.08990	0.02653	0.14151	0.04275	0.08223
10	7.67625	-4.34013	0.99182	30.04123	9.27872	2.62509	0.51788	8.59599	-2.68541	-28.02951	33.96481	7.97750	-14.52583	19.52694	-3.85456	0.78486	5.14276	2.83182	-39.95367	28.50895	-1.04566	39.75342	-1.09614	-2.73288	7.16967	-1.62180	-1.13647	9.97613	-5.07822	-1.27104	-0.51486	-1.49845	0.77469	1.94487	2.16907	-0.33975	-0.05658	-0.10012	0.05743	0.09592	0.00930	0.08932
11	7.91530	-3.83271	0.93636	32.15845	10.35223	2.48679	2.75439	9.32511	-1.40890	-21.98029	37.93363	8.97004	-14.28985	19.22643	-3.76189	0.92437	4.86324	2.81702	-29.26868	35.04450	1.06092	40.43007	4.84597	-4.75083	7.81822	-2.68956	-2.47709	8.48211	-4.27444	-0.54843	0.23909	-1.70865	0.13757	1.53448	1.57804	-0.21885	0.02532	-0.09881	-0.00978	0.11810	0.06434	0.03913
12	7.57987	-4.68055	1.36911	31.34850	9.75662	2.44444	-0.11123	4.74478	-0.41422	-23.50134	34.47032	7.44982	-14.20041	19.01370	-3.74236	1.11854	4.68564	2.74217	-33.97993	24.21935	-0.88272	40.66882	-4.67511	-3.82705	8.90014	-2.41823	-2.52637	7.40011	-3.25073	0.76688	1.21846	-2.25709	-0.65236	1.51525	0.86463	0.18491	0.20197	-0.08696	-0.15608	0.20539	0.10649	0.02525
13	7.16455	-5.37428	1.59415	28.75262	9.04635	2.47604	-3.29575	-0.32280	-0.37132	-27.89261	30.63575	6.02829	-14.15834	18.81220	-3.78325	1.20920	4.62535	2.71331	-43.75195	13.40569	-2.26150	44.83915	-21.68565	-1.83961	8.42276	-0.59986	-0.82717	7.63464	-3.19105	0.44607	1.37044	-2.44195	-0.83481	2.13402	1.06937	0.30536	0.27411	-0.12218	-0.22536	0.31025	0.12667	0.04013
14	6.92782	-4.54267	1.13500	26.33244	9.53731	2.48273	-3.91553	-0.16992	-1.75410	-33.58397	33.55463	6.65565	-14.07940	18.62287	-3.82032	1.11359	4.72377	2.76360	-53.22630	19.71501	-0.12049	53.37594	-32.71737	-0.83713	6.36555	1.37433	1.82532	7.85155	-3.52297	-1.31977	0.58738	-2.40320	-0.09781	2.58978	1.87342	-0.16689	0.12436	-0.25731	-0.06475	0.34041	0.18100	-0.03312
15	6.67588	-3.08245	0.54725	25.48294	9.96443	2.43641	-3.43008	5.14412	-3.26504	-37.36802	37.95029	7.55309	-13.97570	18.44819	-3.79953	1.01026	4.92035	2.81027	-57.58906	34.13147	1.33260	56.98442	-30.01609	-0.43230	4.77485	1.83867	3.52443	7.00182	-3.27427	-2.13980	-0.15533	-2.57534	0.88079	2.09510	2.10071	-0.72169	-0.08193	-0.41332	0.21181	0.23172	0.22328	-0.15674
16	6.26513	-2.66189	0.58995	26.18449	9.15050	2.38297	-3.73374	10.25923	-2.89042	-35.07543	36.57982	6.83758	-13.84391	18.20633	-3.72367	1.09546	5.03483	2.79040	-53.19203	37.93113	-0.69685	49.09223	-15.29757	0.47798	4.84549	0.61601	2.71525	5.89244	-2.53089	-1.03911	0.16713	-2.71777	0.92168	1.17955	1.57071	-0.65744	-0.04439	-0.42702	0.27688	0.06952	0.18936	-0.15117
17	6.38310	-3.53799	1.09001	26.73928	8.24396	2.37746	-2.95910	10.36955	-0.79052	-29.91452	32.42603	5.70021	-13.63544	17.85817	-3.64046	1.27532	4.98197	2.75066	-44.87486	29.25221	-2.01078	33.37439	-0.26900	1.61714	5.54038	-0.99499	0.07175	5.70989	-2.00601	0.76874	1.09604	-2.22606	0.03390	0.85853	1.00049	0.01537	0.19172	-0.26463	0.08153	0.01784	0.13450	0.00888
18	7.37878	-4.30822	1.22111	26.05901	8.36697	2.43279	0.19478	6.84769	0.46398	-28.28211	30.95887	5.67305	-13.38971	17.53382	-3.59304	1.33469	4.86407	2.74629	-40.61207	20.13503	-0.39846	18.50500	3.80535	1.52261	6.00668	-1.77885	-2.13975	6.24839	-2.22481	1.94498	1.25883	-1.27273	-0.54496	1.01265	0.60284	0.66197	0.27038	-0.07572	-0.08623	0.05639	0.09859	0.14874
19	8.00711	-3.93698	0.77831	25.12685	9.01882	2.51815	2.61342	4.29566	-0.49827	-31.19178	31.57124	6.36310	-13.24411	17.38703	-3.59722	1.24525	4.85634	2.75566	-42.87704	17.70227	1.27148	13.39732	-1.51577	-1.36989	7.28876	-1.93146	-2.76395	6.57808	-3.13216	1.88066	0.50263	-0.96470	-0.21722	1.00578	0.27011	0.76943	0.12999	-0.05185	-0.07669	0.04907	0.03759	0.14591
20	7.41539	-3.27608	0.38548	24.89057	9.53574	2.60760	3.29738	3.61452	-2.02235	-34.16073	31.67367	7.14553	-13.24745	17.43089	-3.63685	1.10163	5.05157	2.74285	-43.66332	19.33130	1.90113	19.99204	-8.31224	-7.35009	9.83676	-2.50658	-2.98498	6.62034	-4.04228	0.47149	-0.23513	-1.45658	0.42792	1.06540	0.39822	0.32356	0.00806	-0.15283	-0.00769	0.04365	-0.01242	0.04330
21	6.16112	-3.53854	0.51440	25.00942	9.81209	2.65442	2.96530	3.55463	-2.63034	-32.41037	31.22914	7.80417	-13.25720	17.50206	-3.68214	1.02324	5.29203	2.72811	-36.75415	22.26210	1.20615	31.30549	-13.91709	-13.11862	12.01521	-3.49720	-3.71345	6.92186	-4.01553	-1.64045	-0.33671	-1.87395	0.69118	1.83489	1.44487	-0.35439	0.00011	-0.16514	0.01743	0.20738	0.10145	-0.07906
22	5.13251	-4.53319	0.95190	24.86202	9.50221	2.58473	1.26829	3.74784	-2.61179	-27.34296	30.25835	7.32542	-13.14382	17.42960	-3.71852	1.06095	5.28037	2.72493	-29.42235	24.75987	-1.60669	40.63800	-17.57166	-11.04748	10.94179	-2.98702	-2.94041	7.09373	-2.83463	-2.76545	0.25483	-1.99807	0.39064	2.71500	2.60236	-0.81405	0.03064	-0.05708	0.02497	0.42644	0.33419	-0.17380
23	4.83288	-5.12943	1.21917	24.33760	8.65416	2.41704	-0.69589	3.62139	-2.13778	-25.17333	28.98139	5.54891	-12.95993	17.19623	-3.73402	1.15500	4.95932	2.70406	-31.13443	24.10645	-3.71647	47.42381	-18.43111	3.03100	4.58568	0.43677	1.38464	6.48261	-1.64713	-1.76550	1.13033	-2.08160	-0.25508	2.48620	2.47939	-0.72765	0.03093	-0.00850	0.04957	0.41444	0.39864	-0.18026
24	5.37417	-4.80572	1.16023	23.97364	8.36657	2.29277	-1.41738	3.16975	-0.99620	-27.18131	29.68092	4.56733	-12.78874	16.86076	-3.69121	1.26645	4.60893	2.67501	-39.16064	21.70706	-1.92546	50.23080	-19.47642	19.69601	-3.01493	4.31441	6.45545	5.63787	-1.58220	0.34021	1.54332	-2.21707	-0.71544	1.24747	1.20480	-0.27292	0.01846	-0.13119	0.06304	0.17224	0.20597	-0.08941
25	6.21860	-4.02098	0.94688	24.30234	9.17637	2.34095	-1.75310	4.01404	-0.11385	-29.11018	32.74113	5.71938	-12.68535	16.57180	-3.59568	1.36296	4.53859	2.70294	-44.80852	22.57907	1.06733	45.36154	-23.43043	23.73425	-3.71407	4.60359	7.14936	5.31289	-2.16169	1.73751	1.33126	-2.51585	-0.62395	0.30149	0.17390	0.13269	0.10497	-0.33200	0.02733	-0.02368	-0.00618	0.02293
26	6.29704	-3.22365	0.71742	24.79570	9.99115	2.52796	-3.45525	6.99557	-0.89259	-30.25559	34.78137	7.49132	-12.72785	16.56687	-3.53565	1.31357	4.74516	2.78971	-48.10123	27.56423	0.76321	36.52998	-24.89028	11.90139	3.20592	1.45044	3.06715	5.44075	-2.47850	1.53732	0.99997	-2.61526	-0.21479	0.45233	0.25016	0.29479	0.25695	-0.36820	-0.02743	-0.02259	-0.02534	0.07995
27	5.80331	-2.91574	0.57570	24.75202	9.51474	2.66881	-4.57554	9.23575	-2.57534	-32.62066	33.29460	7.80522	-12.88552	16.83978	-3.56290	1.03590	4.93662	2.83135	-51.39244	29.65110	-1.83333	31.33926	-14.15930	-6.83441	9.98605	-1.69570	-1.89216	5.77104	-2.75015	0.08461	0.77821	-1.86621	0.02760	1.25779	1.07088	0.23512	0.28506	-0.13028	-0.05688	0.07539	0.09626	0.07026
28	6.11625	-3.50206	0.59489	24.65198	8.45376	2.62671	-1.74401	8.10743	-3.03953	-33.99329	31.28161	6.92266	-12.98158	17.02286	-3.61383	0.73678	4.90656	2.79175	-49.17893	26.22845	-2.61368	29.48174	4.58874	-21.30360	11.66463	-3.17266	-4.95646	5.99834	-3.34587	-1.35911	0.38832	-0.58489	0.02782	1.85871	1.61498	0.11525	0.14485	0.13320	-0.06397	0.15574	0.16051	0.04233
29	7.04727	-4.62033	0.79103	24.96861	8.75049	2.46558	2.08444	4.26756	-2.01986	-31.83011	33.74009	6.88170	-12.89285	16.86237	-3.60720	0.69601	4.72645	2.75869	-41.33801	23.63576	-0.04033	29.37976	12.16321	-21.61234	9.70419	-3.04842	-5.02902	5.73131	-3.63309	-1.68018	-0.12793	-0.09453	0.00290	1.95057	1.40380	0.09424	-0.03669	0.15487	-0.06430	0.21336	0.09713	0.03887
30	7.15189	-5.53278	1.10421	25.20996	10.36028	2.42193	1.68537	-0.04540	-1.26152	-28.26557	38.18077	8.31401	-12.72371	16.65903	-3.55830	0.84501	4.63008	2.77972	-36.54039	22.86419	3.49155	34.41460	1.95275	-5.41700	6.19075	-1.12294	-1.50786	5.51301	-3.07246	-0.60137	-0.22851	-1.14031	-0.03120	1.71762	0.89539	0.16109	-0.16283	-0.03377	-0.03911	0.24555	0.02279	0.05200
31	6.62796	-5.42448	1.18183	24.96482	10.96669	2.57977	-0.69461	-0.08061	-1.88576	-27.09849	37.23293	9.38226	-12.66076	16.81974	-3.52522	0.97526	4.75874	2.78381	-36.91776	21.99483	4.02836	43.37926	-12.33987	14.38133	2.26784	1.53607	3.20633	6.48614	-2.38848	1.28057	0.46419	-2.67137	-0.32261	1.30641	0.66798	0.15663	-0.14270	-0.22489	-0.00517	0.20816	0.04874	0.04004
32	6.71746	-4.12425	0.80988	24.33896	9.55274	2.63566	-0.51463	7.03071	-2.85017	-29.76752	31.84643	8.26275	-12.69739	17.12711	-3.51735	1.11857	4.96985	2.69567	-39.52463	26.30422	0.63451	48.32908	-20.38514	19.52654	0.91156	2.12585	4.31706	8.12734	-2.49292	2.46435	1.44564	-3.08219	-0.72259	0.83948	0.82278	-0.04127	0.08074	-0.25967	-0.02066	0.10073	0.14245	-0.01774
33	6.96338	-2.73860	0.44420	23.87741	8.01007	2.38386	-0.05115	15.07585	-2.68389	-32.63536	29.35966	5.60291	-12.72781	17.14843	-3.51554	1.31410	5.03773	2.59290	-43.39314	35.45670	-3.78012	45.08762	-25.06935	8.15423	4.10887	-0.22677	0.87637	8.28573	-3.05863	1.75841	1.51693	-2.21519	-0.48535	0.59325	1.09328	-0.29890	0.30282	-0.16093	-0.03654	0.00306	0.18262	-0.07112
34	6.43534	-2.66188	0.61372	24.25711	8.03815	2.16312	-2.11812	15.21472	-1.53081	-32.15423	30.96495	3.95282	-12.75117	17.00804	-3.51903	1.40863	4.95883	2.62622	-46.64670	37.69292	-5.27632	38.17990	-28.62799	-3.89208	8.35671	-2.56684	-2.63472	6.31691	-3.06490	-0.08912	0.57407	-1.16111	0.36453	0.98565	1.20666	-0.22281	0.29830	-0.08350	0.02247	0.04848	0.13245	-0.03524
35	5.59472	-4.11870	1.23829	25.22013	8.78103	2.30866	-4.85798	7.84734	-0.49057	-31.59419	32.71936	4.82931	-12.81168	17.01305	-3.55210	1.29897	4.85874	2.77062	-49.63768	29.09843	-2.38180	33.41764	-23.15923	-7.01252	9.54964	-2.28798	-2.55708	4.23086	-2.48867	-1.48189	-0.18229	-1.01124	0.86928	2.06230	1.20670	0.27850	0.14967	-0.13490	0.09093	0.26901	0.08858	0.07668
36	5.48353	-6.34213	1.90630	26.32853	8.92028	2.59975	-6.24449	-0.06034	-0.14491	-32.78356	33.35855	7.03253	-12.90291	17.11449	-3.62574	1.13712	4.79145	2.85507	-52.42303	18.83381	1.38443	31.78312	-6.32883	-7.32856	8.86226	-0.64170	-0.45024	4.06731	-2.45187	-1.87234	-0.21640	-1.73076	0.68371	2.83110	1.26712	0.58960	0.03550	-0.19193	0.06050	0.42358	0.11409	0.11852
37	6.61878	-7.70347	2.07246	27.27650	8.68765	2.69336	-4.77709	-2.88698	-0.81064	-32.20690	32.89809	8.18774	-13.00072	17.26327	-3.67073	1.06189	4.80230	2.80207	-49.34703	14.42330	1.25688	34.14035	5.23441	-8.86494	8.71036	0.01526	0.53372	5.82021	-3.30952	-1.18937	-0.00551	-2.31419	0.32279	2.31454	1.25383	0.25515	0.00654	-0.09553	-0.04326	0.27901	0.13434	0.01664
38	8.37789	-6.93183	1.46230	27.72073	8.79687	2.62424	-0.02961	0.37782	-2.42870	-29.30877	31.47769	8.01529	-13.10514	17.53351	-3.63253	1.04270	4.91979	2.69007	-38.79028	16.66873	-1.18772	42.28852	-1.66748	-5.92965	8.04218	-0.33517	0.23905	7.83939	-3.88882	0.45434	0.39411	-2.30138	-0.01399	1.13434	0.98856	-0.24703	0.07038	0.02638	-0.11117	0.00598	0.07661	-0.09607
39	9.21664	-4.87657	0.62543	27.15037	9.13731	2.52723	3.58908	6.27031	-3.83933	-28.48637	30.89337	7.69455	-13.21712	17.79200	-3.57801	1.02331	5.02743	2.59198	-32.11174	23.63893	-1.65287	48.87323	-17.14363	3.62984	5.38712	-0.23076	0.41593	8.45766	-3.39351	1.64444	1.11414	-2.06457	-0.45059	0.66351	0.83996	-0.38862	0.15927	-0.01787	-0.08265	-0.05120	0.03041	-0.09385
40	8.39362	-3.74231	0.45494	25.86315	9.41675	2.37803	1.15670	9.40858	-3.63216	-31.18175	32.59492	7.25587	-13.29991	17.81777	-3.58945	1.03241	4.98646	2.53417	-39.48513	30.58247	-0.72333	44.99540	-24.51276	11.89612	2.77485	0.58420	1.35325	7.36027	-2.58583	0.98718	1.59549	-1.98462	-0.73500	1.13392	1.14663	-0.28219	0.17882	-0.18500	-0.00888	0.12885	0.10183	-0.03127
41	6.65008	-4.52550	1.11038	25.28493	9.55274	2.23079	-5.49238	7.26269	-2.05377	-33.94024	34.63606	6.21331	-13.34261	17.66657	-3.66608	1.12658	4.85134	2.55202	-54.66849	30.89527	-1.20419	35.80608	-19.63336	10.78599	2.93986	0.85526	1.49802	6.03869	-2.48255	-0.47140	1.30136	-1.96989	-0.58620	1.76037	1.52391	-0.10533	0.14236	-0.33058	0.02149	0.28885	0.22245	0.00673
42	5.48039	-5.95982	1.78337	25.80643	9.31378	2.25326	-8.38220	3.13531	-0.87815	-34.31182	33.54470	5.10051	-13.43258	17.67623	-3.75238	1.20503	4.82257	2.62739	-60.45559	23.65387	-2.52298	30.76738	-9.88358	2.59243	5.10978	-0.06474	0.23668	6.16896	-3.06734	-0.63714	0.58792	-1.83004	-0.18606	1.85182	1.48602	0.09703	0.07634	-0.36350	0.01829	0.24930	0.25338	0.01596
43	6.19070	-6.44250	1.74727	26.43335	8.74053	2.37634	-2.98751	2.52553	-0.95220	-32.07261	30.50991	4.96774	-13.59766	17.95754	-3.78006	1.14862	4.92659	2.65041	-48.80605	18.07845	-2.36889	33.96059	-5.15851	-3.95471	6.65078	-1.17806	-0.91191	7.41689	-3.65925	0.37640	0.27486	-1.79621	0.04734	1.47197	1.20353	0.16923	-0.00671	-0.26765	0.03355	0.07394	0.17315	0.01173
44	8.09138	-5.89024	1.24357	26.80865	8.50252	2.33794	3.98421	6.76313	-1.38906	-27.02515	31.00189	6.15634	-13.72431	18.14517	-3.74627	1.09481	4.94340	2.57301	-31.70923	24.00632	-1.29782	44.65506	-9.12621	-4.96072	6.90006	-1.52057	-0.80649	8.15856	-3.84159	0.88563	0.42661	-2.07772	0.08263	1.30668	1.05163	0.10410	-0.05412	-0.14006	0.05625	-0.02428	0.06006	0.01022
