	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	COFP	COFP	COFP	COFP	COFP	COFP
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	0.00592	0.59294	0.00000	0.09519	0.22908	0.00000
2	0.00590	0.59269	0.00000	0.09563	0.22925	0.00000
3	0.00583	0.59243	0.00000	0.09618	0.22950	0.00000
4	0.00573	0.59221	0.00000	0.09683	0.22978	0.00000
5	0.00563	0.59206	0.00000	0.09753	0.23008	0.00000
6	0.00557	0.59199	0.00000	0.09828	0.23040	0.00000
7	0.00558	0.59198	0.00000	0.09902	0.23071	0.00000
8	0.00569	0.59201	0.00000	0.09974	0.23102	0.00000
9	0.00587	0.59210	0.00000	0.10041	0.23131	0.00000
10	0.00610	0.59224	0.00000	0.10103	0.23159	0.00000
11	0.00637	0.59244	0.00000	0.10159	0.23186	0.00000
12	0.00666	0.59269	0.00000	0.10210	0.23212	0.00000
13	0.00697	0.59296	0.00000	0.10254	0.23235	0.00000
14	0.00728	0.59323	0.00000	0.10290	0.23256	0.00000
15	0.00755	0.59348	0.00000	0.10319	0.23273	0.00000
16	0.00776	0.59373	0.00000	0.10344	0.23289	0.00000
17	0.00792	0.59399	0.00000	0.10368	0.23303	0.00000
18	0.00805	0.59429	0.00000	0.10391	0.23317	0.00000
19	0.00817	0.59465	0.00000	0.10415	0.23329	0.00000
20	0.00836	0.59508	0.00000	0.10439	0.23342	0.00000
21	0.00861	0.59557	0.00000	0.10461	0.23353	0.00000
22	0.00893	0.59611	0.00000	0.10480	0.23362	0.00000
23	0.00928	0.59667	0.00000	0.10496	0.23369	0.00000
24	0.00960	0.59722	0.00000	0.10510	0.23376	0.00000
25	0.00987	0.59774	0.00000	0.10525	0.23382	0.00000
26	0.01007	0.59819	0.00000	0.10544	0.23389	0.00000
27	0.01016	0.59854	0.00000	0.10566	0.23397	0.00000
28	0.01017	0.59877	0.00000	0.10592	0.23406	0.00000
29	0.01012	0.59886	0.00000	0.10624	0.23416	0.00000
30	0.01003	0.59883	0.00000	0.10660	0.23428	0.00000
31	0.00992	0.59870	0.00000	0.10698	0.23442	0.00000
32	0.00978	0.59849	0.00000	0.10735	0.23458	0.00000
33	0.00961	0.59820	0.00000	0.10769	0.23475	0.00000
34	0.00940	0.59784	0.00000	0.10800	0.23491	0.00000
35	0.00917	0.59741	0.00000	0.10827	0.23506	0.00000
36	0.00891	0.59693	0.00000	0.10854	0.23520	0.00000
37	0.00863	0.59642	0.00000	0.10883	0.23535	0.00000
38	0.00833	0.59589	0.00000	0.10919	0.23552	0.00000
39	0.00800	0.59536	0.00000	0.10963	0.23574	0.00000
40	0.00767	0.59483	0.00000	0.11016	0.23600	0.00000
41	0.00734	0.59431	0.00000	0.11077	0.23630	0.00000
42	0.00702	0.59381	0.00000	0.11141	0.23660	0.00000
43	0.00671	0.59334	0.00000	0.11204	0.23688	0.00000
44	0.00643	0.59290	0.00000	0.11261	0.23712	0.00000
45	0.00618	0.59251	0.00000	0.11310	0.23731	0.00000
46	0.00595	0.59215	0.00000	0.11349	0.23742	0.00000
47	0.00573	0.59181	0.00000	0.11380	0.23748	0.00000
48	0.00554	0.59144	0.00000	0.11407	0.23752	0.00000
49	0.00535	0.59103	0.00000	0.11434	0.23758	0.00000
50	0.00514	0.59059	0.00000	0.11465	0.23768	0.00000
51	0.00491	0.59011	0.00000	0.11503	0.23782	0.00000
52	0.00464	0.58962	0.00000	0.11542	0.23799	0.00000
53	0.00434	0.58912	0.00000	0.11579	0.23817	0.00000
54	0.00403	0.58865	0.00000	0.11608	0.23834	0.00000
55	0.00372	0.58822	0.00000	0.11624	0.23848	0.00000
56	0.00344	0.58784	0.00000	0.11628	0.23857	0.00000
57	0.00318	0.58749	0.00000	0.11623	0.23861	0.00000
58	0.00294	0.58714	0.00000	0.11614	0.23861	0.00000
59	0.00272	0.58676	0.00000	0.11605	0.23856	0.00000
60	0.00250	0.58635	0.00000	0.11602	0.23851	0.00000
