	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d	C:\Users\HCR-Student-01\Desktop\Paul\test\Teep_finished.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT	FREEMOMENT
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	0.00000	0.00000	-1.50566	0.00000	0.00000	-0.58349
2	0.00000	0.00000	-1.51818	0.00000	0.00000	-0.54064
3	0.00000	0.00000	-1.53881	0.00000	0.00000	-0.51882
4	0.00000	0.00000	-1.56272	0.00000	0.00000	-0.51737
5	0.00000	0.00000	-1.58640	0.00000	0.00000	-0.52824
6	0.00000	0.00000	-1.60173	0.00000	0.00000	-0.54766
7	0.00000	0.00000	-1.59741	0.00000	0.00000	-0.57177
8	0.00000	0.00000	-1.57603	0.00000	0.00000	-0.59214
9	0.00000	0.00000	-1.55385	0.00000	0.00000	-0.60003
10	0.00000	0.00000	-1.54403	0.00000	0.00000	-0.59360
11	0.00000	0.00000	-1.54628	0.00000	0.00000	-0.57494
12	0.00000	0.00000	-1.55532	0.00000	0.00000	-0.54734
13	0.00000	0.00000	-1.56654	0.00000	0.00000	-0.51456
14	0.00000	0.00000	-1.58291	0.00000	0.00000	-0.48000
15	0.00000	0.00000	-1.60494	0.00000	0.00000	-0.45264
16	0.00000	0.00000	-1.62878	0.00000	0.00000	-0.43436
17	0.00000	0.00000	-1.65381	0.00000	0.00000	-0.42324
18	0.00000	0.00000	-1.67940	0.00000	0.00000	-0.41191
19	0.00000	0.00000	-1.70271	0.00000	0.00000	-0.39459
20	0.00000	0.00000	-1.71901	0.00000	0.00000	-0.36878
21	0.00000	0.00000	-1.72185	0.00000	0.00000	-0.33489
22	0.00000	0.00000	-1.70890	0.00000	0.00000	-0.29874
23	0.00000	0.00000	-1.68132	0.00000	0.00000	-0.26540
24	0.00000	0.00000	-1.63965	0.00000	0.00000	-0.23701
25	0.00000	0.00000	-1.58869	0.00000	0.00000	-0.21386
26	0.00000	0.00000	-1.54367	0.00000	0.00000	-0.19333
27	0.00000	0.00000	-1.51967	0.00000	0.00000	-0.17038
28	0.00000	0.00000	-1.51957	0.00000	0.00000	-0.14111
29	0.00000	0.00000	-1.53900	0.00000	0.00000	-0.10443
30	0.00000	0.00000	-1.56906	0.00000	0.00000	-0.06297
31	0.00000	0.00000	-1.60605	0.00000	0.00000	-0.02213
32	0.00000	0.00000	-1.64645	0.00000	0.00000	0.01600
