L_MTP_ANGLE,L_MTP_ANGLE,L_MTP_ANGLE,R_MTP_ANGLE,R_MTP_ANGLE,R_MTP_ANGLE,L_ANKLE_ANGLE,L_ANKLE_ANGLE,L_ANKLE_ANGLE,R_ANKLE_ANGLE,R_ANKLE_ANGLE,R_ANKLE_ANGLE,L_KNEE_ANGLE,L_KNEE_ANGLE,L_KNEE_ANGLE,R_KNEE_ANGLE,R_KNEE_ANGLE,R_KNEE_ANGLE,L_HIP_ANGLE,L_HIP_ANGLE,L_HIP_ANGLE,R_HIP_ANGLE,R_HIP_ANGLE,R_HIP_ANGLE,L_SHOULDER_ANGLE,L_SHOULDER_ANGLE,L_SHOULDER_ANGLE,R_SHOULDER_ANGLE,R_SHOULDER_ANGLE,R_SHOULDER_ANGLE,L_ELBOW_ANGLE,L_ELBOW_ANGLE,L_ELBOW_ANGLE,R_ELBOW_ANGLE,R_ELBOW_ANGLE,R_ELBOW_ANGLE,L_WRIST_ANGLE,L_WRIST_ANGLE,L_WRIST_ANGLE,R_WRIST_ANGLE,R_WRIST_ANGLE,R_WRIST_ANGLE,NECK_ANGLE,NECK_ANGLE,NECK_ANGLE,NECK_ANGLE_SHADOW,NECK_ANGLE_SHADOW,NECK_ANGLE_SHADOW,Trunk_Joint_Angle,Trunk_Joint_Angle,Trunk_Joint_Angle
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-5.175830000000002,0.0,0.0,-4.10641,0.0,0.0,0.2778,-5.12142,6.997600000000001,13.6058,2.7226100000000004,-17.93522,-19.508500000000005,-1.4040400000000002,-8.000000000000002e-05,-16.880530000000004,-2.5102600000000006,0.0010400000000000001,25.72031,9.166600000000003,8.847070000000002,10.152940000000003,0.52539,-14.67498,28.942220000000002,22.424720000000004,-6.756630000000001,46.39248000000002,-8.63128,37.028510000000004,131.93173,0.0010700000000000002,-111.90149000000002,117.53474000000001,-0.0016400000000000002,102.09851,-7.810810000000002,-15.057510000000002,-0.00124,-7.621820000000002,6.1110500000000005,0.0003500000000000001,-8.13373,-9.820740000000002,8.720470000000002,-31.285360000000004,-12.427410000000002,4.193130000000001,-0.6413200000000001,-5.913379999999999,8.22888
-4.443036565658255,0.0,0.0,-3.7634192138266194,0.0,0.0,-0.4061211976932371,-5.48809034343683,7.473595922874995,13.009985946257817,2.411515901522549,-17.75633129970073,-19.806802651846677,-1.3706322065011782,0.00040552541573691587,-15.121196843847533,-2.2410024019407975,-0.00011977665630061813,26.00353504799389,10.143487562574338,8.310692576528961,9.211036226597514,1.62894447055936,-14.917672201605823,27.05126227575435,22.062738910676533,-4.423082700686906,45.157959611152556,-9.355519350760716,37.08372371257537,132.16180543816256,0.000372898705515102,-109.45284778258933,117.88223077939516,0.00013338003070554396,104.20868618591317,-6.382989090237285,-14.122597717597262,-0.003328348310125096,-7.272530355404462,7.330409101885455,0.00012935991479222047,-8.15606148371456,-10.451768578017282,10.684648009355898,-31.297425017412497,-13.767709931763838,5.76381054606054,-0.25253681928257127,-5.7764688551518235,8.693792848617843
-5.770442707720528,0.0,0.0,-5.247529039246892,0.0,0.0,-0.852914180003472,-5.8627257618927295,7.944873207115908,13.127510577783115,2.903248523836064,-17.656212534325157,-20.301304617528967,-1.5578388825693612,-0.0005080830748393941,-13.639540684782405,-2.25358212055872,-0.00024452176125795716,26.47344292314432,11.216233195877939,7.626852253672404,8.530670443612246,2.7183787782430215,-15.157950003218946,25.794910196615113,22.085898649796622,-3.0263005753461827,44.18479214917326,-10.116465267335117,36.58287650500864,132.5038388546442,0.0006568753071305841,-109.81711418944802,118.14301683925937,0.0006324722397151026,103.43719931740469,-6.681940786880806,-16.65878265274051,0.004665808180204813,-6.1870734378949,7.366503234732505,0.0007447772522258314,-8.030118159303502,-10.766903770163804,10.543833923156102,-31.207651242789247,-14.00301685493723,5.50506006899116,0.07722363854998299,-5.342787932191799,9.201324851892984
-6.548180891655732,0.0,0.0,-5.802687071309624,0.0,0.0,-1.3782960259877148,-6.718696481082682,8.033634249605814,12.508312856809647,2.386928995252139,-16.970429974609548,-20.785004994096905,-1.7636114007309556,0.0007275246125529316,-12.505613380576174,-2.203983303169456,7.966020972258178e-05,26.71647853410151,12.305412219911638,7.384029427504391,7.916447913312163,3.676146098587956,-15.402908572895756,24.720004196874367,22.19142093360433,-1.915399473533075,43.84691270694671,-10.698101541710416,36.239871753704335,131.93827659429743,0.0002694241861849914,-109.0531999086527,117.61958851848087,0.0008427435517367077,104.33057515840274,-7.748796170449344,-16.458892151717123,-0.001451867859036059,-5.6334847262714565,6.228258693601151,0.0007160913818886748,-8.139410945672788,-10.738731682793672,11.166386773955006,-31.28895896850825,-14.217701318363781,6.096303056996467,0.18892435352631573,-4.878797054349968,9.345351256344607
-6.611918350980513,0.0,0.0,-4.880763042325081,0.0,0.0,-2.077716957863174,-6.64295892117286,8.101177528821763,11.755461820822935,1.6382463983185511,-16.501040170351445,-21.866577178398373,-2.399964842786894,-0.00019992946473776764,-11.647128921928202,-2.144235327977259,5.7000433854977473e-05,27.20571673617411,13.565005977996732,7.108817357014624,7.408842960408871,4.67454597111897,-15.672739211520954,23.679041721689444,22.38194570391136,-0.9777587683551131,43.52707371131204,-10.849623901998095,35.50378761143353,131.70258418211452,-0.002524423275598321,-109.42661003047044,117.57256944137302,-0.00012168108823950482,103.60107424135734,-4.033629287542551,-15.445608394631803,0.0013681631361614007,-3.433973685804155,5.547537647023281,-0.0012329559165505045,-7.741752032982907,-11.232254166632424,12.721752464043293,-30.869211113899603,-15.27152792195824,7.3476095171648,0.21327676941206583,-4.360039582793766,9.387802922435124
-6.820823900507399,0.0,0.0,-5.156068057815208,0.0,0.0,-3.297470135988471,-6.236595322728788,6.9259012892650125,11.988160010147801,1.7368255675229476,-15.79562836207863,-23.201812576590292,-2.2303140775028676,-0.0003899804180961426,-11.309916866124926,-2.2383678295452225,2.6229256775610654e-05,28.10572281763511,14.1118493159707,7.725792793493708,7.171796938439672,5.180996343484691,-16.55385245397464,23.550705444508367,22.36959497979564,-0.2036081486187659,43.39190105229228,-10.890350868029792,35.04009711703585,132.28479063264075,-0.0015429910764827688,-107.7287678084672,117.94659545012887,-0.000565949581624182,104.19098979801554,-2.0376168175946185,-15.495797467675402,0.0004588860974062666,-1.6414648836195482,5.191948288249932,-0.00277152957494607,-7.697611621978946,-12.111039535335811,12.90379488683465,-30.913068835430344,-16.14958328615899,7.158661075259156,0.09220971960189323,-3.786539107844266,9.42488593187763
-5.55392182019545,0.0,0.0,-4.640532430400353,0.0,0.0,-4.392787181091218,-7.06399193207692,6.729518898979992,12.214970120491353,1.6268283043195972,-16.145678940687798,-23.990835396765632,-2.2241552132507127,0.0002925563033567718,-11.802138681586078,-2.563618129952438,0.0001096632471849009,28.53593085147897,14.535654849864057,7.631534271187943,7.246386389760743,5.691666749518241,-16.66589588572725,23.40166984096432,22.336426108734095,-0.03511750232101761,43.49921553718203,-11.140651425695818,34.90930741992988,132.1819587259623,0.004048184405964271,-103.76528266184187,117.853554110644,-0.0004937490467989943,103.98907133511324,-4.156411017255343,-13.978163314279756,-0.008099054701463914,-0.5899632479468558,4.407123500836898,0.0006121855608118429,-7.691388826878567,-12.803886468502753,13.50229654628518,-30.9574478359165,-17.016803533473553,7.433710682453951,0.1587442365611645,-3.018168543650942,9.21876748396912
-6.19296342460845,0.0,0.0,-4.620899914061323,0.0,0.0,-4.896825562839276,-8.042282261274377,6.703105008544759,12.12560922214161,1.0688351444947004,-16.794478104312642,-24.503506635869208,-1.964543678050322,-0.0001772307226572537,-12.379587556682353,-2.6382165127524235,-0.00014783177682259119,28.72789208815045,14.7833255095171,7.740897947366458,7.2977354428236,6.09282049485727,-16.432549941502927,24.019769825608737,22.430397121708697,-0.6035528797372585,43.741179152066664,-11.21018501420628,34.98544170477451,131.90651327621094,-0.004820248084954774,-105.73689737560856,117.89717169784211,-0.0006990560603896306,105.28904231080134,-3.9828408756802784,-13.924334891601408,-0.01590597073901959,-0.7829290227830267,4.655264894214291,-0.0009708891357977613,-7.8065567319346325,-12.77869503725776,12.961021623368907,-31.097079674509338,-16.785062700439546,6.937340882379068,0.16672167960455567,-2.31559575945146,9.031324927385233
-5.510061590888121,0.0,0.0,-3.9396936064032984,0.0,0.0,-5.8893345682288585,-7.218116480871077,6.523292462060101,12.517580328085112,0.7375887332255918,-16.633419230211892,-24.45569052082179,-1.6745687354046326,0.00015106735462583145,-13.209891385835903,-2.762700693234867,0.00016185452525560798,28.453157285029203,14.287503614141473,7.922482580167305,7.200020820211163,5.904734900671736,-16.82280366930934,25.555323992892525,22.20049947175407,-2.1726791017403313,44.249400317532114,-11.402728113462532,35.21173376602985,131.25838880900648,0.00021269346642348706,-111.04990037170266,117.98931667357827,-0.0002359846340089109,106.43332385207924,-2.398239905416937,-16.052968815570733,0.002003933578924861,-3.7552240068301668,5.115166070701578,0.0006131655582481933,-8.047214844171545,-12.85730024843439,12.00775693749296,-31.39061518957954,-16.489320725590144,6.013993924874871,-0.13238330485687008,-1.919453343948589,8.997160254956272
