Unnamed: 0_level_0,Head_AngMom_wrt_LAB,Head_AngMom_wrt_LAB,Head_AngMom_wrt_LAB,Head_Shadow_AngMom_wrt_LAB,Head_Shadow_AngMom_wrt_LAB,Head_Shadow_AngMom_wrt_LAB,Trunk_AngMom_wrt_LAB,Trunk_AngMom_wrt_LAB,Trunk_AngMom_wrt_LAB,R_UA_AngMom_wrt_LAB,R_UA_AngMom_wrt_LAB,R_UA_AngMom_wrt_LAB,R_FA_AngMom_wrt_LAB,R_FA_AngMom_wrt_LAB,R_FA_AngMom_wrt_LAB,R_Hand_AngMom_wrt_LAB,R_Hand_AngMom_wrt_LAB,R_Hand_AngMom_wrt_LAB,L_UA_AngMom_wrt_LAB,L_UA_AngMom_wrt_LAB,L_UA_AngMom_wrt_LAB,L_FA_AngMom_wrt_LAB,L_FA_AngMom_wrt_LAB,L_FA_AngMom_wrt_LAB,L_Hand_AngMom_wrt_LAB,L_Hand_AngMom_wrt_LAB,L_Hand_AngMom_wrt_LAB,Pelvis_AngMom_wrt_LAB,Pelvis_AngMom_wrt_LAB,Pelvis_AngMom_wrt_LAB,R_Thigh_AngMom_wrt_LAB,R_Thigh_AngMom_wrt_LAB,R_Thigh_AngMom_wrt_LAB,R_Shank_AngMom_wrt_LAB,R_Shank_AngMom_wrt_LAB,R_Shank_AngMom_wrt_LAB,R_Foot_AngMom_wrt_LAB,R_Foot_AngMom_wrt_LAB,R_Foot_AngMom_wrt_LAB,R_Foot_Shadow_AngMom_wrt_LAB,R_Foot_Shadow_AngMom_wrt_LAB,R_Foot_Shadow_AngMom_wrt_LAB,R_Toes_AngMom_wrt_LAB,R_Toes_AngMom_wrt_LAB,R_Toes_AngMom_wrt_LAB,L_Thigh_AngMom_wrt_LAB,L_Thigh_AngMom_wrt_LAB,L_Thigh_AngMom_wrt_LAB,L_Shank_AngMom_wrt_LAB,L_Shank_AngMom_wrt_LAB,L_Shank_AngMom_wrt_LAB,L_Foot_AngMom_wrt_LAB,L_Foot_AngMom_wrt_LAB,L_Foot_AngMom_wrt_LAB,L_Foot_Shadow_AngMom_wrt_LAB,L_Foot_Shadow_AngMom_wrt_LAB,L_Foot_Shadow_AngMom_wrt_LAB,L_Toes_AngMom_wrt_LAB,L_Toes_AngMom_wrt_LAB,L_Toes_AngMom_wrt_LAB,FullBody_AngMom,FullBody_AngMom,FullBody_AngMom
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2601,0.0003,4e-05,-8e-05,0.01542,0.00058,-0.00487,0.42584,0.11438,-0.21429,0.01858,-0.01891,0.00377,0.00687,-0.00404,0.00633,0.00072,-0.00081,0.00133,0.02486,-0.00524,-0.00835,0.01146,-0.00309,-0.00818,0.00253,-0.00062,-0.00187,0.007,0.00322,-0.00986,0.08142,-0.10893,-0.02101,-0.01428,0.01896,-0.00061,-0.00027,0.00018,-0.00064,-0.00027,0.00018,-0.00064,-0.0,-1e-05,-0.0,0.06649,-0.03524,-0.03842,-0.01372,0.01721,-0.00067,-0.00114,0.00013,-0.00382,-0.00114,0.00013,-0.00382,1e-05,-1e-05,-1e-05,3.82399,0.48039,-0.67069
2602,0.00028,-1e-05,-3e-05,0.01475,-0.00135,-0.00178,0.39868,0.10097,-0.20967,0.02003,-0.01948,0.00489,0.00724,-0.00397,0.00785,0.00069,-0.00064,0.00192,0.02766,-0.00686,-0.00958,0.01298,-0.00452,-0.00998,0.0026,-0.00104,-0.00236,0.00904,0.00328,-0.01088,0.0741,-0.10004,-0.01935,-0.0127,0.01739,-0.00067,-0.00027,0.00023,-0.00086,-0.00027,0.00023,-0.00086,-0.0,-1e-05,-0.0,0.13046,-0.04727,-0.03864,-0.02052,0.02035,0.00042,-0.0024,0.00077,-0.0043,-0.0024,0.00077,-0.0043,0.0,-0.0,-1e-05,4.4535,0.60886,-0.74464
2603,0.00027,-8e-05,3e-05,0.01419,-0.00474,0.00139,0.37881,0.10359,-0.19768,0.02101,-0.01969,0.00583,0.00733,-0.0041,0.00856,0.00094,-0.00062,0.00225,0.02993,-0.0078,-0.01047,0.01429,-0.0058,-0.01189,0.00251,-0.00153,-0.0028,0.01082,0.00312,-0.01135,0.06183,-0.08972,-0.01884,-0.01044,0.01524,-0.00101,-0.00028,0.00033,-0.0009,-0.00028,0.00033,-0.0009,-0.0,-1e-05,-0.0,0.20523,-0.06755,-0.03704,-0.02847,0.02318,0.00216,-0.00409,0.00172,-0.00435,-0.00409,0.00172,-0.00435,-1e-05,0.0,-1e-05,5.13448,0.67426,-0.83168
2604,0.00027,-0.00017,7e-05,0.01483,-0.00884,0.00364,0.36914,0.12472,-0.1818,0.0218,-0.01963,0.00666,0.00738,-0.00457,0.00829,0.0014,-0.0009,0.00224,0.03205,-0.00769,-0.01085,0.01541,-0.00667,-0.0137,0.00236,-0.00208,-0.00311,0.01233,0.00283,-0.01149,0.04556,-0.08051,-0.02238,-0.00749,0.01295,-0.00207,-0.00029,0.00032,-0.00088,-0.00029,0.00032,-0.00088,-0.0,-0.0,-0.0,0.29031,-0.09822,-0.03322,-0.03685,0.02566,0.00462,-0.00645,0.00304,-0.00396,-0.00645,0.00304,-0.00396,-2e-05,1e-05,-1e-05,5.8858,0.67925,-0.94084
2605,0.0003,-0.00024,8e-05,0.01669,-0.01232,0.00427,0.37163,0.15901,-0.16725,0.02263,-0.01939,0.00749,0.00759,-0.00533,0.00726,0.00187,-0.0015,0.00195,0.03435,-0.00665,-0.01065,0.01645,-0.00706,-0.01513,0.00231,-0.0026,-0.00325,0.01384,0.00268,-0.01166,0.02768,-0.0738,-0.02955,-0.00423,0.01094,-0.00373,-0.00027,6e-05,-0.00088,-0.00027,6e-05,-0.00088,-0.0,0.0,-0.0,0.38436,-0.13801,-0.02744,-0.04485,0.02774,0.00766,-0.00963,0.00467,-0.00322,-0.00963,0.00467,-0.00322,-2e-05,2e-05,-1e-05,6.7218,0.65421,-1.07586
2606,0.00034,-0.00027,6e-05,0.01861,-0.01386,0.00368,0.38423,0.19672,-0.15591,0.02359,-0.01915,0.0084,0.00795,-0.00613,0.00604,0.00215,-0.00225,0.00159,0.03691,-0.00525,-0.00996,0.01752,-0.00714,-0.01593,0.00245,-0.00298,-0.0032,0.01558,0.00286,-0.01206,0.01105,-0.06919,-0.0367,-0.00134,0.00932,-0.00534,-0.0002,-0.00049,-0.00088,-0.0002,-0.00049,-0.00088,-1e-05,0.0,-0.0,0.48529,-0.18351,-0.02174,-0.05189,0.02952,0.01082,-0.01361,0.0065,-0.00233,-0.01361,0.0065,-0.00233,-4e-05,3e-05,-1e-05,7.63544,0.6381,-1.23044
2607,0.00035,-0.00025,6e-05,0.01907,-0.01283,0.0033,0.3985,0.229,-0.14263,0.02458,-0.01909,0.00935,0.00829,-0.00683,0.00518,0.00211,-0.00291,0.0013,0.03965,-0.00423,-0.00902,0.01864,-0.00724,-0.01606,0.00278,-0.00318,-0.003,0.01752,0.00345,-0.01267,-0.00161,-0.06528,-0.03999,0.00052,0.00794,-0.00615,-6e-05,-0.00118,-0.00085,-6e-05,-0.00118,-0.00085,-1e-05,1e-05,-0.0,0.5904,-0.23162,-0.0196,-0.05784,0.03138,0.01354,-0.01809,0.00841,-0.00169,-0.01809,0.00841,-0.00169,-6e-05,3e-05,-1e-05,8.59332,0.65619,-1.3894
2608,0.00032,-0.00017,8e-05,0.01732,-0.00938,0.00449,0.4022,0.25231,-0.11791,0.02539,-0.01929,0.0102,0.00855,-0.00746,0.00485,0.00182,-0.00333,0.00108,0.04247,-0.00411,-0.00806,0.0197,-0.00766,-0.01573,0.0032,-0.00323,-0.00275,0.01949,0.00436,-0.01332,-0.00836,-0.06095,-0.03793,0.00104,0.00652,-0.00585,0.00013,-0.00176,-0.00078,0.00013,-0.00176,-0.00078,-0.0,1e-05,-0.0,0.69594,-0.28112,-0.0243,-0.06298,0.03388,0.01546,-0.02266,0.01034,-0.00181,-0.02266,0.01034,-0.00181,-9e-05,4e-05,-1e-05,9.54913,0.70908,-1.5345
2609,0.00027,-6e-05,0.00014,0.01382,-0.00418,0.00725,0.38613,0.2691,-0.07632,0.02579,-0.01967,0.01077,0.00879,-0.00809,0.00497,0.00151,-0.00343,0.00085,0.04538,-0.00493,-0.00724,0.02058,-0.00845,-0.0153,0.00363,-0.00315,-0.0026,0.02141,0.00561,-0.01378,-0.00898,-0.05671,-0.03215,0.00031,0.00497,-0.00466,0.0003,-0.00194,-0.00067,0.0003,-0.00194,-0.00067,-0.0,1e-05,-0.0,0.79654,-0.33239,-0.03701,-0.06778,0.03759,0.01658,-0.02689,0.01217,-0.00304,-0.02689,0.01217,-0.00304,-0.00012,6e-05,-1e-05,10.46387,0.77622,-1.65115
