Unnamed: 0_level_0,RTOES_DIST,RTOES_DIST,RTOES_DIST,LTOES_DIST,LTOES_DIST,LTOES_DIST,RTOES_PROX,RTOES_PROX,RTOES_PROX,LTOES_PROX,LTOES_PROX,LTOES_PROX,RFTS_DIST,RFTS_DIST,RFTS_DIST,LFTS_DIST,LFTS_DIST,LFTS_DIST,RFTS_PROX,RFTS_PROX,RFTS_PROX,LFTS_PROX,LFTS_PROX,LFTS_PROX
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1322,0.22396,0.28057,0.00886,0.10121,0.73389,0.00774,0.17617,0.26895,0.01295,0.07918,0.69042,0.01553,0.18784,0.25023,0.02015,0.0761,0.69917,0.02375,0.00662,0.20679,0.02211,-0.01233,0.5246,0.03918
1323,0.22399,0.28066,0.00886,0.1012,0.73398,0.00764,0.1762,0.26906,0.01304,0.07927,0.69052,0.01574,0.18784,0.25033,0.02026,0.07617,0.69927,0.02394,0.0066,0.207,0.02204,-0.01192,0.52456,0.03974
1324,0.22395,0.28079,0.00884,0.10114,0.734,0.00755,0.17618,0.2692,0.01312,0.07932,0.69053,0.01591,0.18781,0.25046,0.02034,0.0762,0.6993,0.02408,0.00655,0.20719,0.02197,-0.01147,0.52442,0.04034
1325,0.22387,0.28097,0.00881,0.10103,0.73395,0.00749,0.1761,0.26937,0.0132,0.07934,0.69046,0.01608,0.18774,0.25063,0.0204,0.07619,0.69925,0.02423,0.00648,0.20733,0.02192,-0.01103,0.52419,0.04097
1326,0.22375,0.28119,0.00875,0.10091,0.73385,0.00745,0.17601,0.26956,0.01331,0.07933,0.69037,0.0163,0.18765,0.25081,0.02048,0.07617,0.69916,0.02443,0.0064,0.20746,0.02189,-0.01065,0.52394,0.04158
1327,0.22364,0.28141,0.00867,0.10082,0.73376,0.00743,0.17593,0.26975,0.01344,0.07933,0.69028,0.01658,0.18757,0.251,0.02058,0.07617,0.69908,0.02471,0.00634,0.20757,0.02189,-0.01035,0.52374,0.04213
1328,0.22357,0.28162,0.00855,0.10079,0.73368,0.00741,0.17589,0.26993,0.01358,0.07938,0.69024,0.01689,0.18754,0.25117,0.0207,0.07622,0.69904,0.02502,0.00633,0.20768,0.02194,-0.01013,0.52363,0.04258
1329,0.22356,0.28181,0.00839,0.10088,0.73363,0.00735,0.17592,0.27009,0.01373,0.07951,0.69025,0.01722,0.18757,0.25132,0.02082,0.07636,0.69904,0.02536,0.00637,0.20779,0.02198,-0.00996,0.52362,0.04291
1330,0.22361,0.28197,0.0082,0.10111,0.73356,0.00726,0.17601,0.27023,0.01388,0.07975,0.69028,0.01755,0.18766,0.25146,0.02095,0.07661,0.69906,0.0257,0.00647,0.20789,0.02199,-0.00984,0.52369,0.04313
1331,0.22369,0.28211,0.00803,0.10149,0.73345,0.00715,0.17613,0.27035,0.01397,0.0801,0.69027,0.01784,0.18778,0.25158,0.02104,0.07697,0.69906,0.02599,0.0066,0.20796,0.02196,-0.00976,0.5238,0.04323
1332,0.22378,0.28224,0.00794,0.10196,0.73328,0.00708,0.17623,0.27046,0.01396,0.08051,0.69021,0.01804,0.18789,0.25169,0.02104,0.07739,0.699,0.0262,0.00672,0.20802,0.0219,-0.00973,0.52392,0.04325
1333,0.22387,0.28233,0.00794,0.10245,0.7331,0.00706,0.17631,0.27054,0.01387,0.0809,0.69011,0.01814,0.18797,0.25178,0.02096,0.07781,0.69889,0.02631,0.00682,0.20806,0.02185,-0.00975,0.52402,0.04319
1334,0.22395,0.28238,0.00802,0.10287,0.73295,0.0071,0.17637,0.2706,0.01373,0.08123,0.68999,0.01816,0.18803,0.25185,0.02084,0.07818,0.69877,0.02635,0.00688,0.20812,0.02184,-0.00979,0.52408,0.0431
1335,0.22401,0.2824,0.00816,0.10316,0.73284,0.00719,0.17639,0.27065,0.01358,0.08146,0.68989,0.01811,0.18806,0.25191,0.02073,0.07844,0.69866,0.02632,0.0069,0.2082,0.02192,-0.00981,0.52412,0.04303
1336,0.22405,0.2824,0.00833,0.10332,0.73282,0.00733,0.17638,0.27068,0.01343,0.08158,0.68982,0.01799,0.18805,0.25196,0.02062,0.0786,0.69859,0.02621,0.00688,0.2083,0.02208,-0.00978,0.52412,0.04302
1337,0.22406,0.28241,0.00849,0.1034,0.73287,0.00747,0.17635,0.27072,0.01329,0.08164,0.6898,0.0178,0.18802,0.25202,0.02052,0.07868,0.69856,0.02603,0.00685,0.2084,0.0223,-0.0097,0.52411,0.04307
1338,0.22405,0.28245,0.0086,0.10344,0.73298,0.0076,0.17632,0.27078,0.01319,0.08167,0.68983,0.01758,0.188,0.25209,0.02045,0.07874,0.6986,0.02582,0.00682,0.20849,0.02255,-0.00955,0.52413,0.04313
1339,0.22405,0.28253,0.00862,0.1035,0.73312,0.00768,0.17631,0.27086,0.01315,0.08172,0.6899,0.01737,0.188,0.25218,0.0204,0.07879,0.69867,0.02561,0.00684,0.20854,0.02276,-0.00941,0.52419,0.04318
1340,0.22408,0.28264,0.00855,0.10358,0.73323,0.00772,0.17636,0.27095,0.01314,0.08179,0.68998,0.01719,0.18806,0.25227,0.02039,0.07886,0.69876,0.02542,0.00692,0.20856,0.02294,-0.00932,0.52428,0.04318
1341,0.22416,0.28275,0.00842,0.10368,0.73329,0.00774,0.17645,0.27103,0.01315,0.08184,0.69002,0.01703,0.18817,0.25236,0.02038,0.0789,0.69882,0.02525,0.00705,0.20857,0.02307,-0.00935,0.52439,0.04315
1342,0.22427,0.28283,0.00828,0.10374,0.7333,0.00778,0.17657,0.27111,0.01313,0.08184,0.69003,0.01688,0.18831,0.25244,0.02036,0.07889,0.69883,0.02508,0.0072,0.20861,0.02316,-0.00949,0.52449,0.04309
1343,0.2244,0.28289,0.00816,0.1037,0.73329,0.00783,0.17671,0.27117,0.01304,0.08174,0.69,0.01672,0.18844,0.25252,0.0203,0.07878,0.69883,0.0249,0.00733,0.20868,0.02321,-0.00972,0.52455,0.04302
1344,0.22453,0.28293,0.00809,0.10355,0.7333,0.0079,0.17683,0.27124,0.01289,0.08155,0.68999,0.01656,0.18855,0.25261,0.0202,0.07856,0.69883,0.02471,0.00743,0.20882,0.02324,-0.00999,0.52459,0.04293
1345,0.22465,0.28299,0.00803,0.10331,0.73338,0.00795,0.17693,0.27134,0.01273,0.08128,0.69003,0.01642,0.18865,0.25272,0.0201,0.07828,0.69888,0.02455,0.0075,0.20904,0.02326,-0.01024,0.52462,0.04278
1346,0.22476,0.28309,0.00797,0.103,0.73354,0.00795,0.17702,0.27149,0.01263,0.081,0.69018,0.01634,0.18872,0.25288,0.02005,0.07798,0.69902,0.02447,0.00755,0.20934,0.0233,-0.01043,0.52469,0.04252
1347,0.22485,0.28325,0.00787,0.1027,0.73379,0.00789,0.17711,0.2717,0.01262,0.08074,0.69041,0.01633,0.1888,0.25309,0.02007,0.0777,0.69923,0.02447,0.00759,0.20969,0.02338,-0.01056,0.52479,0.04212
1348,0.22493,0.28347,0.00776,0.10245,0.73408,0.00779,0.1772,0.27195,0.01267,0.08054,0.69069,0.01638,0.18888,0.25335,0.02015,0.07749,0.69949,0.02454,0.00764,0.21007,0.02352,-0.01063,0.52491,0.04161
1349,0.22501,0.28369,0.00763,0.1023,0.73433,0.00771,0.17729,0.27221,0.01275,0.08044,0.69096,0.01646,0.18896,0.25361,0.02023,0.07737,0.69973,0.02465,0.00769,0.21047,0.02371,-0.01065,0.52504,0.04104
1350,0.2251,0.28387,0.0075,0.10229,0.73451,0.00769,0.17738,0.27243,0.01279,0.08045,0.69115,0.01655,0.18904,0.25382,0.02028,0.07739,0.69988,0.02478,0.00773,0.21087,0.02394,-0.01065,0.52513,0.04043
1351,0.22519,0.28396,0.00738,0.10244,0.73457,0.00774,0.17747,0.27259,0.01276,0.08058,0.69123,0.01662,0.18911,0.25398,0.02027,0.07752,0.69993,0.02488,0.00777,0.21122,0.02418,-0.01063,0.52518,0.03981
1352,0.22528,0.28398,0.00729,0.10269,0.73455,0.00783,0.17755,0.27267,0.01267,0.08079,0.69121,0.01664,0.18918,0.25406,0.0202,0.07772,0.69989,0.02493,0.00779,0.21152,0.02441,-0.01059,0.52517,0.03919
1353,0.22537,0.28397,0.00723,0.10295,0.73449,0.00792,0.17761,0.27271,0.01258,0.08102,0.69114,0.01658,0.18924,0.2541,0.02012,0.07794,0.69981,0.02489,0.00781,0.21173,0.02462,-0.01052,0.52511,0.03861
1354,0.22545,0.28394,0.00723,0.10313,0.73444,0.00797,0.17768,0.27272,0.01252,0.08117,0.69107,0.01646,0.1893,0.25411,0.02008,0.07808,0.69972,0.02477,0.00785,0.21186,0.02478,-0.01043,0.52502,0.03809
1355,0.22555,0.28393,0.00728,0.10316,0.73443,0.00795,0.17777,0.27273,0.0125,0.0812,0.69103,0.0163,0.18939,0.25413,0.02007,0.0781,0.69968,0.02461,0.00793,0.21193,0.0249,-0.01036,0.52492,0.03765
1356,0.22568,0.28396,0.00738,0.10303,0.73447,0.00787,0.17789,0.27276,0.0125,0.0811,0.69104,0.01612,0.1895,0.25415,0.02007,0.07798,0.69967,0.02444,0.00805,0.21197,0.02499,-0.01032,0.52483,0.03731
1357,0.22583,0.28403,0.0075,0.10278,0.73454,0.00775,0.17803,0.27282,0.01249,0.08089,0.69108,0.01599,0.18966,0.25422,0.02004,0.07777,0.6997,0.02431,0.0082,0.21202,0.02503,-0.01034,0.52476,0.0371
