Unnamed: 0_level_0,FullBody_CoG_pos,FullBody_CoG_pos,FullBody_CoG_pos,L_Hand_CoG_pos,L_Hand_CoG_pos,L_Hand_CoG_pos,R_Hand_CoG_pos,R_Hand_CoG_pos,R_Hand_CoG_pos,L_Forearm_CoG_pos,L_Forearm_CoG_pos,L_Forearm_CoG_pos,R_Forearm_CoG_pos,R_Forearm_CoG_pos,R_Forearm_CoG_pos,L_UpperArm_CoG_pos,L_UpperArm_CoG_pos,L_UpperArm_CoG_pos,R_UpperArm_CoG_pos,R_UpperArm_CoG_pos,R_UpperArm_CoG_pos,Head_Shadow_CoG_pos,Head_Shadow_CoG_pos,Head_Shadow_CoG_pos,Head_CoG_pos,Head_CoG_pos,Head_CoG_pos,Trunk_CoG_pos,Trunk_CoG_pos,Trunk_CoG_pos,Pelvis_CoG_pos,Pelvis_CoG_pos,Pelvis_CoG_pos,L_Thigh_CoG_pos,L_Thigh_CoG_pos,L_Thigh_CoG_pos,R_Thigh_CoG_pos,R_Thigh_CoG_pos,R_Thigh_CoG_pos,L_Shank_CoG_pos,L_Shank_CoG_pos,L_Shank_CoG_pos,R_Shank_CoG_pos,R_Shank_CoG_pos,R_Shank_CoG_pos,L_Foot_CoG_pos,L_Foot_CoG_pos,L_Foot_CoG_pos,R_Foot_CoG_pos,R_Foot_CoG_pos,R_Foot_CoG_pos,L_Foot_Shadow_CoG_pos,L_Foot_Shadow_CoG_pos,L_Foot_Shadow_CoG_pos,R_Foot_Shadow_CoG_pos,R_Foot_Shadow_CoG_pos,R_Foot_Shadow_CoG_pos
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1996,0.09938,0.34824,0.99052,0.11159,0.60135,1.51322,0.32005,0.47056,1.49193,0.00296,0.55991,1.33646,0.35086,0.33671,1.32729,-0.05344,0.47909,1.33783,0.30871,0.22054,1.33399,0.14131,0.38855,1.6292,0.11688,0.33702,1.61519,0.08556,0.29713,1.24725,0.06444,0.29772,0.93219,0.04019,0.45753,0.74317,0.16024,0.2705,0.72655,0.06921,0.57303,0.33527,0.12587,0.27851,0.30671,0.07856,0.62992,0.03329,0.1138,0.25245,0.02416,0.08294,0.6426,0.03174,0.13267,0.24938,0.02385
1997,0.09978,0.3484,0.98986,0.11183,0.59933,1.51401,0.32143,0.46865,1.49143,0.00328,0.55906,1.33704,0.35217,0.33504,1.32651,-0.05303,0.47854,1.33778,0.30937,0.21922,1.33253,0.14163,0.38627,1.62856,0.11715,0.33485,1.61426,0.08553,0.29676,1.24614,0.0644,0.29833,0.93137,0.04097,0.45923,0.7432,0.16095,0.27137,0.7256,0.07044,0.57506,0.33613,0.12718,0.27937,0.30612,0.07874,0.63011,0.03373,0.11428,0.25235,0.02376,0.08313,0.64278,0.03206,0.13314,0.24922,0.02344
1998,0.10018,0.34866,0.98932,0.11225,0.59722,1.51475,0.32275,0.46644,1.49108,0.00372,0.55814,1.33765,0.35351,0.33327,1.32574,-0.05253,0.47804,1.33779,0.31005,0.21785,1.33097,0.14198,0.38396,1.62789,0.11748,0.33263,1.61331,0.08548,0.2964,1.24505,0.06426,0.29897,0.93063,0.04185,0.46147,0.74363,0.16155,0.27213,0.72468,0.07194,0.57805,0.3378,0.12847,0.28005,0.30555,0.07895,0.63057,0.0347,0.11481,0.25212,0.02334,0.08336,0.64321,0.03286,0.13365,0.2489,0.023
1999,0.10061,0.34902,0.98895,0.11291,0.59497,1.5155,0.32399,0.46393,1.49098,0.00428,0.55717,1.33834,0.35484,0.33144,1.32505,-0.05197,0.47759,1.33791,0.3108,0.21648,1.32942,0.14238,0.38163,1.6272,0.11789,0.33037,1.61234,0.08544,0.29601,1.24399,0.06402,0.2996,0.93,0.04285,0.46432,0.74456,0.16203,0.27278,0.7238,0.07377,0.58212,0.34044,0.12973,0.28054,0.30501,0.0792,0.63131,0.03637,0.1153,0.25175,0.02294,0.08362,0.6439,0.03427,0.13413,0.24843,0.02258
2000,0.10106,0.34947,0.98876,0.1138,0.59248,1.51635,0.32507,0.46119,1.49118,0.00494,0.55621,1.33916,0.35614,0.32966,1.32452,-0.05139,0.47716,1.33815,0.31165,0.21518,1.32798,0.14285,0.37932,1.62649,0.1184,0.32813,1.61134,0.08545,0.29554,1.24301,0.0637,0.30021,0.92945,0.044,0.46777,0.74605,0.16243,0.27335,0.72297,0.07596,0.58736,0.34422,0.13091,0.28087,0.3045,0.07951,0.63235,0.03891,0.11571,0.25128,0.0226,0.08392,0.64487,0.03644,0.13451,0.24786,0.02221
2001,0.10158,0.35001,0.98878,0.11485,0.58965,1.51738,0.32597,0.4584,1.4917,0.00566,0.55523,1.34013,0.35737,0.32804,1.3242,-0.05081,0.47672,1.33851,0.31263,0.21398,1.32673,0.14339,0.37704,1.62577,0.11898,0.32592,1.61031,0.08553,0.29497,1.2421,0.06334,0.30079,0.92899,0.04531,0.47179,0.74812,0.16279,0.27387,0.72215,0.07853,0.59371,0.34925,0.132,0.2811,0.30403,0.07988,0.63364,0.04247,0.11598,0.25077,0.02234,0.08427,0.64607,0.03954,0.13477,0.24726,0.02193
2002,0.10215,0.35065,0.989,0.11593,0.58643,1.51862,0.32669,0.4557,1.49247,0.00639,0.55421,1.34125,0.35855,0.32664,1.32408,-0.05025,0.47625,1.33896,0.31377,0.2129,1.32569,0.14397,0.37479,1.62501,0.1196,0.32375,1.60923,0.08566,0.29429,1.24127,0.06299,0.30137,0.92856,0.0468,0.47631,0.75079,0.16316,0.27443,0.72133,0.08144,0.60106,0.35556,0.13302,0.28131,0.30357,0.08029,0.63511,0.04721,0.11614,0.25029,0.02215,0.08464,0.64742,0.04374,0.13491,0.2467,0.02174
2003,0.10277,0.35136,0.98941,0.11697,0.58285,1.52005,0.3273,0.45315,1.49337,0.0071,0.55311,1.34251,0.35975,0.32543,1.32413,-0.04967,0.47572,1.33946,0.31507,0.21194,1.32481,0.14456,0.37256,1.62418,0.12024,0.3216,1.60808,0.08581,0.29348,1.2405,0.06268,0.30199,0.92818,0.04845,0.48127,0.75403,0.16358,0.2751,0.7205,0.08462,0.60919,0.36315,0.13397,0.28157,0.30311,0.08068,0.63667,0.05327,0.1162,0.2499,0.02204,0.08498,0.64882,0.0492,0.13496,0.24624,0.02164
2004,0.10344,0.35214,0.98998,0.11792,0.57896,1.52159,0.32786,0.45081,1.49433,0.00778,0.55188,1.34386,0.36108,0.32435,1.3243,-0.04904,0.47513,1.33997,0.31652,0.2111,1.32401,0.14516,0.37034,1.62325,0.12088,0.31945,1.60685,0.08595,0.29255,1.23977,0.06243,0.30267,0.92782,0.05025,0.48659,0.75782,0.16407,0.27591,0.71965,0.08795,0.61785,0.37198,0.1349,0.28194,0.30266,0.08099,0.63823,0.06077,0.11622,0.24963,0.022,0.08525,0.65017,0.0561,0.13497,0.24591,0.02163
2005,0.10413,0.35299,0.9907,0.11884,0.57484,1.5232,0.32838,0.44869,1.4953,0.00846,0.55055,1.34528,0.3626,0.32338,1.32457,-0.04831,0.47447,1.34049,0.31808,0.21039,1.32321,0.14578,0.36812,1.62217,0.12154,0.3173,1.60551,0.08604,0.29151,1.23903,0.06223,0.30348,0.9275,0.05216,0.4922,0.76213,0.1646,0.2769,0.71882,0.09132,0.62676,0.38201,0.13583,0.28243,0.30224,0.08116,0.63975,0.06983,0.11624,0.24948,0.02204,0.08539,0.65147,0.0646,0.13498,0.24572,0.0217
2006,0.10483,0.35391,0.99156,0.1198,0.57056,1.52482,0.3288,0.4468,1.49631,0.00919,0.54915,1.34674,0.36431,0.32255,1.32497,-0.04747,0.47378,1.34102,0.31973,0.20983,1.32243,0.14643,0.36589,1.62095,0.12222,0.31514,1.60405,0.08609,0.2904,1.23826,0.06206,0.30443,0.92723,0.05411,0.49805,0.76692,0.16517,0.2781,0.71801,0.09464,0.63572,0.39322,0.13678,0.28306,0.30187,0.08112,0.64128,0.0805,0.11628,0.24942,0.02216,0.08533,0.65277,0.07478,0.13502,0.24562,0.02184
2007,0.10552,0.35492,0.99256,0.12087,0.56617,1.52642,0.32903,0.44509,1.49744,0.00998,0.54774,1.34824,0.36613,0.32193,1.32554,-0.04654,0.4731,1.34159,0.32142,0.20948,1.32171,0.14714,0.36367,1.61959,0.1229,0.313,1.60247,0.0861,0.28927,1.23745,0.06186,0.30558,0.92704,0.05607,0.50409,0.77221,0.16575,0.27955,0.71726,0.09784,0.64459,0.40557,0.1378,0.28385,0.30158,0.08088,0.64292,0.09279,0.11636,0.24942,0.02235,0.08506,0.65423,0.08669,0.13509,0.24559,0.02204
