Unnamed: 0_level_0,FullBody_CoG_vel,FullBody_CoG_vel,FullBody_CoG_vel,L_Hand_CoG_vel,L_Hand_CoG_vel,L_Hand_CoG_vel,R_Hand_CoG_vel,R_Hand_CoG_vel,R_Hand_CoG_vel,L_Forearm_CoG_vel,L_Forearm_CoG_vel,L_Forearm_CoG_vel,R_Forearm_CoG_vel,R_Forearm_CoG_vel,R_Forearm_CoG_vel,L_UpperArm_CoG_vel,L_UpperArm_CoG_vel,L_UpperArm_CoG_vel,R_UpperArm_CoG_vel,R_UpperArm_CoG_vel,R_UpperArm_CoG_vel,Head_CoG_vel,Head_CoG_vel,Head_CoG_vel,Head_Shadow_CoG_vel,Head_Shadow_CoG_vel,Head_Shadow_CoG_vel,Trunk_CoG_vel,Trunk_CoG_vel,Trunk_CoG_vel,Pelvis_CoG_vel,Pelvis_CoG_vel,Pelvis_CoG_vel,L_Thigh_CoG_vel,L_Thigh_CoG_vel,L_Thigh_CoG_vel,R_Thigh_CoG_vel,R_Thigh_CoG_vel,R_Thigh_CoG_vel,L_Shank_CoG_vel,L_Shank_CoG_vel,L_Shank_CoG_vel,R_Shank_CoG_vel,R_Shank_CoG_vel,R_Shank_CoG_vel,L_Foot_CoG_vel,L_Foot_CoG_vel,L_Foot_CoG_vel,R_Foot_CoG_vel,R_Foot_CoG_vel,R_Foot_CoG_vel,L_Foot_Shadow_CoG_vel,L_Foot_Shadow_CoG_vel,L_Foot_Shadow_CoG_vel,R_Foot_Shadow_CoG_vel,R_Foot_Shadow_CoG_vel,R_Foot_Shadow_CoG_vel
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1322,0.04171,-0.13048,0.01361,0.06489,-0.28005,0.2229,0.06712,-0.25831,0.01363,0.08184,-0.15408,0.1172,0.05223,-0.21437,-0.03282,0.07401,-0.13196,0.0509,0.06243,-0.2073,-0.05926,0.08319,-0.29821,0.0089,0.09123,-0.30434,0.01878,0.0461,-0.18563,0.00992,0.01858,-0.11134,0.00086,0.03989,-0.05933,0.03493,0.022,-0.07615,-0.00933,0.03938,0.00057,0.0551,0.0204,0.00569,-0.00545,0.02697,0.00913,0.0449,0.00181,0.01837,0.00291,0.02453,0.00959,0.04176,0.00164,0.01678,0.00567
1323,0.04959,-0.12673,0.01006,0.06572,-0.27405,0.23088,0.07845,-0.24254,0.02335,0.10893,-0.15821,0.11338,0.05533,-0.194,-0.02868,0.09813,-0.12798,0.03812,0.06835,-0.19019,-0.05702,0.08744,-0.28948,0.00555,0.0977,-0.29756,0.01894,0.05204,-0.17797,0.00621,0.02834,-0.11394,-0.00566,0.04789,-0.05916,0.02904,0.03298,-0.0745,-0.01269,0.04647,0.0031,0.05425,0.02298,0.00306,-0.00749,0.0267,0.00028,0.04276,-0.00246,0.01857,0.00233,0.02329,0.00096,0.03904,-0.00257,0.01755,0.00431
1324,0.0548,-0.12463,0.00771,0.06748,-0.26965,0.23679,0.08633,-0.22376,0.03174,0.12263,-0.15996,0.11429,0.05538,-0.17141,-0.02455,0.10981,-0.13123,0.03671,0.0704,-0.17333,-0.05432,0.09385,-0.28198,0.0018,0.10211,-0.29023,0.01894,0.05389,-0.17313,0.00222,0.03723,-0.11889,-0.00978,0.05552,-0.0628,0.02592,0.04193,-0.07156,-0.01527,0.05394,0.00112,0.05549,0.0247,0.00428,-0.0085,0.02485,-0.01012,0.04298,-0.00678,0.01857,0.00198,0.02099,-0.00936,0.03883,-0.00679,0.01837,0.00294
1325,0.05576,-0.12318,0.00698,0.07537,-0.26221,0.24124,0.08961,-0.20412,0.03569,0.12435,-0.15179,0.12214,0.05315,-0.15178,-0.02066,0.10718,-0.13354,0.05013,0.06692,-0.16124,-0.04955,0.09791,-0.27369,-0.00088,0.10314,-0.28142,0.019,0.05133,-0.17039,-0.00185,0.04195,-0.12344,-0.0106,0.0593,-0.06893,0.02503,0.04635,-0.06727,-0.01583,0.05822,-0.00519,0.0565,0.02535,0.00921,-0.00753,0.02146,-0.01686,0.04514,-0.00957,0.01863,0.00361,0.01771,-0.01612,0.04132,-0.00949,0.01915,0.00381
1326,0.0529,-0.12133,0.0074,0.09172,-0.25127,0.24386,0.08827,-0.186,0.03461,0.1205,-0.1339,0.13453,0.05016,-0.13843,-0.01669,0.09621,-0.12848,0.07213,0.05926,-0.15586,-0.04206,0.09747,-0.26228,-0.00141,0.10121,-0.26958,0.01903,0.04538,-0.1686,-0.00545,0.04182,-0.12513,-0.00881,0.05758,-0.07545,0.02449,0.04655,-0.0624,-0.014,0.0574,-0.01343,0.05492,0.02604,0.01533,-0.0046,0.01775,-0.01723,0.04692,-0.00947,0.01847,0.00683,0.01463,-0.01659,0.04416,-0.00933,0.0194,0.00662
1327,0.04811,-0.11825,0.00829,0.11382,-0.2408,0.24337,0.08379,-0.17155,0.03093,0.11579,-0.11265,0.14636,0.04826,-0.13102,-0.01255,0.08503,-0.11415,0.09149,0.05186,-0.1555,-0.0334,0.09422,-0.24682,-4e-05,0.09811,-0.25373,0.01852,0.03812,-0.16649,-0.00745,0.03837,-0.12215,-0.0057,0.05114,-0.0801,0.02307,0.04449,-0.05754,-0.01071,0.05176,-0.02094,0.0498,0.02809,0.01976,-0.00098,0.01559,-0.01201,0.046,-0.00596,0.01777,0.00986,0.01351,-0.01155,0.04459,-0.00582,0.01872,0.00946
1328,0.04332,-0.11359,0.00907,0.13412,-0.23603,0.23841,0.07818,-0.16177,0.02728,0.11023,-0.09588,0.15216,0.04901,-0.12782,-0.00825,0.07847,-0.09359,0.09873,0.04948,-0.1574,-0.02588,0.09187,-0.22895,0.00187,0.09569,-0.23488,0.01684,0.03192,-0.16285,-0.00657,0.03333,-0.11405,-0.00248,0.04199,-0.08159,0.02049,0.0416,-0.05294,-0.00801,0.04304,-0.02635,0.04186,0.03172,0.02095,0.00132,0.01658,-0.00422,0.0423,0.00047,0.01659,0.01152,0.01574,-0.004,0.04214,0.00058,0.01731,0.01126
1329,0.03952,-0.10757,0.00916,0.14315,-0.23984,0.22881,0.07297,-0.15687,0.02445,0.1019,-0.08873,0.14784,0.05268,-0.12854,-0.00374,0.07698,-0.07315,0.08994,0.05362,-0.16057,-0.02054,0.09296,-0.2122,0.00276,0.09495,-0.21628,0.01394,0.02817,-0.15677,-0.00264,0.02752,-0.10184,-0.00044,0.0323,-0.07959,0.01685,0.03825,-0.04816,-0.00806,0.03372,-0.02975,0.03244,0.03605,0.01959,0.00054,0.02065,0.00239,0.03687,0.00781,0.01504,0.01101,0.02113,0.00233,0.03766,0.00789,0.01555,0.01127
1330,0.03689,-0.10051,0.00788,0.13486,-0.25028,0.21639,0.06907,-0.15671,0.02213,0.09119,-0.09174,0.13285,0.05767,-0.13337,0.00054,0.07894,-0.05918,0.06772,0.06174,-0.16488,-0.01702,0.09673,-0.19984,0.00177,0.09576,-0.20191,0.01053,0.02667,-0.14811,0.00266,0.02151,-0.08709,-0.00095,0.02425,-0.0739,0.01222,0.03486,-0.04191,-0.01157,0.0261,-0.03182,0.02226,0.03993,0.01805,-0.00361,0.02563,0.005,0.02955,0.01296,0.01311,0.00725,0.02743,0.00461,0.03089,0.01306,0.01363,0.00803
