Unnamed: 0_level_0,FP1,FP1,FP1,FP2,FP2,FP2
ITEM,X,Y,Z,X,Y,Z
521,9.16069,-98.99811,493.45825,-9.43096,43.56086,330.67227
522,8.09154,-93.21751,468.77725,-9.18433,46.3703,353.83752
523,7.04586,-87.93076,445.10324,-9.10349,48.91465,376.0343
524,6.0973,-83.06004,422.46085,-9.15264,51.19474,397.34424
525,5.24842,-78.42327,400.70251,-9.23658,53.26617,417.99811
526,4.48599,-73.82191,379.56635,-9.23313,55.23054,438.25436
527,3.82238,-69.08585,358.78897,-9.04835,57.19697,458.24585
528,3.26926,-64.14615,338.17529,-8.66493,59.24062,477.88647
529,2.82656,-59.03148,317.61624,-8.13022,61.3401,496.95749
530,2.47058,-53.83179,297.10269,-7.50619,63.38881,515.28516
531,2.14764,-48.63612,276.72034,-6.85288,65.29058,532.84192
532,1.81138,-43.51962,256.64325,-6.21111,66.99942,549.74066
533,1.44148,-38.59571,237.15816,-5.57775,68.48493,566.17395
534,1.00093,-34.0164,218.64925,-4.91778,69.7112,582.31396
535,0.44774,-29.93812,201.53583,-4.15657,70.64619,598.1911
536,-0.20749,-26.49868,186.17735,-3.17155,71.29972,613.6308
537,-0.93224,-23.81215,172.82712,-1.83332,71.74234,628.26239
538,-1.68133,-21.92519,161.63002,-0.11388,72.0241,641.66785
539,-2.39789,-20.76257,152.53888,1.83694,72.1379,653.45422
540,-3.0089,-20.14138,145.30087,3.71832,72.02673,663.32202
541,-3.44158,-19.84116,139.60442,5.14431,71.60553,671.14325
542,-3.64756,-19.67069,135.14003,5.76799,70.73609,677.04742
543,-3.62776,-19.48375,131.54646,5.49296,69.30834,681.41821
544,-3.42702,-19.15901,128.40623,4.54538,67.3602,684.85468
545,-3.10755,-18.60025,125.32015,3.35097,65.09341,688.00885
546,-2.72183,-17.79318,121.96836,2.32855,62.80262,691.33191
547,-2.30353,-16.7717,118.13498,1.74879,60.78382,695.04132
548,-1.90515,-15.55144,113.69896,1.66065,59.25588,699.14703
549,-1.59779,-14.14061,108.63047,1.87765,58.29217,703.3996
550,-1.45446,-12.62267,103.0136,2.11531,57.84726,707.33716
551,-1.49639,-11.10976,97.07555,2.19131,57.80324,710.50934
552,-1.69664,-9.70422,91.1636,2.11548,58.00381,712.72388
553,-1.96954,-8.47661,85.69591,2.03889,58.31315,714.01752
554,-2.18494,-7.4621,81.11512,2.12708,58.63974,714.58038
555,-2.20379,-6.66283,77.80871,2.46236,58.91373,714.71167
556,-1.93325,-6.07694,76.04269,3.09854,59.09718,714.758
557,-1.34769,-5.70297,75.86669,4.09128,59.2345,715.16034
558,-0.49639,-5.49712,77.05709,5.47101,59.44797,716.505
559,0.54059,-5.3733,79.22379,7.23561,59.89109,719.39618
560,1.70727,-5.14917,81.8092,9.36728,60.74131,724.2478
561,2.93263,-4.56746,84.02358,11.80093,62.21046,731.18634
562,4.14087,-3.38124,84.90223,14.39045,64.5273,740.03839
563,5.26904,-1.40925,83.43575,16.90938,67.88422,750.27338
564,6.22819,1.36004,78.82095,19.10126,72.35928,761.17181
565,6.88276,4.74128,70.67081,20.67891,77.92678,772.20508
566,7.11886,8.32918,59.23534,21.35853,84.47285,783.33807
567,6.87011,11.53396,45.55692,21.01675,91.76444,795.0683
568,6.11846,13.64871,31.29758,19.79847,99.49284,808.06799
569,4.92818,13.99339,18.38518,18.15703,107.33406,822.565
570,3.45913,12.33647,8.41612,16.75096,115.04214,837.92883
571,1.91217,9.18639,2.146,16.14866,122.45251,852.79486
572,0.49491,5.62501,-0.81181,16.61069,129.45512,865.47021
573,-0.52,2.8213,-1.69083,17.96207,135.97885,874.59814
574,-1.05653,1.11268,-1.46642,19.64556,141.91164,879.39026
575,-1.27198,0.25085,-0.84088,20.90753,147.12651,879.78406
576,-1.30631,-0.04377,-0.17583,21.08267,151.50241,876.62476
577,-1.2325,-0.01037,0.33447,19.79771,154.9381,871.47949
578,-1.12235,0.16812,0.66125,17.01452,157.34413,866.25238
579,-1.01747,0.35371,0.84662,13.11011,158.69508,862.54449
580,-0.96026,0.47384,0.94937,8.81118,159.09227,861.15344
581,-0.93766,0.53603,0.98195,4.95186,158.75592,862.04803
582,-0.92474,0.55817,0.96315,2.15062,157.93251,864.75385
583,-0.9048,0.54706,0.91287,0.58119,156.78592,868.75671
584,-0.87643,0.50931,0.84782,0.01894,155.34256,873.55499
585,-0.83859,0.45345,0.79684,0.15715,153.56436,878.57208
586,-0.77664,0.4028,0.75737,0.84711,151.52054,883.08289
587,-0.68953,0.36994,0.73248,2.03999,149.41782,886.08844
588,-0.59483,0.34877,0.72201,3.60007,147.44707,886.52051
589,-0.51102,0.34734,0.72081,5.19691,145.61378,883.6001
590,-0.46018,0.36555,0.72824,6.41235,143.7471,877.06531
591,-0.45619,0.39368,0.73498,6.92439,141.64355,867.46643
