Unnamed: 0_level_0,R_HEEL,R_HEEL,R_HEEL,L_HEEL,L_HEEL,L_HEEL
ITEM,X,Y,Z,X,Y,Z
1996,0.01404,0.22179,0.01654,0.02289,0.53652,0.03735
1997,0.0144,0.222,0.01642,0.02301,0.5368,0.03869
1998,0.01478,0.22219,0.01628,0.02309,0.53743,0.04115
1999,0.01511,0.22232,0.01617,0.02319,0.53844,0.04502
2000,0.01534,0.22237,0.01608,0.02342,0.53985,0.05054
2001,0.01547,0.22235,0.01601,0.02385,0.54165,0.05784
2002,0.01549,0.22231,0.01594,0.02446,0.54385,0.06699
2003,0.01546,0.22226,0.01585,0.02511,0.54643,0.07789
2004,0.01541,0.22227,0.01576,0.02564,0.54935,0.09032
2005,0.01537,0.22234,0.01569,0.02592,0.55247,0.104
2006,0.01537,0.22248,0.0157,0.02596,0.55561,0.11866
2007,0.0154,0.22269,0.01583,0.02589,0.55862,0.13411
2008,0.01545,0.22292,0.01615,0.02594,0.56143,0.15022
2009,0.0155,0.22314,0.01666,0.02636,0.56405,0.16692
2010,0.01552,0.22333,0.01727,0.02728,0.56668,0.18409
2011,0.01549,0.22347,0.01788,0.02876,0.56958,0.20155
2012,0.01541,0.22355,0.01839,0.03071,0.57312,0.21907
2013,0.01531,0.2236,0.01876,0.03307,0.57767,0.23638
2014,0.01522,0.22362,0.01902,0.03583,0.58357,0.25327
2015,0.01517,0.22364,0.01926,0.03908,0.59108,0.26964
2016,0.01515,0.22369,0.01953,0.04296,0.60042,0.28544
2017,0.01515,0.22377,0.0198,0.04762,0.61172,0.30071
2018,0.01518,0.2239,0.01999,0.05317,0.62509,0.31552
2019,0.01519,0.2241,0.02002,0.05955,0.64062,0.32996
2020,0.01519,0.2244,0.01984,0.0666,0.65834,0.34413
2021,0.01517,0.22479,0.01947,0.0741,0.67826,0.35819
2022,0.01516,0.22523,0.01897,0.08187,0.70036,0.37229
2023,0.01517,0.22567,0.01837,0.08982,0.72459,0.38663
2024,0.01522,0.22612,0.0177,0.09796,0.75091,0.4014
2025,0.01525,0.22658,0.01699,0.1063,0.77922,0.41679
2026,0.01519,0.22705,0.01626,0.11484,0.80936,0.43295
2027,0.01501,0.22747,0.01558,0.12351,0.84109,0.45003
2028,0.01477,0.22779,0.01502,0.13225,0.8741,0.46811
2029,0.01457,0.22799,0.0146,0.14103,0.90808,0.48724
2030,0.01447,0.22807,0.01432,0.14983,0.94269,0.50747
2031,0.01451,0.22811,0.01416,0.15868,0.97765,0.52886
2032,0.01467,0.22817,0.01411,0.16758,1.01268,0.55146
2033,0.01488,0.22832,0.01415,0.17645,1.04752,0.57528
2034,0.01504,0.22862,0.01428,0.18513,1.0819,0.60028
2035,0.01508,0.22907,0.0145,0.19335,1.11553,0.62634
2036,0.01498,0.22964,0.01479,0.20087,1.14814,0.65321
2037,0.01477,0.2303,0.01514,0.20749,1.17941,0.68055
2038,0.01451,0.23105,0.01549,0.21308,1.20907,0.7079
2039,0.01424,0.2319,0.01583,0.21754,1.23691,0.73476
2040,0.01397,0.23286,0.01616,0.22066,1.26296,0.76064
2041,0.01367,0.23392,0.01649,0.22216,1.28743,0.78517
2042,0.01335,0.23502,0.01686,0.22175,1.31063,0.80803
2043,0.01299,0.23614,0.01725,0.21923,1.33286,0.82887
2044,0.01263,0.23725,0.01763,0.21466,1.35426,0.84727
2045,0.01224,0.23833,0.01797,0.20846,1.37481,0.86279
2046,0.0118,0.23936,0.01825,0.2013,1.39434,0.87502
2047,0.01132,0.24029,0.01847,0.19395,1.41261,0.88371
2048,0.01084,0.24109,0.01864,0.18707,1.42938,0.88886
2049,0.01042,0.24176,0.01879,0.18115,1.44453,0.89075
2050,0.01011,0.24233,0.01893,0.17648,1.45799,0.88992
2051,0.0099,0.2428,0.01907,0.17316,1.4698,0.8871
2052,0.00977,0.24317,0.01921,0.17111,1.47998,0.88311
2053,0.0097,0.24347,0.01933,0.17004,1.48858,0.87871
2054,0.00962,0.24371,0.01943,0.16953,1.49571,0.87453
2055,0.00952,0.24391,0.01953,0.16913,1.50165,0.87097
2056,0.0094,0.24411,0.01965,0.16853,1.50677,0.86814
2057,0.00929,0.24431,0.01981,0.16775,1.51156,0.86587
2058,0.00924,0.2445,0.02,0.16719,1.51641,0.86378
2059,0.00925,0.24464,0.02018,0.1675,1.52137,0.86134
2060,0.0093,0.2447,0.02029,0.16917,1.52589,0.85799
2061,0.00937,0.24462,0.02027,0.17212,1.52906,0.85322
2062,0.00948,0.24439,0.02012,0.1756,1.53004,0.84664
2063,0.00966,0.24404,0.01986,0.17845,1.52861,0.83794
2064,0.00989,0.24363,0.01957,0.17964,1.52511,0.82685
2065,0.01014,0.24319,0.01931,0.17862,1.52007,0.81309
2066,0.01035,0.24272,0.0191,0.17533,1.51381,0.79634
2067,0.0105,0.24225,0.01889,0.17001,1.50628,0.77635
2068,0.01058,0.2418,0.01862,0.163,1.49723,0.75308
2069,0.01059,0.2414,0.01822,0.1547,1.48627,0.7268
