Unnamed: 0_level_0,L_MTP_ANGLE,L_MTP_ANGLE,L_MTP_ANGLE,R_MTP_ANGLE,R_MTP_ANGLE,R_MTP_ANGLE,L_ANKLE_ANGLE,L_ANKLE_ANGLE,L_ANKLE_ANGLE,R_ANKLE_ANGLE,R_ANKLE_ANGLE,R_ANKLE_ANGLE,L_KNEE_ANGLE,L_KNEE_ANGLE,L_KNEE_ANGLE,R_KNEE_ANGLE,R_KNEE_ANGLE,R_KNEE_ANGLE,L_HIP_ANGLE,L_HIP_ANGLE,L_HIP_ANGLE,R_HIP_ANGLE,R_HIP_ANGLE,R_HIP_ANGLE,L_SHOULDER_ANGLE,L_SHOULDER_ANGLE,L_SHOULDER_ANGLE,R_SHOULDER_ANGLE,R_SHOULDER_ANGLE,R_SHOULDER_ANGLE,L_ELBOW_ANGLE,L_ELBOW_ANGLE,L_ELBOW_ANGLE,R_ELBOW_ANGLE,R_ELBOW_ANGLE,R_ELBOW_ANGLE,L_WRIST_ANGLE,L_WRIST_ANGLE,L_WRIST_ANGLE,R_WRIST_ANGLE,R_WRIST_ANGLE,R_WRIST_ANGLE,NECK_ANGLE,NECK_ANGLE,NECK_ANGLE,NECK_ANGLE_SHADOW,NECK_ANGLE_SHADOW,NECK_ANGLE_SHADOW,Trunk_Joint_Angle,Trunk_Joint_Angle,Trunk_Joint_Angle
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2874,-7.67881,-0.0,-0.0,-2.13127,-0.0,-0.0,-9.25026,-6.44899,5.95391,15.97692,-1.25322,-23.36021,-16.74171,-0.79076,-0.00125,-22.36165,-3.83807,0.00024,25.58698,10.75085,8.58005,10.79642,3.87637,-13.77778,25.00681,18.10307,-8.66878,40.17659,-10.61526,31.39285,131.56454,-0.00222,-105.09958,120.64574,-0.00022,102.66528,-3.54884,-14.89539,-0.00534,-7.02793,7.66116,-0.00052,-9.45403,-10.1809,7.82497,-32.6599,-12.41138,3.21784,1.44846,2.28724,5.43225
2875,-6.82615,-0.0,-0.0,-2.07973,0.0,-0.0,-9.62192,-6.4323,5.66157,15.86395,-1.22622,-23.14556,-17.52268,-0.81447,-0.00173,-22.33939,-3.83607,0.00032,25.95398,10.83782,8.47628,10.67736,3.78681,-14.05556,25.70928,18.1377,-9.03186,40.58314,-10.64154,31.61049,131.41917,0.00053,-105.60081,120.55923,-0.00029,102.40721,-3.09917,-15.25529,-0.00031,-7.11962,7.63126,-0.00015,-9.5388,-10.20011,7.68065,-32.74948,-12.37306,3.07642,1.39766,2.32072,5.41715
2876,-6.11804,0.0,-0.0,-2.07015,0.0,0.0,-10.08733,-6.41445,5.37828,15.79098,-1.09102,-23.01598,-18.55556,-0.84502,-0.002,-22.30971,-3.77653,0.00043,26.47001,10.94274,8.41329,10.53135,3.66453,-14.24745,26.4503,18.13242,-9.3919,41.02835,-10.6544,31.863,131.26889,0.0041,-105.77539,120.44392,0.0003,102.39844,-2.92911,-15.55982,0.0037,-7.13796,7.53924,-9e-05,-9.63577,-10.19966,7.51858,-32.84978,-12.30978,2.92655,1.33412,2.34839,5.41252
2877,-5.56708,0.0,0.0,-2.06851,-0.0,-0.0,-10.68605,-6.40546,5.09251,15.76906,-0.84491,-22.96572,-19.86262,-0.88648,-0.00188,-22.2951,-3.66881,0.00047,27.13886,11.08027,8.43177,10.3631,3.50847,-14.34309,27.2336,18.1351,-9.71415,41.52158,-10.67277,32.16073,131.12074,0.00741,-105.56345,120.31299,0.00136,102.65082,-2.97127,-15.77005,0.00516,-7.11139,7.44004,-0.00017,-9.72497,-10.18841,7.36471,-32.94107,-12.23975,2.78864,1.23959,2.36787,5.44304
2878,-5.17648,-0.0,-0.0,-2.06156,0.0,-0.0,-11.46609,-6.43194,4.78963,15.80457,-0.51851,-22.96273,-21.46026,-0.94152,-0.00112,-22.3184,-3.5343,0.00037,27.96409,11.26071,8.545,10.18418,3.31434,-14.35504,28.06132,18.18816,-9.97204,42.06398,-10.70642,32.50724,130.99803,0.0088,-104.98558,120.18096,0.00229,103.18882,-3.06475,-15.84785,0.00455,-7.07797,7.36809,-0.00017,-9.77604,-10.18296,7.2422,-32.994,-12.18719,2.67747,1.10093,2.36908,5.52848
2879,-4.95182,-0.0,0.0,-2.05611,0.0,-0.0,-12.46056,-6.51249,4.45133,15.89554,-0.17615,-22.95334,-23.36491,-1.01395,0.00038,-22.39964,-3.39754,0.00012,28.95847,11.48657,8.73453,10.01665,3.0728,-14.31645,28.92608,18.31645,-10.16504,42.64189,-10.75364,32.89011,130.93538,0.00679,-104.07473,120.06333,0.00242,103.98358,-3.09486,-15.78434,0.00314,-7.06015,7.31344,5e-05,-9.75919,-10.19695,7.16357,-32.97978,-12.16955,2.59906,0.92129,2.33575,5.67371
2880,-4.91207,0.0,-0.0,-2.06466,0.0,-0.0,-13.65559,-6.63751,4.05488,16.03008,0.09676,-22.88568,-25.59873,-1.10609,0.00233,-22.55393,-3.27271,-0.00032,30.14431,11.75144,8.96502,9.88969,2.77016,-14.26306,29.8106,18.52725,-10.32507,43.23508,-10.80706,33.28506,130.96619,0.00077,-102.79111,119.97461,0.00154,104.93927,-3.07938,-15.60392,0.00158,-7.04967,7.24103,0.0006,-9.65716,-10.23844,7.12973,-32.88188,-12.19454,2.55102,0.72049,2.24992,5.867
2881,-5.11955,-0.0,0.0,-2.10408,0.0,0.0,-14.95799,-6.77485,3.59008,16.19379,0.22673,-22.75813,-28.18963,-1.21489,0.00388,-22.78938,-3.15079,-0.00095,31.54149,12.03889,9.19316,9.82643,2.39311,-14.19694,30.69531,18.81498,-10.50565,43.83204,-10.86022,33.67128,131.10861,-0.00806,-101.0967,119.92282,0.00015,105.91013,-3.11587,-15.35746,0.00026,-7.03473,7.11679,0.00166,-9.47344,-10.31183,7.13402,-32.70436,-12.26365,2.52536,0.52222,2.09749,6.08326
2882,-5.63919,0.0,-0.0,-2.18142,0.0,0.0,-16.20173,-6.86686,3.06013,16.3732,0.18963,-22.61882,-31.16241,-1.32813,0.004,-23.10369,-3.01272,-0.00161,33.15604,12.32323,9.37626,9.8331,1.93685,-14.0992,31.56765,19.16425,-10.75615,44.44026,-10.91075,34.04622,131.35786,-0.01625,-99.09261,119.90338,-0.00101,106.73287,-3.25222,-15.12141,-1e-05,-7.04491,6.91715,0.00324,-9.23487,-10.41727,7.16597,-32.47432,-12.37294,2.51236,0.34136,1.87369,6.2873
