Unnamed: 0_level_0,R_KNEE_MOMENT,R_KNEE_MOMENT,R_KNEE_MOMENT,L_KNEE_MOMENT,L_KNEE_MOMENT,L_KNEE_MOMENT,R_HIP_MOMENT,R_HIP_MOMENT,R_HIP_MOMENT,L_HIP_MOMENT,L_HIP_MOMENT,L_HIP_MOMENT,R_ANKLE_MOMENT,R_ANKLE_MOMENT,R_ANKLE_MOMENT,L_ANKLE_MOMENT,L_ANKLE_MOMENT,L_ANKLE_MOMENT,WAIST_JOINT_MOMENT,WAIST_JOINT_MOMENT,WAIST_JOINT_MOMENT,NECK_MOMENT,NECK_MOMENT,NECK_MOMENT,L_SHOULDER_MOMENT,L_SHOULDER_MOMENT,L_SHOULDER_MOMENT,R_SHOULDER_MOMENT,R_SHOULDER_MOMENT,R_SHOULDER_MOMENT,L_ELBOW_MOMENT,L_ELBOW_MOMENT,L_ELBOW_MOMENT,R_ELBOW_MOMENT,R_ELBOW_MOMENT,R_ELBOW_MOMENT,L_WRIST_MOMENT,L_WRIST_MOMENT,L_WRIST_MOMENT,R_WRIST_MOMENT,R_WRIST_MOMENT,R_WRIST_MOMENT
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1322,-12.63783,-32.14643,3.52485,-6.4348,0.10607,0.59005,-49.03189,-47.58411,4.91949,0.45692,-4.65972,-0.01442,-10.17484,21.768,-1.36504,-7.94069,3.5898,0.84406,-9.27928,-3.88836,-0.4939,10.47241,3.27761,-3.69254,4.14583,-3.10881,-1.09568,5.75239,-5.02223,0.51514,1.48316,-1.54202,-0.10071,2.06042,0.7785,-0.37661,0.22009,-0.14583,0.03804,0.23415,0.05179,-0.05147
1323,-12.10187,-31.71227,3.29977,-6.98584,-0.03464,0.60288,-46.89709,-46.66455,4.36745,-1.27352,-6.1396,-0.38158,-10.26795,22.29472,-1.41664,-7.8904,3.55389,0.75707,-9.2936,-4.74035,-0.86618,13.41428,-0.66785,-0.03789,3.72605,-2.16283,-0.63829,5.97046,-4.82626,0.93275,1.52892,-1.67725,-0.09261,1.93196,0.75214,-0.26333,0.23553,-0.15109,0.02175,0.22379,0.06377,-0.0265
1324,-11.30798,-31.34063,2.99808,-7.20505,0.04159,0.54976,-43.95859,-44.97911,3.7775,-2.98096,-5.4115,-0.47329,-10.39422,22.73713,-1.50395,-7.83442,3.53019,0.68808,-8.17953,-1.34415,-0.82377,15.85101,-6.33642,2.97524,4.2922,-0.6955,-0.13609,5.77895,-4.5609,1.12112,1.40162,-1.78566,0.03909,1.81354,0.69175,-0.10928,0.24682,-0.15053,-0.00052,0.21055,0.06791,0.007
1325,-10.48005,-31.18631,2.70093,-6.96552,0.1494,0.4246,-41.90861,-43.56112,3.33716,-3.89349,-3.12932,-0.20718,-10.5363,23.07924,-1.61738,-7.78703,3.50554,0.62981,-7.19576,3.8146,-0.32564,16.24524,-11.69254,4.12966,5.30304,0.41516,0.10316,5.27511,-4.38534,1.01051,1.20016,-1.75173,0.16976,1.75952,0.59668,0.03231,0.24642,-0.12961,-0.02242,0.19634,0.05506,0.03638
1326,-9.80191,-31.26174,2.46638,-6.44259,0.10147,0.24707,-41.51151,-43.06954,3.12994,-3.73885,-0.70607,0.21584,-10.68193,23.3403,-1.74291,-7.78038,3.47514,0.56529,-6.59508,7.85607,0.31779,14.26236,-14.8778,3.55075,6.04692,0.73575,0.02261,4.78853,-4.40267,0.72633,1.06451,-1.61262,0.19387,1.80128,0.49743,0.11294,0.23381,-0.09118,-0.04421,0.19269,0.03087,0.04936
1327,-9.3442,-31.44032,2.31144,-5.91305,-0.17955,0.04518,-42.53951,-43.22674,3.17261,-2.79866,0.71053,0.42809,-10.8095,23.51953,-1.86742,-7.80672,3.42086,0.486,-6.17077,9.82706,0.59754,11.10824,-15.10229,2.2359,6.1051,0.48817,-0.16261,4.54829,-4.62554,0.40811,1.06093,-1.50795,0.11429,1.91809,0.43469,0.1126,0.21528,-0.05636,-0.06241,0.20191,0.00723,0.04316
1328,-9.09006,-31.53293,2.21344,-5.61063,-0.61791,-0.13903,-44.1574,-43.19798,3.32714,-1.71303,0.79372,0.28475,-10.90139,23.61461,-1.97545,-7.83625,3.33814,0.39559,-5.80056,10.65393,0.24765,9.00677,-13.3396,1.09727,5.42857,0.13404,-0.19243,4.47241,-4.95445,0.07829,1.15951,-1.54472,0.00744,2.06976,0.41429,0.05843,0.20126,-0.05443,-0.06556,0.21231,-0.01077,0.02534
1329,-8.97663,-31.39189,2.1254,-5.68675,-1.05168,-0.24486,-45.34666,-42.41112,3.32735,-1.02242,-0.23871,-0.0059,-10.96497,23.66174,-2.05718,-7.86657,3.26212,0.30974,-5.09001,11.09326,-0.62217,9.66901,-11.50892,0.47287,4.28917,-0.08853,0.00968,4.37022,-5.20345,-0.27314,1.2809,-1.71952,-0.04962,2.23568,0.4149,-0.00234,0.1993,-0.10176,-0.04267,0.21942,-0.02179,0.00398
1330,-8.9166,-31.04047,2.02347,-6.0868,-1.32134,-0.23776,-45.44958,-41.08361,3.04996,-0.81119,-1.78977,-0.13276,-11.01624,23.69481,-2.1105,-7.90496,3.22839,0.25016,-3.61765,10.90769,-1.52222,12.86572,-10.62885,0.3307,3.2113,-0.23568,0.30098,4.26198,-5.20137,-0.50127,1.34063,-1.93185,-0.01896,2.36942,0.41069,-0.03569,0.19935,-0.17959,0.00633,0.22757,-0.02579,-0.01443
