Unnamed: 0_level_0,Neck_Joint_Position,Neck_Joint_Position,Neck_Joint_Position,L_ANKLE_POSITION,L_ANKLE_POSITION,L_ANKLE_POSITION,R_ANKLE_POSITION,R_ANKLE_POSITION,R_ANKLE_POSITION,L_KNEE_POSITION,L_KNEE_POSITION,L_KNEE_POSITION,R_KNEE_POSITION,R_KNEE_POSITION,R_KNEE_POSITION,L_HIP_POSITION,L_HIP_POSITION,L_HIP_POSITION,R_HIP_POSITION,R_HIP_POSITION,R_HIP_POSITION,L_SHOULDER_POSITION,L_SHOULDER_POSITION,L_SHOULDER_POSITION,R_SHOULDER_POSITION,R_SHOULDER_POSITION,R_SHOULDER_POSITION,L_ELBOW_POSITION,L_ELBOW_POSITION,L_ELBOW_POSITION,R_ELBOW_POSITION,R_ELBOW_POSITION,R_ELBOW_POSITION,L_WRIST_POSITION,L_WRIST_POSITION,L_WRIST_POSITION,R_WRIST_POSITION,R_WRIST_POSITION,R_WRIST_POSITION
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1322,0.08652,0.35687,1.54267,0.01531,0.57409,0.09589,0.05761,0.22369,0.08151,0.06212,0.55468,0.51377,0.13176,0.25701,0.49097,0.01528,0.38895,0.90072,0.14932,0.24274,0.91166,-0.07032,0.43235,1.46521,0.192,0.20951,1.48848,-0.12286,0.5199,1.19754,0.35723,0.27854,1.25794,0.02997,0.63178,1.37239,0.31305,0.46419,1.4381
1323,0.08707,0.35462,1.54265,0.01562,0.57424,0.09635,0.05754,0.2239,0.08149,0.06251,0.55461,0.51421,0.13214,0.2569,0.49089,0.01563,0.38818,0.90086,0.14945,0.24175,0.91156,-0.06981,0.4307,1.46541,0.19276,0.20757,1.48806,-0.12197,0.51927,1.198,0.35763,0.27708,1.2574,0.0307,0.62969,1.37392,0.31357,0.46218,1.43817
1324,0.08765,0.3525,1.54259,0.01593,0.57431,0.09681,0.05745,0.22404,0.08146,0.06301,0.5546,0.51465,0.13257,0.25683,0.49078,0.01602,0.38734,0.90093,0.14969,0.24077,0.91143,-0.06937,0.42914,1.46562,0.19362,0.20569,1.48768,-0.12073,0.51856,1.19833,0.35801,0.27584,1.25688,0.03141,0.6276,1.37557,0.31413,0.46032,1.43831
1325,0.08831,0.3505,1.54247,0.01624,0.57431,0.0973,0.05736,0.22412,0.08144,0.06362,0.55459,0.51511,0.13302,0.25686,0.49067,0.01643,0.38643,0.90096,0.15002,0.23976,0.91128,-0.06898,0.42752,1.46588,0.19451,0.20387,1.48732,-0.1194,0.51781,1.19872,0.35838,0.27479,1.25638,0.03213,0.62559,1.37724,0.3147,0.45865,1.43849
1326,0.08902,0.34859,1.54234,0.01654,0.57423,0.0978,0.05726,0.22416,0.08145,0.06426,0.55451,0.51556,0.13347,0.25701,0.49057,0.01682,0.38546,0.901,0.15037,0.23875,0.91113,-0.06859,0.4258,1.46627,0.19532,0.20208,1.48698,-0.1182,0.51715,1.19931,0.3587,0.27384,1.25596,0.03294,0.62374,1.37887,0.31525,0.45717,1.43865
1327,0.08975,0.34675,1.54223,0.01683,0.57413,0.09826,0.05719,0.22419,0.08149,0.06487,0.55432,0.51599,0.13392,0.25725,0.49049,0.01719,0.38448,0.90105,0.15071,0.23773,0.91101,-0.06821,0.42403,1.46678,0.196,0.20031,1.48668,-0.11718,0.51666,1.20014,0.359,0.27289,1.25564,0.03389,0.62208,1.38045,0.31579,0.45586,1.43876
1328,0.0905,0.345,1.54216,0.01709,0.57405,0.09867,0.05716,0.22423,0.08156,0.06538,0.55403,0.51635,0.13438,0.25754,0.49045,0.0175,0.38353,0.9011,0.151,0.23675,0.91091,-0.06783,0.42237,1.46738,0.19654,0.19856,1.48639,-0.1163,0.51637,1.20113,0.3593,0.27192,1.25543,0.03491,0.62057,1.38203,0.3163,0.45467,1.43882
1329,0.09129,0.34332,1.54213,0.01731,0.57401,0.099,0.05719,0.22428,0.08163,0.06577,0.55364,0.51665,0.13486,0.25781,0.49042,0.01774,0.38265,0.90116,0.15123,0.23585,0.91083,-0.06744,0.42092,1.46798,0.19703,0.1968,1.48611,-0.11548,0.51623,1.20212,0.35967,0.27092,1.25531,0.03589,0.61909,1.38365,0.31678,0.45354,1.43885
1330,0.09217,0.3417,1.54213,0.01749,0.57401,0.09925,0.05727,0.22433,0.08168,0.06607,0.55317,0.51686,0.13537,0.25804,0.49037,0.01793,0.38188,0.90122,0.15139,0.23504,0.91074,-0.06702,0.41976,1.46847,0.19752,0.19501,1.48583,-0.11468,0.51617,1.20294,0.36013,0.26989,1.25525,0.0367,0.61757,1.38528,0.31723,0.4524,1.4389
1331,0.09312,0.34013,1.54212,0.01762,0.57403,0.09942,0.05736,0.22438,0.08168,0.0663,0.55267,0.51699,0.13592,0.25826,0.49027,0.01806,0.38124,0.90127,0.15148,0.23435,0.91061,-0.06653,0.41881,1.46877,0.19807,0.19318,1.48555,-0.11387,0.51607,1.20349,0.36069,0.26881,1.25522,0.03729,0.61594,1.38686,0.31767,0.45119,1.43897
1332,0.09408,0.3386,1.54208,0.01774,0.57404,0.09949,0.05746,0.22445,0.08164,0.06649,0.55217,0.51703,0.13649,0.25852,0.49012,0.01818,0.38074,0.9013,0.15154,0.23378,0.91043,-0.066,0.41796,1.46887,0.19869,0.19137,1.4853,-0.11303,0.51591,1.20379,0.3613,0.2677,1.25519,0.03773,0.6142,1.38834,0.31809,0.44989,1.43908
1333,0.09494,0.33711,1.542,0.01787,0.574,0.09948,0.05755,0.22455,0.08158,0.06663,0.55169,0.51699,0.1371,0.25886,0.48994,0.01831,0.38036,0.90131,0.15162,0.23334,0.91021,-0.06542,0.41707,1.46884,0.1994,0.18965,1.48505,-0.11211,0.51568,1.20394,0.36192,0.26663,1.25509,0.03811,0.61241,1.38974,0.3185,0.44854,1.43921
1334,0.09561,0.33564,1.54191,0.01802,0.57392,0.09942,0.05762,0.2247,0.08154,0.0667,0.55121,0.51692,0.13775,0.25933,0.48975,0.01848,0.38002,0.90132,0.15175,0.23296,0.91,-0.06481,0.41607,1.46877,0.20019,0.18811,1.48477,-0.11106,0.51544,1.20409,0.36253,0.26565,1.25488,0.03857,0.61073,1.39112,0.31891,0.44717,1.43933
1335,0.09608,0.33418,1.5418,0.01823,0.57382,0.09935,0.05767,0.22491,0.08155,0.06668,0.55072,0.51686,0.13846,0.25996,0.4896,0.01867,0.37966,0.90134,0.15196,0.2326,0.9098,-0.06417,0.41494,1.46879,0.20103,0.18677,1.48444,-0.10985,0.5153,1.20438,0.36311,0.26478,1.25452,0.0392,0.60931,1.39251,0.31934,0.44581,1.43942
