Unnamed: 0_level_0,L_TO_ANGLE,L_TO_ANGLE,L_TO_ANGLE,R_TO_ANGLE,R_TO_ANGLE,R_TO_ANGLE,L_FT_ANGLE,L_FT_ANGLE,L_FT_ANGLE,R_FT_ANGLE,R_FT_ANGLE,R_FT_ANGLE,L_FT_SHADOW_ANGLE,L_FT_SHADOW_ANGLE,L_FT_SHADOW_ANGLE,R_FT_SHADOW_ANGLE,R_FT_SHADOW_ANGLE,R_FT_SHADOW_ANGLE,L_SK_ANGLE,L_SK_ANGLE,L_SK_ANGLE,R_SK_ANGLE,R_SK_ANGLE,R_SK_ANGLE,L_TH_ANGLE,L_TH_ANGLE,L_TH_ANGLE,R_TH_ANGLE,R_TH_ANGLE,R_TH_ANGLE,PELVIS_ANGLE,PELVIS_ANGLE,PELVIS_ANGLE,TRUNK_ANGLE,TRUNK_ANGLE,TRUNK_ANGLE,HEAD_ANGLE,HEAD_ANGLE,HEAD_ANGLE,HEAD_SHADOW_ANGLE,HEAD_SHADOW_ANGLE,HEAD_SHADOW_ANGLE,L_AR_ANGLE,L_AR_ANGLE,L_AR_ANGLE,R_AR_ANGLE,R_AR_ANGLE,R_AR_ANGLE,L_FA_ANGLE,L_FA_ANGLE,L_FA_ANGLE,R_FA_ANGLE,R_FA_ANGLE,R_FA_ANGLE,L_HA_ANGLE,L_HA_ANGLE,L_HA_ANGLE,R_HA_ANGLE,R_HA_ANGLE,R_HA_ANGLE
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2874,-10.24786,3.8747,-23.22733,-0.9089,2.69123,-77.22741,-3.19401,0.82465,-23.51699,-0.43779,0.61264,-77.241,-3.19401,0.82465,-23.51699,-0.4378,0.61264,-77.241,8.02642,1.80755,-30.25172,-9.05502,14.18199,-52.58555,22.91078,-5.93686,-29.82632,7.23201,-1.74403,-55.13816,-3.40914,2.52614,-41.65394,-0.80295,3.27024,-36.32457,-14.39256,0.5053,-27.20563,-34.97699,10.70256,-25.16578,29.77725,3.52326,-42.8028,26.45942,-28.70759,-2.4658,168.75436,-33.24572,-76.21573,144.86481,12.26156,128.93416,150.60243,-32.10199,-85.61533,143.28816,1.99757,128.65895
2875,-10.0292,3.94022,-23.41226,-0.97292,2.75258,-77.26549,-3.76599,1.20977,-23.69401,-0.51454,0.72394,-77.27939,-3.76599,1.20977,-23.69401,-0.51454,0.72395,-77.27939,7.76823,2.00647,-30.22231,-9.0263,14.22412,-52.84604,23.34386,-6.10561,-29.78419,7.17481,-1.757,-55.39227,-3.32039,2.4957,-41.62281,-0.73032,3.30002,-36.30832,-14.39857,0.56255,-27.31143,-34.969,10.79334,-25.2461,30.42449,3.2121,-42.98245,26.89559,-28.91785,-2.1478,169.45988,-33.19666,-76.39526,145.05664,12.56815,128.74754,150.9386,-32.46729,-86.08454,143.52643,2.25657,128.47017
2876,-10.11796,4.10505,-23.48775,-0.91129,2.89578,-77.32601,-4.5062,1.65092,-23.76981,-0.45713,0.876,-77.34096,-4.5062,1.65092,-23.76981,-0.45713,0.87601,-77.34096,7.42281,2.23146,-30.12034,-8.99103,14.26621,-53.03949,23.92296,-6.348,-29.65796,7.09431,-1.77549,-55.56357,-3.2131,2.46671,-41.59158,-0.65259,3.33536,-36.28133,-14.3976,0.64556,-27.42095,-34.95512,10.90953,-25.32082,31.08628,2.85967,-43.13815,27.38709,-29.12746,-1.77117,170.18243,-33.10288,-76.24044,145.25238,12.90668,128.79332,151.3268,-32.60422,-86.13117,143.81339,2.63688,128.5177
2877,-10.57383,4.37361,-23.43243,-0.71633,3.08454,-77.40962,-5.46355,2.14533,-23.72324,-0.26545,1.0657,-77.42595,-5.46355,2.14533,-23.72324,-0.26545,1.06571,-77.42595,6.98182,2.47766,-29.91937,-8.95669,14.31431,-53.17019,24.66781,-6.66403,-29.41948,7.0016,-1.80846,-55.66064,-3.07753,2.43764,-41.58029,-0.57495,3.38417,-36.23874,-14.38367,0.7423,-27.50532,-34.93349,11.02973,-25.36669,31.78788,2.51352,-43.23561,27.92649,-29.34761,-1.32787,170.91919,-32.97537,-75.75523,145.45084,13.29419,129.08865,151.81915,-32.59029,-85.74847,144.12497,3.09989,128.81532
2878,-11.45831,4.74594,-23.25166,-0.42028,3.28431,-77.51048,-6.69802,2.68842,-23.5605,0.02558,1.27146,-77.5282,-6.69802,2.68842,-23.5605,0.02558,1.27147,-77.5282,6.4425,2.74553,-29.62218,-8.9309,14.37414,-53.26396,25.59501,-7.05192,-29.07046,6.91117,-1.86516,-55.71619,-2.90349,2.41339,-41.60946,-0.5033,3.45176,-36.18103,-14.34772,0.82735,-27.54618,-34.89645,11.12371,-25.37526,32.54885,2.21285,-43.25183,28.50149,-29.5822,-0.82041,171.68715,-32.81855,-74.99774,145.65289,13.73643,129.66078,152.49188,-32.56738,-85.00374,144.46262,3.60089,129.38443
2879,-12.81868,5.23067,-22.97466,-0.09301,3.46529,-77.61201,-8.25302,3.28334,-23.3138,0.34815,1.45697,-77.63096,-8.25301,3.28334,-23.3138,0.34814,1.45697,-77.63096,5.80232,3.04098,-29.25608,-8.91889,14.45125,-53.3596,26.71834,-7.51012,-28.63792,6.83693,-1.95447,-55.77607,-2.68627,2.40823,-41.69114,-0.44094,3.53795,-36.11513,-14.27694,0.87435,-27.54338,-34.8294,11.16673,-25.35576,33.37318,1.97929,-43.19431,29.09348,-29.82563,-0.27145,172.52057,-32.63739,-73.99116,145.86412,14.21945,130.48259,153.40247,-32.63918,-83.93819,144.84869,4.11703,130.19327
2880,-14.66789,5.84971,-22.64258,0.17761,3.6005,-77.6937,-10.12448,3.94232,-23.03061,0.61775,1.5832,-77.7136,-10.12448,3.94232,-23.03061,0.61775,1.5832,-77.7136,5.05176,3.37588,-28.85535,-8.92073,14.55202,-53.49123,28.04694,-8.03927,-28.15595,6.78818,-2.08435,-55.87833,-2.42863,2.44321,-41.82603,-0.3876,3.63781,-36.05316,-14.16201,0.86532,-27.51232,-34.7191,11.14738,-25.32935,34.25009,1.81773,-43.10699,29.68286,-30.07107,0.28171,173.46082,-32.44784,-72.64166,146.09448,14.71752,131.46375,154.56291,-32.82397,-82.47565,145.29903,4.65512,131.15208
2881,-16.98998,6.63188,-22.28904,0.32417,3.68204,-77.74812,-12.23805,4.66967,-22.75727,0.77076,1.62579,-77.76879,-12.23805,4.66967,-22.75727,0.77076,1.62579,-77.76879,4.17086,3.76838,-28.45327,-8.93201,14.68213,-53.65451,29.58086,-8.64429,-27.6568,6.76744,-2.25977,-56.01673,-2.13613,2.53633,-42.00399,-0.34092,3.74425,-36.00953,-14.00644,0.79529,-27.4748,-34.56505,11.06864,-25.31862,35.16166,1.71968,-43.05647,30.25884,-30.32059,0.80655,174.54117,-32.27656,-70.83607,146.353,15.21033,132.47076,155.93297,-33.08094,-80.52589,145.81627,5.23021,132.13002
2882,-19.7017,7.60327,-21.93632,0.32879,3.72122,-77.78852,-14.448,5.46781,-22.53481,0.79028,1.58906,-77.8099,-14.448,5.46781,-22.53481,0.79027,1.58907,-77.8099,3.1338,4.23988,-28.07294,-8.94915,14.84209,-53.81395,31.30804,-9.33365,-27.16052,6.77186,-2.47913,-56.15128,-1.81333,2.69283,-42.20265,-0.29856,3.85052,-35.99623,-13.83043,0.67538,-27.44958,-34.38513,10.94751,-25.33746,36.09028,1.66567,-43.10088,30.82732,-30.58865,1.29567,175.77092,-32.14532,-68.6126,146.64044,15.69704,133.35678,157.42203,-33.37986,-78.17143,146.41136,5.83876,132.97668
2883,-22.58649,8.76586,-21.60961,0.21749,3.7224,-77.83733,-16.56833,6.35238,-22.40218,0.69582,1.50316,-77.85914,-16.56833,6.35238,-22.40218,0.69581,1.50317,-77.85914,1.91953,4.80614,-27.71782,-8.97432,15.02626,-53.95525,33.20482,-10.11199,-26.6666,6.79729,-2.73391,-56.26762,-1.46396,2.90453,-42.39255,-0.25938,3.95244,-36.01718,-13.66756,0.53372,-27.44746,-34.21306,10.81412,-25.38607,37.02432,1.6289,-43.26094,31.4104,-30.89583,1.77134,177.12796,-32.05611,-66.18127,146.94852,16.19631,134.03131,158.90857,-33.74823,-75.6866,147.0963,6.45856,133.59219
