L_MTP_ANGLE,L_MTP_ANGLE,L_MTP_ANGLE,R_MTP_ANGLE,R_MTP_ANGLE,R_MTP_ANGLE,L_ANKLE_ANGLE,L_ANKLE_ANGLE,L_ANKLE_ANGLE,R_ANKLE_ANGLE,R_ANKLE_ANGLE,R_ANKLE_ANGLE,L_KNEE_ANGLE,L_KNEE_ANGLE,L_KNEE_ANGLE,R_KNEE_ANGLE,R_KNEE_ANGLE,R_KNEE_ANGLE,L_HIP_ANGLE,L_HIP_ANGLE,L_HIP_ANGLE,R_HIP_ANGLE,R_HIP_ANGLE,R_HIP_ANGLE,L_SHOULDER_ANGLE,L_SHOULDER_ANGLE,L_SHOULDER_ANGLE,R_SHOULDER_ANGLE,R_SHOULDER_ANGLE,R_SHOULDER_ANGLE,L_ELBOW_ANGLE,L_ELBOW_ANGLE,L_ELBOW_ANGLE,R_ELBOW_ANGLE,R_ELBOW_ANGLE,R_ELBOW_ANGLE,L_WRIST_ANGLE,L_WRIST_ANGLE,L_WRIST_ANGLE,R_WRIST_ANGLE,R_WRIST_ANGLE,R_WRIST_ANGLE,NECK_ANGLE,NECK_ANGLE,NECK_ANGLE,NECK_ANGLE_SHADOW,NECK_ANGLE_SHADOW,NECK_ANGLE_SHADOW,Trunk_Joint_Angle,Trunk_Joint_Angle,Trunk_Joint_Angle
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-6.688920000000001,0.0,0.0,-6.518170000000001,0.0,0.0,-24.316250000000004,-8.3647,12.319190000000003,14.270630000000004,0.7140800000000003,-13.692360000000003,-12.506410000000002,-3.1973000000000007,0.00012000000000000002,-10.41277,-0.18318000000000004,-2.0000000000000005e-05,29.594020000000004,17.79749,13.10092,3.63508,7.543690000000001,-11.755820000000002,22.970970000000005,14.85623,3.3221900000000004,30.52830000000001,-8.756660000000002,29.79255,129.55385,0.0036500000000000005,-110.96020000000001,122.53609000000002,-0.00011,101.76400000000002,-7.109540000000002,-14.12728,0.00101,-12.28712,3.6780900000000005,-0.0024500000000000004,-6.582580000000002,-6.007560000000001,11.517650000000001,-28.0967,-9.817680000000001,8.519690000000002,-1.1295400000000004,6.020120000000002,8.831290000000003
-7.1769257819800885,0.0,0.0,-6.436724611248371,0.0,0.0,-24.27979593853352,-8.165540032841209,12.739833930064494,14.315573821772174,1.0143451221133601,-13.504046525028397,-12.274235002573276,-3.242766784658816,6.525401116855772e-05,-10.515249985633304,-0.26510272579492905,0.00011847999149011688,29.62048610486881,17.641900162762393,13.032888080912803,3.794894965630271,7.4824988429228885,-12.11029331937796,22.750648723894276,14.881734503605452,3.2781627812429552,30.977591052208503,-8.488162430699017,30.317443548155325,129.89932564685404,-0.0025672344310897982,-111.1846336211798,122.40019663668616,0.0011071230279037832,103.10304701006643,-7.2924148302972505,-14.593599384623104,0.00246928112185469,-12.836018722330799,4.057558962371067,-0.0008615524395136688,-6.392837762855945,-5.942552337282086,11.720667274397538,-27.891437502228623,-9.831229100499193,8.734524927004399,-0.8474729630178401,6.0848369974622365,8.571791640360749
-7.874835910666671,0.0,0.0,-6.264620248511925,0.0,0.0,-24.088265071817858,-8.218938545821594,13.146665028728219,14.23372500971339,1.617937141977461,-13.513346723366368,-12.059234499683628,-3.428696955094816,-0.00019246138620850425,-10.626053235175615,-0.3986652625893949,8.858708992427195e-05,29.32525785454892,17.613786422972108,12.930617845499425,3.6924575175782812,7.4852565803910505,-12.263208073531157,22.70377578300577,14.779967729131371,3.1817747847465996,31.4402253189874,-8.215584604981697,30.766709764179772,129.99282914282765,0.00025109833527123666,-109.21939909232619,122.15466919213313,-0.00010969827672220135,103.65017345420614,-8.670914917695583,-14.05161609307155,-0.007406132483562628,-13.483136709842915,3.8320977620644423,0.00188764553287393,-6.091908451956753,-5.989670967704179,11.651550157440246,-27.597406806738135,-9.849871042053735,8.652077331029473,-0.9761131769176256,6.127888140339626,8.608475057573616
-8.514719708671748,0.0,0.0,-6.834908966725503,0.0,0.0,-23.959611116813157,-8.443450251067091,13.641540555859756,14.296260048996878,1.8374825189855646,-14.263841821277568,-11.861200733624925,-3.6707326716920576,-0.00015765053628849878,-10.642756115799745,-0.3725173861052981,2.8516332879657452e-05,29.177045503540718,17.56845557553253,12.475112507854334,3.5817499781314264,7.555099677316188,-11.842551323919313,22.81365702264653,14.550761750293722,2.8567452859962983,31.77560940011319,-7.970081702338845,30.979864481399627,129.83570059488082,0.002009457234630207,-107.19364688820876,122.1143319670822,-0.000810053227132142,103.50705536762443,-10.049159919126831,-13.174989908065017,-0.002640347845839641,-13.668548266202475,3.8226410547142864,0.0008459687321225607,-5.9626613760370555,-5.927916732831298,11.19107235544796,-27.489584338991268,-9.624448731586135,8.242761850875677,-1.0446332277899704,6.211851767089869,8.712711807484306
-8.196051510098425,0.0,0.0,-7.250094760590291,0.0,0.0,-24.00276484472546,-8.959346939915523,13.686054119039305,14.39515676666877,1.97561593495366,-14.865774270011963,-11.803298715556197,-3.711777227981464,-9.20020918017755e-05,-10.572270671454977,-0.35305111609557255,-8.353411200866252e-05,29.20614879156343,17.4262150443742,12.466730822126687,3.51246087928796,7.56073668957587,-11.733399497214902,22.9068573880295,14.500253358981352,2.469406430750587,31.951868451496708,-7.826461618677031,31.14849324737141,129.62346838286587,-0.0013409809904783511,-107.3680802106555,122.36073019192193,2.7101419132471284e-05,103.34042336910673,-10.201878402940064,-12.740480989294603,0.0019499242509904736,-13.521412181565951,4.489951646335322,0.000572634145277347,-5.965433302757568,-5.810773661074425,10.53524613172051,-27.519132212313913,-9.275952332479696,7.671185710452557,-0.9169270044859675,6.2330686905118835,8.768369892856855
-7.058429927875194,0.0,0.0,-6.330391552450903,0.0,0.0,-24.285326206450808,-9.221458144835061,12.911748855322823,14.023102891952464,2.3897921756906864,-14.50479711257975,-11.920484880359162,-3.602230359913869,-6.771569058414129e-05,-10.504159657950742,-0.5439732857313833,-5.649484659002342e-05,29.16511198232058,17.35756861982322,13.399175277455562,3.423914564061649,7.509410135035231,-12.450033318843454,22.955852929973513,14.601170327084754,2.2290182886653356,32.13956420201651,-7.708674131178193,31.455779896680504,129.4609420174064,-0.0012251156747285386,-109.32909924553272,122.58539987138093,0.0004864365103810333,102.57352638444512,-10.212904457628477,-12.584410297645052,-0.0006513950272984643,-13.45690947928111,4.636143734785686,0.00015655630552327044,-5.914094330678791,-5.86506989209641,10.247932356013726,-27.485114938014927,-9.22140397920465,7.381650090170584,-0.8593926351012047,6.161059289234884,8.816188717613503
-6.333467998650934,0.0,0.0,-5.6311685911584615,0.0,0.0,-24.61745601904047,-9.016904765625014,12.392790955368461,13.50606575409943,2.6269014420714676,-14.032780796876986,-12.076054857097365,-3.634813469410655,0.0001229168956139598,-10.558047899153847,-0.7286086468146276,5.935126478925329e-05,29.216816997824946,17.32965429628504,13.932134452831145,3.4757137834596548,7.434637449296337,-13.003302893952693,23.11608031384417,14.453657196608253,2.0703337340186314,32.36322055083079,-7.533279083985133,31.703677290751322,129.3587143609475,0.0003013583201674222,-110.48326503671917,122.6833493474615,-0.0005808773009193434,101.67372250923015,-10.345685795875376,-12.2998377680654,-0.0008724249069401092,-13.43097771501366,4.453228101554156,0.0012056711908851592,-5.992608085514678,-5.921114882698641,10.367022070522825,-27.561234943513966,-9.317078448895217,7.472404653541009,-0.7533622890293252,6.063436795553517,8.82242384618507
-6.272505857835937,0.0,0.0,-6.320332910307262,0.0,0.0,-24.764175751844956,-9.067969915333949,12.552696869105818,13.454343971889475,2.5438943376149106,-14.370041776559935,-12.221190257308912,-3.7114494121546917,5.227477744483482e-05,-10.701494263445989,-0.7236926008832221,-5.1534064164407286e-05,29.48153973197184,17.104721602795685,13.4517336425293,3.6485070760466503,7.281634047651268,-12.805678216507745,23.28432646701087,14.11854311552198,2.0117346350131577,32.56312798722568,-7.468665450211745,31.773988261504698,129.4295617360087,-0.00025196207767719714,-110.15246162506583,122.90122460029133,-0.0016370927182643492,101.71639347446532,-9.839271123470393,-12.21901920079567,-0.0005954146725627458,-13.085717212141747,5.001211312060771,0.002844890042907673,-6.199160249483308,-5.8662731294474355,10.569657659065467,-27.754483478579704,-9.340148756282932,7.682793602977471,-0.5368537128853109,5.933251846029907,8.709615838959786
-6.759721000983421,0.0,0.0,-7.445118360066603,0.0,0.0,-24.66432639305975,-9.528668367221444,12.810820760504603,13.701844983256116,2.350579172435035,-15.17718431108167,-12.460825718341525,-3.6902109243014043,-9.744874969937752e-05,-10.822211735199824,-0.5812192569670975,-7.648610284938684e-05,29.821795048905223,16.86731954922368,12.911753493365602,3.810161496986611,7.127517486832169,-12.32175198893575,23.34264208774664,14.079501431765097,2.0914025957128883,32.82314093342489,-7.525380772028478,31.8202711157298,129.63625758476343,-0.00029929585582305607,-109.6217611825779,123.16352385649573,-0.0005735115468352064,101.94368877696013,-9.496501841694167,-12.559813522258045,0.0003747874778390765,-12.724135782934066,5.537929033504747,0.0006925030856977088,-6.14550723733288,-5.839369010600912,10.711356219685353,-27.692070191019234,-9.366903258900036,7.825677918670313,-0.38994898408870116,5.8119251150908156,8.591824234620969
