Unnamed: 0_level_0,RTOES_DIST,RTOES_DIST,RTOES_DIST,LTOES_DIST,LTOES_DIST,LTOES_DIST,RTOES_PROX,RTOES_PROX,RTOES_PROX,LTOES_PROX,LTOES_PROX,LTOES_PROX,RFTS_DIST,RFTS_DIST,RFTS_DIST,LFTS_DIST,LFTS_DIST,LFTS_DIST,RFTS_PROX,RFTS_PROX,RFTS_PROX,LFTS_PROX,LFTS_PROX,LFTS_PROX
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2547,0.31941,0.16853,0.0083,0.15429,0.67183,0.00864,0.27256,0.15048,0.01466,0.15458,0.6221,0.018,0.28369,0.13791,0.02029,0.15016,0.62804,0.02478,0.10511,0.07108,0.0233,0.15429,0.4269,0.04448
2548,0.31948,0.1684,0.00854,0.15422,0.67181,0.00877,0.27269,0.15031,0.01517,0.1545,0.6222,0.01877,0.28378,0.13771,0.02079,0.15012,0.62812,0.0256,0.10515,0.07098,0.02264,0.15461,0.42692,0.04464
2549,0.31964,0.16832,0.00869,0.15409,0.67182,0.00886,0.27297,0.15017,0.01596,0.15434,0.62238,0.01967,0.28402,0.13754,0.02161,0.14998,0.62825,0.02655,0.10538,0.07081,0.02184,0.15496,0.42697,0.04456
2550,0.31978,0.16839,0.00862,0.15359,0.67186,0.00898,0.27325,0.15014,0.01651,0.15395,0.62251,0.02019,0.28428,0.13751,0.02219,0.14958,0.62834,0.0271,0.10572,0.07059,0.02127,0.15534,0.42703,0.04452
2551,0.31978,0.16861,0.00846,0.15272,0.67186,0.00908,0.27331,0.15025,0.01647,0.15335,0.62246,0.02006,0.28437,0.13764,0.02216,0.14894,0.62828,0.02695,0.10595,0.07033,0.02112,0.15559,0.42703,0.04471
2552,0.31958,0.16883,0.00837,0.15178,0.67168,0.00906,0.27307,0.15039,0.01599,0.15273,0.62218,0.01954,0.28418,0.13782,0.02166,0.14831,0.62802,0.02641,0.10591,0.0701,0.02125,0.15575,0.42688,0.04508
2553,0.3192,0.16888,0.00841,0.15124,0.67131,0.0089,0.27261,0.15043,0.01547,0.15243,0.62176,0.01911,0.28375,0.13788,0.02111,0.14801,0.62762,0.02597,0.10555,0.06997,0.02143,0.15607,0.42658,0.0455
2554,0.3188,0.16875,0.00855,0.15133,0.67094,0.00867,0.27212,0.15035,0.01515,0.15267,0.6214,0.01891,0.28327,0.13779,0.02077,0.14825,0.62727,0.02576,0.10504,0.06998,0.02152,0.15677,0.42632,0.04595
2555,0.31856,0.1686,0.00872,0.15195,0.67075,0.0084,0.27182,0.15028,0.01505,0.15337,0.62124,0.01878,0.28295,0.13771,0.02067,0.14895,0.62712,0.0256,0.10462,0.07014,0.02141,0.15776,0.42626,0.04651
2556,0.31857,0.16855,0.00884,0.15283,0.67065,0.00805,0.27178,0.1503,0.01504,0.15428,0.62117,0.0186,0.28288,0.13773,0.02073,0.14984,0.62708,0.0254,0.10447,0.07037,0.02111,0.15878,0.42631,0.04708
2557,0.31881,0.16853,0.00882,0.15384,0.67045,0.00763,0.272,0.15034,0.01506,0.15524,0.62104,0.01852,0.28306,0.13778,0.02083,0.1508,0.62697,0.0253,0.10459,0.0706,0.02083,0.15969,0.42625,0.0475
2558,0.31919,0.16849,0.00861,0.15493,0.67012,0.00728,0.2724,0.15035,0.01512,0.15621,0.62084,0.01872,0.28344,0.13779,0.02094,0.15176,0.62677,0.02549,0.10489,0.07081,0.02073,0.16058,0.42605,0.04776
2559,0.31959,0.16848,0.00829,0.15575,0.66988,0.00714,0.27284,0.15038,0.01517,0.157,0.62072,0.01908,0.28387,0.13779,0.02097,0.15254,0.62665,0.02585,0.10524,0.07103,0.02074,0.1616,0.42593,0.04806
2560,0.31983,0.16857,0.00805,0.15595,0.66992,0.00722,0.27309,0.15047,0.01503,0.15739,0.6208,0.0193,0.28412,0.13786,0.02076,0.15291,0.62672,0.02606,0.10546,0.07118,0.02074,0.16274,0.42608,0.04862
2561,0.31978,0.16872,0.00795,0.1557,0.67015,0.00736,0.27301,0.1506,0.01464,0.15748,0.62097,0.01916,0.28407,0.13799,0.02031,0.15298,0.6269,0.0259,0.10544,0.07122,0.02076,0.16381,0.42643,0.0494
2562,0.31958,0.16886,0.00789,0.15552,0.67039,0.00739,0.27276,0.15073,0.01423,0.15761,0.62115,0.01887,0.28385,0.13813,0.01988,0.15309,0.6271,0.02559,0.10527,0.07124,0.02084,0.16477,0.4268,0.05017
2563,0.31947,0.16888,0.00775,0.15573,0.67053,0.00729,0.27264,0.15078,0.01409,0.15801,0.62132,0.01888,0.28372,0.13817,0.01973,0.15347,0.62727,0.02558,0.10511,0.07136,0.02091,0.1659,0.42708,0.05072
2564,0.31949,0.16877,0.00759,0.15627,0.6705,0.00718,0.27269,0.1507,0.01423,0.15866,0.62143,0.01935,0.28375,0.13807,0.01983,0.15409,0.62735,0.02605,0.10504,0.07153,0.02092,0.16745,0.42721,0.05104
2565,0.31954,0.16857,0.00754,0.15683,0.67025,0.00713,0.27276,0.15055,0.01449,0.15935,0.62141,0.02012,0.28381,0.13787,0.02003,0.15474,0.62728,0.02683,0.10497,0.07167,0.0209,0.16927,0.42715,0.05126
2566,0.31953,0.16842,0.00756,0.15724,0.6699,0.00706,0.27278,0.15044,0.01477,0.15991,0.6213,0.02091,0.2838,0.13773,0.02029,0.1553,0.62714,0.02766,0.10486,0.0718,0.02085,0.171,0.42703,0.0516
2567,0.31949,0.16839,0.00751,0.1577,0.66961,0.00689,0.27276,0.15044,0.01499,0.1605,0.62125,0.02152,0.28376,0.13773,0.02055,0.15592,0.62707,0.0283,0.10476,0.07197,0.02078,0.17245,0.42704,0.05222
2568,0.31955,0.16841,0.00738,0.15841,0.66947,0.00666,0.27283,0.15052,0.015,0.1613,0.62127,0.02182,0.28381,0.13781,0.02063,0.15675,0.62711,0.0286,0.10477,0.07216,0.02071,0.17365,0.42718,0.05313
2569,0.31975,0.1684,0.00722,0.15912,0.66939,0.00647,0.27301,0.15056,0.01487,0.1621,0.6213,0.02195,0.28398,0.13787,0.02054,0.15755,0.62717,0.02871,0.10488,0.07236,0.02069,0.17478,0.42738,0.05415
2570,0.31997,0.16832,0.00706,0.15938,0.66928,0.00637,0.27321,0.15056,0.01473,0.16253,0.62127,0.02207,0.28416,0.13785,0.0204,0.15795,0.62716,0.0288,0.10496,0.07263,0.02065,0.17595,0.42755,0.05516
2571,0.32005,0.1682,0.00695,0.15916,0.66913,0.00638,0.27323,0.15053,0.01452,0.16262,0.62114,0.02207,0.28416,0.13779,0.02015,0.15797,0.62702,0.02875,0.10482,0.07295,0.02061,0.17726,0.42768,0.05618
2572,0.31997,0.1681,0.007,0.15888,0.66901,0.00636,0.27305,0.15053,0.01413,0.16275,0.62095,0.02172,0.28397,0.13775,0.01969,0.15803,0.62684,0.02833,0.10452,0.07325,0.02059,0.17869,0.42786,0.05732
2573,0.31992,0.16806,0.00722,0.15889,0.669,0.00616,0.27289,0.15056,0.01375,0.16314,0.62085,0.02115,0.28381,0.13777,0.01927,0.15836,0.62678,0.02769,0.10429,0.07345,0.02064,0.18008,0.42822,0.05871
2574,0.32005,0.1681,0.00751,0.15915,0.6691,0.00575,0.27294,0.15066,0.01363,0.16366,0.62096,0.0207,0.28386,0.13787,0.01918,0.15885,0.62695,0.02717,0.10432,0.07363,0.02073,0.18128,0.42883,0.06042
2575,0.32033,0.16825,0.00773,0.15948,0.66923,0.00522,0.27319,0.15084,0.01377,0.16414,0.62121,0.02049,0.2841,0.13809,0.01942,0.15933,0.62726,0.0269,0.10455,0.07385,0.02087,0.18223,0.42955,0.06224
2576,0.32062,0.16852,0.00782,0.15981,0.66926,0.00474,0.2735,0.15111,0.01394,0.16458,0.62138,0.02041,0.2844,0.1384,0.01968,0.15978,0.62748,0.02678,0.1049,0.07402,0.0211,0.18298,0.43014,0.06394
2577,0.32084,0.16878,0.00785,0.16002,0.66908,0.00445,0.27373,0.15132,0.014,0.16492,0.62128,0.02033,0.28465,0.13865,0.0198,0.16015,0.62744,0.02667,0.10524,0.07404,0.02133,0.18365,0.43047,0.06554
2578,0.32095,0.16879,0.00789,0.15989,0.66869,0.00443,0.27386,0.15131,0.01402,0.16501,0.62093,0.02037,0.28479,0.13865,0.01983,0.16024,0.62714,0.02666,0.10542,0.07391,0.02146,0.18428,0.43058,0.06723
2579,0.32098,0.16852,0.00798,0.15953,0.66822,0.00465,0.27386,0.15107,0.01404,0.16486,0.62053,0.02072,0.28479,0.1384,0.01984,0.16008,0.62677,0.02696,0.10537,0.07379,0.02145,0.1848,0.43062,0.06908
2580,0.32092,0.16817,0.00807,0.15942,0.66782,0.00487,0.27376,0.1508,0.014,0.16485,0.62028,0.02134,0.28466,0.1381,0.01978,0.16005,0.62655,0.02754,0.10513,0.0738,0.02143,0.18525,0.43076,0.07107
2581,0.32079,0.16798,0.00804,0.15991,0.66756,0.00482,0.27359,0.15068,0.01394,0.16529,0.62027,0.02203,0.28448,0.13796,0.01968,0.16047,0.62658,0.02818,0.10485,0.07395,0.02145,0.18578,0.43113,0.07312
2582,0.32063,0.16803,0.00785,0.16055,0.66731,0.00455,0.27347,0.15073,0.01403,0.16586,0.62034,0.02262,0.28436,0.13798,0.01972,0.16103,0.62669,0.02871,0.10471,0.07405,0.02144,0.18643,0.43163,0.07525
2583,0.32051,0.16823,0.00766,0.16042,0.6667,0.00444,0.27345,0.15083,0.01428,0.1659,0.61997,0.02309,0.28434,0.13806,0.01993,0.16104,0.62637,0.02911,0.10475,0.07395,0.02125,0.1872,0.43191,0.07769
2584,0.32048,0.16836,0.00761,0.15906,0.66533,0.00476,0.27351,0.15085,0.01455,0.16505,0.61874,0.02357,0.28441,0.13809,0.0202,0.16013,0.62517,0.02952,0.1049,0.07373,0.02089,0.18808,0.4316,0.08062
2585,0.32057,0.1683,0.00771,0.15694,0.66317,0.00542,0.27361,0.15077,0.01468,0.16365,0.61665,0.02417,0.2845,0.13802,0.02038,0.15865,0.62311,0.03002,0.10502,0.07357,0.02057,0.18905,0.43067,0.08393
2586,0.32075,0.16809,0.00784,0.15479,0.66047,0.00601,0.27373,0.15064,0.01462,0.16223,0.61406,0.02478,0.2846,0.13791,0.0204,0.15713,0.62054,0.03052,0.10506,0.07361,0.02045,0.19004,0.42935,0.08731
2587,0.32096,0.16785,0.00786,0.15284,0.65752,0.0063,0.27386,0.15053,0.01441,0.16091,0.61129,0.02525,0.2847,0.13781,0.02027,0.15571,0.61778,0.03087,0.10505,0.07382,0.02048,0.19091,0.42789,0.09058
2588,0.3211,0.16769,0.00774,0.15099,0.65447,0.0064,0.27395,0.15047,0.01418,0.15961,0.60849,0.02569,0.28476,0.13775,0.02008,0.1543,0.61499,0.0312,0.10501,0.07407,0.02056,0.19153,0.42642,0.09379
2589,0.32111,0.16762,0.00752,0.14918,0.65143,0.00647,0.27395,0.15047,0.01409,0.15826,0.60575,0.02627,0.28476,0.13772,0.01995,0.15284,0.61227,0.03166,0.10491,0.07433,0.02066,0.19188,0.42502,0.09706
2590,0.32102,0.16761,0.00731,0.14744,0.64854,0.00648,0.27389,0.15049,0.0141,0.1569,0.60321,0.02689,0.28469,0.1377,0.01989,0.15141,0.60976,0.03217,0.10477,0.07451,0.0208,0.19196,0.42387,0.10044
2591,0.32096,0.16763,0.00718,0.14593,0.64595,0.00635,0.27383,0.1505,0.01401,0.15567,0.60095,0.02737,0.28464,0.1377,0.01974,0.15013,0.60755,0.03252,0.10472,0.07453,0.0209,0.19174,0.42308,0.10393
2592,0.32101,0.16762,0.00711,0.14472,0.64365,0.0061,0.27385,0.15048,0.01373,0.15462,0.599,0.02777,0.28468,0.1377,0.01948,0.14905,0.60567,0.0328,0.10479,0.07443,0.02092,0.19116,0.42261,0.10749
2593,0.32112,0.16752,0.00708,0.14372,0.64154,0.00579,0.27393,0.1504,0.01352,0.15362,0.59734,0.02836,0.28476,0.13764,0.01932,0.14806,0.6041,0.03329,0.10488,0.07434,0.02086,0.1903,0.42236,0.11106
2594,0.32122,0.16735,0.00707,0.14273,0.63956,0.00543,0.27404,0.15026,0.01362,0.15258,0.59597,0.02918,0.28486,0.1375,0.01942,0.14705,0.60281,0.03403,0.10494,0.0743,0.02086,0.18953,0.42229,0.11448
2595,0.32132,0.16721,0.00711,0.14163,0.63781,0.00508,0.27417,0.15011,0.0139,0.15153,0.59487,0.02998,0.28498,0.13733,0.01967,0.14599,0.60176,0.03474,0.10504,0.0742,0.02096,0.18919,0.42251,0.11759
2596,0.32142,0.16714,0.00719,0.14041,0.63648,0.00481,0.27431,0.14999,0.01407,0.15049,0.59409,0.03054,0.28513,0.1372,0.01979,0.14487,0.60099,0.0352,0.10523,0.07398,0.02113,0.18915,0.42316,0.12051
2597,0.3215,0.16709,0.00731,0.1391,0.6357,0.00469,0.27438,0.14989,0.01407,0.1494,0.59368,0.03094,0.28523,0.1371,0.01974,0.14367,0.60058,0.03545,0.10537,0.07373,0.02124,0.18896,0.42438,0.12355
2598,0.32152,0.16694,0.00746,0.13782,0.63557,0.00476,0.27438,0.14977,0.01408,0.1483,0.59378,0.03132,0.28522,0.13696,0.01972,0.14249,0.60071,0.03568,0.10533,0.07369,0.02134,0.18827,0.42608,0.12662
2599,0.32153,0.16665,0.00761,0.13673,0.63615,0.00505,0.27435,0.1496,0.01425,0.14727,0.59447,0.03175,0.28516,0.13675,0.01987,0.14142,0.60143,0.036,0.1051,0.07397,0.02162,0.18708,0.428,0.12925
2600,0.32158,0.16626,0.00767,0.1357,0.63734,0.00554,0.27436,0.14938,0.01446,0.14625,0.59565,0.03223,0.28513,0.1365,0.02008,0.1404,0.60267,0.0364,0.10484,0.07439,0.02206,0.18563,0.43007,0.1314
2601,0.32168,0.16592,0.00759,0.13436,0.63889,0.00618,0.27441,0.14917,0.01443,0.14501,0.5972,0.03282,0.28516,0.13628,0.02008,0.13917,0.60427,0.03693,0.10473,0.07459,0.0224,0.18425,0.43255,0.13358
2602,0.32175,0.16585,0.00739,0.13251,0.64072,0.00688,0.27447,0.1491,0.01414,0.14335,0.59917,0.03367,0.28523,0.13624,0.01982,0.13751,0.60626,0.03772,0.10485,0.07443,0.02245,0.18312,0.4356,0.13597
2603,0.32176,0.16616,0.00722,0.13025,0.64301,0.00759,0.27452,0.14928,0.01385,0.1413,0.60177,0.03475,0.28532,0.13646,0.01957,0.13543,0.60885,0.03877,0.10514,0.07408,0.02234,0.18206,0.43901,0.13797
2604,0.32173,0.16671,0.00722,0.1277,0.64591,0.00825,0.27455,0.14965,0.01386,0.13891,0.60502,0.03588,0.2854,0.13688,0.01959,0.13298,0.61206,0.03989,0.10547,0.07378,0.02227,0.18081,0.44256,0.1391
2605,0.32165,0.16721,0.00735,0.12496,0.64932,0.00882,0.27455,0.14999,0.01418,0.13628,0.60882,0.03697,0.28543,0.13725,0.01991,0.13026,0.61578,0.04099,0.10568,0.07362,0.02227,0.17941,0.44635,0.13968
2606,0.32155,0.16747,0.00743,0.12216,0.65311,0.00929,0.27454,0.15015,0.0146,0.13355,0.61313,0.03815,0.28543,0.13741,0.02031,0.12743,0.62001,0.04217,0.10576,0.07353,0.02225,0.17806,0.45074,0.14038
2607,0.32152,0.16754,0.00735,0.11938,0.65731,0.00971,0.27458,0.15018,0.01484,0.13086,0.6179,0.0393,0.28546,0.13744,0.02055,0.12468,0.62472,0.04332,0.10581,0.0735,0.02217,0.17674,0.45581,0.14141
2608,0.32161,0.16753,0.00726,0.11678,0.66191,0.0101,0.27466,0.15019,0.01474,0.12839,0.62286,0.04013,0.28554,0.13745,0.02046,0.12219,0.62966,0.04415,0.10588,0.07353,0.0221,0.17529,0.46123,0.1425
2609,0.32178,0.16739,0.00735,0.11457,0.66675,0.01047,0.27475,0.15011,0.01445,0.12628,0.62783,0.04062,0.28563,0.13736,0.02016,0.12007,0.63463,0.04463,0.10591,0.0736,0.02204,0.17363,0.46662,0.14345
2610,0.32192,0.16702,0.00768,0.11286,0.67169,0.01084,0.27477,0.14983,0.0142,0.12456,0.63283,0.04108,0.28563,0.13706,0.01991,0.11832,0.63963,0.04504,0.10582,0.07359,0.0219,0.17188,0.472,0.14451
2611,0.32194,0.16656,0.00816,0.1114,0.67659,0.0112,0.27469,0.14944,0.01416,0.12302,0.6379,0.04168,0.28553,0.13666,0.01989,0.11673,0.64469,0.04558,0.10565,0.07337,0.02158,0.17018,0.47761,0.14603
2612,0.32184,0.16628,0.00862,0.10984,0.68139,0.01153,0.27456,0.14916,0.01436,0.12133,0.64299,0.04242,0.28538,0.1364,0.02017,0.11499,0.64977,0.04625,0.10551,0.07305,0.02116,0.16838,0.48333,0.14777
2613,0.32168,0.16625,0.00886,0.10805,0.68611,0.01184,0.27444,0.14909,0.01471,0.11935,0.64798,0.04314,0.28523,0.13635,0.02059,0.11298,0.65477,0.04692,0.10542,0.07285,0.02082,0.1661,0.48865,0.14911
2614,0.32158,0.16626,0.00878,0.10627,0.69085,0.01229,0.27438,0.14909,0.01502,0.11734,0.65275,0.04369,0.28517,0.13633,0.0209,0.111,0.65956,0.04746,0.10532,0.07292,0.02076,0.1633,0.49322,0.14973
2615,0.32163,0.16611,0.0085,0.10472,0.6957,0.01304,0.27446,0.14903,0.01511,0.11563,0.6573,0.04414,0.28522,0.13624,0.02095,0.10934,0.66415,0.04792,0.10523,0.07325,0.02099,0.16051,0.49731,0.14994
2616,0.32183,0.1659,0.00834,0.10329,0.70075,0.01422,0.2746,0.14897,0.01492,0.11418,0.66185,0.0447,0.28534,0.13615,0.02074,0.10793,0.66872,0.04849,0.10516,0.07368,0.02124,0.15814,0.50143,0.15023
2617,0.32204,0.16577,0.00847,0.1017,0.70602,0.01574,0.27468,0.14899,0.01455,0.11269,0.66654,0.04543,0.2854,0.13618,0.02044,0.10646,0.67342,0.04924,0.10511,0.07406,0.02138,0.15605,0.50566,0.15052
2618,0.32215,0.16585,0.00869,0.09988,0.71143,0.01727,0.27471,0.14916,0.01429,0.11103,0.67124,0.04594,0.28541,0.1364,0.0203,0.10481,0.67813,0.04978,0.10507,0.0744,0.0215,0.15385,0.50972,0.15025
2619,0.32224,0.16624,0.00866,0.09798,0.71681,0.01842,0.27481,0.14956,0.01434,0.10929,0.67577,0.04578,0.2855,0.13684,0.02045,0.10309,0.68266,0.04965,0.10521,0.07473,0.02174,0.15137,0.51342,0.1491
2620,0.32232,0.16685,0.0083,0.09623,0.72204,0.01904,0.27499,0.1501,0.01464,0.10772,0.68007,0.04487,0.28571,0.13741,0.02078,0.10156,0.68697,0.04877,0.1055,0.07503,0.02208,0.14884,0.51702,0.14747
2621,0.32232,0.16737,0.0079,0.09473,0.72698,0.0193,0.27511,0.15055,0.01494,0.10644,0.68415,0.04358,0.28583,0.13787,0.02107,0.10031,0.69108,0.04748,0.10569,0.07532,0.02242,0.14661,0.52078,0.14604
2622,0.32227,0.1675,0.00776,0.09337,0.73146,0.01936,0.27507,0.15073,0.01501,0.10531,0.68797,0.04232,0.28579,0.13804,0.02114,0.09921,0.69493,0.04621,0.10559,0.07568,0.02275,0.14487,0.52462,0.14505
2623,0.32227,0.16732,0.00788,0.09205,0.73534,0.01911,0.27496,0.15072,0.01476,0.10418,0.69156,0.04141,0.28566,0.13803,0.02093,0.09806,0.69851,0.04529,0.10529,0.07615,0.02309,0.14367,0.52827,0.14427
2624,0.32236,0.16721,0.00804,0.09061,0.73876,0.01845,0.27491,0.15076,0.01429,0.10284,0.69509,0.04092,0.28559,0.13808,0.02052,0.09667,0.702,0.04479,0.10509,0.07663,0.02333,0.14289,0.53174,0.14347
