Unnamed: 0_level_0,FullBody_CoG_pos,FullBody_CoG_pos,FullBody_CoG_pos,L_Hand_CoG_pos,L_Hand_CoG_pos,L_Hand_CoG_pos,R_Hand_CoG_pos,R_Hand_CoG_pos,R_Hand_CoG_pos,L_Forearm_CoG_pos,L_Forearm_CoG_pos,L_Forearm_CoG_pos,R_Forearm_CoG_pos,R_Forearm_CoG_pos,R_Forearm_CoG_pos,L_UpperArm_CoG_pos,L_UpperArm_CoG_pos,L_UpperArm_CoG_pos,R_UpperArm_CoG_pos,R_UpperArm_CoG_pos,R_UpperArm_CoG_pos,Head_Shadow_CoG_pos,Head_Shadow_CoG_pos,Head_Shadow_CoG_pos,Head_CoG_pos,Head_CoG_pos,Head_CoG_pos,Trunk_CoG_pos,Trunk_CoG_pos,Trunk_CoG_pos,Pelvis_CoG_pos,Pelvis_CoG_pos,Pelvis_CoG_pos,L_Thigh_CoG_pos,L_Thigh_CoG_pos,L_Thigh_CoG_pos,R_Thigh_CoG_pos,R_Thigh_CoG_pos,R_Thigh_CoG_pos,L_Shank_CoG_pos,L_Shank_CoG_pos,L_Shank_CoG_pos,R_Shank_CoG_pos,R_Shank_CoG_pos,R_Shank_CoG_pos,L_Foot_CoG_pos,L_Foot_CoG_pos,L_Foot_CoG_pos,R_Foot_CoG_pos,R_Foot_CoG_pos,R_Foot_CoG_pos,L_Foot_Shadow_CoG_pos,L_Foot_Shadow_CoG_pos,L_Foot_Shadow_CoG_pos,R_Foot_Shadow_CoG_pos,R_Foot_Shadow_CoG_pos,R_Foot_Shadow_CoG_pos
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2593,0.18576,0.21618,1.01787,0.0988,0.49111,1.50365,0.3233,0.39244,1.52338,0.03812,0.3965,1.31814,0.39502,0.2826,1.35061,0.0056,0.29383,1.32565,0.39809,0.15532,1.35618,0.19335,0.23264,1.66013,0.18469,0.18316,1.6354,0.18176,0.16981,1.27292,0.17878,0.15352,0.96692,0.11656,0.33082,0.78344,0.25814,0.12605,0.75521,0.14272,0.48723,0.38393,0.2034,0.1133,0.31251,0.17044,0.52364,0.06848,0.20229,0.11848,0.02075,0.165,0.53122,0.06448,0.2191,0.11453,0.01988
2594,0.18573,0.21683,1.01823,0.09773,0.4918,1.50435,0.32296,0.39261,1.52443,0.03812,0.39748,1.31855,0.39603,0.2833,1.35181,0.00563,0.29469,1.32559,0.39881,0.1559,1.35693,0.19301,0.23232,1.6601,0.18371,0.18289,1.63553,0.18187,0.17012,1.27293,0.17904,0.15414,0.96706,0.11597,0.33254,0.78459,0.25841,0.1267,0.75514,0.14156,0.48933,0.38629,0.20361,0.11359,0.31248,0.16954,0.5229,0.07039,0.20237,0.11839,0.0208,0.16409,0.53042,0.06629,0.21918,0.11443,0.01995
2595,0.1857,0.21747,1.01856,0.09707,0.49267,1.50494,0.32228,0.3927,1.52582,0.03795,0.39841,1.31909,0.39683,0.28426,1.35324,0.00564,0.29571,1.32575,0.39961,0.15682,1.35765,0.19278,0.23211,1.66015,0.18297,0.18278,1.63557,0.18186,0.17028,1.27287,0.1793,0.15482,0.96717,0.11556,0.33438,0.78555,0.25866,0.12732,0.75521,0.14051,0.49151,0.38843,0.20383,0.11383,0.31259,0.1688,0.52243,0.07216,0.20249,0.11825,0.02101,0.16331,0.52988,0.06796,0.2193,0.11428,0.02014
2596,0.18565,0.21816,1.01887,0.0967,0.49361,1.50553,0.32158,0.39263,1.52769,0.03791,0.39938,1.31967,0.39735,0.28532,1.35496,0.00588,0.29683,1.32593,0.40028,0.15791,1.35837,0.1926,0.23194,1.66026,0.1825,0.18273,1.63556,0.18181,0.17053,1.27283,0.17947,0.15553,0.96723,0.11517,0.33618,0.78635,0.25888,0.12792,0.75531,0.13942,0.49373,0.39035,0.20409,0.11398,0.31271,0.16815,0.52233,0.07372,0.20265,0.11808,0.02118,0.16263,0.52968,0.06941,0.21946,0.11412,0.02028
2597,0.18554,0.21894,1.0192,0.09647,0.49468,1.50639,0.32108,0.39237,1.52985,0.03835,0.4007,1.32022,0.39776,0.28631,1.35683,0.00652,0.29813,1.32594,0.40077,0.15898,1.35913,0.19226,0.23171,1.66036,0.18208,0.1826,1.63547,0.18172,0.17105,1.27287,0.17958,0.15627,0.96725,0.1146,0.33789,0.78716,0.25908,0.12856,0.75531,0.13806,0.49611,0.39224,0.20438,0.11405,0.31274,0.16739,0.52269,0.07523,0.20277,0.11791,0.02122,0.16183,0.52993,0.07077,0.21957,0.11397,0.02029
2598,0.18533,0.21984,1.01954,0.09627,0.49574,1.50735,0.32067,0.39216,1.53202,0.03878,0.40204,1.3207,0.39822,0.28743,1.35868,0.00703,0.29911,1.32601,0.40119,0.16026,1.35984,0.19166,0.23141,1.66043,0.18156,0.18242,1.63529,0.18154,0.17176,1.27297,0.17966,0.15716,0.9673,0.11387,0.33967,0.78799,0.25927,0.12927,0.75531,0.13641,0.49874,0.39413,0.20457,0.11414,0.31277,0.16642,0.52355,0.07675,0.20275,0.11781,0.02128,0.16085,0.53068,0.07214,0.21955,0.11386,0.02031
2599,0.18505,0.22083,1.01987,0.0959,0.49648,1.50791,0.32001,0.39231,1.53403,0.03818,0.40264,1.32106,0.39871,0.28907,1.36043,0.00653,0.29902,1.32655,0.40169,0.16221,1.3603,0.19099,0.23119,1.66054,0.18095,0.18233,1.63512,0.18131,0.17249,1.27299,0.17975,0.15835,0.96744,0.11322,0.3417,0.78869,0.25936,0.13004,0.75548,0.13473,0.50153,0.39579,0.2046,0.11438,0.31297,0.16529,0.52482,0.07812,0.20264,0.11783,0.02149,0.15973,0.53189,0.07339,0.21943,0.11384,0.02051
2600,0.18476,0.22189,1.02015,0.09515,0.49693,1.50815,0.31908,0.39291,1.53578,0.03664,0.40267,1.32135,0.39908,0.29111,1.36205,0.00522,0.29823,1.32746,0.4021,0.1646,1.36061,0.19039,0.23119,1.66065,0.18033,0.1824,1.63509,0.18118,0.17315,1.27284,0.17984,0.15981,0.96765,0.11272,0.34398,0.78925,0.25935,0.13088,0.75581,0.13317,0.50443,0.39719,0.20452,0.11479,0.31332,0.16408,0.52643,0.0793,0.20254,0.11789,0.0218,0.15854,0.53346,0.0745,0.21932,0.11383,0.0208
2601,0.18454,0.22304,1.02038,0.0941,0.49772,1.50879,0.31829,0.39372,1.53728,0.03563,0.40342,1.32178,0.39918,0.29277,1.36349,0.00439,0.2982,1.32807,0.40204,0.16633,1.36123,0.18982,0.23134,1.66074,0.17967,0.18255,1.63521,0.18121,0.17386,1.27261,0.17999,0.16131,0.96777,0.11218,0.34632,0.78985,0.2594,0.13182,0.75601,0.1316,0.50753,0.39865,0.20452,0.11519,0.31354,0.16278,0.52842,0.08055,0.20253,0.11786,0.02193,0.15725,0.53541,0.07568,0.2193,0.11376,0.02092
2602,0.18437,0.22423,1.02058,0.09294,0.49932,1.51018,0.31779,0.39437,1.53868,0.03606,0.40554,1.32248,0.39899,0.29352,1.36485,0.00473,0.29964,1.32808,0.40141,0.16677,1.36253,0.18913,0.2315,1.66085,0.17895,0.18271,1.63536,0.1813,0.17471,1.27241,0.18017,0.1627,0.96772,0.11146,0.3485,0.79056,0.2596,0.13284,0.75591,0.12995,0.51081,0.40032,0.20469,0.11543,0.31346,0.16136,0.5309,0.08204,0.20262,0.11776,0.02178,0.1558,0.53783,0.07711,0.21939,0.11367,0.02078
2603,0.18415,0.22543,1.02078,0.09183,0.50153,1.51174,0.31731,0.39467,1.54017,0.03737,0.40833,1.32328,0.39869,0.29368,1.36638,0.00567,0.3018,1.32788,0.40059,0.16658,1.36426,0.18834,0.23167,1.661,0.17814,0.18294,1.63539,0.18125,0.1757,1.27227,0.18027,0.16401,0.96761,0.11068,0.35048,0.79124,0.25977,0.13386,0.75572,0.12834,0.51403,0.40191,0.2049,0.11551,0.31329,0.15973,0.53388,0.08351,0.20276,0.11773,0.02157,0.15413,0.54075,0.07855,0.21955,0.11369,0.02058
2604,0.18384,0.22667,1.02096,0.09079,0.50398,1.51286,0.31658,0.39479,1.54193,0.0388,0.41102,1.32388,0.39841,0.29403,1.36823,0.00658,0.3039,1.32771,0.40008,0.16687,1.36594,0.18749,0.23196,1.66111,0.1771,0.18334,1.63537,0.18098,0.17678,1.27216,0.18025,0.16542,0.96755,0.11004,0.35237,0.79171,0.25977,0.13483,0.75569,0.12677,0.51705,0.40307,0.20494,0.11552,0.31327,0.15781,0.53726,0.08463,0.20292,0.11782,0.02154,0.15216,0.54409,0.07967,0.21972,0.11385,0.02057
2605,0.18349,0.22803,1.02113,0.08973,0.50656,1.51367,0.31567,0.39482,1.54398,0.04043,0.41372,1.32414,0.39816,0.29489,1.37025,0.00769,0.30613,1.32729,0.39998,0.168,1.36733,0.1866,0.23244,1.66117,0.17583,0.18388,1.63548,0.18059,0.178,1.27207,0.18025,0.16696,0.96751,0.10948,0.35432,0.79196,0.25966,0.13581,0.75583,0.12505,0.52008,0.40394,0.20477,0.11551,0.31341,0.15567,0.54105,0.08552,0.20301,0.11794,0.02172,0.14997,0.54784,0.08056,0.21982,0.11402,0.02077
2606,0.18317,0.22958,1.02129,0.08845,0.50921,1.51453,0.31479,0.39471,1.54623,0.04236,0.41679,1.32416,0.39788,0.2961,1.37215,0.00936,0.309,1.32638,0.40007,0.16956,1.36852,0.18568,0.23308,1.66127,0.17458,0.18448,1.63579,0.18026,0.17941,1.27207,0.1804,0.16858,0.9674,0.10883,0.3564,0.79216,0.25964,0.13688,0.75594,0.12309,0.52349,0.40487,0.20453,0.11555,0.31355,0.15349,0.54539,0.0865,0.20302,0.11799,0.02196,0.14773,0.55213,0.08155,0.21984,0.11409,0.02102
2607,0.18289,0.23126,1.02146,0.087,0.51173,1.51541,0.31389,0.39453,1.54848,0.04403,0.41992,1.32417,0.39759,0.29747,1.37387,0.01127,0.31225,1.32524,0.40012,0.17115,1.36965,0.18482,0.23375,1.66148,0.1736,0.1851,1.63614,0.17997,0.18096,1.27216,0.18062,0.17029,0.96723,0.10809,0.35861,0.79243,0.25969,0.13811,0.75593,0.12109,0.52735,0.40595,0.20436,0.11575,0.31358,0.15137,0.55028,0.0876,0.20306,0.11799,0.02207,0.14556,0.55699,0.08265,0.21988,0.1141,0.02114
2608,0.18256,0.23298,1.02163,0.08562,0.51391,1.5162,0.31282,0.39454,1.55067,0.04493,0.42253,1.32436,0.39735,0.29902,1.37563,0.01269,0.31502,1.32441,0.4001,0.17282,1.37074,0.18408,0.23434,1.66171,0.17283,0.18573,1.63632,0.17962,0.18247,1.27222,0.18074,0.17213,0.96715,0.10743,0.36095,0.7928,0.25962,0.13943,0.75583,0.11929,0.53138,0.40693,0.20422,0.11618,0.31351,0.14934,0.55546,0.08853,0.20314,0.11801,0.02198,0.14348,0.56212,0.08358,0.21996,0.11412,0.02106
2609,0.18219,0.23467,1.02179,0.08446,0.51582,1.517,0.31163,0.39481,1.55295,0.04521,0.42455,1.32485,0.39714,0.30082,1.37763,0.01337,0.31675,1.32409,0.40002,0.17473,1.37179,0.18331,0.23489,1.66182,0.172,0.18639,1.63624,0.17924,0.18387,1.27217,0.18083,0.17413,0.96718,0.10695,0.36339,0.79325,0.25942,0.14081,0.7557,0.11766,0.53531,0.40771,0.20403,0.11665,0.3134,0.14742,0.56063,0.08922,0.20321,0.11799,0.02178,0.14155,0.56726,0.08425,0.22002,0.11409,0.02085
