Unnamed: 0_level_0,FullBody_CoG_vel,FullBody_CoG_vel,FullBody_CoG_vel,L_Hand_CoG_vel,L_Hand_CoG_vel,L_Hand_CoG_vel,R_Hand_CoG_vel,R_Hand_CoG_vel,R_Hand_CoG_vel,L_Forearm_CoG_vel,L_Forearm_CoG_vel,L_Forearm_CoG_vel,R_Forearm_CoG_vel,R_Forearm_CoG_vel,R_Forearm_CoG_vel,L_UpperArm_CoG_vel,L_UpperArm_CoG_vel,L_UpperArm_CoG_vel,R_UpperArm_CoG_vel,R_UpperArm_CoG_vel,R_UpperArm_CoG_vel,Head_CoG_vel,Head_CoG_vel,Head_CoG_vel,Head_Shadow_CoG_vel,Head_Shadow_CoG_vel,Head_Shadow_CoG_vel,Trunk_CoG_vel,Trunk_CoG_vel,Trunk_CoG_vel,Pelvis_CoG_vel,Pelvis_CoG_vel,Pelvis_CoG_vel,L_Thigh_CoG_vel,L_Thigh_CoG_vel,L_Thigh_CoG_vel,R_Thigh_CoG_vel,R_Thigh_CoG_vel,R_Thigh_CoG_vel,L_Shank_CoG_vel,L_Shank_CoG_vel,L_Shank_CoG_vel,R_Shank_CoG_vel,R_Shank_CoG_vel,R_Shank_CoG_vel,L_Foot_CoG_vel,L_Foot_CoG_vel,L_Foot_CoG_vel,R_Foot_CoG_vel,R_Foot_CoG_vel,R_Foot_CoG_vel,L_Foot_Shadow_CoG_vel,L_Foot_Shadow_CoG_vel,L_Foot_Shadow_CoG_vel,R_Foot_Shadow_CoG_vel,R_Foot_Shadow_CoG_vel,R_Foot_Shadow_CoG_vel
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1171,0.10674,-0.26027,-0.00511,2.09587,0.49424,0.9985,0.03494,-0.7172,0.72008,1.25485,1.14382,0.58133,-0.03048,-0.35377,0.26033,0.78841,1.11076,0.26051,0.156,-0.27012,-0.01888,0.8266,0.08569,-0.04941,0.89109,0.08994,-0.10941,0.34944,-0.15047,-0.04113,-0.11309,-0.43318,-0.01686,0.05797,-0.13617,0.04096,-0.4668,-0.90147,-0.07612,-0.0097,0.00617,0.07788,-0.90143,-1.04088,-0.18283,-0.10703,0.00968,0.07742,-1.08909,-0.88708,-0.33283,-0.09182,0.01736,0.07966,-1.10348,-0.93003,-0.36569
1172,0.13079,-0.2642,0.00233,2.05229,0.46868,0.98436,0.10432,-0.81857,0.71625,1.3033,1.10908,0.60692,0.01966,-0.42109,0.22366,0.87357,1.1376,0.26652,0.197,-0.31236,-0.09976,0.86159,0.0743,-0.06372,0.94159,0.07326,-0.11647,0.38873,-0.1816,-0.04386,-0.119,-0.44335,0.00062,0.068,-0.11929,0.05479,-0.47433,-0.88545,-0.04672,0.01277,0.03516,0.10446,-0.8792,-0.9623,-0.15644,-0.06906,0.02952,0.1178,-1.05024,-0.76523,-0.31719,-0.05754,0.03562,0.12088,-1.06501,-0.79739,-0.35469
1173,0.14395,-0.27111,-0.00348,2.01469,0.46348,0.94598,0.17138,-0.91525,0.70258,1.34042,1.09945,0.60853,0.0536,-0.48561,0.17981,0.91241,1.13897,0.28931,0.2175,-0.37695,-0.17908,0.86422,0.04233,-0.08732,0.94714,0.0367,-0.12724,0.41014,-0.20626,-0.05229,-0.12282,-0.43775,0.00326,0.06171,-0.12612,0.05574,-0.46697,-0.8658,-0.04755,0.03541,0.03912,0.1017,-0.85438,-0.89815,-0.15335,-0.02846,0.03182,0.09897,-1.00742,-0.64093,-0.30793,-0.02243,0.03451,0.09923,-1.01866,-0.65857,-0.33889
1174,0.13836,-0.28184,-0.02334,2.00833,0.43348,0.91676,0.22285,-0.96674,0.63553,1.37085,1.11431,0.58088,0.07481,-0.54316,0.12652,0.90331,1.10028,0.31707,0.21672,-0.44802,-0.21914,0.83147,-0.00596,-0.10488,0.89993,-0.01194,-0.13603,0.38929,-0.22515,-0.06528,-0.12386,-0.42169,-0.01711,0.05082,-0.14901,0.03335,-0.45414,-0.84905,-0.07673,0.06292,0.01735,0.06613,-0.8364,-0.86381,-0.17433,0.01405,0.02648,0.04159,-0.94425,-0.53006,-0.30935,0.0146,0.02592,0.03925,-0.94937,-0.53764,-0.32295
1175,0.11481,-0.28974,-0.04648,2.02528,0.3377,0.90292,0.24772,-0.95458,0.50853,1.39749,1.103,0.54482,0.08467,-0.58612,0.06208,0.87097,1.02375,0.32953,0.2043,-0.48562,-0.22213,0.79276,-0.05254,-0.11223,0.83854,-0.05555,-0.14031,0.33498,-0.23208,-0.07725,-0.13184,-0.40613,-0.04774,0.03324,-0.17897,-0.00317,-0.4556,-0.82199,-0.10806,0.07429,-0.02281,0.01735,-0.83293,-0.83811,-0.1961,0.04573,0.02123,-0.01121,-0.86202,-0.4417,-0.30476,0.0428,0.01915,-0.01363,-0.86216,-0.44807,-0.29988
1176,0.09295,-0.29137,-0.0643,2.02622,0.19513,0.86535,0.27907,-0.8931,0.36861,1.42353,1.01285,0.51159,0.08989,-0.60514,-0.00174,0.85763,0.93186,0.30197,0.19098,-0.4786,-0.20813,0.78229,-0.0897,-0.11832,0.81039,-0.08962,-0.14644,0.2892,-0.22737,-0.08648,-0.1433,-0.39897,-0.0718,0.01236,-0.20773,-0.03475,-0.46805,-0.77791,-0.12351,0.05933,-0.06575,-0.01922,-0.83007,-0.7953,-0.20441,0.05915,0.01363,-0.03368,-0.77205,-0.37488,-0.28961,0.0562,0.01206,-0.03457,-0.77071,-0.38611,-0.27444
1177,0.09915,-0.29168,-0.07552,1.98737,0.07443,0.78944,0.35984,-0.8334,0.27652,1.44804,0.86626,0.47022,0.10587,-0.61195,-0.04354,0.89709,0.85728,0.22357,0.18463,-0.47179,-0.18464,0.80834,-0.11909,-0.12735,0.82873,-0.11706,-0.15875,0.29471,-0.22098,-0.09495,-0.13766,-0.40102,-0.08163,0.00435,-0.23131,-0.05008,-0.4649,-0.7345,-0.12411,0.03557,-0.09787,-0.03346,-0.80415,-0.73699,-0.20402,0.05887,-0.00533,-0.03397,-0.67645,-0.31887,-0.27651,0.05956,-0.005,-0.03388,-0.67548,-0.3344,-0.25802
1178,0.13541,-0.29634,-0.08141,1.90742,0.01376,0.69792,0.47644,-0.82859,0.24006,1.46149,0.73093,0.40829,0.14919,-0.63811,-0.06119,0.9802,0.80917,0.11682,0.19359,-0.5132,-0.15979,0.84514,-0.1373,-0.13572,0.86712,-0.13453,-0.17401,0.3528,-0.22144,-0.10362,-0.10824,-0.40313,-0.07612,0.01226,-0.25032,-0.0502,-0.43691,-0.71143,-0.11372,0.02118,-0.11836,-0.03535,-0.75359,-0.68454,-0.19853,0.05447,-0.0302,-0.03694,-0.57943,-0.26717,-0.27086,0.06053,-0.02759,-0.03685,-0.5781,-0.28242,-0.24986
1179,0.17141,-0.30473,-0.08174,1.79471,-0.02454,0.62006,0.56566,-0.88052,0.21041,1.44401,0.63257,0.3355,0.21419,-0.69062,-0.08272,1.05014,0.75924,0.02903,0.22095,-0.58597,-0.15756,0.85417,-0.13853,-0.14393,0.88706,-0.13748,-0.18715,0.41437,-0.23459,-0.10869,-0.07746,-0.39109,-0.05824,0.01697,-0.26356,-0.04243,-0.40729,-0.70031,-0.09153,0.01631,-0.13509,-0.0398,-0.70054,-0.64837,-0.18092,0.05267,-0.03559,-0.05162,-0.49894,-0.22589,-0.26242,0.06176,-0.03145,-0.05064,-0.49664,-0.2374,-0.23976
