Unnamed: 0_level_0,FP1,FP1,FP1,FP2,FP2,FP2
ITEM,X,Y,Z,X,Y,Z
445,0.0,0.0,0.07622,0.0,0.0,-2.28988
446,0.0,0.0,0.07559,0.0,0.0,-2.29212
447,0.0,0.0,0.07494,0.0,0.0,-2.29438
448,0.0,0.0,0.07425,0.0,0.0,-2.29667
449,0.0,0.0,0.07354,0.0,0.0,-2.29897
450,0.0,0.0,0.0728,0.0,0.0,-2.30129
451,0.0,0.0,0.07203,0.0,0.0,-2.30364
452,0.0,0.0,0.07123,0.0,0.0,-2.306
453,0.0,0.0,0.07041,0.0,0.0,-2.30839
454,0.0,0.0,0.06955,0.0,0.0,-2.31079
455,0.0,0.0,0.06866,0.0,0.0,-2.31322
456,0.0,0.0,0.06774,0.0,0.0,-2.31566
457,0.0,0.0,0.0668,0.0,0.0,-2.31812
458,0.0,0.0,0.06582,0.0,0.0,-2.32059
459,0.0,0.0,0.06481,0.0,0.0,-2.32308
460,0.0,0.0,0.06377,0.0,0.0,-2.32559
461,0.0,0.0,0.0627,0.0,0.0,-2.32811
462,0.0,0.0,0.0616,0.0,0.0,-2.33065
463,0.0,0.0,0.06046,0.0,0.0,-2.3332
464,0.0,0.0,0.0593,0.0,0.0,-2.33577
465,0.0,0.0,0.0581,0.0,0.0,-2.33835
466,0.0,0.0,0.05687,0.0,0.0,-2.34095
467,0.0,0.0,0.05561,0.0,0.0,-2.34355
468,0.0,0.0,0.05431,0.0,0.0,-2.34617
469,0.0,0.0,0.05298,0.0,0.0,-2.3488
470,0.0,0.0,0.05162,0.0,0.0,-2.35145
471,0.0,0.0,0.05022,0.0,0.0,-2.35411
472,0.0,0.0,0.04879,0.0,0.0,-2.35678
473,0.0,0.0,0.04732,0.0,0.0,-2.35946
474,0.0,0.0,0.04582,0.0,0.0,-2.36217
475,0.0,0.0,0.04429,0.0,0.0,-2.36488
476,0.0,0.0,0.04272,0.0,0.0,-2.36762
477,0.0,0.0,0.04111,0.0,0.0,-2.37037
478,0.0,0.0,0.03947,0.0,0.0,-2.37314
479,0.0,0.0,0.0378,0.0,0.0,-2.37593
480,0.0,0.0,0.03609,0.0,0.0,-2.37874
481,0.0,0.0,0.03435,0.0,0.0,-2.38157
482,0.0,0.0,0.03257,0.0,0.0,-2.38441
483,0.0,0.0,0.03077,0.0,0.0,-2.38728
484,0.0,0.0,0.02893,0.0,0.0,-2.39017
485,0.0,0.0,0.02707,0.0,0.0,-2.39307
486,0.0,0.0,0.02518,0.0,0.0,-2.396
487,0.0,0.0,0.02326,0.0,0.0,-2.39894
488,0.0,0.0,0.02131,0.0,0.0,-2.40191
489,0.0,0.0,0.01934,0.0,0.0,-2.40489
490,0.0,0.0,0.01734,0.0,0.0,-2.40789
491,0.0,0.0,0.01532,0.0,0.0,-2.41092
492,0.0,0.0,0.01328,0.0,0.0,-2.41396
493,0.0,0.0,0.01123,0.0,0.0,-2.41701
494,0.0,0.0,0.00916,0.0,0.0,-2.42009
495,0.0,0.0,0.00707,0.0,0.0,-2.42318
496,0.0,0.0,0.00497,0.0,0.0,-2.42629
497,0.0,0.0,0.00286,0.0,0.0,-2.42941
498,0.0,0.0,0.00074,0.0,0.0,-2.43255
499,0.0,0.0,-0.00139,0.0,0.0,-2.43571
500,0.0,0.0,-0.00352,0.0,0.0,-2.43887
501,0.0,0.0,-0.00566,0.0,0.0,-2.44205
502,0.0,0.0,-0.00781,0.0,0.0,-2.44524
503,0.0,0.0,-0.00996,0.0,0.0,-2.44844
504,0.0,0.0,-0.0121,0.0,0.0,-2.45165
505,0.0,0.0,-0.01425,0.0,0.0,-2.45487
506,0.0,0.0,-0.0164,0.0,0.0,-2.4581
507,0.0,0.0,-0.01854,0.0,0.0,-2.46133
508,0.0,0.0,-0.02068,0.0,0.0,-2.46457
509,0.0,0.0,-0.02281,0.0,0.0,-2.4678
510,0.0,0.0,-0.02494,0.0,0.0,-2.47104
511,0.0,0.0,-0.02705,0.0,0.0,-2.47427
512,0.0,0.0,-0.02914,0.0,0.0,-2.4775
513,0.0,0.0,-0.03123,0.0,0.0,-2.48073
514,0.0,0.0,-0.03329,0.0,0.0,-2.48394
515,0.0,0.0,-0.03534,0.0,0.0,-2.48715
516,0.0,0.0,-0.03736,0.0,0.0,-2.49034
517,0.0,0.0,-0.03937,0.0,0.0,-2.49352
518,0.0,0.0,-0.04135,0.0,0.0,-2.49668
519,0.0,0.0,-0.04331,0.0,0.0,-2.49982
520,0.0,0.0,-0.04524,0.0,0.0,-2.50295
521,0.0,0.0,-0.04715,0.0,0.0,-2.50605
522,0.0,0.0,-0.04903,0.0,0.0,-2.50913
523,0.0,0.0,-0.05089,0.0,0.0,-2.51218
524,0.0,0.0,-0.05271,0.0,0.0,-2.5152
525,0.0,0.0,-0.05451,0.0,0.0,-2.5182
526,0.0,0.0,-0.05627,0.0,0.0,-2.52116
527,0.0,0.0,-0.05801,0.0,0.0,-2.52409
528,0.0,0.0,-0.05971,0.0,0.0,-2.52699
529,0.0,0.0,-0.06139,0.0,0.0,-2.52984
530,0.0,0.0,-0.06304,0.0,0.0,-2.53267
531,0.0,0.0,-0.06466,0.0,0.0,-2.53545
532,0.0,0.0,-0.06625,0.0,0.0,-2.53818
533,0.0,0.0,-0.0678,0.0,0.0,-2.54088
534,0.0,0.0,-0.06933,0.0,0.0,-2.54353
535,0.0,0.0,-0.07083,0.0,0.0,-2.54613
536,0.0,0.0,-0.0723,0.0,0.0,-2.54869
537,0.0,0.0,-0.07373,0.0,0.0,-2.55119
538,0.0,0.0,-0.07513,0.0,0.0,-2.55364
539,0.0,0.0,-0.0765,0.0,0.0,-2.55605
540,0.0,0.0,-0.07784,0.0,0.0,-2.55839
541,0.0,0.0,-0.07914,0.0,0.0,-2.56068
542,0.0,0.0,-0.0804,0.0,0.0,-2.56292
543,0.0,0.0,-0.08163,0.0,0.0,-2.56509
544,0.0,0.0,-0.08282,0.0,0.0,-2.56721
545,0.0,0.0,-0.08398,0.0,0.0,-2.56926
546,0.0,0.0,-0.0851,0.0,0.0,-2.57125
547,0.0,0.0,-0.08618,0.0,0.0,-2.57318
548,0.0,0.0,-0.08722,0.0,0.0,-2.57504
549,0.0,0.0,-0.08823,0.0,0.0,-2.57683
550,0.0,0.0,-0.08919,0.0,0.0,-2.57856
551,0.0,0.0,-0.09012,0.0,0.0,-2.58022
552,0.0,0.0,-0.091,0.0,0.0,-2.5818
553,0.0,0.0,-0.09185,0.0,0.0,-2.58332
554,0.0,0.0,-0.09266,0.0,0.0,-2.58476
555,0.0,0.0,-0.09342,0.0,0.0,-2.58613
556,0.0,0.0,-0.09415,0.0,0.0,-2.58743
557,0.0,0.0,-0.09484,0.0,0.0,-2.58865
558,0.0,0.0,-0.09549,0.0,0.0,-2.5898
559,0.0,0.0,-0.0961,0.0,0.0,-2.59087
560,0.0,0.0,-0.09667,0.0,0.0,-2.59186
561,0.0,0.0,-0.0972,0.0,0.0,-2.59277
562,0.0,0.0,-0.0977,0.0,0.0,-2.59361
563,0.0,0.0,-0.09815,0.0,0.0,-2.59437
564,0.0,0.0,-0.09857,0.0,0.0,-2.59506
565,0.0,0.0,-0.09895,0.0,0.0,-2.59567
566,0.0,0.0,-0.09929,0.0,0.0,-2.59621
567,0.0,0.0,-0.09959,0.0,0.0,-2.59667
568,0.0,0.0,-0.09986,0.0,0.0,-2.59706
569,0.0,0.0,-0.10009,0.0,0.0,-2.59738
570,0.0,0.0,-0.10029,0.0,0.0,-2.59762
571,0.0,0.0,-0.10045,0.0,0.0,-2.59779
572,0.0,0.0,-0.10057,0.0,0.0,-2.5979
573,0.0,0.0,-0.10065,0.0,0.0,-2.59793
574,0.0,0.0,-0.1007,0.0,0.0,-2.59789
575,0.0,0.0,-0.10071,0.0,0.0,-2.59779
576,0.0,0.0,-0.10069,0.0,0.0,-2.59761
577,0.0,0.0,-0.10063,0.0,0.0,-2.59737
578,0.0,0.0,-0.10053,0.0,0.0,-2.59707
579,0.0,0.0,-0.10039,0.0,0.0,-2.5967
580,0.0,0.0,-0.10022,0.0,0.0,-2.59627
581,0.0,0.0,-0.10001,0.0,0.0,-2.59578
582,0.0,0.0,-0.09976,0.0,0.0,-2.59523
583,0.0,0.0,-0.09947,0.0,0.0,-2.59462
584,0.0,0.0,-0.09915,0.0,0.0,-2.59396
585,0.0,0.0,-0.09879,0.0,0.0,-2.59324
586,0.0,0.0,-0.09839,0.0,0.0,-2.59247
587,0.0,0.0,-0.09795,0.0,0.0,-2.59165
