Unnamed: 0_level_0,FP1,FP1,FP1,FP2,FP2,FP2
ITEM,X,Y,Z,X,Y,Z
2261,-1.39528,-37.78355,197.56865,2.66027,33.46409,578.89435
2262,-1.35746,-37.71635,197.46585,2.63961,33.45646,578.82666
2263,-1.31945,-37.64836,197.3615,2.6188,33.44912,578.76178
2264,-1.28123,-37.57959,197.25562,2.59782,33.44205,578.69934
2265,-1.24283,-37.51007,197.14827,2.57665,33.43525,578.63965
2266,-1.20425,-37.43982,197.03952,2.55528,33.42869,578.58252
2267,-1.16551,-37.36887,196.9294,2.53369,33.42239,578.52814
2268,-1.12661,-37.29721,196.81798,2.51186,33.41631,578.47632
2269,-1.08756,-37.2249,196.70531,2.48977,33.41045,578.42725
2270,-1.04837,-37.15194,196.59145,2.46741,33.4048,578.3808
2271,-1.00905,-37.07836,196.47644,2.44476,33.39934,578.3371
2272,-0.96962,-37.0042,196.36043,2.42182,33.39407,578.29608
2273,-0.93008,-36.92945,196.24336,2.39855,33.38897,578.25769
2274,-0.89043,-36.85417,196.1254,2.37495,33.38403,578.22205
2275,-0.8507,-36.77836,196.00658,2.351,33.37924,578.18915
2276,-0.81088,-36.70208,195.88699,2.32668,33.37458,578.159
2277,-0.77099,-36.62532,195.76665,2.30199,33.37006,578.13153
2278,-0.73103,-36.54811,195.64566,2.2769,33.36564,578.10675
2279,-0.69102,-36.4705,195.52408,2.25141,33.36132,578.08478
2280,-0.65096,-36.39249,195.40201,2.22549,33.3571,578.06549
2281,-0.61087,-36.31413,195.27948,2.19914,33.35295,578.04901
2282,-0.57074,-36.23543,195.15659,2.17233,33.34887,578.03534
2283,-0.53059,-36.15643,195.03339,2.14507,33.34486,578.02441
2284,-0.49043,-36.07714,194.90999,2.11732,33.34089,578.01624
2285,-0.45027,-35.99762,194.78642,2.0891,33.33698,578.01093
2286,-0.41011,-35.91786,194.6628,2.06036,33.33308,578.00842
2287,-0.36995,-35.8379,194.53914,2.03111,33.3292,578.00879
2288,-0.32982,-35.75777,194.41556,2.00134,33.32534,578.01202
