Unnamed: 0_level_0,R_HEEL,R_HEEL,R_HEEL,L_HEEL,L_HEEL,L_HEEL
ITEM,X,Y,Z,X,Y,Z
2261,-0.04742,0.08201,0.00827,0.07329,0.49633,0.05561
2262,-0.0473,0.082,0.00816,0.07372,0.49623,0.05529
2263,-0.04716,0.08217,0.00815,0.07425,0.49609,0.05488
2264,-0.04706,0.08245,0.00823,0.07485,0.49592,0.05449
2265,-0.04697,0.08275,0.00823,0.07551,0.49575,0.05417
2266,-0.04695,0.08301,0.00812,0.07616,0.49552,0.054
2267,-0.04704,0.08327,0.00802,0.07667,0.49522,0.0541
2268,-0.04717,0.0835,0.00816,0.07696,0.49495,0.05444
2269,-0.04715,0.08357,0.00852,0.07708,0.4948,0.05487
2270,-0.04687,0.08338,0.00889,0.07716,0.49478,0.05536
2271,-0.04648,0.08308,0.00903,0.07725,0.49486,0.05587
2272,-0.0462,0.083,0.00894,0.07731,0.49502,0.0563
2273,-0.04611,0.0832,0.00881,0.0773,0.49522,0.05668
2274,-0.04613,0.08337,0.00887,0.07724,0.49538,0.05722
2275,-0.04616,0.08324,0.00915,0.07724,0.49541,0.05808
2276,-0.04618,0.08289,0.00948,0.07743,0.49535,0.05915
2277,-0.04618,0.08256,0.00972,0.07767,0.49534,0.06027
2278,-0.04616,0.08237,0.00991,0.07776,0.49542,0.06135
2279,-0.04614,0.08233,0.01006,0.07769,0.49549,0.06215
2280,-0.04611,0.08241,0.01015,0.0776,0.49541,0.06245
2281,-0.04608,0.08256,0.01018,0.07763,0.49519,0.06237
2282,-0.04605,0.08264,0.0103,0.0778,0.49495,0.06251
2283,-0.04605,0.08263,0.01062,0.07801,0.49471,0.06332
2284,-0.04607,0.08262,0.0111,0.07824,0.49436,0.06457
2285,-0.04607,0.08271,0.01148,0.07856,0.49374,0.06563
2286,-0.04601,0.08293,0.01156,0.07895,0.49292,0.06608
2287,-0.04589,0.08315,0.0114,0.07932,0.49208,0.06598
2288,-0.04576,0.08328,0.01126,0.07957,0.49135,0.06565
2289,-0.04566,0.08323,0.01136,0.07959,0.49069,0.06541
2290,-0.04561,0.08305,0.01157,0.07937,0.48999,0.06536
2291,-0.0456,0.08287,0.01164,0.07913,0.48918,0.06532
2292,-0.04564,0.08279,0.01148,0.07928,0.4883,0.06501
2293,-0.0457,0.08281,0.01128,0.08016,0.48733,0.06448
2294,-0.04571,0.08282,0.01127,0.08169,0.48628,0.06402
2295,-0.04568,0.08278,0.01152,0.08346,0.48517,0.06374
2296,-0.04565,0.08276,0.0119,0.08507,0.48412,0.06336
2297,-0.04568,0.08285,0.01231,0.08636,0.48328,0.06271
2298,-0.04581,0.08302,0.01266,0.08742,0.48269,0.06193
2299,-0.04599,0.08323,0.01294,0.08849,0.48222,0.06126
2300,-0.04615,0.08339,0.01314,0.08958,0.48173,0.06076
2301,-0.04618,0.08344,0.01331,0.09041,0.48129,0.06027
2302,-0.04604,0.08348,0.01351,0.0908,0.48111,0.05957
2303,-0.04578,0.08362,0.01375,0.09083,0.48127,0.05858
2304,-0.04547,0.0839,0.014,0.09066,0.48163,0.05744
2305,-0.04524,0.08421,0.01432,0.0903,0.48191,0.05637
2306,-0.04516,0.08435,0.01479,0.08971,0.48203,0.0555
2307,-0.04523,0.08431,0.01543,0.08894,0.48217,0.05472
2308,-0.04529,0.08421,0.01608,0.0882,0.48248,0.05391
2309,-0.0452,0.08417,0.01662,0.08752,0.48288,0.05306
2310,-0.04501,0.08417,0.01714,0.08663,0.48312,0.05223
2311,-0.04483,0.08418,0.01783,0.08526,0.48308,0.05143
2312,-0.04476,0.08422,0.01871,0.08357,0.48291,0.05063
2313,-0.04483,0.08413,0.01971,0.08187,0.48287,0.04982
2314,-0.04486,0.08371,0.02067,0.08032,0.48311,0.049
2315,-0.04466,0.08309,0.02156,0.07903,0.48349,0.04815
2316,-0.04417,0.08251,0.02248,0.07811,0.48378,0.04726
2317,-0.04358,0.08208,0.02362,0.07753,0.48383,0.04635
2318,-0.04313,0.08167,0.02504,0.0771,0.48365,0.04551
2319,-0.04288,0.08114,0.02672,0.07666,0.48337,0.04475
2320,-0.04274,0.08057,0.02853,0.07622,0.48311,0.04402
2321,-0.04263,0.08015,0.03032,0.07588,0.48296,0.04323
2322,-0.04252,0.07997,0.03197,0.07564,0.48293,0.04231
2323,-0.04235,0.07998,0.03355,0.07547,0.48294,0.04119
2324,-0.04206,0.0801,0.03513,0.07541,0.48285,0.03987
2325,-0.04162,0.08025,0.03682,0.07549,0.48263,0.03847
2326,-0.04108,0.08024,0.03875,0.07558,0.48228,0.03714
2327,-0.04053,0.07997,0.04095,0.07545,0.48178,0.03593
2328,-0.04001,0.07966,0.04322,0.07504,0.48122,0.03479
2329,-0.03942,0.0795,0.04534,0.07452,0.4808,0.03359
2330,-0.03867,0.07942,0.0473,0.07417,0.48065,0.0322
2331,-0.03787,0.07933,0.04934,0.07412,0.48073,0.03052
2332,-0.03719,0.07924,0.05177,0.07422,0.48089,0.02862
2333,-0.03665,0.07926,0.05464,0.07436,0.48094,0.02673
2334,-0.03613,0.07939,0.05782,0.07455,0.48079,0.02516
2335,-0.03547,0.07961,0.06105,0.07479,0.48044,0.02407
2336,-0.03455,0.07981,0.06413,0.0749,0.48004,0.02333
2337,-0.03336,0.07989,0.06698,0.07476,0.47976,0.0227
2338,-0.03204,0.07988,0.06967,0.07444,0.47967,0.022
2339,-0.03078,0.07995,0.0723,0.0742,0.47975,0.02128
2340,-0.02973,0.08028,0.07494,0.07431,0.47995,0.02073
2341,-0.02883,0.08092,0.07752,0.07477,0.48016,0.02046
2342,-0.02791,0.08179,0.08006,0.07534,0.48023,0.02033
2343,-0.02679,0.08278,0.08265,0.07586,0.48004,0.02023
2344,-0.0255,0.08368,0.08544,0.07634,0.47967,0.02015
2345,-0.02419,0.08434,0.08836,0.07664,0.47934,0.02004
2346,-0.02301,0.08473,0.09121,0.07657,0.47928,0.01976
2347,-0.02194,0.08502,0.09392,0.07611,0.47951,0.01935
2348,-0.02081,0.0855,0.09661,0.0755,0.47976,0.01907
2349,-0.01948,0.08641,0.09946,0.07509,0.47982,0.01909
2350,-0.01791,0.08759,0.10247,0.07499,0.47976,0.01932
2351,-0.01616,0.08854,0.10538,0.07502,0.47977,0.01944
2352,-0.01431,0.08889,0.10797,0.07492,0.47988,0.01925
2353,-0.01241,0.0887,0.11027,0.0747,0.47994,0.01877
2354,-0.01046,0.08829,0.11239,0.07458,0.47989,0.01825
2355,-0.00847,0.08787,0.11432,0.07468,0.47985,0.01786
2356,-0.00652,0.08741,0.11596,0.07491,0.47994,0.0176
2357,-0.00459,0.08685,0.11722,0.07509,0.48014,0.01739
2358,-0.00261,0.08618,0.11796,0.07513,0.48032,0.0172
2359,-0.00048,0.08556,0.11802,0.07506,0.48029,0.01702
2360,0.00189,0.08521,0.11724,0.07497,0.48002,0.01688
2361,0.00465,0.08519,0.11566,0.07489,0.47966,0.01681
2362,0.00781,0.08541,0.11345,0.07483,0.47937,0.01681
2363,0.01134,0.08569,0.11071,0.07478,0.47914,0.01689
2364,0.01525,0.08589,0.10752,0.07471,0.4789,0.01702
2365,0.01954,0.08599,0.10393,0.07461,0.4787,0.01713
2366,0.02417,0.08613,0.10006,0.07451,0.47869,0.01712
2367,0.02912,0.08648,0.09603,0.07445,0.47885,0.01707
2368,0.03437,0.08707,0.09196,0.07449,0.47892,0.01716
2369,0.03976,0.08784,0.0879,0.07462,0.47868,0.0175
2370,0.04507,0.08865,0.08391,0.07468,0.47819,0.01797
2371,0.05019,0.08942,0.08001,0.07451,0.4777,0.0183
2372,0.05514,0.09021,0.07619,0.07411,0.47742,0.01825
2373,0.05995,0.09113,0.07241,0.07373,0.47737,0.01783
2374,0.06461,0.09216,0.06867,0.07356,0.47743,0.01735
2375,0.06909,0.0931,0.06509,0.0735,0.47745,0.01712
2376,0.07331,0.09374,0.06178,0.07334,0.47741,0.01719
2377,0.07723,0.09404,0.05884,0.07297,0.47736,0.01741
2378,0.08081,0.0941,0.05623,0.07249,0.47739,0.01751
2379,0.08406,0.09407,0.05384,0.07209,0.47746,0.01736
2380,0.08704,0.09401,0.05164,0.07195,0.47744,0.01699
2381,0.08984,0.09387,0.04968,0.07205,0.47723,0.01661
2382,0.09257,0.09361,0.04791,0.07206,0.47687,0.01636
2383,0.09525,0.09334,0.0462,0.07171,0.47652,0.01616
2384,0.09781,0.09322,0.04443,0.07105,0.47632,0.01595
2385,0.10008,0.09328,0.04262,0.07048,0.47623,0.01586
2386,0.10188,0.09342,0.04087,0.07032,0.47607,0.01601
2387,0.10312,0.09345,0.03922,0.07061,0.47583,0.01633
2388,0.10374,0.0933,0.03771,0.07105,0.47571,0.01666
2389,0.10379,0.09297,0.03632,0.07124,0.47583,0.01677
2390,0.10343,0.09258,0.03502,0.07103,0.47607,0.01656
2391,0.10299,0.09216,0.03375,0.07061,0.47621,0.01611
2392,0.10273,0.09175,0.03252,0.07036,0.47617,0.01564
2393,0.10264,0.09135,0.03133,0.07041,0.476,0.01535
2394,0.10256,0.09098,0.03011,0.07063,0.47579,0.01537
2395,0.10237,0.09059,0.02882,0.07081,0.47556,0.01569
2396,0.10216,0.0902,0.02743,0.07081,0.47543,0.01614
2397,0.1021,0.08986,0.02596,0.07056,0.47545,0.01656
2398,0.10232,0.08952,0.02449,0.07015,0.47561,0.01696
2399,0.10265,0.08905,0.02311,0.06968,0.47577,0.01738
2400,0.10282,0.08846,0.0219,0.06928,0.47592,0.01783
2401,0.1026,0.08797,0.0209,0.069,0.4761,0.01838
2402,0.10203,0.08776,0.02012,0.06882,0.47622,0.01922
2403,0.1014,0.08783,0.01945,0.06869,0.47621,0.02051
2404,0.1011,0.08796,0.01883,0.06849,0.47617,0.02223
2405,0.10131,0.08795,0.01833,0.06825,0.47623,0.02426
2406,0.10186,0.08771,0.01801,0.06805,0.4764,0.02646
2407,0.10244,0.08736,0.0178,0.06791,0.47657,0.02879
2408,0.10278,0.0871,0.01752,0.06785,0.47669,0.03124
2409,0.10282,0.0871,0.01712,0.06802,0.47675,0.03382
2410,0.10264,0.08731,0.01678,0.06861,0.47669,0.0365
2411,0.10242,0.08743,0.0167,0.06959,0.47646,0.03927
2412,0.10234,0.08722,0.0169,0.0707,0.47606,0.04203
2413,0.1024,0.08682,0.01719,0.07177,0.47548,0.04453
2414,0.10249,0.0865,0.01739,0.07302,0.4747,0.0467
2415,0.10253,0.08631,0.01744,0.07478,0.47368,0.04867
2416,0.10251,0.08617,0.01732,0.07723,0.47243,0.05063
2417,0.10245,0.08612,0.01702,0.08039,0.47086,0.05263
2418,0.10227,0.08621,0.01667,0.08431,0.46878,0.05468
2419,0.10204,0.08619,0.01638,0.08876,0.46612,0.05695
2420,0.10188,0.08581,0.01611,0.09333,0.46305,0.05952
2421,0.10183,0.08515,0.01582,0.0975,0.45978,0.062
2422,0.10184,0.08456,0.01572,0.10083,0.4564,0.06374
2423,0.10184,0.08423,0.01595,0.10333,0.45286,0.06471
2424,0.1018,0.08415,0.01623,0.1055,0.44918,0.06567
2425,0.10172,0.08421,0.01613,0.10789,0.44545,0.06725
2426,0.10162,0.08432,0.01561,0.11053,0.44173,0.06935
2427,0.10152,0.08442,0.01511,0.11297,0.43796,0.07156
