Unnamed: 0_level_0,R_KNEE_MOMENT,R_KNEE_MOMENT,R_KNEE_MOMENT,L_KNEE_MOMENT,L_KNEE_MOMENT,L_KNEE_MOMENT,R_HIP_MOMENT,R_HIP_MOMENT,R_HIP_MOMENT,L_HIP_MOMENT,L_HIP_MOMENT,L_HIP_MOMENT,R_ANKLE_MOMENT,R_ANKLE_MOMENT,R_ANKLE_MOMENT,L_ANKLE_MOMENT,L_ANKLE_MOMENT,L_ANKLE_MOMENT,WAIST_JOINT_MOMENT,WAIST_JOINT_MOMENT,WAIST_JOINT_MOMENT,NECK_MOMENT,NECK_MOMENT,NECK_MOMENT,L_SHOULDER_MOMENT,L_SHOULDER_MOMENT,L_SHOULDER_MOMENT,R_SHOULDER_MOMENT,R_SHOULDER_MOMENT,R_SHOULDER_MOMENT,L_ELBOW_MOMENT,L_ELBOW_MOMENT,L_ELBOW_MOMENT,R_ELBOW_MOMENT,R_ELBOW_MOMENT,R_ELBOW_MOMENT,L_WRIST_MOMENT,L_WRIST_MOMENT,L_WRIST_MOMENT,R_WRIST_MOMENT,R_WRIST_MOMENT,R_WRIST_MOMENT
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
3568,-11.17515,-11.94769,-0.75166,-11.48716,2.06818,0.69317,-17.038,-40.30738,-0.26591,-5.47098,1.45544,3.85637,-23.37139,43.66823,-3.76133,-9.41751,5.86697,0.9961,9.83497,5.14375,1.16503,-18.22981,-27.51262,-0.16018,6.99303,-0.97021,-0.82841,7.5401,-3.68234,1.61953,-0.54166,-1.14191,0.12607,1.26209,0.17413,0.75246,-0.07703,-0.03142,-0.13875,0.10119,-0.25635,0.25363
3569,-13.19917,-9.90432,-0.82875,-10.83348,1.35461,0.43609,-23.97371,-32.38513,-0.45799,-7.40416,-1.7088,2.22162,-23.81148,44.53786,-4.00645,-9.17395,5.51288,0.7873,-1.0225,9.47832,-4.06997,-12.1494,-27.18547,1.52056,7.77811,-0.73957,-0.17832,10.00714,-3.50128,1.30327,-0.91264,-1.18721,0.82892,2.07695,0.96996,-0.15082,-0.02628,-0.00117,-0.01339,0.33899,0.01041,-0.07591
3570,-15.69024,-8.26724,-0.72234,-10.20623,1.78792,0.29448,-29.36639,-28.09893,0.57501,-6.856,-0.48825,1.74358,-24.10654,45.24609,-4.3333,-8.93719,5.14544,0.59242,-4.04243,18.03145,-3.2626,13.22594,-24.41242,0.71851,6.9957,-0.44057,0.24261,10.23877,-3.65452,-0.05792,-0.1942,-1.44735,0.77469,2.45436,1.78789,-0.88888,0.11197,-0.07279,0.0508,0.39099,0.26247,-0.31818
3571,-16.95154,-7.9822,-0.7208,-10.37866,3.36628,0.29916,-29.22968,-29.75816,1.41113,-4.88048,8.81893,4.32822,-24.41422,46.0331,-4.68267,-8.70399,4.66838,0.43787,2.2111,32.09536,3.94475,24.56797,-13.4464,-5.71602,6.12682,-0.96555,-0.62879,7.09727,-4.02651,-1.58877,0.77248,-1.29682,0.08562,1.97893,1.77502,-0.72585,0.13024,-0.13726,0.02959,0.11968,0.24,-0.24462
3572,-17.57007,-7.89218,-0.86537,-11.15891,4.41762,0.21627,-28.8378,-31.08688,1.15907,-6.15536,17.46636,6.50514,-24.82575,47.30748,-4.97781,-8.51561,4.09589,0.28016,2.9951,43.42183,7.82575,11.57169,-4.10283,-12.20755,6.39146,-2.02942,-1.76156,3.33167,-3.93137,-1.89398,1.22006,-0.98043,-0.3211,0.91618,1.00779,-0.01727,0.0361,-0.07061,-0.0037,-0.227,-0.01762,0.03406
3573,-19.14125,-7.68118,-0.85062,-11.1559,3.59889,-0.00808,-34.10009,-31.74616,0.75272,-9.9401,13.58868,4.27565,-25.31562,49.04195,-5.21989,-8.30693,3.56984,0.10884,-8.81285,34.8144,2.9643,-10.14311,-7.20225,-10.61788,8.03812,-2.66285,-1.95177,3.24777,-3.64004,-0.24195,1.34692,-1.03697,-0.10098,0.15986,0.1309,0.54762,0.0878,0.09864,-0.0301,-0.30216,-0.32356,0.27719
3574,-21.05677,-7.83626,-0.6724,-9.77351,1.95147,-0.17266,-41.09244,-33.68587,1.4002,-10.00152,1.32672,-0.3528,-25.78627,50.57948,-5.48973,-7.89424,3.16274,-0.02145,-20.13947,13.27085,-4.47673,-21.64896,-19.62185,-0.61155,9.61006,-1.90832,-1.13474,6.90299,-3.78562,1.93018,1.5232,-1.3628,0.22949,0.48017,-0.18759,0.68102,0.30647,0.19064,-0.05214,-0.04501,-0.46004,0.329
3575,-21.76989,-8.24471,-0.66385,-9.09513,1.12635,-0.22156,-42.1097,-36.27238,2.44759,-4.86698,-6.07503,-2.62897,-26.1772,51.56505,-5.81362,-7.41321,2.74251,-0.13573,-16.1729,1.28479,-7.4779,-15.47746,-30.35361,9.38512,9.28616,0.07605,-0.15164,9.93488,-3.96433,2.32748,1.82388,-1.43752,0.08566,1.54867,0.41864,0.37573,0.46912,0.09325,-0.05816,0.27751,-0.27724,0.1777
3576,-21.59674,-8.37685,-0.88548,-10.09381,0.95475,-0.38221,-37.09885,-39.32374,2.48185,1.47839,-4.1619,-1.37665,-26.47054,52.38206,-6.10409,-7.05078,2.15562,-0.33676,0.38256,3.75658,-5.27765,2.62825,-26.5479,11.07348,7.85078,1.41885,0.07425,9.51789,-3.72898,0.33374,2.17023,-1.22443,-0.36533,2.37721,1.71999,-0.2654,0.52235,-0.10205,-0.03395,0.41917,0.1329,-0.07188
