Unnamed: 0_level_0,Neck_Joint_Position,Neck_Joint_Position,Neck_Joint_Position,L_ANKLE_POSITION,L_ANKLE_POSITION,L_ANKLE_POSITION,R_ANKLE_POSITION,R_ANKLE_POSITION,R_ANKLE_POSITION,L_KNEE_POSITION,L_KNEE_POSITION,L_KNEE_POSITION,R_KNEE_POSITION,R_KNEE_POSITION,R_KNEE_POSITION,L_HIP_POSITION,L_HIP_POSITION,L_HIP_POSITION,R_HIP_POSITION,R_HIP_POSITION,R_HIP_POSITION,L_SHOULDER_POSITION,L_SHOULDER_POSITION,L_SHOULDER_POSITION,R_SHOULDER_POSITION,R_SHOULDER_POSITION,R_SHOULDER_POSITION,L_ELBOW_POSITION,L_ELBOW_POSITION,L_ELBOW_POSITION,R_ELBOW_POSITION,R_ELBOW_POSITION,R_ELBOW_POSITION,L_WRIST_POSITION,L_WRIST_POSITION,L_WRIST_POSITION,R_WRIST_POSITION,R_WRIST_POSITION,R_WRIST_POSITION
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
445,0.1224,0.22584,1.53928,0.12766,0.47965,0.08552,0.11096,0.09257,0.07839,0.11849,0.44732,0.50954,0.1914,0.13888,0.49464,0.08909,0.26683,0.91696,0.24043,0.16117,0.93118,-0.0311,0.26663,1.44524,0.28011,0.12102,1.47289,-0.09189,0.26413,1.14291,0.359,0.09406,1.17412,0.01476,0.51176,1.18861,0.3658,0.36171,1.16458
446,0.12296,0.22657,1.53934,0.12787,0.47973,0.08559,0.11097,0.09267,0.07833,0.11819,0.44862,0.50968,0.19126,0.13963,0.49454,0.08854,0.26734,0.91673,0.23983,0.16163,0.93114,-0.03131,0.26775,1.44551,0.28008,0.12203,1.4726,-0.09244,0.26559,1.14324,0.35827,0.09407,1.17373,0.01516,0.5129,1.18846,0.36542,0.36168,1.16335
447,0.12373,0.22745,1.53932,0.12798,0.48002,0.08575,0.11096,0.09304,0.07827,0.11796,0.45013,0.50993,0.19097,0.14025,0.4945,0.08815,0.26809,0.91662,0.2393,0.16218,0.93113,-0.03145,0.26883,1.44563,0.27989,0.12307,1.47232,-0.09287,0.26747,1.14341,0.35745,0.09389,1.1734,0.01594,0.51428,1.18848,0.36519,0.36147,1.1624
448,0.12423,0.2287,1.53915,0.12794,0.48027,0.08593,0.11097,0.09339,0.07825,0.11779,0.45163,0.51019,0.19073,0.14061,0.49453,0.08793,0.26884,0.91655,0.2389,0.1627,0.93117,-0.03165,0.26998,1.44564,0.27961,0.12421,1.47219,-0.0932,0.26942,1.14345,0.35655,0.09402,1.17322,0.01694,0.51559,1.18873,0.36499,0.36155,1.1616
449,0.12417,0.23033,1.53889,0.12782,0.48031,0.08604,0.11105,0.09358,0.07826,0.11765,0.45299,0.51039,0.19067,0.1407,0.49458,0.08774,0.26943,0.9164,0.23862,0.16319,0.93123,-0.03205,0.27115,1.44561,0.27938,0.12543,1.47216,-0.09355,0.27098,1.14341,0.35572,0.09461,1.17309,0.01775,0.51657,1.18907,0.36474,0.36209,1.16069
450,0.12369,0.23213,1.53867,0.12767,0.48027,0.08608,0.11118,0.09369,0.07829,0.11757,0.45422,0.51051,0.19066,0.1407,0.49464,0.0875,0.26993,0.91617,0.23842,0.16377,0.93128,-0.03261,0.2723,1.44562,0.27926,0.12677,1.47203,-0.09407,0.27209,1.14341,0.35507,0.09541,1.17288,0.01805,0.51726,1.18924,0.3645,0.36282,1.1596
451,0.1232,0.23389,1.53857,0.12752,0.48033,0.08612,0.1113,0.09382,0.07834,0.1175,0.45542,0.51061,0.19055,0.14083,0.49474,0.08722,0.27054,0.91599,0.23819,0.1645,0.93136,-0.03295,0.27359,1.44566,0.27916,0.12827,1.47187,-0.0948,0.273,1.14353,0.35459,0.09604,1.17272,0.01789,0.51795,1.18919,0.36445,0.3634,1.1585
452,0.1229,0.23554,1.53853,0.12742,0.48052,0.08622,0.11139,0.09393,0.07845,0.11737,0.45663,0.51078,0.19029,0.14119,0.49489,0.08692,0.27129,0.91593,0.23786,0.16525,0.93149,-0.03284,0.27533,1.4457,0.2789,0.12987,1.47201,-0.0956,0.27395,1.14376,0.35421,0.09649,1.17296,0.01748,0.51879,1.18903,0.36467,0.36376,1.15759
453,0.12279,0.23716,1.53843,0.12739,0.48071,0.08638,0.11139,0.09395,0.07853,0.11715,0.45791,0.51099,0.18997,0.14174,0.49497,0.08655,0.27203,0.91589,0.23742,0.1659,0.93159,-0.03245,0.2776,1.44575,0.2785,0.13147,1.47254,-0.09623,0.27502,1.14403,0.35385,0.09701,1.17362,0.01703,0.51985,1.1889,0.36511,0.36416,1.15683
454,0.12288,0.23897,1.53819,0.12738,0.48082,0.0865,0.11126,0.09392,0.0785,0.11682,0.45927,0.51116,0.18966,0.14239,0.49489,0.08605,0.27274,0.91575,0.23686,0.16654,0.93153,-0.03219,0.28021,1.44589,0.27814,0.1331,1.47308,-0.09651,0.27621,1.1443,0.35341,0.09762,1.17426,0.01667,0.52113,1.18888,0.36544,0.36464,1.15606
455,0.12317,0.24114,1.53785,0.12735,0.48085,0.08648,0.111,0.09396,0.07832,0.11635,0.46076,0.5112,0.18945,0.14304,0.49464,0.08547,0.27356,0.91547,0.23624,0.16731,0.93131,-0.03223,0.2829,1.44606,0.2778,0.13484,1.47315,-0.09656,0.27755,1.1445,0.35284,0.09788,1.17445,0.01648,0.52254,1.18906,0.36528,0.3648,1.15499
456,0.12348,0.24361,1.53754,0.12738,0.4808,0.08636,0.11072,0.09403,0.07813,0.11587,0.46245,0.51115,0.18943,0.1436,0.49434,0.08496,0.27457,0.9151,0.23566,0.16822,0.93105,-0.03254,0.28543,1.44606,0.27731,0.13664,1.47267,-0.09666,0.27907,1.14447,0.35217,0.09737,1.17422,0.01647,0.52393,1.18951,0.36459,0.36419,1.15345
457,0.12368,0.24608,1.53733,0.12755,0.48072,0.08631,0.11053,0.09397,0.07805,0.1156,0.46438,0.51117,0.18961,0.14405,0.49413,0.08468,0.27573,0.91477,0.23521,0.16917,0.93088,-0.03299,0.28762,1.44581,0.27667,0.13841,1.47202,-0.09697,0.28095,1.1442,0.35143,0.09632,1.17393,0.01673,0.52537,1.19019,0.36382,0.363,1.1515
458,0.12384,0.24835,1.53721,0.12784,0.48066,0.08645,0.11052,0.09375,0.07812,0.11563,0.46644,0.51138,0.18991,0.14444,0.49406,0.0846,0.27695,0.91457,0.23486,0.17004,0.93086,-0.03343,0.28936,1.44546,0.27615,0.14014,1.47161,-0.09734,0.28339,1.14382,0.35068,0.09545,1.17384,0.0174,0.5271,1.19097,0.36342,0.36194,1.14945
459,0.1241,0.25037,1.53715,0.12809,0.48069,0.08671,0.11063,0.09356,0.07822,0.1157,0.4684,0.5117,0.19011,0.14487,0.49407,0.08451,0.27819,0.91454,0.2345,0.1709,0.93089,-0.03373,0.29082,1.44518,0.27599,0.14195,1.47148,-0.09749,0.28625,1.14348,0.34997,0.09516,1.1739,0.01844,0.52919,1.19174,0.36336,0.36144,1.14757
460,0.1244,0.25218,1.53712,0.12818,0.48087,0.08698,0.11073,0.09349,0.07819,0.11549,0.47016,0.512,0.19008,0.14546,0.49399,0.0842,0.27944,0.91459,0.23403,0.17193,0.93083,-0.03382,0.29247,1.44494,0.27606,0.14388,1.47138,-0.09721,0.28912,1.14315,0.34936,0.09526,1.17392,0.01951,0.53145,1.1925,0.36349,0.36132,1.14583
461,0.12452,0.25404,1.5371,0.12812,0.48116,0.08718,0.1107,0.09341,0.07807,0.115,0.47181,0.51222,0.18989,0.14622,0.49379,0.08365,0.28071,0.91462,0.23349,0.17317,0.93064,-0.03371,0.29478,1.44465,0.27611,0.14579,1.47118,-0.0966,0.29175,1.14275,0.34888,0.09564,1.17385,0.02016,0.53381,1.19334,0.36396,0.36147,1.14406
462,0.12431,0.25621,1.53706,0.12811,0.48146,0.08732,0.11046,0.09322,0.078,0.1145,0.47352,0.51238,0.18976,0.14702,0.49357,0.08306,0.28198,0.91457,0.23296,0.1745,0.93042,-0.03346,0.29777,1.44428,0.27603,0.14754,1.471,-0.09594,0.29431,1.1423,0.34864,0.09665,1.17375,0.02022,0.53636,1.19427,0.36513,0.36219,1.14222
463,0.12394,0.25871,1.53697,0.12828,0.48179,0.08745,0.1101,0.09318,0.07804,0.11415,0.47539,0.51251,0.18982,0.14775,0.49343,0.08262,0.28327,0.91442,0.23252,0.1758,0.9303,-0.03308,0.30102,1.44379,0.27584,0.14914,1.47101,-0.09558,0.29706,1.14182,0.3486,0.09845,1.17376,0.02003,0.53906,1.19522,0.36693,0.36364,1.14035
464,0.12378,0.26143,1.53674,0.12855,0.48223,0.08757,0.1098,0.09359,0.07809,0.11391,0.47743,0.51264,0.18998,0.14847,0.49335,0.08236,0.28462,0.91421,0.23215,0.17701,0.93024,-0.03265,0.30417,1.44324,0.27554,0.15062,1.47119,-0.0957,0.30005,1.14139,0.34853,0.10049,1.17391,0.02008,0.54166,1.1962,0.36855,0.36527,1.1383
465,0.12395,0.26432,1.53639,0.1287,0.48272,0.08773,0.10966,0.09441,0.07801,0.11366,0.47959,0.51279,0.19005,0.14936,0.49322,0.08216,0.28605,0.91402,0.23172,0.17814,0.93014,-0.03228,0.30717,1.44276,0.27518,0.1521,1.47129,-0.09616,0.30311,1.14108,0.34813,0.10201,1.17399,0.02038,0.54405,1.19726,0.3692,0.36636,1.1359
466,0.12423,0.26729,1.53607,0.12871,0.48305,0.08793,0.10967,0.09524,0.07782,0.11333,0.48173,0.51299,0.18997,0.15052,0.49301,0.08191,0.28759,0.91393,0.23114,0.17921,0.92998,-0.03208,0.31007,1.44237,0.27493,0.15379,1.47104,-0.09664,0.30607,1.14084,0.34729,0.10275,1.17376,0.02043,0.54639,1.1985,0.3689,0.3667,1.13325
467,0.12442,0.27017,1.53588,0.12871,0.48317,0.08814,0.10974,0.09573,0.07767,0.11284,0.48377,0.51319,0.18983,0.15194,0.49277,0.08156,0.28915,0.91391,0.23045,0.18028,0.92982,-0.03202,0.31292,1.442,0.27488,0.15594,1.47055,-0.09679,0.30893,1.14051,0.34613,0.10295,1.17334,0.02002,0.54894,1.19996,0.36833,0.36651,1.13064
468,0.12469,0.27295,1.53581,0.1288,0.48319,0.08835,0.1098,0.09589,0.07766,0.11223,0.48573,0.51336,0.18972,0.1535,0.4926,0.08117,0.29058,0.91384,0.22982,0.18139,0.92972,-0.03186,0.31585,1.44161,0.27485,0.15853,1.47021,-0.09645,0.31204,1.14008,0.34484,0.10299,1.17317,0.01951,0.5519,1.20174,0.36807,0.36608,1.12819
469,0.12534,0.27584,1.5358,0.12904,0.48333,0.08857,0.10988,0.09582,0.07777,0.11172,0.48776,0.51354,0.18971,0.15506,0.4925,0.08082,0.2919,0.91368,0.22932,0.18253,0.92969,-0.03141,0.31889,1.44131,0.27454,0.16123,1.47028,-0.09573,0.31576,1.13972,0.34369,0.10312,1.17352,0.01942,0.55536,1.20387,0.36813,0.36561,1.12577
470,0.1263,0.27896,1.53579,0.12944,0.48367,0.08883,0.11005,0.09564,0.07796,0.11155,0.48998,0.51375,0.18986,0.15645,0.49247,0.0806,0.29325,0.91347,0.22892,0.18366,0.92973,-0.03076,0.32189,1.44118,0.27393,0.16361,1.4706,-0.09486,0.32021,1.13952,0.34285,0.10348,1.1742,0.01991,0.5593,1.2062,0.36823,0.36527,1.12324
471,0.12725,0.28218,1.53579,0.12988,0.48417,0.08914,0.11031,0.09547,0.07818,0.11168,0.49228,0.51402,0.19015,0.15758,0.49248,0.08043,0.29471,0.9133,0.22853,0.18486,0.9298,-0.03026,0.32472,1.44111,0.27337,0.16561,1.47084,-0.09406,0.32517,1.13939,0.34234,0.10404,1.17475,0.02078,0.56356,1.20843,0.36835,0.36515,1.12067
472,0.12784,0.28533,1.53576,0.13022,0.48474,0.08952,0.11054,0.09543,0.07833,0.11184,0.49447,0.51435,0.19045,0.15854,0.49247,0.08011,0.29624,0.91326,0.22802,0.18615,0.92984,-0.03014,0.32768,1.44098,0.27319,0.16756,1.47073,-0.09354,0.33025,1.13918,0.34186,0.10469,1.17484,0.02172,0.56782,1.21032,0.36872,0.36516,1.11815
473,0.12795,0.28839,1.53572,0.13045,0.48526,0.08995,0.11058,0.09552,0.07839,0.11173,0.4966,0.51473,0.19064,0.15953,0.49237,0.07956,0.29773,0.91329,0.22729,0.18739,0.9298,-0.03027,0.33126,1.44077,0.27331,0.16983,1.47018,-0.09332,0.33513,1.13892,0.34101,0.1054,1.1744,0.02248,0.57188,1.21186,0.36938,0.36525,1.11567
474,0.12774,0.29148,1.53564,0.13073,0.48565,0.09038,0.11046,0.09566,0.07836,0.11136,0.4989,0.51508,0.19074,0.16073,0.49213,0.07897,0.29925,0.91322,0.22644,0.18855,0.92964,-0.03029,0.33563,1.44058,0.27336,0.17247,1.46936,-0.09316,0.33977,1.13869,0.33979,0.10632,1.17367,0.02296,0.57584,1.21333,0.37015,0.36553,1.11311
475,0.12752,0.29465,1.53549,0.13114,0.48592,0.09075,0.11029,0.09584,0.07828,0.11099,0.50149,0.51533,0.1908,0.16217,0.4918,0.07855,0.30091,0.91301,0.22569,0.18978,0.92939,-0.02996,0.34037,1.4404,0.27322,0.17525,1.46868,-0.09278,0.34437,1.1385,0.33854,0.10764,1.17307,0.02333,0.57982,1.21509,0.37072,0.36615,1.11053
476,0.12746,0.29783,1.53524,0.1317,0.48611,0.09109,0.11018,0.09613,0.0782,0.11082,0.50423,0.51554,0.19093,0.16382,0.49146,0.07825,0.30274,0.91274,0.22509,0.1912,0.92912,-0.02937,0.34492,1.44016,0.27309,0.1779,1.46841,-0.09223,0.34913,1.13827,0.33753,0.10926,1.17285,0.02395,0.58377,1.2172,0.37087,0.36707,1.10804
477,0.12749,0.30098,1.53492,0.13231,0.48637,0.0915,0.1102,0.09656,0.07816,0.11084,0.50698,0.5158,0.19114,0.16557,0.49116,0.07791,0.30467,0.91256,0.22447,0.19276,0.9289,-0.0288,0.34903,1.43985,0.27307,0.18035,1.46855,-0.0918,0.35393,1.138,0.33669,0.11094,1.17299,0.02483,0.58752,1.21935,0.3706,0.36803,1.10567
478,0.12738,0.30412,1.53463,0.13286,0.48686,0.09203,0.11029,0.09694,0.0782,0.111,0.50975,0.51619,0.19144,0.16727,0.49094,0.07742,0.30664,0.91249,0.22371,0.19437,0.92876,-0.0285,0.35278,1.43951,0.273,0.18274,1.46883,-0.09165,0.35855,1.1377,0.33581,0.11245,1.17331,0.02555,0.59111,1.22116,0.37012,0.36878,1.10333
479,0.12716,0.3074,1.53433,0.1333,0.48763,0.09262,0.11039,0.09703,0.07835,0.11122,0.51258,0.51666,0.19188,0.16881,0.49077,0.07688,0.30855,0.91242,0.2229,0.19592,0.92869,-0.02844,0.35631,1.43911,0.27269,0.18534,1.46898,-0.09157,0.36301,1.13732,0.33486,0.11374,1.17363,0.02578,0.59484,1.22256,0.36968,0.36926,1.101
480,0.12712,0.31106,1.53397,0.13362,0.48847,0.0932,0.11048,0.09672,0.07861,0.11141,0.51542,0.51711,0.19247,0.17015,0.49064,0.07645,0.31031,0.91226,0.22219,0.19734,0.92864,-0.02835,0.35966,1.43858,0.27217,0.18824,1.46881,-0.09124,0.36761,1.13677,0.334,0.1149,1.17383,0.02563,0.59901,1.22382,0.36939,0.36961,1.09869
481,0.12743,0.31512,1.53353,0.13376,0.48919,0.09372,0.11067,0.09624,0.07889,0.11147,0.51817,0.51749,0.19313,0.17133,0.49053,0.07609,0.31193,0.91201,0.22156,0.19865,0.9286,-0.02798,0.36295,1.43795,0.27162,0.19124,1.46842,-0.09063,0.37259,1.13614,0.33333,0.11606,1.17387,0.02551,0.60358,1.22524,0.36922,0.37003,1.09648
482,0.12791,0.31926,1.53309,0.13373,0.48977,0.09421,0.11098,0.09599,0.07905,0.11136,0.52079,0.51783,0.19375,0.17245,0.49037,0.07561,0.31351,0.91177,0.22082,0.19991,0.92852,-0.02728,0.36649,1.4374,0.27119,0.19405,1.46801,-0.08992,0.37796,1.13565,0.33277,0.11736,1.17382,0.0258,0.60826,1.22704,0.36922,0.37063,1.09443
483,0.12845,0.32318,1.53269,0.13363,0.49034,0.09474,0.11116,0.09626,0.07903,0.11108,0.52332,0.51821,0.19426,0.1737,0.4901,0.07493,0.31512,0.91162,0.21986,0.20115,0.92835,-0.02638,0.37052,1.43707,0.27091,0.19663,1.46771,-0.08921,0.38357,1.13542,0.33226,0.11884,1.17377,0.02657,0.61286,1.22925,0.3694,0.37142,1.0925
484,0.12915,0.32692,1.53237,0.13366,0.49098,0.09537,0.11102,0.09697,0.07892,0.11071,0.52586,0.51866,0.1947,0.1753,0.4897,0.07416,0.31687,0.91163,0.21879,0.20249,0.92805,-0.0255,0.37502,1.43694,0.27081,0.19924,1.46753,-0.08841,0.38928,1.13537,0.33185,0.12042,1.1738,0.02761,0.61746,1.23159,0.36963,0.37226,1.09056
