Unnamed: 0_level_0,L_TO_ANGLE,L_TO_ANGLE,L_TO_ANGLE,R_TO_ANGLE,R_TO_ANGLE,R_TO_ANGLE,L_FT_ANGLE,L_FT_ANGLE,L_FT_ANGLE,R_FT_ANGLE,R_FT_ANGLE,R_FT_ANGLE,L_FT_SHADOW_ANGLE,L_FT_SHADOW_ANGLE,L_FT_SHADOW_ANGLE,R_FT_SHADOW_ANGLE,R_FT_SHADOW_ANGLE,R_FT_SHADOW_ANGLE,L_SK_ANGLE,L_SK_ANGLE,L_SK_ANGLE,R_SK_ANGLE,R_SK_ANGLE,R_SK_ANGLE,L_TH_ANGLE,L_TH_ANGLE,L_TH_ANGLE,R_TH_ANGLE,R_TH_ANGLE,R_TH_ANGLE,PELVIS_ANGLE,PELVIS_ANGLE,PELVIS_ANGLE,TRUNK_ANGLE,TRUNK_ANGLE,TRUNK_ANGLE,HEAD_ANGLE,HEAD_ANGLE,HEAD_ANGLE,HEAD_SHADOW_ANGLE,HEAD_SHADOW_ANGLE,HEAD_SHADOW_ANGLE,L_AR_ANGLE,L_AR_ANGLE,L_AR_ANGLE,R_AR_ANGLE,R_AR_ANGLE,R_AR_ANGLE,L_FA_ANGLE,L_FA_ANGLE,L_FA_ANGLE,R_FA_ANGLE,R_FA_ANGLE,R_FA_ANGLE,L_HA_ANGLE,L_HA_ANGLE,L_HA_ANGLE,R_HA_ANGLE,R_HA_ANGLE,R_HA_ANGLE
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
3058,-14.13208,-0.30432,-5.5859,0.50194,7.92049,-74.3343,-10.19949,-0.6879,-5.55183,2.33285,1.3766,-74.48293,-10.19949,-0.6879,-5.55183,2.33285,1.37659,-74.48293,8.19403,2.85278,-21.44735,-7.77084,8.72237,-57.59663,26.83024,1.11456,-22.96359,-4.65485,4.67203,-57.98078,-7.78211,2.84105,-43.76038,1.1748,3.67465,-34.85094,-9.44013,-0.38431,-23.9096,-29.35669,8.23473,-22.52849,29.96623,5.85081,-24.78147,36.4664,-22.33921,14.01666,161.98187,-22.45621,-94.65071,155.65858,23.55927,135.87251,147.89154,-6.99479,-96.40607,161.70264,-1.30328,132.10207
3059,-14.23371,-0.46846,-5.49704,0.37302,8.21819,-74.31442,-10.28209,-0.8473,-5.45165,2.31134,1.29731,-74.47549,-10.28209,-0.8473,-5.45165,2.31134,1.2973,-74.47549,8.1307,2.86318,-21.13759,-7.74248,8.73716,-57.32619,26.9311,1.09737,-22.65833,-4.67501,4.65748,-57.70106,-7.75179,2.79753,-43.78511,1.11794,3.70616,-34.78378,-9.32661,-0.5039,-23.91132,-29.23707,8.12289,-22.57127,29.95511,6.01126,-24.67815,36.41137,-22.50063,13.93061,161.79898,-22.51144,-94.00475,155.47621,23.55419,137.97775,148.04424,-7.55459,-95.84573,162.48082,-1.74568,133.89752
3060,-14.31526,-0.52773,-5.45183,0.22105,8.36562,-74.27831,-10.3472,-0.90484,-5.40221,2.21928,1.24676,-74.44607,-10.3472,-0.90484,-5.40221,2.21928,1.24675,-74.44607,8.02226,2.86152,-20.85959,-7.73086,8.74443,-57.18464,27.05168,1.07045,-22.39215,-4.67694,4.60811,-57.5545,-7.69556,2.77087,-43.88588,1.0122,3.76649,-34.71926,-9.17361,-0.55335,-24.00215,-29.06865,8.10731,-22.67455,29.90584,6.10765,-24.49532,36.36372,-22.58973,13.85878,161.68936,-22.44044,-94.56013,155.28107,23.51448,140.10524,147.85631,-8.15739,-96.57892,163.09595,-2.26945,135.72644
3061,-14.38042,-0.33306,-5.51167,0.108,8.33994,-74.20332,-10.39386,-0.7166,-5.47513,2.10366,1.26601,-74.37074,-10.39386,-0.7166,-5.47513,2.10366,1.266,-74.37074,7.8731,2.82011,-20.73868,-7.73847,8.73419,-57.23471,27.19667,1.04542,-22.29923,-4.67912,4.54258,-57.60244,-7.66088,2.75085,-43.99308,0.90465,3.86152,-34.6978,-9.05292,-0.55494,-24.21964,-28.91652,8.17976,-22.88169,29.84508,6.15749,-24.32033,36.33583,-22.64765,13.85231,161.63168,-22.33341,-95.60521,155.13422,23.5164,141.7209,147.46703,-8.49828,-97.78758,163.26291,-2.61016,137.15718
3062,-14.44631,-0.05038,-5.652,0.13167,8.21089,-74.10772,-10.49998,-0.44051,-5.63509,2.07752,1.35863,-74.27033,-10.49998,-0.44051,-5.63509,2.07752,1.35862,-74.27033,7.72592,2.7292,-20.77949,-7.75353,8.70432,-57.41531,27.33669,1.04156,-22.37967,-4.70461,4.47123,-57.77859,-7.6259,2.75265,-44.0862,0.84008,3.94778,-34.76137,-8.94471,-0.58869,-24.40387,-28.77986,8.21057,-23.06834,29.79358,6.22814,-24.17733,36.31283,-22.73764,13.87908,161.57616,-22.26608,-96.21886,155.04993,23.57681,142.1662,147.11089,-8.60944,-98.49694,162.95442,-2.46693,137.6201
3063,-14.55434,-0.06698,-5.77244,0.32521,7.88562,-74.04469,-10.75473,-0.45065,-5.75527,2.14648,1.50142,-74.19396,-10.75473,-0.45065,-5.75527,2.14648,1.50142,-74.19396,7.60748,2.60775,-20.77792,-7.76882,8.66151,-57.6685,27.45408,1.0665,-22.41587,-4.76033,4.40531,-58.02323,-7.51823,2.79497,-44.15459,0.82571,3.97012,-34.90469,-8.82739,-0.70296,-24.38319,-28.66001,8.09606,-23.08785,29.75859,6.33183,-24.06841,36.2891,-22.87279,13.85784,161.47028,-22.26056,-96.68421,155.0294,23.63607,141.18042,146.93355,-8.68713,-99.0084,162.32643,-1.76854,136.87633
3064,-14.84401,-0.5658,-5.74397,0.53243,7.37554,-74.04417,-11.13592,-0.9373,-5.69531,2.17886,1.60726,-74.17327,-11.13592,-0.9373,-5.69531,2.17887,1.60725,-74.17327,7.488,2.48378,-20.56433,-7.78313,8.61843,-57.89754,27.59151,1.1095,-22.23854,-4.82797,4.36505,-58.24296,-7.31915,2.86464,-44.15439,0.83054,3.93526,-35.03672,-8.7172,-0.87535,-24.20677,-28.56731,7.87404,-22.97938,29.74029,6.40241,-24.02777,36.29359,-23.00609,13.7773,161.28419,-22.30877,-98.12903,155.07469,23.65042,139.67078,146.89864,-8.74043,-100.4695,161.66145,-0.79615,135.71153
3065,-15.44713,-1.25237,-5.52327,0.53517,7.03124,-74.09414,-11.52074,-1.62867,-5.42452,2.09412,1.55236,-74.21095,-11.52074,-1.62867,-5.42452,2.09412,1.55236,-74.21095,7.31342,2.36771,-20.21096,-7.78778,8.59358,-57.94877,27.82106,1.15243,-21.9377,-4.88129,4.34785,-58.28606,-7.11577,2.93502,-44.05909,0.81651,3.91332,-35.06005,-8.62488,-1.06042,-24.05591,-28.48831,7.64873,-22.89964,29.74531,6.41271,-24.07517,36.36452,-23.09962,13.72574,161.02313,-22.40154,-100.34791,155.17081,23.66296,138.77873,146.88588,-8.61048,-102.64509,161.23619,0.126,135.09766
3066,-16.23739,-1.58631,-5.23173,0.32127,7.13955,-74.17764,-11.85007,-1.98276,-5.09503,1.96539,1.32745,-74.29917,-11.85007,-1.98276,-5.09503,1.96539,1.32745,-74.29917,7.07341,2.25126,-19.88419,-7.77012,8.59951,-57.78798,28.16211,1.18704,-21.68991,-4.91144,4.31822,-58.11591,-7.02948,2.99602,-43.92165,0.76512,3.961,-34.98977,-8.55619,-1.23276,-24.0067,-28.41898,7.46993,-22.91204,29.77826,6.43634,-24.15232,36.49339,-23.16307,13.76416,160.73077,-22.52717,-101.7252,155.27116,23.72442,138.6938,146.81786,-8.23815,-103.89146,161.23744,0.9071,135.14548
