L_MTP_ANGLE,L_MTP_ANGLE,L_MTP_ANGLE,R_MTP_ANGLE,R_MTP_ANGLE,R_MTP_ANGLE,L_ANKLE_ANGLE,L_ANKLE_ANGLE,L_ANKLE_ANGLE,R_ANKLE_ANGLE,R_ANKLE_ANGLE,R_ANKLE_ANGLE,L_KNEE_ANGLE,L_KNEE_ANGLE,L_KNEE_ANGLE,R_KNEE_ANGLE,R_KNEE_ANGLE,R_KNEE_ANGLE,L_HIP_ANGLE,L_HIP_ANGLE,L_HIP_ANGLE,R_HIP_ANGLE,R_HIP_ANGLE,R_HIP_ANGLE,L_SHOULDER_ANGLE,L_SHOULDER_ANGLE,L_SHOULDER_ANGLE,R_SHOULDER_ANGLE,R_SHOULDER_ANGLE,R_SHOULDER_ANGLE,L_ELBOW_ANGLE,L_ELBOW_ANGLE,L_ELBOW_ANGLE,R_ELBOW_ANGLE,R_ELBOW_ANGLE,R_ELBOW_ANGLE,L_WRIST_ANGLE,L_WRIST_ANGLE,L_WRIST_ANGLE,R_WRIST_ANGLE,R_WRIST_ANGLE,R_WRIST_ANGLE,NECK_ANGLE,NECK_ANGLE,NECK_ANGLE,NECK_ANGLE_SHADOW,NECK_ANGLE_SHADOW,NECK_ANGLE_SHADOW,Trunk_Joint_Angle,Trunk_Joint_Angle,Trunk_Joint_Angle
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-8.319770000000002,0.0,0.0,-5.741090000000001,0.0,0.0,-17.01138,-9.74178,8.966300000000002,13.413950000000003,3.9464400000000004,-11.509620000000002,-17.895020000000002,-5.62696,0.0006,-7.274820000000001,-1.2418400000000003,-9.000000000000002e-05,29.085890000000003,20.214200000000005,14.670950000000001,-0.54167,4.942450000000002,-12.893620000000002,22.51728,25.15024,12.117830000000001,42.62953000000001,-3.3210800000000003,40.36592000000001,119.77489000000001,-0.0020700000000000002,-96.83840000000001,123.03242000000002,-0.0008200000000000001,120.77751000000002,-7.901660000000002,-18.79472,-0.00073,-14.942840000000004,12.514160000000002,0.024370000000000003,-4.186650000000002,-7.957250000000001,11.34456,-26.576090000000004,-11.662370000000001,7.480040000000001,4.496620000000001,5.555390000000001,6.02438
-7.427913489836376,0.0,0.0,-5.39666827735277,0.0,0.0,-17.422163698613392,-9.338571602297618,8.26496051148282,13.287731847631708,4.104988468961038,-11.368296574170433,-19.428317778389108,-5.962111535678962,-0.0006689996526742472,-6.979159501974903,-1.0250549744238469,5.895932108252713e-05,29.596471764719062,20.541385809548775,15.3444871210795,-0.9458936059473488,4.5695555897433655,-12.862515149847622,23.637347637315013,25.274487752488973,11.706683624350125,43.65104488933262,-3.3643314467793917,40.372985721705284,119.26095730409696,0.0015123458666433452,-99.54225154226566,122.86010033065357,-0.0008855923626210849,125.39588427685041,-7.504612863934973,-20.440196912089057,0.00012732171817569186,-12.839093227072043,15.222670860368364,0.001440423510491832,-3.8965946538391325,-8.21347965361743,10.846682633582722,-26.330469903329107,-11.711317952205361,6.9149384502271305,4.279267903965516,5.36124155155623,6.273319810790803
-5.9972017449348884,0.0,0.0,-5.273036969811946,0.0,0.0,-18.11954302898804,-9.531876178360266,7.419434215902134,13.162673366604057,4.033832315012023,-10.506284717943808,-21.354476914951565,-6.226061051854767,0.0008391794399758222,-6.775481539798465,-0.6690862173921903,-3.739146776862763e-05,30.443367772407477,20.862272839070034,15.385580312528308,-1.308068420440673,4.106515676497575,-13.4509882386136,23.84545510472895,25.9072905097266,11.967399197377206,44.01389294553348,-3.251030422119279,40.237583320724376,118.77812456310868,-0.0021497092659067416,-101.98502599533971,122.89440627337883,0.00010301501583611915,121.52754888393535,-6.900587400330856,-20.440917861464154,-0.0006014898223646461,-11.090410721088212,13.849211866289506,-0.001262264640012989,-3.9439407501568766,-8.614228722783704,10.97272238353196,-26.404241164801757,-12.129310819525424,6.876326849545275,4.274870333701025,5.371672675435335,6.234263122485029
-6.3176821099710745,0.0,0.0,-5.368350326442231,0.0,0.0,-18.77082322142951,-9.269050290346787,6.514165677322083,13.050992431678958,4.320341725681618,-10.241394585692339,-23.568143630562375,-6.397003079380916,-0.00017691436115973677,-6.3716009925485615,-0.28822949341483844,0.00021446334170939092,31.601205076193743,20.97233363476883,15.589761187172671,-1.5501231144228305,3.3606250659382515,-13.827066372443047,24.724521710209263,26.2779275035929,11.803140076724326,44.63266704216069,-2.8065461779232486,40.72840503240034,118.42933625177618,0.0035158332659186217,-102.60511761400012,122.56140286980563,-0.001008120102135372,123.3655462412412,-6.733923910099486,-22.91955994172702,-0.0015474183396833687,-10.120420691769462,14.29226782328036,-0.00603075276727996,-3.585061621918338,-8.272854506043402,10.96877081732616,-26.01791250701571,-11.812303946938533,7.005865115683781,4.395770866280464,5.042348655155833,6.44709292553146
-5.393167870831019,0.0,0.0,-5.400640164429715,0.0,0.0,-20.250608059042733,-9.62101095912247,6.003897745559673,12.830475469231338,5.195403797661821,-9.886705348315932,-25.5993627370206,-6.600007365029814,-0.0004851984954624489,-5.707648950081734,0.029384434827129727,-0.00010967277377995218,32.52430556804807,21.14151443561802,15.767814841509285,-2.0783405025986696,2.4883548997787543,-13.665794271934457,24.467285505142605,26.597073406332992,12.577508033298123,45.481942599783814,-2.296294733593679,40.954055959912196,118.89968245699419,0.0019789247640817804,-98.27314230913449,122.73044431606203,0.0009986811275423098,123.72317884843736,-7.950521046194812,-22.486970295597164,0.000862536548923508,-8.969192100305627,16.70812050513302,0.005090695296010725,-2.81313109169858,-7.968617120051642,11.611977345695594,-25.18972107228271,-11.773727094094625,7.725707505254986,4.264721215652173,4.537486672515394,6.838163897901419
-4.091547521726746,0.0,0.0,-5.727045664842079,0.0,0.0,-22.46017391291779,-8.713101286298267,4.854493409343279,12.676160826886374,5.249054497887741,-8.629286837719638,-27.79351601423496,-6.814698300853973,0.0007350732443657237,-5.433213046170367,0.05290470708650095,5.64926593386968e-06,33.94720750194505,21.356880409687196,16.71871485218661,-1.8263831613494068,1.5108116391062245,-14.275736524089991,25.5131662655878,26.73952520998293,12.65683026594428,46.293768777633545,-1.9266555424318121,41.16364221689698,117.90173032873258,-0.0005323639166533414,-101.14166658932474,123.17103676403198,-0.0004794099056408782,121.38780070330554,-7.3558218247559495,-21.644634790377577,-0.0002497004633838958,-9.308510222481715,17.637361258847957,0.004428062117007862,-2.524131111357268,-8.181809884452994,12.15431889152342,-24.888800632699443,-12.175247758036148,8.15036752809673,4.588339095330408,3.9031446810935404,7.23581545069975
-3.371097391434026,0.0,0.0,-6.467090181394091,0.0,0.0,-23.808458565732245,-8.349873684088145,4.650551466230256,12.80815169170891,4.929123157286324,-8.595608404537751,-29.85943676401912,-7.6846386153972865,1.888487168859977e-05,-5.102235356253927,0.35654965143264644,-5.172329130050657e-05,35.11225575252648,21.815527105768194,16.292556744957963,-2.0248355178548154,0.7411811710547729,-14.454660691421106,25.279831388988097,27.22590881677539,13.21796775299998,46.88764080441767,-1.3681234754169023,42.01412428874866,117.049109274989,0.0012816168376924158,-104.62392734224831,122.65032056833908,0.0009938948355717782,119.83837309346612,-8.898907383620923,-22.648142116683996,-0.004174328940949107,-10.897038373247124,17.046550670591536,-0.0015976177373181312,-2.1446912651031282,-8.532201201913828,12.764535422018557,-24.504202164054618,-12.728985554317065,8.585636036916318,5.131449496145704,3.901212850110016,7.027070860465802
-2.28474833084126,0.0,0.0,-4.974245837525892,0.0,0.0,-25.0911480697067,-7.641643015955623,3.8652693127766775,12.449136971037714,5.505966068535618,-8.316048962082215,-31.958664375800424,-8.30755569126006,0.00047868665705984087,-4.754599347493142,0.45235509425750364,6.337110965213825e-05,36.14400809349108,22.060458723391896,16.45851264912889,-2.3971421168809406,-0.06916429958829216,-15.439061282388678,24.894387874181398,27.46364746321507,13.54950655744458,47.34583306736646,-1.0497959876876004,42.44791610157443,116.71773808061553,-0.0010750476763942058,-105.22844934589708,122.60636695661219,-0.0002333475822906667,120.4376795813044,-7.316109167920533,-22.258898874900723,0.001216980019763109,-10.235916989978415,16.89848393240364,-0.0009126318265411867,-2.362036007449635,-9.246973051705519,13.234962284759881,-24.757403963609157,-13.566873326072502,8.74754448869827,5.705946370494935,3.786139612589929,7.1657536414034535
-1.7753643277151785,0.0,0.0,-3.609795122955726,0.0,0.0,-26.02226016529919,-6.467298149785191,2.151353668933707,12.392982730846535,5.959165265651823,-8.184219608078067,-34.09591889827048,-8.118387804273356,-0.0007387444704948841,-4.129197900210655,0.4651431005871797,-9.221655571867419e-05,37.47299163545559,21.86896309582765,17.147915015277142,-2.7313738320295067,-0.8202318897867873,-15.993526965039278,26.039000798230468,27.49308379498526,12.886903627458537,48.14842820335025,-1.1941478912198105,42.253440649315024,115.77142966010805,4.176691751605587e-05,-105.02922098143247,123.0074531712086,-0.0007409659708221422,119.28845432552843,-7.480064865245115,-21.708693877388907,0.003654172547401692,-10.740337300879254,16.730379034472165,0.007963136460666733,-2.0989332806209777,-9.425004262042375,13.32750696750196,-24.50528999748296,-13.766272778488162,8.764606379095094,6.0209278624433065,3.5695755423815507,7.220140133729875
