Unnamed: 0_level_0,FullBody_CoG_pos,FullBody_CoG_pos,FullBody_CoG_pos,L_Hand_CoG_pos,L_Hand_CoG_pos,L_Hand_CoG_pos,R_Hand_CoG_pos,R_Hand_CoG_pos,R_Hand_CoG_pos,L_Forearm_CoG_pos,L_Forearm_CoG_pos,L_Forearm_CoG_pos,R_Forearm_CoG_pos,R_Forearm_CoG_pos,R_Forearm_CoG_pos,L_UpperArm_CoG_pos,L_UpperArm_CoG_pos,L_UpperArm_CoG_pos,R_UpperArm_CoG_pos,R_UpperArm_CoG_pos,R_UpperArm_CoG_pos,Head_Shadow_CoG_pos,Head_Shadow_CoG_pos,Head_Shadow_CoG_pos,Head_CoG_pos,Head_CoG_pos,Head_CoG_pos,Trunk_CoG_pos,Trunk_CoG_pos,Trunk_CoG_pos,Pelvis_CoG_pos,Pelvis_CoG_pos,Pelvis_CoG_pos,L_Thigh_CoG_pos,L_Thigh_CoG_pos,L_Thigh_CoG_pos,R_Thigh_CoG_pos,R_Thigh_CoG_pos,R_Thigh_CoG_pos,L_Shank_CoG_pos,L_Shank_CoG_pos,L_Shank_CoG_pos,R_Shank_CoG_pos,R_Shank_CoG_pos,R_Shank_CoG_pos,L_Foot_CoG_pos,L_Foot_CoG_pos,L_Foot_CoG_pos,R_Foot_CoG_pos,R_Foot_CoG_pos,R_Foot_CoG_pos,L_Foot_Shadow_CoG_pos,L_Foot_Shadow_CoG_pos,L_Foot_Shadow_CoG_pos,R_Foot_Shadow_CoG_pos,R_Foot_Shadow_CoG_pos,R_Foot_Shadow_CoG_pos
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
382,0.14977,0.20671,0.98962,0.16685,0.44095,1.48409,0.41225,0.08847,0.84939,0.04899,0.40223,1.31054,0.34402,0.0238,1.04468,-0.01008,0.33167,1.3231,0.29391,0.00902,1.2757,0.16422,0.23399,1.65511,0.15544,0.18403,1.62799,0.14938,0.18268,1.25648,0.14136,0.17534,0.95467,0.09952,0.32849,0.74982,0.20489,0.11078,0.74481,0.10439,0.45953,0.32274,0.13239,0.05628,0.3085,0.11882,0.55328,0.0248,0.1294,0.03029,0.01993,0.11909,0.56354,0.02452,0.14562,0.02499,0.0195
383,0.14991,0.20744,0.98948,0.16373,0.44242,1.48426,0.41325,0.09355,0.85082,0.04699,0.40238,1.31022,0.34519,0.026,1.04519,-0.01131,0.3312,1.32273,0.29479,0.00971,1.27562,0.16422,0.2345,1.65495,0.15526,0.18453,1.6279,0.14938,0.18321,1.25637,0.14188,0.17614,0.95428,0.09957,0.32937,0.7497,0.20557,0.11203,0.7446,0.10451,0.4603,0.32275,0.13257,0.05662,0.30847,0.11884,0.5533,0.02472,0.12944,0.03031,0.01996,0.1191,0.56356,0.02446,0.14566,0.02503,0.01949
384,0.14994,0.20817,0.98951,0.15999,0.44475,1.48442,0.4144,0.09881,0.8523,0.04452,0.40283,1.30992,0.34662,0.02841,1.04577,-0.01265,0.3307,1.3224,0.2957,0.01054,1.27559,0.16419,0.23507,1.65484,0.15509,0.18513,1.6278,0.14916,0.18362,1.25651,0.14237,0.177,0.95403,0.09956,0.33038,0.74975,0.20623,0.11322,0.74453,0.10442,0.46119,0.32293,0.13282,0.0569,0.30857,0.11863,0.55324,0.02469,0.12946,0.03044,0.02005,0.11887,0.5635,0.0244,0.14568,0.02516,0.0195
385,0.14994,0.2089,0.98964,0.15561,0.44784,1.48486,0.41584,0.10411,0.85396,0.0419,0.40367,1.30974,0.34821,0.03083,1.04646,-0.01396,0.33038,1.32214,0.29673,0.01143,1.27568,0.16414,0.23568,1.65475,0.15504,0.18578,1.62762,0.14898,0.18398,1.25674,0.14272,0.17779,0.95396,0.09951,0.33143,0.74994,0.20675,0.1143,0.74455,0.10424,0.46223,0.32332,0.13307,0.05732,0.30873,0.11828,0.5531,0.02474,0.12947,0.03059,0.02019,0.1185,0.56336,0.02441,0.14569,0.02531,0.01959
386,0.14999,0.20965,0.98974,0.15122,0.45108,1.4857,0.41764,0.10942,0.85597,0.03954,0.40482,1.30984,0.34986,0.03306,1.04726,-0.01511,0.33018,1.32196,0.29795,0.01229,1.27589,0.16408,0.23621,1.65457,0.15511,0.18637,1.62731,0.14897,0.18442,1.25682,0.14295,0.17847,0.95393,0.09951,0.33248,0.75016,0.2071,0.1153,0.74454,0.10417,0.46338,0.3238,0.13321,0.05798,0.30881,0.11799,0.55302,0.02481,0.12947,0.03065,0.02033,0.11819,0.56328,0.02442,0.14568,0.02536,0.01975
387,0.15008,0.21042,0.98971,0.14751,0.45409,1.48674,0.41968,0.11474,0.85834,0.03754,0.40605,1.31028,0.35151,0.03517,1.04821,-0.01617,0.32988,1.32189,0.29932,0.01313,1.2762,0.16392,0.2366,1.65429,0.1551,0.18678,1.62693,0.14911,0.18495,1.25662,0.14312,0.17916,0.95383,0.09956,0.33355,0.75033,0.20733,0.11631,0.74439,0.10432,0.46454,0.3242,0.13323,0.05873,0.30875,0.11792,0.55307,0.02476,0.12941,0.03059,0.0204,0.11808,0.56333,0.0243,0.14562,0.02529,0.01988
388,0.15016,0.21122,0.98957,0.14433,0.45694,1.48767,0.42181,0.12012,0.86088,0.0357,0.40715,1.3109,0.3532,0.03744,1.04926,-0.01729,0.32933,1.32195,0.30073,0.0141,1.27653,0.1635,0.23695,1.65389,0.1548,0.18709,1.62656,0.14929,0.18551,1.25625,0.14329,0.18002,0.95362,0.09957,0.33468,0.7504,0.20751,0.11735,0.74409,0.10462,0.4656,0.32442,0.13315,0.0593,0.30858,0.11808,0.5532,0.0246,0.12926,0.0305,0.02038,0.1182,0.56346,0.0241,0.14548,0.02521,0.0199
389,0.1502,0.21202,0.98939,0.14095,0.45972,1.48847,0.42395,0.12569,0.86334,0.03373,0.40801,1.31143,0.35507,0.04006,1.05032,-0.01852,0.32868,1.32205,0.30209,0.0153,1.27677,0.16283,0.23738,1.65342,0.15424,0.18743,1.62621,0.14947,0.18609,1.25591,0.14348,0.18103,0.95334,0.09947,0.33587,0.75037,0.20768,0.11831,0.74375,0.10487,0.46655,0.32448,0.13307,0.05951,0.30838,0.11837,0.55337,0.02451,0.1291,0.0305,0.0203,0.11845,0.56362,0.02402,0.14532,0.02521,0.01982
390,0.1502,0.21281,0.98924,0.13687,0.46221,1.48938,0.42602,0.13169,0.86574,0.03159,0.40873,1.31174,0.35722,0.04301,1.05134,-0.01972,0.32826,1.32202,0.30341,0.01662,1.27686,0.16211,0.23789,1.65298,0.15359,0.18787,1.62587,0.1496,0.18665,1.25567,0.1436,0.18207,0.95308,0.09926,0.33704,0.7503,0.20784,0.1191,0.74348,0.10497,0.46741,0.32451,0.13303,0.05944,0.30823,0.11865,0.55352,0.02457,0.129,0.03054,0.0202,0.11872,0.56378,0.02412,0.14522,0.02525,0.01971
