Unnamed: 0_level_0,R_HEEL,R_HEEL,R_HEEL,L_HEEL,L_HEEL,L_HEEL
ITEM,X,Y,Z,X,Y,Z
3504,-0.00878,-0.01984,0.01381,0.06885,0.44227,0.05043
3505,-0.00861,-0.01982,0.01365,0.06889,0.44251,0.05105
3506,-0.00845,-0.01994,0.01355,0.06913,0.44263,0.05186
3507,-0.0084,-0.02022,0.01355,0.06948,0.44265,0.05297
3508,-0.0085,-0.02061,0.01363,0.06964,0.44275,0.05425
3509,-0.00872,-0.021,0.01378,0.06951,0.44299,0.05553
3510,-0.00894,-0.02128,0.01392,0.06936,0.44325,0.05682
3511,-0.00906,-0.02139,0.01394,0.06949,0.44336,0.05817
3512,-0.00911,-0.02139,0.01388,0.06977,0.44334,0.05963
3513,-0.00918,-0.02134,0.01386,0.06988,0.44344,0.06121
3514,-0.00927,-0.0213,0.01389,0.06972,0.44388,0.06287
3515,-0.00929,-0.02128,0.01388,0.06948,0.44455,0.06461
3516,-0.00925,-0.02133,0.01383,0.06937,0.44525,0.06647
3517,-0.00927,-0.02143,0.01377,0.06951,0.44599,0.06847
3518,-0.00943,-0.02146,0.01371,0.06986,0.44688,0.07055
3519,-0.00962,-0.02141,0.01365,0.0703,0.4479,0.07268
3520,-0.00963,-0.02147,0.0136,0.07056,0.44888,0.07493
3521,-0.00937,-0.02182,0.01352,0.07049,0.44969,0.07738
3522,-0.009,-0.02231,0.01339,0.07022,0.45045,0.07997
3523,-0.00878,-0.02249,0.01317,0.06992,0.45145,0.08246
3524,-0.00886,-0.02228,0.01293,0.06965,0.45276,0.08468
3525,-0.0091,-0.02203,0.01281,0.06952,0.45419,0.08666
3526,-0.00925,-0.02203,0.0129,0.06966,0.45546,0.08851
3527,-0.00923,-0.02217,0.01316,0.06991,0.45658,0.09029
3528,-0.00919,-0.02223,0.01342,0.07003,0.45768,0.09212
3529,-0.00937,-0.02214,0.01361,0.06997,0.45881,0.09407
3530,-0.00975,-0.02202,0.01372,0.06983,0.45995,0.09611
3531,-0.01009,-0.022,0.01378,0.06951,0.4611,0.09808
3532,-0.0102,-0.02211,0.01383,0.06897,0.46228,0.09984
3533,-0.01015,-0.02226,0.01383,0.06832,0.46356,0.10134
3534,-0.01013,-0.0222,0.0137,0.06781,0.46496,0.10258
3535,-0.01023,-0.02186,0.01346,0.06761,0.46643,0.1037
3536,-0.01043,-0.02153,0.01338,0.06766,0.4678,0.1048
3537,-0.01061,-0.02146,0.01356,0.06772,0.46888,0.10584
3538,-0.0107,-0.02155,0.01379,0.06767,0.46964,0.10672
3539,-0.01075,-0.0215,0.01382,0.06753,0.47016,0.10739
3540,-0.01087,-0.0213,0.01368,0.0674,0.47051,0.10779
3541,-0.01102,-0.02115,0.0135,0.0673,0.47075,0.10789
3542,-0.01107,-0.02121,0.01333,0.06712,0.47099,0.10779
3543,-0.01092,-0.02147,0.01315,0.06688,0.47123,0.10766
3544,-0.01065,-0.02176,0.01298,0.06658,0.47135,0.10769
3545,-0.01045,-0.02193,0.0128,0.06623,0.47137,0.10794
3546,-0.01045,-0.0219,0.01261,0.06583,0.47148,0.10836
3547,-0.01054,-0.02169,0.01234,0.06547,0.47185,0.10878
3548,-0.01057,-0.0214,0.012,0.06517,0.4724,0.1091
3549,-0.01048,-0.0211,0.01173,0.06488,0.47296,0.10944
3550,-0.01038,-0.02083,0.01166,0.06449,0.47341,0.1099
3551,-0.01031,-0.02061,0.0117,0.06392,0.4738,0.11037
3552,-0.01024,-0.02036,0.01173,0.06329,0.47416,0.11052
3553,-0.01019,-0.02005,0.01176,0.06295,0.47446,0.11019
3554,-0.01021,-0.01975,0.0119,0.06311,0.47461,0.10961
3555,-0.01024,-0.01971,0.01217,0.06359,0.47455,0.10905
3556,-0.01016,-0.02003,0.01257,0.06409,0.47431,0.10858
3557,-0.00996,-0.02035,0.01311,0.06438,0.47404,0.10815
3558,-0.00974,-0.02025,0.01393,0.06444,0.47382,0.10769
3559,-0.00948,-0.01982,0.01516,0.06447,0.47366,0.10719
3560,-0.0091,-0.01953,0.0168,0.06462,0.47355,0.10671
3561,-0.0086,-0.01978,0.01874,0.06482,0.47344,0.10615
3562,-0.00802,-0.02064,0.02098,0.06491,0.47322,0.10529
3563,-0.00735,-0.02177,0.0237,0.06484,0.47284,0.10414
3564,-0.00668,-0.02261,0.02718,0.06471,0.47243,0.1029
3565,-0.00605,-0.02275,0.03159,0.06456,0.47212,0.10168
3566,-0.00538,-0.02206,0.03709,0.06435,0.47187,0.10037
3567,-0.00456,-0.02058,0.04397,0.06403,0.47152,0.09891
3568,-0.0035,-0.01835,0.05268,0.06352,0.47104,0.09741
3569,-0.00199,-0.01517,0.06372,0.0629,0.47044,0.09598
3570,0.00029,-0.01045,0.07754,0.06241,0.46973,0.09444
3571,0.00357,-0.00334,0.09443,0.06222,0.46886,0.0924
3572,0.00813,0.0069,0.11429,0.06226,0.46782,0.08965
3573,0.01429,0.02025,0.1364,0.06231,0.4668,0.08659
3574,0.02216,0.03567,0.15966,0.06235,0.46599,0.08383
3575,0.03139,0.05199,0.1832,0.06248,0.46539,0.08148
3576,0.04125,0.06951,0.2066,0.06283,0.46486,0.07926
3577,0.05095,0.08976,0.22975,0.06347,0.46429,0.0771
3578,0.06002,0.11385,0.25245,0.06431,0.46367,0.07535
3579,0.06835,0.14189,0.27421,0.06514,0.46303,0.0743
3580,0.07593,0.17342,0.29457,0.06595,0.46233,0.07387
3581,0.08316,0.20756,0.31364,0.06678,0.46151,0.07399
3582,0.0907,0.24306,0.33216,0.06765,0.46069,0.07468
3583,0.09869,0.27886,0.35087,0.06854,0.46002,0.07569
3584,0.10688,0.31457,0.36984,0.06938,0.45962,0.07664
3585,0.11536,0.35019,0.3887,0.07007,0.45963,0.07754
3586,0.12467,0.38568,0.40712,0.07071,0.4602,0.0786
3587,0.13513,0.42111,0.4248,0.07157,0.46116,0.07983
3588,0.14636,0.45705,0.44136,0.07298,0.46201,0.08114
3589,0.15759,0.49428,0.45689,0.07523,0.46238,0.08269
3590,0.16823,0.53295,0.47211,0.07836,0.46238,0.08468
3591,0.17829,0.57225,0.48734,0.08215,0.46237,0.08711
3592,0.18797,0.61182,0.5023,0.08618,0.46269,0.08974
3593,0.19701,0.65247,0.51732,0.09009,0.46344,0.09248
3594,0.20504,0.69488,0.53369,0.09368,0.46452,0.09551
3595,0.21223,0.73869,0.55226,0.09675,0.46582,0.0989
3596,0.21909,0.78323,0.5725,0.09906,0.46716,0.10218
3597,0.22606,0.82865,0.59346,0.10062,0.46839,0.10485
3598,0.2332,0.87601,0.61525,0.1017,0.46939,0.10681
3599,0.24,0.92588,0.63918,0.10286,0.47004,0.10831
3600,0.24559,0.97746,0.66626,0.10462,0.47026,0.10953
3601,0.24929,1.02977,0.69621,0.10698,0.47021,0.11043
3602,0.25086,1.08286,0.72818,0.10958,0.47015,0.11106
3603,0.25037,1.13731,0.76211,0.11241,0.47026,0.11171
3604,0.24799,1.19294,0.79862,0.11584,0.47057,0.11273
3605,0.2441,1.24856,0.83761,0.11987,0.47115,0.11423
3606,0.2393,1.30323,0.87776,0.12367,0.47213,0.11613
3607,0.23416,1.35733,0.91768,0.12635,0.47346,0.11829
3608,0.22887,1.41122,0.95655,0.12776,0.47506,0.12059
3609,0.22305,1.46296,0.9928,0.12832,0.47694,0.12294
3610,0.21631,1.50837,1.023,0.12835,0.47907,0.12525
3611,0.20912,1.54425,1.04386,0.12791,0.48123,0.1274
3612,0.20275,1.5707,1.0552,0.12713,0.48322,0.12934
3613,0.19819,1.59001,1.0596,0.12615,0.48509,0.13106
3614,0.19568,1.60493,1.0601,0.12521,0.48703,0.13267
3615,0.19481,1.61746,1.05868,0.12456,0.4891,0.13424
3616,0.19466,1.62812,1.0562,0.12419,0.4912,0.13568
3617,0.19426,1.63667,1.05306,0.12401,0.4931,0.13689
3618,0.19366,1.6435,1.04987,0.12412,0.49472,0.13796
3619,0.19388,1.64981,1.04753,0.12458,0.49606,0.139
3620,0.19547,1.65677,1.04659,0.12549,0.49714,0.13995
3621,0.19807,1.66494,1.0467,0.12706,0.49796,0.1407
3622,0.20106,1.67395,1.04674,0.12925,0.49859,0.14115
3623,0.20434,1.68268,1.04562,0.13151,0.49907,0.14122
3624,0.20839,1.69003,1.0431,0.13347,0.49922,0.14084
3625,0.21343,1.6955,1.03944,0.1352,0.4988,0.13997
3626,0.21877,1.69902,1.03462,0.1366,0.49786,0.13864
3627,0.22305,1.70017,1.02779,0.13731,0.49663,0.13693
3628,0.22586,1.69842,1.01741,0.13716,0.4951,0.13501
3629,0.22866,1.69368,1.0023,0.13616,0.49304,0.13286
3630,0.23316,1.6862,0.98195,0.13451,0.49038,0.13023
3631,0.23951,1.67582,0.95606,0.13262,0.48723,0.12698
3632,0.24672,1.66191,0.92485,0.13077,0.48386,0.12325
3633,0.25438,1.6439,0.88956,0.12896,0.48051,0.11936
3634,0.26333,1.62149,0.85156,0.12707,0.47739,0.11561
3635,0.27428,1.59458,0.81128,0.12508,0.47458,0.11212
3636,0.28638,1.56317,0.76865,0.12316,0.47202,0.10892
3637,0.29791,1.52733,0.7242,0.12167,0.46959,0.10583
3638,0.30759,1.48713,0.67928,0.12063,0.46722,0.10259
3639,0.31487,1.44269,0.63556,0.11964,0.4649,0.09912
3640,0.32005,1.39451,0.59419,0.11845,0.46258,0.09546
3641,0.32393,1.3434,0.55541,0.11712,0.4602,0.09163
3642,0.32697,1.29012,0.51879,0.11551,0.45785,0.08762
3643,0.32902,1.23508,0.4839,0.11327,0.45568,0.08355
3644,0.32976,1.17843,0.45084,0.1105,0.45382,0.07942
3645,0.32932,1.12037,0.42031,0.10792,0.45223,0.07514
3646,0.32818,1.06132,0.39316,0.10618,0.45089,0.07073
3647,0.32645,1.00193,0.36996,0.10545,0.44981,0.06646
3648,0.32358,0.9429,0.35062,0.10554,0.44904,0.06264
3649,0.31897,0.88465,0.33447,0.10613,0.44844,0.05943
3650,0.31255,0.82726,0.32066,0.10675,0.44781,0.05685
3651,0.30478,0.77066,0.30851,0.10701,0.44708,0.05473
3652,0.29649,0.71462,0.29797,0.10701,0.4463,0.05276
3653,0.28861,0.65911,0.28974,0.10707,0.44557,0.05059
3654,0.28138,0.60503,0.2844,0.107,0.445,0.0482
3655,0.27408,0.55404,0.2813,0.10625,0.44459,0.04604
3656,0.26598,0.50715,0.27868,0.10464,0.44423,0.04446
3657,0.25715,0.4639,0.27515,0.10256,0.44384,0.04335
3658,0.24809,0.42306,0.27057,0.10063,0.44338,0.04245
3659,0.23915,0.3836,0.26541,0.09936,0.44277,0.04162
3660,0.23019,0.34522,0.26001,0.09882,0.44203,0.04072
3661,0.22069,0.3082,0.25451,0.09859,0.44141,0.03966
3662,0.21028,0.27306,0.24875,0.09814,0.4412,0.03853
3663,0.19908,0.24025,0.24213,0.09731,0.44156,0.03762
3664,0.18766,0.20985,0.23408,0.09632,0.44236,0.03727
3665,0.17684,0.18173,0.22453,0.09535,0.44317,0.03759
3666,0.16695,0.15582,0.21382,0.09441,0.4436,0.03837
3667,0.1576,0.13242,0.20222,0.09347,0.44372,0.03937
3668,0.14811,0.11195,0.1899,0.09259,0.44394,0.04056
3669,0.13825,0.09449,0.17701,0.09178,0.4445,0.04187
3670,0.1282,0.07961,0.16363,0.09085,0.44533,0.04309
3671,0.11835,0.06679,0.14981,0.08957,0.44621,0.04419
3672,0.10905,0.05596,0.13573,0.08794,0.44695,0.04549
3673,0.10051,0.04738,0.12189,0.08625,0.4475,0.04713
3674,0.09277,0.04102,0.10887,0.08482,0.4479,0.04883
3675,0.08576,0.03636,0.09688,0.08376,0.44821,0.0501
3676,0.07947,0.03294,0.08575,0.08291,0.44841,0.05068
3677,0.07401,0.03064,0.07536,0.08203,0.44845,0.05075
3678,0.06954,0.02956,0.06586,0.08099,0.44836,0.05073
3679,0.06606,0.02964,0.05748,0.07991,0.44816,0.05088
3680,0.06335,0.03049,0.0503,0.07894,0.44792,0.05117
3681,0.06113,0.03159,0.04424,0.07811,0.44779,0.05157
3682,0.05927,0.03245,0.03918,0.07733,0.44788,0.0522
3683,0.05778,0.03282,0.03502,0.07647,0.44811,0.05312
3684,0.05681,0.03264,0.03156,0.07546,0.4483,0.05407
3685,0.05641,0.032,0.0285,0.07436,0.44835,0.05469
3686,0.05642,0.03103,0.02565,0.0733,0.44829,0.05482
3687,0.05651,0.02992,0.023,0.07233,0.44816,0.05456
3688,0.05649,0.02883,0.02068,0.07145,0.44803,0.05402
3689,0.05637,0.0279,0.01874,0.07076,0.44786,0.05332
3690,0.05624,0.02722,0.01723,0.07043,0.44761,0.05266
3691,0.05615,0.02672,0.01626,0.07036,0.44735,0.05223
3692,0.05615,0.02625,0.01588,0.07023,0.44719,0.05203
3693,0.05628,0.0258,0.01591,0.06996,0.44699,0.05193
3694,0.05647,0.02554,0.01602,0.06994,0.44654,0.05172
3695,0.05663,0.02558,0.01596,0.07041,0.44587,0.05124
3696,0.05674,0.0258,0.01564,0.07124,0.44522,0.05057
3697,0.05678,0.02603,0.01518,0.07218,0.44472,0.04987
3698,0.05677,0.02616,0.01485,0.07306,0.44434,0.04918
3699,0.05675,0.02617,0.01477,0.07373,0.4441,0.0484
3700,0.05671,0.02614,0.01481,0.07409,0.44397,0.04756
3701,0.05664,0.02618,0.01468,0.07428,0.44382,0.04687
3702,0.05662,0.02633,0.01428,0.07447,0.4435,0.04636
3703,0.05672,0.02662,0.01376,0.07484,0.443,0.04584
3704,0.0569,0.02696,0.01328,0.07545,0.44252,0.04517
3705,0.05707,0.02718,0.01288,0.07605,0.44222,0.04439
3706,0.05721,0.02711,0.0126,0.07627,0.44202,0.0437
3707,0.05733,0.02676,0.01243,0.076,0.44165,0.04322
3708,0.05738,0.02625,0.01228,0.07544,0.4411,0.0429
3709,0.05731,0.02574,0.012,0.0748,0.44059,0.04253
3710,0.05719,0.02539,0.01159,0.07432,0.44023,0.04197
