Unnamed: 0_level_0,L_MTP_ANGLE,L_MTP_ANGLE,L_MTP_ANGLE,R_MTP_ANGLE,R_MTP_ANGLE,R_MTP_ANGLE,L_ANKLE_ANGLE,L_ANKLE_ANGLE,L_ANKLE_ANGLE,R_ANKLE_ANGLE,R_ANKLE_ANGLE,R_ANKLE_ANGLE,L_KNEE_ANGLE,L_KNEE_ANGLE,L_KNEE_ANGLE,R_KNEE_ANGLE,R_KNEE_ANGLE,R_KNEE_ANGLE,L_HIP_ANGLE,L_HIP_ANGLE,L_HIP_ANGLE,R_HIP_ANGLE,R_HIP_ANGLE,R_HIP_ANGLE,L_SHOULDER_ANGLE,L_SHOULDER_ANGLE,L_SHOULDER_ANGLE,R_SHOULDER_ANGLE,R_SHOULDER_ANGLE,R_SHOULDER_ANGLE,L_ELBOW_ANGLE,L_ELBOW_ANGLE,L_ELBOW_ANGLE,R_ELBOW_ANGLE,R_ELBOW_ANGLE,R_ELBOW_ANGLE,L_WRIST_ANGLE,L_WRIST_ANGLE,L_WRIST_ANGLE,R_WRIST_ANGLE,R_WRIST_ANGLE,R_WRIST_ANGLE,NECK_ANGLE,NECK_ANGLE,NECK_ANGLE,NECK_ANGLE_SHADOW,NECK_ANGLE_SHADOW,NECK_ANGLE_SHADOW,Trunk_Joint_Angle,Trunk_Joint_Angle,Trunk_Joint_Angle
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1796,-5.74758,0.0,0.0,-8.1494,0.0,-0.0,-24.84094,-8.7997,6.82966,9.67943,5.00572,-11.93636,-23.48096,-5.72673,0.0002,-4.51953,0.85331,-4e-05,31.91005,21.21818,16.69593,1.86332,2.35435,-14.89373,26.91938,22.75267,5.58365,40.68768,-6.54239,39.83344,132.60657,0.00017,-108.91055,124.07525,-0.0002,109.11714,-10.85438,-25.53405,-0.00323,-21.92194,10.33691,0.00195,-8.88469,-11.3661,9.65327,-31.64357,-14.17024,4.55804,1.63361,2.65051,6.11144
1797,-6.47535,0.0,0.0,-9.03338,0.0,-0.0,-24.7578,-8.57934,6.84221,9.75185,5.28641,-12.06743,-23.67671,-5.8042,0.00012,-4.47603,0.86662,-6e-05,32.02698,21.31955,16.6691,1.90517,2.32543,-14.74927,27.1087,22.80827,5.78422,40.98387,-6.54383,39.85333,132.71631,0.00082,-109.1804,124.04051,-0.00052,109.78154,-9.65987,-25.61894,-0.00372,-21.55354,10.41294,-0.00031,-8.87445,-11.25143,9.38793,-31.63031,-13.96385,4.35642,1.62381,2.6272,6.19268
1798,-6.96718,0.0,-0.0,-9.37464,0.0,0.0,-24.74905,-8.39867,6.77398,9.7089,5.21568,-11.83228,-23.83284,-5.8571,-1e-05,-4.49962,0.91654,-6e-05,32.0633,21.38248,16.78216,1.96096,2.19825,-14.82642,27.16086,22.95012,6.06359,41.2052,-6.49102,39.88935,132.75528,0.00207,-109.16352,124.00669,-0.00127,110.14049,-8.7026,-25.42091,-0.00505,-20.8993,10.30088,-0.00225,-8.84992,-11.18347,9.39295,-31.5991,-13.90308,4.38818,1.64489,2.55165,6.26683
1799,-7.04562,-0.0,0.0,-9.18413,0.0,0.0,-24.92469,-8.43361,6.60762,9.56327,4.99963,-11.49759,-23.94974,-5.84682,-0.00019,-4.52346,1.02079,4e-05,32.08982,21.31799,16.923,2.00201,1.93967,-14.96418,27.19723,23.08319,6.19568,41.36361,-6.42962,39.91538,132.62941,0.00424,-108.46836,123.91407,-0.00138,110.07912,-8.67903,-24.90246,-0.01034,-20.52483,9.98461,-0.00221,-8.78038,-11.20763,9.5655,-31.52662,-13.99082,4.53939,1.6878,2.38892,6.31053
1800,-6.81418,0.0,0.0,-8.86464,0.0,-0.0,-25.25218,-8.70447,6.42274,9.4334,4.88416,-11.32388,-24.08611,-5.78998,-0.00021,-4.49476,1.15092,0.00014,32.19142,21.13469,16.95941,2.01333,1.60787,-15.02276,27.34272,23.11334,6.03445,41.51026,-6.42354,39.98252,132.39146,0.00365,-107.53355,123.7527,0.00043,110.23412,-9.45414,-24.41353,-0.00777,-20.71348,9.71801,-0.00249,-8.7115,-11.28996,9.73578,-31.46035,-14.13131,4.66535,1.7221,2.16144,6.32042
1801,-6.79532,0.0,0.0,-9.10769,-0.0,0.0,-25.51665,-9.0367,6.35378,9.53237,4.93526,-11.40338,-24.32908,-5.77531,0.00019,-4.44751,1.25313,9e-05,32.41958,20.96485,16.83721,2.0377,1.32006,-14.9589,27.59462,23.08,5.68584,41.65487,-6.47583,40.15004,132.17455,0.00094,-106.92815,123.58179,0.00176,111.14994,-10.46273,-24.33997,0.00169,-21.16633,9.79063,-0.00289,-8.70361,-11.38719,9.86355,-31.45787,-14.26943,4.74574,1.76481,1.94021,6.29281
1802,-7.23055,0.0,-0.0,-9.8763,-0.0,0.0,-25.61061,-9.16176,6.34593,9.82609,5.04905,-11.61931,-24.71855,-5.84518,0.0007,-4.42977,1.29988,-1e-05,32.76591,20.94767,16.66007,2.11502,1.16915,-14.85103,27.86977,23.11945,5.38803,41.76164,-6.53147,40.38263,132.052,-0.00061,-106.49814,123.46867,0.00036,112.47188,-11.30669,-24.60724,0.00422,-21.4253,10.25101,0.00121,-8.70704,-11.49843,9.98744,-31.46824,-14.41898,4.8169,1.86704,1.79862,6.22735
1803,-7.83548,-0.0,0.0,-10.38996,0.0,-0.0,-25.65679,-9.05234,6.21564,10.02602,5.08745,-11.81164,-25.18635,-5.94691,0.00064,-4.44046,1.31854,-6e-05,33.13197,21.09243,16.59122,2.2143,1.1359,-14.76584,28.10172,23.29673,5.28751,41.80839,-6.54008,40.57677,132.02814,-0.00198,-105.65347,123.42323,-0.00137,113.22937,-11.79813,-24.7432,0.00025,-21.52363,10.69974,0.00785,-8.61961,-11.61954,10.1253,-31.38835,-14.58292,4.89713,2.02505,1.74421,6.17786
1804,-8.13345,0.0,0.0,-10.13442,-0.0,0.0,-25.83679,-9.01428,5.89925,9.95753,5.00129,-11.93401,-25.61717,-6.00412,6e-05,-4.44973,1.35055,-6e-05,33.37926,21.285,16.71248,2.2543,1.11206,-14.68251,28.27372,23.50833,5.33974,41.82053,-6.50069,40.66136,132.10207,-0.00327,-104.36044,123.40887,-0.00165,112.80122,-11.83393,-24.40497,-4e-05,-21.81831,10.54301,0.0139,-8.45213,-11.68728,10.24613,-31.22363,-14.69118,4.98281,2.14263,1.713,6.227
1805,-7.72585,0.0,0.0,-9.17358,0.0,-0.0,-26.23796,-9.21144,5.42727,9.66507,4.83818,-11.94007,-25.98761,-5.97976,-0.00045,-4.41932,1.39753,-2e-05,33.46295,21.42664,17.00038,2.16049,1.03455,-14.64095,28.40897,23.59219,5.38776,41.84375,-6.44961,40.63715,132.25958,-0.00128,-103.51499,123.40456,-0.00093,111.64232,-11.35903,-23.76798,0.00272,-22.20245,9.78586,0.01195,-8.33724,-11.627,10.28443,-31.10131,-14.65011,5.04268,2.11078,1.65854,6.37256
1806,-6.63193,0.0,0.0,-7.81061,0.0,-0.0,-26.80049,-9.39846,4.8591,9.26044,4.68082,-11.72419,-26.37112,-5.90182,-0.00049,-4.32846,1.43537,1e-05,33.4766,21.51593,17.34413,1.93273,0.93118,-14.7472,28.5311,23.51655,5.32668,41.91421,-6.42418,40.55664,132.44766,0.00222,-103.90751,123.4128,-0.00014,110.77252,-10.51429,-23.31766,0.00064,-22.11706,9.17359,0.00625,-8.363,-11.44887,10.1979,-31.11217,-14.45305,5.0331,1.93003,1.59553,6.51511
1807,-5.52724,-0.0,0.0,-6.56093,-0.0,-0.0,-27.32669,-9.35151,4.36405,8.90326,4.63686,-11.34963,-26.80557,-5.84061,-7e-05,-4.20818,1.45226,-0.0,33.55557,21.57814,17.57659,1.67365,0.83346,-14.96555,28.64278,23.39526,5.17127,42.05497,-6.44047,40.49271,132.61086,0.0022,-104.93796,123.42148,0.00017,110.64025,-9.81338,-23.25428,-0.00295,-21.41488,9.28986,0.00836,-8.49675,-11.25311,10.02472,-31.2325,-14.20688,4.94958,1.72463,1.5399,6.5703
1808,-5.22683,0.0,-0.0,-6.02433,0.0,0.0,-27.61771,-9.15907,4.096,8.78788,4.78004,-11.08951,-27.25419,-5.83172,0.00025,-4.10966,1.45337,-2e-05,33.78361,21.57858,17.56534,1.5026,0.72384,-15.13917,28.76508,23.32242,4.95885,42.25407,-6.49009,40.49287,132.71747,0.00035,-105.08856,123.41373,4e-05,111.0433,-9.82138,-23.29959,-0.00507,-20.58991,10.01046,0.00813,-8.68351,-11.14382,9.86472,-31.41399,-14.04542,4.84386,1.62889,1.47851,6.52836
1809,-5.8174,-0.0,-0.0,-6.29626,0.0,0.0,-27.63443,-8.95003,3.97286,8.94514,5.00141,-11.05785,-27.68825,-5.84624,0.00011,-4.04545,1.45275,-2e-05,34.15511,21.47424,17.32352,1.4455,0.58021,-15.24004,28.95326,23.26217,4.655,42.44944,-6.55113,40.5425,132.75098,0.00073,-103.71805,123.40313,-0.00049,111.81474,-10.52353,-23.13495,-0.00753,-20.09712,10.89417,0.00247,-8.89885,-11.15343,9.80022,-31.63239,-14.02984,4.77987,1.682,1.41557,6.4418
1810,-6.65206,0.0,-0.0,-6.89515,-0.0,-0.0,-27.4841,-8.77021,3.8064,9.17553,5.09157,-11.04785,-28.12451,-5.84706,-0.00014,-3.9942,1.46349,-0.0,34.58064,21.32072,17.0201,1.44735,0.42104,-15.38431,29.23642,23.1148,4.20723,42.58016,-6.59934,40.5804,132.72794,0.00168,-101.72572,123.41367,-0.00078,112.76743,-11.29542,-22.78105,-0.00548,-19.94392,11.53232,-0.00074,-9.08673,-11.22757,9.82343,-31.82669,-14.10702,4.77197,1.82534,1.38502,6.40943
1811,-7.24111,0.0,0.0,-7.47044,0.0,-0.0,-27.28724,-8.69857,3.57373,9.31276,5.04384,-10.91288,-28.59409,-5.84562,-0.0,-3.94151,1.48851,1e-05,34.98352,21.24679,16.80764,1.46957,0.28906,-15.57886,29.57868,22.85265,3.65586,42.64693,-6.61,40.56113,132.70012,0.00128,-100.22163,123.44235,5e-05,113.28476,-11.67483,-22.42441,-0.00098,-19.94501,11.59305,-0.00098,-9.15674,-11.28212,9.83781,-31.90154,-14.16277,4.76365,1.98056,1.40935,6.50748
1812,-7.62222,-0.0,-0.0,-8.00788,0.0,0.0,-27.12823,-8.71061,3.37069,9.37645,5.05969,-10.79862,-29.11963,-5.88004,0.00028,-3.88872,1.52431,4e-05,35.37999,21.30952,16.67214,1.50894,0.20673,-15.69041,29.91837,22.56924,3.12589,42.68714,-6.55969,40.49494,132.7083,0.00069,-99.2744,123.49285,0.00093,113.04795,-11.8681,-22.14882,0.00063,-19.89022,11.2251,-0.00032,-9.07814,-11.29901,9.76542,-31.82692,-14.1509,4.68938,2.11356,1.4833,6.69573
