Unnamed: 0_level_0,R_KNEE_MOMENT,R_KNEE_MOMENT,R_KNEE_MOMENT,L_KNEE_MOMENT,L_KNEE_MOMENT,L_KNEE_MOMENT,R_HIP_MOMENT,R_HIP_MOMENT,R_HIP_MOMENT,L_HIP_MOMENT,L_HIP_MOMENT,L_HIP_MOMENT,R_ANKLE_MOMENT,R_ANKLE_MOMENT,R_ANKLE_MOMENT,L_ANKLE_MOMENT,L_ANKLE_MOMENT,L_ANKLE_MOMENT,WAIST_JOINT_MOMENT,WAIST_JOINT_MOMENT,WAIST_JOINT_MOMENT,NECK_MOMENT,NECK_MOMENT,NECK_MOMENT,L_SHOULDER_MOMENT,L_SHOULDER_MOMENT,L_SHOULDER_MOMENT,R_SHOULDER_MOMENT,R_SHOULDER_MOMENT,R_SHOULDER_MOMENT,L_ELBOW_MOMENT,L_ELBOW_MOMENT,L_ELBOW_MOMENT,R_ELBOW_MOMENT,R_ELBOW_MOMENT,R_ELBOW_MOMENT,L_WRIST_MOMENT,L_WRIST_MOMENT,L_WRIST_MOMENT,R_WRIST_MOMENT,R_WRIST_MOMENT,R_WRIST_MOMENT
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2649,-13.7047,-7.99971,0.15218,-10.80144,1.60366,0.48991,-29.8611,-43.30323,1.87803,4.75519,-5.2313,-0.13234,-30.37073,60.10595,-5.84662,-9.63065,3.00545,0.53596,12.59698,0.10714,-7.41221,2.5939,25.60005,-3.06516,8.95354,-1.02071,-1.91774,4.35217,-4.34862,-1.64079,0.22791,-0.29728,0.04247,1.64945,1.04204,0.00415,0.1165,-0.0831,0.00997,0.15343,0.01359,-0.01422
2650,-14.94583,-7.62327,0.25359,-9.94907,-0.49644,0.01707,-33.68827,-43.45162,2.40497,4.02095,-11.35304,-2.26149,-30.23431,59.96305,-5.96286,-8.68094,2.60453,0.29127,3.16404,-10.99227,-10.18116,3.5347,24.09185,-2.92309,7.92438,-1.33344,-1.26644,4.88091,-4.99227,-2.27068,0.53631,-0.97434,0.09868,1.64111,1.53475,-0.2004,0.1927,-0.13023,0.00384,0.16666,0.05447,-0.01071
2651,-14.4266,-7.58472,0.03869,-7.74776,-0.62805,-0.09224,-31.10391,-43.45882,2.63431,6.60774,-8.13542,-1.05185,-30.21556,59.61487,-6.09576,-7.82719,2.24302,0.17619,6.1236,-7.26222,-5.90363,-8.81485,2.02612,0.99117,5.75614,-1.46681,-0.38603,6.73399,-3.7924,-0.53227,1.02809,-1.76543,-0.03576,1.28949,1.50346,-0.39545,0.27624,-0.18301,-0.04881,0.13794,0.08317,-0.04924
2652,-13.30333,-7.96242,-0.22704,-5.49774,0.43265,0.00915,-24.10737,-42.96787,2.66909,10.78234,0.1726,1.70391,-30.24863,59.2604,-6.23603,-7.08447,1.94784,0.19392,20.64995,8.77361,1.80158,-19.29513,-23.54356,5.24028,5.24391,-0.84128,0.16872,8.96176,-2.00487,2.53347,1.29208,-2.09286,-0.2005,0.75311,0.86494,-0.3561,0.3164,-0.24255,-0.08147,0.05893,0.05058,-0.07192
2653,-14.0581,-8.10908,-0.12728,-5.11714,1.48022,0.18109,-23.62213,-40.51336,3.32835,10.50585,5.08343,3.02729,-30.23634,59.15695,-6.39823,-6.54412,1.75236,0.27342,24.82419,23.95832,4.73294,-11.27316,-30.93188,3.04227,6.21375,0.61327,0.25827,8.85578,-2.01433,3.07158,0.99762,-1.48684,-0.28892,0.71033,0.455,-0.07528,0.20992,-0.15056,-0.10397,0.0499,-0.01304,-0.02012
2654,-16.83406,-7.93822,0.2665,-7.14443,1.42637,0.27715,-32.62299,-37.48919,4.23242,5.22767,1.45558,1.51776,-30.14111,59.38551,-6.60441,-6.26862,1.60327,0.30233,11.1343,24.17705,-0.7338,5.49139,-16.45326,-5.07593,6.63781,1.60183,-0.01108,6.30113,-3.85984,0.2252,0.48997,-0.46014,-0.26357,1.22097,0.85682,0.16128,0.01949,0.07939,-0.11272,0.14613,-0.04785,0.08151
2655,-19.5937,-8.6069,0.69508,-9.16503,0.40262,0.1603,-43.57302,-38.61928,5.02533,0.88361,-5.06979,-1.09053,-29.94032,59.64237,-6.8519,-5.87506,1.37393,0.22177,-7.4313,10.80871,-7.03968,9.97748,-4.37504,-8.52125,5.94108,0.96297,-0.28622,4.44636,-4.94882,-1.84101,0.39513,-0.11826,-0.02742,1.35789,1.2889,0.21084,-0.04858,0.19402,-0.0365,0.18684,-0.10308,0.17672
2656,-20.78973,-10.53045,1.01364,-9.18772,-0.28072,-0.12368,-48.89973,-44.22953,5.94234,-0.9474,-5.3036,-2.16394,-29.62017,59.62622,-7.09462,-5.09417,1.06694,0.07189,-20.29469,1.04687,-5.7208,1.42429,-12.28695,-1.19776,5.16839,-0.71314,-0.32331,5.29786,-3.77362,-0.19836,0.66943,-0.74078,0.33694,0.88596,0.90658,0.20999,0.04798,0.0592,0.10744,0.13638,-0.19687,0.20941
2657,-20.73169,-12.36878,1.08078,-6.95214,0.19395,-0.28266,-47.34855,-48.63014,6.39787,1.43801,0.12157,-1.33764,-29.26159,59.41881,-7.31598,-4.14052,0.81294,-0.00859,-18.87386,5.19221,-0.58938,-5.23016,-21.5464,9.37977,5.38131,-1.86367,-0.19228,7.47415,-1.83596,2.81112,0.84834,-1.67866,0.51806,0.53372,0.28153,0.16408,0.18184,-0.18586,0.17592,0.10523,-0.18273,0.13068
