Unnamed: 0_level_0,Neck_Joint_Position,Neck_Joint_Position,Neck_Joint_Position,L_ANKLE_POSITION,L_ANKLE_POSITION,L_ANKLE_POSITION,R_ANKLE_POSITION,R_ANKLE_POSITION,R_ANKLE_POSITION,L_KNEE_POSITION,L_KNEE_POSITION,L_KNEE_POSITION,R_KNEE_POSITION,R_KNEE_POSITION,R_KNEE_POSITION,L_HIP_POSITION,L_HIP_POSITION,L_HIP_POSITION,R_HIP_POSITION,R_HIP_POSITION,R_HIP_POSITION,L_SHOULDER_POSITION,L_SHOULDER_POSITION,L_SHOULDER_POSITION,R_SHOULDER_POSITION,R_SHOULDER_POSITION,R_SHOULDER_POSITION,L_ELBOW_POSITION,L_ELBOW_POSITION,L_ELBOW_POSITION,R_ELBOW_POSITION,R_ELBOW_POSITION,R_ELBOW_POSITION,L_WRIST_POSITION,L_WRIST_POSITION,L_WRIST_POSITION,R_WRIST_POSITION,R_WRIST_POSITION,R_WRIST_POSITION
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
3062,0.16879,0.10021,1.53711,0.09336,0.50773,0.11712,0.06224,0.0308,0.08123,0.0978,0.42987,0.53733,0.15577,0.07151,0.49359,0.07631,0.22079,0.92858,0.20504,0.08206,0.93041,0.01287,0.1969,1.48544,0.26613,-0.03337,1.46511,-0.0371,0.35562,1.23734,0.39498,0.10991,1.24204,0.07847,0.4415,1.4565,0.30501,0.22032,1.46754
3063,0.16874,0.10101,1.53711,0.09371,0.50845,0.11814,0.0623,0.03078,0.08136,0.09799,0.43198,0.5386,0.1554,0.07166,0.4938,0.07596,0.22129,0.92896,0.20445,0.08234,0.93065,0.01293,0.19692,1.48568,0.26614,-0.03349,1.46552,-0.03737,0.35622,1.23801,0.39518,0.11011,1.24277,0.07874,0.44205,1.45691,0.30491,0.22132,1.46774
3064,0.16847,0.10176,1.53723,0.09404,0.50934,0.1189,0.06222,0.03099,0.08139,0.09815,0.43448,0.53966,0.15482,0.07171,0.49396,0.0753,0.222,0.92899,0.20318,0.08248,0.93089,0.01293,0.19667,1.48572,0.265,-0.03335,1.46566,-0.03768,0.35675,1.23862,0.39561,0.11019,1.24378,0.07887,0.44261,1.45727,0.30497,0.22204,1.46829
3065,0.16798,0.10226,1.53744,0.09421,0.51012,0.11955,0.06207,0.03121,0.08137,0.09822,0.43738,0.54068,0.15421,0.07152,0.49409,0.07453,0.22281,0.92882,0.20185,0.08279,0.93107,0.0128,0.19649,1.48558,0.26365,-0.03298,1.46557,-0.03787,0.35728,1.23895,0.39611,0.11047,1.24473,0.07852,0.4432,1.45767,0.30517,0.22251,1.46903
3066,0.16761,0.10262,1.53756,0.09425,0.51064,0.12034,0.06189,0.0312,0.08133,0.09821,0.44037,0.54189,0.1537,0.07115,0.49416,0.07389,0.22361,0.92877,0.20101,0.08341,0.93116,0.01255,0.19659,1.48542,0.26319,-0.03236,1.46537,-0.03793,0.35808,1.23921,0.39657,0.11142,1.24531,0.07788,0.44396,1.45825,0.30537,0.22294,1.46976
3067,0.16772,0.10309,1.5374,0.09425,0.51106,0.12142,0.06169,0.03096,0.08131,0.09828,0.44313,0.54335,0.15328,0.07077,0.4942,0.07353,0.22433,0.92905,0.20084,0.0843,0.93113,0.0123,0.19704,1.48545,0.26407,-0.03153,1.46518,-0.03795,0.35939,1.23976,0.39694,0.11317,1.24541,0.07753,0.44499,1.45909,0.30543,0.2235,1.47032
3068,0.16822,0.10387,1.53696,0.09432,0.51163,0.12275,0.06155,0.03065,0.08131,0.0986,0.44569,0.545,0.15272,0.07059,0.49428,0.07342,0.22496,0.92957,0.20133,0.08546,0.93105,0.0123,0.19773,1.48564,0.26593,-0.03064,1.46511,-0.03796,0.36112,1.24064,0.39707,0.11531,1.24513,0.07768,0.44615,1.4601,0.3054,0.22423,1.47065
3069,0.16876,0.10485,1.53657,0.09444,0.51248,0.1242,0.06154,0.03037,0.08132,0.09906,0.44838,0.54672,0.1519,0.07074,0.49443,0.0734,0.22554,0.93005,0.20219,0.08686,0.93097,0.01262,0.1985,1.48581,0.26785,-0.02983,1.46518,-0.03793,0.36286,1.24151,0.39693,0.1173,1.24476,0.07793,0.44716,1.46113,0.3054,0.22509,1.47089
3070,0.16912,0.10566,1.53656,0.0946,0.51356,0.12565,0.06168,0.0301,0.08134,0.09942,0.4515,0.54847,0.15102,0.07113,0.49461,0.07333,0.22624,0.93035,0.20296,0.08833,0.93091,0.01301,0.19919,1.48585,0.26913,-0.02906,1.46536,-0.03793,0.36428,1.24214,0.39672,0.11895,1.24467,0.07785,0.44793,1.46205,0.30543,0.22602,1.47123
