Unnamed: 0_level_0,Head_AngMom_wrt_LAB,Head_AngMom_wrt_LAB,Head_AngMom_wrt_LAB,Head_Shadow_AngMom_wrt_LAB,Head_Shadow_AngMom_wrt_LAB,Head_Shadow_AngMom_wrt_LAB,Trunk_AngMom_wrt_LAB,Trunk_AngMom_wrt_LAB,Trunk_AngMom_wrt_LAB,R_UA_AngMom_wrt_LAB,R_UA_AngMom_wrt_LAB,R_UA_AngMom_wrt_LAB,R_FA_AngMom_wrt_LAB,R_FA_AngMom_wrt_LAB,R_FA_AngMom_wrt_LAB,R_Hand_AngMom_wrt_LAB,R_Hand_AngMom_wrt_LAB,R_Hand_AngMom_wrt_LAB,L_UA_AngMom_wrt_LAB,L_UA_AngMom_wrt_LAB,L_UA_AngMom_wrt_LAB,L_FA_AngMom_wrt_LAB,L_FA_AngMom_wrt_LAB,L_FA_AngMom_wrt_LAB,L_Hand_AngMom_wrt_LAB,L_Hand_AngMom_wrt_LAB,L_Hand_AngMom_wrt_LAB,Pelvis_AngMom_wrt_LAB,Pelvis_AngMom_wrt_LAB,Pelvis_AngMom_wrt_LAB,R_Thigh_AngMom_wrt_LAB,R_Thigh_AngMom_wrt_LAB,R_Thigh_AngMom_wrt_LAB,R_Shank_AngMom_wrt_LAB,R_Shank_AngMom_wrt_LAB,R_Shank_AngMom_wrt_LAB,R_Foot_AngMom_wrt_LAB,R_Foot_AngMom_wrt_LAB,R_Foot_AngMom_wrt_LAB,R_Foot_Shadow_AngMom_wrt_LAB,R_Foot_Shadow_AngMom_wrt_LAB,R_Foot_Shadow_AngMom_wrt_LAB,R_Toes_AngMom_wrt_LAB,R_Toes_AngMom_wrt_LAB,R_Toes_AngMom_wrt_LAB,L_Thigh_AngMom_wrt_LAB,L_Thigh_AngMom_wrt_LAB,L_Thigh_AngMom_wrt_LAB,L_Shank_AngMom_wrt_LAB,L_Shank_AngMom_wrt_LAB,L_Shank_AngMom_wrt_LAB,L_Foot_AngMom_wrt_LAB,L_Foot_AngMom_wrt_LAB,L_Foot_AngMom_wrt_LAB,L_Foot_Shadow_AngMom_wrt_LAB,L_Foot_Shadow_AngMom_wrt_LAB,L_Foot_Shadow_AngMom_wrt_LAB,L_Toes_AngMom_wrt_LAB,L_Toes_AngMom_wrt_LAB,L_Toes_AngMom_wrt_LAB,FullBody_AngMom,FullBody_AngMom,FullBody_AngMom
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
665,7e-05,0.00017,-0.00014,0.00288,0.00573,-0.00589,0.04938,-0.01444,0.14504,-0.00207,0.00265,0.0009,-0.00127,-0.00029,-0.00149,-0.00094,-0.00108,-7e-05,0.00044,0.00085,-5e-05,-0.00089,0.0015,0.00125,-0.00035,-0.0001,0.00097,0.00243,-0.00277,0.01267,0.03742,0.03474,0.02947,-0.00908,0.0052,0.00471,4e-05,-0.00101,0.00062,4e-05,-0.00101,0.00062,-1e-05,-1e-05,0.0,-0.03058,0.02129,0.02886,0.01246,-0.00859,0.00044,-6e-05,0.00041,0.00107,-6e-05,0.00041,0.00107,0.0,1e-05,0.0,0.1495,0.74441,0.44133
666,0.00013,4e-05,1e-05,0.00547,0.0011,0.00039,0.03983,0.01851,0.14932,-0.00285,0.00165,-0.00051,-0.00225,0.00068,-0.00053,-0.00087,-0.00033,0.00054,0.00266,0.00255,0.00115,-0.00183,0.00193,0.00124,-0.00017,0.00019,0.00062,-0.00307,-0.0004,0.01212,0.02088,0.0367,0.01836,-0.00731,0.00221,0.00362,0.00042,-0.00116,0.00087,0.00042,-0.00116,0.00087,-1e-05,-0.0,0.0,-0.02606,0.01162,0.03292,0.01053,-0.00686,0.00199,0.00019,0.00058,9e-05,0.00019,0.00058,9e-05,0.0,1e-05,0.0,0.07832,0.80829,0.39385
667,0.0002,-7e-05,0.0001,0.00878,-0.00286,0.00417,0.03924,0.04854,0.14108,-0.0027,0.00186,-0.00037,-0.00211,0.00094,-0.00016,-0.00044,8e-05,0.00065,0.0053,0.00494,0.00283,-0.00266,0.00242,0.00122,0.00015,0.00047,0.00027,-0.00524,-0.00178,0.01055,-0.01935,0.05806,0.00914,-0.00245,-0.00365,0.00324,0.00042,-0.0008,0.00089,0.00042,-0.0008,0.00089,-1e-05,-0.0,0.0,-0.02093,0.01518,0.03069,0.00565,-0.00386,0.00236,0.00064,0.00016,-0.00011,0.00064,0.00016,-0.00011,1e-05,0.0,-0.0,-0.05211,0.87213,0.30161
668,0.0002,-2e-05,5e-05,0.0085,-0.00084,0.00222,0.02599,0.05202,0.12506,-0.00103,0.00206,0.00081,-0.00114,0.00057,-0.00016,-0.00025,-7e-05,0.00042,0.00577,0.0053,0.00332,-0.00317,0.00258,0.0016,0.00045,0.00044,0.00028,-0.0015,-0.0036,0.00739,-0.04642,0.06528,0.00027,0.0008,-0.00669,0.00224,9e-05,-0.00013,0.00044,9e-05,-0.00013,0.00044,0.0,-0.0,0.0,-0.01321,0.02507,0.02176,-0.00065,-0.00133,0.00138,0.00034,-0.00046,0.00042,0.00034,-0.00046,0.00042,1e-05,-1e-05,0.0,-0.11032,0.78083,0.22818
669,9e-05,0.00021,-0.0001,0.00377,0.00731,-0.00441,-0.01285,0.03554,0.1031,0.00137,0.00138,0.00222,-0.00022,-6e-05,0.00013,-0.0004,-0.00032,0.00019,0.00484,0.00224,0.00178,-0.00338,0.00196,0.00207,0.00046,0.0001,0.0005,0.00421,0.00061,0.00362,-0.02771,0.02311,-0.01094,-0.00224,-0.00113,-0.00097,-1e-05,0.0003,-0.00024,-1e-05,0.0003,-0.00024,1e-05,-0.0,-0.0,-0.00392,0.02582,0.01011,-0.0052,-0.00034,9e-05,-0.00068,-0.00058,0.00091,-0.00068,-0.00058,0.00091,2e-05,-1e-05,0.0,0.05876,0.45505,0.21401
670,-1e-05,0.00044,-0.00022,-0.00084,0.01548,-0.00945,-0.05173,0.0125,0.08428,0.00284,-0.0,0.00282,-4e-05,-0.0005,0.00085,-0.00054,-0.00019,0.00016,0.00467,-0.00118,-0.00019,-0.00382,0.00107,0.00178,0.00011,-0.00025,0.00034,0.00522,0.00947,0.00132,0.02183,-0.04166,-0.01987,-0.00884,0.00929,-0.0048,0.00039,0.00015,-0.0006,0.00039,0.00015,-0.0006,1e-05,0.0,-0.0,0.00949,0.01566,-0.0032,-0.00645,-0.00012,-0.00111,-0.00139,-0.00015,0.00084,-0.00139,-0.00015,0.00084,1e-05,-0.0,0.0,0.35912,0.10216,0.23201
671,0.0,0.00044,-0.00015,-0.00059,0.01542,-0.00646,-0.05759,-0.00783,0.08477,0.00288,-0.00207,0.00183,-0.0005,-0.0006,0.00154,-0.0005,0.00031,0.00022,0.00605,-0.00102,-0.00054,-0.00465,0.00097,0.00058,-0.00051,-0.00032,-0.00025,0.00043,0.01232,0.0013,0.04931,-0.05486,-0.01841,-0.01041,0.01233,-0.00517,0.00079,-0.00031,-0.00038,0.00079,-0.00031,-0.00038,-0.0,1e-05,-0.0,0.03369,0.00582,-0.01719,-0.00642,0.00127,-0.00213,-0.00135,0.00016,0.00033,-0.00135,0.00016,0.00033,-0.0,0.0,0.0,0.48358,0.04989,0.20461
672,8e-05,0.00016,6e-05,0.00309,0.0053,0.00288,-0.03969,-0.01541,0.08847,0.00288,-0.00475,0.00024,-0.00098,-0.00089,0.00178,-0.00043,0.00079,-1e-05,0.00849,0.00144,0.00011,-0.00464,0.00175,-0.00033,-0.00114,-0.00018,-0.00038,-0.00423,0.00261,0.00199,0.02231,0.01346,-0.00688,-0.00292,0.00149,-0.00068,0.00045,-0.00033,5e-05,0.00045,-0.00033,5e-05,-1e-05,1e-05,0.0,0.07016,0.00257,-0.02422,-0.00871,0.00406,-0.00207,-0.0012,-3e-05,-0.00013,-0.0012,-3e-05,-0.00013,-2e-05,-0.0,-0.0,0.28639,0.34093,0.05578
673,0.00013,-0.00018,0.00023,0.00571,-0.00658,0.00979,-0.03225,-0.00202,0.05689,0.00422,-0.00692,0.00023,-0.00108,-0.00177,0.00179,-0.00044,0.00097,-0.00048,0.0112,0.00144,-0.00032,-0.0028,0.00204,6e-05,-0.00142,-0.0001,0.00041,-0.00398,-0.01242,0.00134,-0.03525,0.10429,0.00307,0.00783,-0.01485,0.00476,-0.00066,0.00053,0.00017,-0.00066,0.00053,0.00017,-1e-05,0.0,0.0,0.11031,0.00257,-0.01809,-0.01444,0.00585,-0.00048,-0.00146,-0.0004,-0.00014,-0.00146,-0.0004,-0.00014,-2e-05,-1e-05,-0.0,-0.04674,0.66817,-0.1941
