Unnamed: 0_level_0,RTOES_DIST,RTOES_DIST,RTOES_DIST,LTOES_DIST,LTOES_DIST,LTOES_DIST,RTOES_PROX,RTOES_PROX,RTOES_PROX,LTOES_PROX,LTOES_PROX,LTOES_PROX,RFTS_DIST,RFTS_DIST,RFTS_DIST,LFTS_DIST,LFTS_DIST,LFTS_DIST,RFTS_PROX,RFTS_PROX,RFTS_PROX,LFTS_PROX,LFTS_PROX,LFTS_PROX
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1048,0.33146,0.16073,0.00238,0.09525,0.69846,0.00572,0.30036,0.12107,0.00882,0.0947,0.64807,0.01213,0.33709,0.10379,0.0144,0.07901,0.65431,0.02089,0.21598,-0.04966,0.02184,0.07751,0.45163,0.01744
1049,0.33135,0.16099,0.00209,0.09535,0.69872,0.00563,0.30033,0.12133,0.00884,0.09476,0.64834,0.01218,0.33707,0.10409,0.01448,0.07905,0.65456,0.0209,0.21614,-0.04951,0.02174,0.07754,0.45189,0.01676
1050,0.33135,0.16115,0.00195,0.09547,0.69889,0.00563,0.30035,0.12149,0.00885,0.0948,0.64852,0.01221,0.3371,0.10423,0.01431,0.0791,0.65474,0.02095,0.21615,-0.04934,0.02173,0.07722,0.45208,0.01641
1051,0.33154,0.1612,0.00203,0.09542,0.69894,0.00568,0.3005,0.12156,0.00881,0.09471,0.64858,0.01229,0.33726,0.10422,0.01402,0.07903,0.65481,0.02107,0.21612,-0.04918,0.02173,0.07696,0.45216,0.01632
1052,0.33189,0.16112,0.00224,0.09512,0.69892,0.00576,0.30075,0.12151,0.00877,0.09448,0.64857,0.01255,0.33749,0.10409,0.01382,0.0788,0.65476,0.02134,0.21603,-0.04906,0.02166,0.07702,0.45212,0.01627
1053,0.33223,0.16092,0.00243,0.09478,0.69886,0.0059,0.30099,0.12136,0.00876,0.09423,0.64854,0.0129,0.33769,0.10385,0.01377,0.07854,0.65468,0.02171,0.21589,-0.04903,0.02156,0.07719,0.45205,0.01606
1054,0.33242,0.1607,0.00257,0.09463,0.69878,0.00611,0.30111,0.12117,0.00872,0.09411,0.64845,0.01305,0.33779,0.10361,0.01371,0.07842,0.65456,0.0219,0.2158,-0.04912,0.02152,0.07714,0.45194,0.0157
1055,0.33232,0.16062,0.00288,0.09476,0.69862,0.00638,0.30101,0.12102,0.00858,0.09418,0.64821,0.01272,0.33772,0.10351,0.01351,0.07851,0.65435,0.02158,0.21595,-0.04938,0.02163,0.07688,0.45173,0.01546
1056,0.33187,0.16071,0.00357,0.09504,0.69843,0.00663,0.30064,0.12092,0.00843,0.09439,0.64791,0.01204,0.33745,0.10358,0.01328,0.07872,0.65411,0.02086,0.21637,-0.04983,0.02187,0.07676,0.45147,0.01554
1057,0.33121,0.16087,0.00447,0.09522,0.69831,0.00668,0.30013,0.12087,0.00836,0.09458,0.64774,0.01152,0.33704,0.10376,0.01322,0.0789,0.65397,0.02029,0.21689,-0.05036,0.02214,0.07697,0.45131,0.0159
1058,0.3307,0.16098,0.00516,0.09515,0.69823,0.00653,0.29973,0.12082,0.0083,0.09461,0.64768,0.0115,0.33671,0.10389,0.01324,0.07892,0.65391,0.02027,0.21724,-0.05075,0.02241,0.07733,0.45123,0.01637
1059,0.33059,0.16093,0.00541,0.09495,0.69805,0.00636,0.29961,0.12076,0.00812,0.09449,0.64755,0.01188,0.3366,0.10387,0.01317,0.07882,0.65375,0.02069,0.21726,-0.05084,0.02267,0.07757,0.45108,0.01679
1060,0.33078,0.16071,0.00534,0.09486,0.6977,0.00641,0.29969,0.12061,0.00796,0.09443,0.64723,0.0122,0.33663,0.10364,0.01305,0.07875,0.65343,0.02101,0.21689,-0.05074,0.02286,0.07757,0.45075,0.01722
1061,0.33097,0.16031,0.00523,0.09505,0.69729,0.0067,0.29973,0.12034,0.00802,0.09456,0.64677,0.01203,0.33661,0.10322,0.0131,0.07888,0.65303,0.02079,0.21624,-0.05067,0.02291,0.07746,0.45034,0.01781
1062,0.33099,0.15987,0.00523,0.09549,0.69693,0.00701,0.29965,0.12,0.00837,0.09495,0.64633,0.01157,0.33647,0.10275,0.01344,0.07927,0.65266,0.02028,0.21561,-0.05078,0.02283,0.07758,0.44996,0.01849
1063,0.33085,0.15955,0.00526,0.0959,0.69664,0.00699,0.29953,0.11972,0.00886,0.0954,0.64604,0.01148,0.33632,0.10243,0.014,0.07971,0.65239,0.02014,0.21533,-0.05104,0.02273,0.07817,0.44968,0.01913
1064,0.33064,0.15944,0.00526,0.09598,0.69637,0.0066,0.29942,0.11957,0.00934,0.09562,0.64585,0.01197,0.33623,0.10235,0.01459,0.07988,0.65215,0.02059,0.2155,-0.05137,0.02273,0.07905,0.44944,0.01979
1065,0.33035,0.1595,0.00531,0.09566,0.69602,0.00608,0.29929,0.11954,0.0097,0.09549,0.64565,0.01274,0.33614,0.10243,0.01503,0.0797,0.65189,0.02131,0.21589,-0.05167,0.02289,0.07981,0.44918,0.02076
1066,0.33008,0.1596,0.00545,0.09519,0.69571,0.00578,0.29914,0.11955,0.00993,0.09519,0.64548,0.0134,0.33604,0.10255,0.01521,0.07936,0.6517,0.02192,0.21623,-0.0519,0.02313,0.08031,0.44898,0.0223
1067,0.32997,0.15959,0.00568,0.09484,0.69557,0.00578,0.29907,0.11949,0.01003,0.09495,0.64539,0.01368,0.33601,0.10253,0.01519,0.07912,0.65165,0.02215,0.21639,-0.05205,0.02334,0.08049,0.44895,0.0245
1068,0.33005,0.1594,0.00597,0.09476,0.69558,0.00595,0.29911,0.11931,0.01006,0.09487,0.64535,0.01352,0.33605,0.10232,0.01512,0.07907,0.65175,0.02194,0.21634,-0.05218,0.02349,0.08023,0.44911,0.02733
1069,0.33016,0.15906,0.00628,0.09493,0.6956,0.00606,0.29913,0.11901,0.01003,0.09492,0.6453,0.01319,0.33605,0.10198,0.0151,0.07916,0.65191,0.02153,0.21617,-0.05237,0.02373,0.07961,0.44939,0.0305
1070,0.3301,0.15869,0.00652,0.09524,0.69555,0.00606,0.29904,0.11864,0.00999,0.09505,0.64524,0.01316,0.33595,0.10162,0.01513,0.07932,0.65205,0.0214,0.21605,-0.05268,0.02419,0.07897,0.44971,0.03363
1071,0.32992,0.15846,0.00666,0.09562,0.69547,0.00607,0.29889,0.11836,0.00992,0.09527,0.64523,0.01367,0.33583,0.10141,0.01513,0.07955,0.6522,0.02181,0.21613,-0.05302,0.0247,0.07854,0.45002,0.03654
1072,0.32982,0.15846,0.00668,0.09612,0.69541,0.0063,0.29884,0.11831,0.00979,0.09562,0.64528,0.01456,0.3358,0.10144,0.01508,0.07992,0.65237,0.02261,0.21639,-0.05319,0.025,0.07833,0.45037,0.03946
1073,0.32986,0.15857,0.00665,0.09683,0.69543,0.00685,0.29891,0.11839,0.00961,0.09616,0.64538,0.01557,0.33589,0.10159,0.01507,0.08049,0.65262,0.02356,0.21665,-0.05317,0.02513,0.0782,0.45082,0.04266
1074,0.32999,0.15859,0.00669,0.09773,0.6956,0.00771,0.29904,0.11839,0.00947,0.09683,0.64558,0.01658,0.33599,0.10164,0.01519,0.08122,0.653,0.02451,0.2168,-0.05315,0.02521,0.07795,0.45146,0.04612
1075,0.33005,0.15847,0.00684,0.09872,0.69613,0.00884,0.29909,0.11827,0.0094,0.09754,0.6461,0.01763,0.33601,0.10155,0.0154,0.082,0.65371,0.02551,0.21681,-0.05325,0.02532,0.0775,0.45247,0.04955
1076,0.32994,0.15832,0.007,0.09971,0.69737,0.01026,0.29899,0.1181,0.00938,0.09821,0.64734,0.01896,0.33591,0.10142,0.01555,0.08272,0.65512,0.02678,0.21678,-0.05344,0.02545,0.0769,0.45413,0.05254
1077,0.32972,0.15823,0.00701,0.10076,0.69965,0.01198,0.29881,0.11798,0.00937,0.09891,0.64963,0.02065,0.33574,0.10134,0.01549,0.08346,0.65754,0.02841,0.21678,-0.05362,0.02562,0.07623,0.45669,0.0549
1078,0.32956,0.15826,0.00695,0.102,0.70308,0.01397,0.29868,0.11799,0.00941,0.09978,0.65305,0.02255,0.33565,0.10136,0.01538,0.08436,0.66107,0.03027,0.21682,-0.05369,0.02577,0.07565,0.46025,0.05657
1079,0.32954,0.15849,0.00697,0.10331,0.70752,0.0162,0.29869,0.1182,0.0096,0.10076,0.65748,0.02456,0.33567,0.10158,0.0155,0.08535,0.66554,0.03224,0.21691,-0.05353,0.02573,0.07536,0.46467,0.05764
1080,0.32957,0.15886,0.00707,0.10419,0.71271,0.01861,0.29875,0.11858,0.00992,0.10147,0.66262,0.0267,0.33571,0.10195,0.01589,0.08602,0.67068,0.03433,0.21694,-0.0532,0.02544,0.07542,0.46966,0.05833
1081,0.32959,0.15918,0.00712,0.10419,0.71832,0.02109,0.29877,0.11892,0.01027,0.10152,0.66818,0.02883,0.33571,0.10226,0.01629,0.086,0.67614,0.0364,0.21687,-0.05288,0.02509,0.07568,0.47494,0.05887
1082,0.32967,0.15922,0.00702,0.10321,0.72415,0.02356,0.29882,0.11901,0.01052,0.10082,0.67391,0.03074,0.33575,0.10229,0.01649,0.08521,0.68172,0.03828,0.2167,-0.05271,0.02495,0.07602,0.48031,0.05933
1083,0.32992,0.15891,0.00686,0.10137,0.7302,0.02601,0.29898,0.11879,0.0106,0.09946,0.67983,0.03234,0.33588,0.10195,0.01645,0.08378,0.68745,0.03994,0.21641,-0.05272,0.02506,0.07641,0.48581,0.05957
1084,0.33021,0.15842,0.00676,0.09882,0.73659,0.02838,0.29915,0.1184,0.01052,0.09752,0.68609,0.03379,0.336,0.10145,0.01631,0.08179,0.69347,0.04153,0.21606,-0.05283,0.02528,0.07677,0.49161,0.05948
1085,0.33027,0.15809,0.00676,0.09578,0.74337,0.03039,0.29913,0.1181,0.01028,0.09516,0.69279,0.03511,0.33596,0.10113,0.01614,0.07939,0.69991,0.043,0.21583,-0.05298,0.02544,0.077,0.49785,0.05923
1086,0.33002,0.15808,0.00674,0.0925,0.75042,0.03172,0.29891,0.11804,0.00991,0.09257,0.6998,0.03607,0.33574,0.10115,0.01596,0.07675,0.70665,0.04411,0.21583,-0.05312,0.02551,0.07711,0.50448,0.05899
1087,0.32965,0.15822,0.00653,0.08909,0.75748,0.03222,0.29863,0.1181,0.00952,0.08989,0.70685,0.03645,0.33548,0.10135,0.01583,0.07403,0.71346,0.0446,0.21596,-0.05322,0.02559,0.07731,0.51126,0.05875
1088,0.32941,0.15825,0.00619,0.08556,0.76435,0.03201,0.29845,0.11809,0.00935,0.08719,0.71375,0.03624,0.3353,0.10142,0.01588,0.07124,0.72009,0.04443,0.216,-0.05329,0.0258,0.07778,0.51796,0.05845
