Unnamed: 0_level_0,FullBody_CoG_vel,FullBody_CoG_vel,FullBody_CoG_vel,L_Hand_CoG_vel,L_Hand_CoG_vel,L_Hand_CoG_vel,R_Hand_CoG_vel,R_Hand_CoG_vel,R_Hand_CoG_vel,L_Forearm_CoG_vel,L_Forearm_CoG_vel,L_Forearm_CoG_vel,R_Forearm_CoG_vel,R_Forearm_CoG_vel,R_Forearm_CoG_vel,L_UpperArm_CoG_vel,L_UpperArm_CoG_vel,L_UpperArm_CoG_vel,R_UpperArm_CoG_vel,R_UpperArm_CoG_vel,R_UpperArm_CoG_vel,Head_CoG_vel,Head_CoG_vel,Head_CoG_vel,Head_Shadow_CoG_vel,Head_Shadow_CoG_vel,Head_Shadow_CoG_vel,Trunk_CoG_vel,Trunk_CoG_vel,Trunk_CoG_vel,Pelvis_CoG_vel,Pelvis_CoG_vel,Pelvis_CoG_vel,L_Thigh_CoG_vel,L_Thigh_CoG_vel,L_Thigh_CoG_vel,R_Thigh_CoG_vel,R_Thigh_CoG_vel,R_Thigh_CoG_vel,L_Shank_CoG_vel,L_Shank_CoG_vel,L_Shank_CoG_vel,R_Shank_CoG_vel,R_Shank_CoG_vel,R_Shank_CoG_vel,L_Foot_CoG_vel,L_Foot_CoG_vel,L_Foot_CoG_vel,R_Foot_CoG_vel,R_Foot_CoG_vel,R_Foot_CoG_vel,L_Foot_Shadow_CoG_vel,L_Foot_Shadow_CoG_vel,L_Foot_Shadow_CoG_vel,R_Foot_Shadow_CoG_vel,R_Foot_Shadow_CoG_vel,R_Foot_Shadow_CoG_vel
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
266,0.05306,-0.07813,-0.04809,0.07139,-0.15706,-0.08365,-0.01072,-0.14975,-0.17598,0.06221,-0.18669,-0.05814,0.00928,-0.19136,-0.13186,0.04792,-0.1923,-0.03156,-0.00523,-0.13905,-0.12321,0.04539,-0.10159,-0.04548,0.04546,-0.10203,-0.02355,0.05656,-0.08511,-0.02549,0.06406,-0.04477,-0.04912,0.03221,-0.12151,-0.08013,0.07713,0.00714,-0.03423,0.06677,-0.1302,-0.10529,0.04873,0.01883,-0.02934,0.09886,-0.05654,-0.11101,-0.00242,0.01465,-0.0245,0.09212,-0.0608,-0.11354,-0.00279,0.01639,-0.0298
267,0.04837,-0.07132,-0.04172,0.00538,-0.13108,-0.05633,0.03026,-0.14858,-0.16912,0.03092,-0.15767,-0.04077,-0.01823,-0.19221,-0.13784,0.02598,-0.14561,-0.03104,-0.02052,-0.1569,-0.0891,0.06145,-0.10277,-0.03088,0.06196,-0.10334,-0.01048,0.04758,-0.07789,-0.02298,0.05617,-0.03585,-0.04169,0.04003,-0.11388,-0.07341,0.06275,0.00353,-0.02915,0.09704,-0.09569,-0.09707,0.03222,0.00456,-0.02391,0.12727,0.01188,-0.10195,-0.00266,-0.00107,-0.01698,0.12101,0.00784,-0.10459,-0.00278,0.00074,-0.01871
268,0.03928,-0.06193,-0.037,-0.0568,-0.11674,-0.03155,0.03822,-0.10489,-0.1608,-0.01191,-0.13123,-0.03014,-0.05938,-0.1462,-0.13975,0.00377,-0.09123,-0.02905,-0.03446,-0.14086,-0.06416,0.06775,-0.09556,-0.02081,0.06936,-0.09633,-0.0029,0.0303,-0.07137,-0.02872,0.04819,-0.02871,-0.03018,0.05486,-0.096,-0.06258,0.043,-0.00773,-0.02165,0.11881,-0.06494,-0.08328,0.01728,-0.00188,-0.01889,0.12138,0.05517,-0.08317,-0.00093,-0.00243,-0.01565,0.11543,0.0513,-0.0847,-0.00099,-0.00027,-0.01658
269,0.03018,-0.04831,-0.03175,-0.075,-0.10747,-0.02416,0.01676,-0.03667,-0.13712,-0.06731,-0.1081,-0.01861,-0.0946,-0.06024,-0.12821,-0.03689,-0.06002,-0.00517,-0.0353,-0.08817,-0.05458,0.05597,-0.07882,-0.02234,0.05688,-0.07938,-0.00912,0.01673,-0.06217,-0.03333,0.04342,-0.0216,-0.01929,0.06773,-0.06675,-0.04776,0.02941,-0.01691,-0.01473,0.12157,-0.0404,-0.06324,0.0123,-0.00064,-0.01518,0.09574,0.06379,-0.05225,0.004,0.00391,-0.01911,0.09046,0.06037,-0.0517,0.00387,0.00645,-0.02096
270,0.024,-0.03189,-0.02336,-0.05603,-0.0813,-0.03208,0.03005,-0.00529,-0.08466,-0.11946,-0.08089,0.00066,-0.08498,3e-05,-0.09818,-0.08711,-0.062,0.03593,-0.02092,-0.04003,-0.04874,0.03481,-0.06145,-0.02737,0.03066,-0.06085,-0.02243,0.01165,-0.04557,-0.02867,0.04007,-0.01365,-0.01326,0.06938,-0.03132,-0.0309,0.02645,-0.01689,-0.0101,0.10941,-0.01519,-0.0382,0.01387,-0.00178,-0.01125,0.0733,0.05022,-0.01867,0.00892,0.00339,-0.01625,0.06867,0.04724,-0.01658,0.00883,0.00563,-0.01758
271,0.02104,-0.01654,-0.01473,-0.03119,-0.02779,-0.02224,0.08554,-0.02524,-0.02918,-0.14248,-0.02778,0.03156,-0.02361,-0.00662,-0.05603,-0.11326,-0.0582,0.06565,0.00283,-0.03167,-0.03139,0.02141,-0.05457,-0.02972,0.01,-0.05246,-0.03151,0.01234,-0.02713,-0.01893,0.0347,-0.00803,-0.01519,0.05857,0.0022,-0.01606,0.02831,-0.00751,-0.0116,0.09327,0.01663,-0.01258,0.01163,-0.00517,-0.01003,0.06206,0.03018,0.0005,0.01009,-0.00595,-0.00466,0.05763,0.02729,0.00236,0.01029,-0.00505,-0.00203
272,0.01827,-0.00583,-0.00919,-0.0263,0.03174,0.02983,0.10156,-0.04421,-0.0034,-0.13764,0.05132,0.07049,0.05043,-0.04141,-0.01297,-0.10328,-0.01007,0.07025,0.03323,-0.04448,-0.0055,0.02169,-0.06039,-0.03139,0.00557,-0.05759,-0.02948,0.01315,-0.01735,-0.01252,0.02618,-0.01059,-0.02191,0.04138,0.02542,-0.0028,0.02437,0.00491,-0.0213,0.07748,0.04567,0.01073,-0.00077,0.00231,-0.01603,0.05993,0.01003,0.00516,0.00795,-0.01206,0.00528,0.05517,0.00682,0.005,0.00859,-0.01283,0.01414
273,0.01204,0.00019,-0.00544,-0.05206,0.07145,0.10175,0.0306,-0.01678,-0.00203,-0.13986,0.12189,0.10931,0.09722,-0.03885,0.02512,-0.08724,0.06569,0.06725,0.06421,-0.03658,0.01364,0.02515,-0.06671,-0.03508,0.0098,-0.06461,-0.01777,0.00796,-0.01659,-0.01177,0.01724,-0.02249,-0.02545,0.02652,0.03446,0.01168,0.0123,0.01252,-0.03305,0.06035,0.05881,0.03145,-0.01681,0.02425,-0.02595,0.06279,-0.0057,0.01315,0.0049,-0.00727,0.00498,0.05753,-0.00937,0.01049,0.00579,-0.00896,0.01798
274,0.0032,0.00549,-0.00054,-0.09431,0.09034,0.15032,-0.06691,0.04305,-0.00415,-0.17194,0.15754,0.14152,0.11176,0.00778,0.05577,-0.09959,0.12588,0.07455,0.07975,-0.00682,0.02516,0.02255,-0.06007,-0.03886,0.01215,-0.05955,-0.00567,-0.00415,-0.01428,-0.01312,0.01023,-0.03566,-0.02197,0.02015,0.03703,0.02484,0.00204,0.01232,-0.03529,0.04434,0.06326,0.04871,-0.02015,0.04434,-0.02878,0.06076,-0.01176,0.02941,0.00203,0.00081,-0.00242,0.05582,-0.01531,0.02526,0.00271,-0.0006,0.00839
