Unnamed: 0_level_0,FP1,FP1,FP1,FP2,FP2,FP2
ITEM,X,Y,Z,X,Y,Z
3504,59.42246,-47.72825,970.3418,0.0,0.0,0.0
3505,58.84731,-46.80924,972.98572,0.0,0.0,0.0
3506,58.24981,-45.88948,975.51935,0.0,0.0,0.0
3507,57.63119,-44.97002,977.93964,0.0,0.0,0.0
3508,56.99212,-44.05119,980.24536,0.0,0.0,0.0
3509,56.3338,-43.13406,982.43335,0.0,0.0,0.0
3510,55.65726,-42.21941,984.5014,0.0,0.0,0.0
3511,54.96353,-41.30809,986.44678,0.0,0.0,0.0
3512,54.25365,-40.40088,988.2674,0.0,0.0,0.0
3513,53.52866,-39.49843,989.96185,0.0,0.0,0.0
3514,52.78961,-38.60139,991.52917,0.0,0.0,0.0
3515,52.03756,-37.7104,992.96826,0.0,0.0,0.0
3516,51.27376,-36.82635,994.27765,0.0,0.0,0.0
3517,50.49884,-35.94938,995.45691,0.0,0.0,0.0
3518,49.71408,-35.08038,996.50482,0.0,0.0,0.0
3519,48.92052,-34.21999,997.42004,0.0,0.0,0.0
3520,48.11919,-33.36886,998.20172,0.0,0.0,0.0
3521,47.31115,-32.52757,998.84888,0.0,0.0,0.0
3522,46.4973,-31.69655,999.36127,0.0,0.0,0.0
3523,45.67855,-30.87618,999.73901,0.0,0.0,0.0
3524,44.85582,-30.06684,999.98206,0.0,0.0,0.0
3525,44.03021,-29.26912,1000.09058,0.0,0.0,0.0
3526,43.20219,-28.48298,1000.06439,0.0,0.0,0.0
3527,42.37288,-27.709,999.90375,0.0,0.0,0.0
3528,41.54317,-26.94757,999.6084,0.0,0.0,0.0
3529,40.71399,-26.19906,999.17859,0.0,0.0,0.0
3530,39.88619,-25.46383,998.61438,0.0,0.0,0.0
3531,39.06053,-24.74202,997.91669,0.0,0.0,0.0
3532,38.23772,-24.03378,997.08661,0.0,0.0,0.0
3533,37.4185,-23.33922,996.12518,0.0,0.0,0.0
3534,36.60381,-22.65865,995.03375,0.0,0.0,0.0
3535,35.79391,-21.99184,993.81287,0.0,0.0,0.0
3536,34.98977,-21.33909,992.46387,0.0,0.0,0.0
3537,34.19209,-20.70054,990.98773,0.0,0.0,0.0
3538,33.4016,-20.0763,989.38562,0.0,0.0,0.0
3539,32.61897,-19.46647,987.65869,0.0,0.0,0.0
3540,31.84472,-18.87096,985.8092,0.0,0.0,0.0
3541,31.07931,-18.28967,983.83911,0.0,0.0,0.0
3542,30.32319,-17.72249,981.75104,0.0,0.0,0.0
3543,29.57704,-17.16944,979.54761,0.0,0.0,0.0
3544,28.84091,-16.6301,977.22998,0.0,0.0,0.0
3545,28.11546,-16.10452,974.80096,0.0,0.0,0.0
3546,27.40116,-15.59259,972.26294,0.0,0.0,0.0
3547,26.69847,-15.09419,969.61792,0.0,0.0,0.0
3548,26.00781,-14.60919,966.86853,0.0,0.0,0.0
3549,25.32948,-14.13743,964.01709,0.0,0.0,0.0
3550,24.66373,-13.67874,961.06635,0.0,0.0,0.0
3551,24.01081,-13.23295,958.01886,0.0,0.0,0.0
3552,23.37114,-12.79999,954.87805,0.0,0.0,0.0
