Unnamed: 0_level_0,L_TO_ANGLE,L_TO_ANGLE,L_TO_ANGLE,R_TO_ANGLE,R_TO_ANGLE,R_TO_ANGLE,L_FT_ANGLE,L_FT_ANGLE,L_FT_ANGLE,R_FT_ANGLE,R_FT_ANGLE,R_FT_ANGLE,L_FT_SHADOW_ANGLE,L_FT_SHADOW_ANGLE,L_FT_SHADOW_ANGLE,R_FT_SHADOW_ANGLE,R_FT_SHADOW_ANGLE,R_FT_SHADOW_ANGLE,L_SK_ANGLE,L_SK_ANGLE,L_SK_ANGLE,R_SK_ANGLE,R_SK_ANGLE,R_SK_ANGLE,L_TH_ANGLE,L_TH_ANGLE,L_TH_ANGLE,R_TH_ANGLE,R_TH_ANGLE,R_TH_ANGLE,PELVIS_ANGLE,PELVIS_ANGLE,PELVIS_ANGLE,TRUNK_ANGLE,TRUNK_ANGLE,TRUNK_ANGLE,HEAD_ANGLE,HEAD_ANGLE,HEAD_ANGLE,HEAD_SHADOW_ANGLE,HEAD_SHADOW_ANGLE,HEAD_SHADOW_ANGLE,L_AR_ANGLE,L_AR_ANGLE,L_AR_ANGLE,R_AR_ANGLE,R_AR_ANGLE,R_AR_ANGLE,L_FA_ANGLE,L_FA_ANGLE,L_FA_ANGLE,R_FA_ANGLE,R_FA_ANGLE,R_FA_ANGLE,L_HA_ANGLE,L_HA_ANGLE,L_HA_ANGLE,R_HA_ANGLE,R_HA_ANGLE,R_HA_ANGLE
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
266,-6.68662,-1.73507,0.32198,-2.03366,5.46586,-39.09555,-0.56826,-1.69089,0.50504,-0.47642,4.20196,-39.22679,-0.56825,-1.69089,0.50504,-0.47642,4.20197,-39.22679,7.35565,3.48353,-13.59809,-16.75072,6.61152,-34.25684,22.96183,3.92198,-15.1796,-4.21148,3.41088,-35.84134,-7.30575,3.58525,-28.69032,-3.4097,2.64134,-23.28912,-20.83777,-4.21367,-12.68399,-40.40094,0.35205,-13.35012,21.70816,7.43392,-23.04811,24.2694,-25.67807,6.33273,146.64601,-23.09603,-94.46394,135.62198,16.15447,118.34178,136.94345,-17.95148,-97.52615,131.2213,7.43996,118.86162
267,-6.55574,-1.85254,0.7073,-1.96529,5.51926,-39.05152,-0.6818,-1.77047,0.89315,-0.43856,4.28222,-39.18196,-0.6818,-1.77046,0.89315,-0.43856,4.28222,-39.18196,7.58265,3.32043,-13.38875,-16.78612,6.67701,-34.18965,22.79237,3.9485,-14.91382,-4.18297,3.42471,-35.79002,-7.28355,3.48047,-28.52301,-3.38628,2.5611,-23.22798,-20.62844,-4.27519,-12.70969,-40.18946,0.30267,-13.39487,21.68089,7.44749,-23.13213,24.00613,-25.61197,6.15042,146.5688,-23.17873,-94.19913,135.60938,16.04397,118.9325,136.82759,-17.77481,-97.24065,130.85893,7.55863,119.53851
268,-6.15559,-1.87966,1.10679,-1.87367,5.47593,-39.00746,-0.82643,-1.76878,1.27656,-0.4147,4.29576,-39.13174,-0.82642,-1.76878,1.27656,-0.4147,4.29576,-39.13174,7.87611,3.17816,-12.94753,-16.81051,6.71824,-34.11183,22.61743,3.9241,-14.38956,-4.16768,3.45418,-35.72511,-7.29519,3.41305,-28.40265,-3.35021,2.50953,-23.226,-20.44513,-4.33983,-12.74636,-40.00312,0.254,-13.45097,21.6247,7.50693,-23.17129,23.70255,-25.52723,6.08722,146.62126,-23.22882,-94.12737,135.40343,15.98284,119.26569,136.58586,-17.34916,-97.18914,130.91788,7.10807,119.76656
269,-5.79423,-1.81071,1.47814,-1.73553,5.40269,-38.95352,-0.91319,-1.67841,1.62682,-0.40927,4.33215,-39.06606,-0.91319,-1.67841,1.62682,-0.40928,4.33215,-39.06606,8.15086,3.09625,-12.3895,-16.81553,6.72077,-34.02746,22.4637,3.86171,-13.74481,-4.13992,3.4954,-35.65256,-7.3592,3.39726,-28.37304,-3.31888,2.49307,-23.23516,-20.27924,-4.34921,-12.7758,-39.83487,0.25498,-13.48177,21.50503,7.66509,-23.18756,23.52021,-25.39,6.24779,146.71378,-23.30072,-94.37692,135.10651,16.03311,119.61612,136.42114,-16.92314,-97.44907,131.21565,6.26724,119.89856
270,-5.83737,-1.7646,1.78139,-1.59271,5.33119,-38.89274,-0.8539,-1.6032,1.92792,-0.43134,4.39602,-38.99121,-0.8539,-1.6032,1.92792,-0.43134,4.39602,-38.99121,8.32532,3.0745,-12.03866,-16.80629,6.70254,-33.86095,22.36441,3.78698,-13.33212,-4.10525,3.53439,-35.49352,-7.44273,3.41238,-28.40952,-3.29493,2.50058,-23.21361,-20.15945,-4.27644,-12.74109,-39.71797,0.31197,-13.4248,21.36774,7.98315,-23.27303,23.52676,-25.23535,6.58921,146.67369,-23.53103,-94.73814,134.85481,16.19518,120.062,136.47366,-16.68754,-97.7444,131.64586,5.21854,120.08701
271,-6.22705,-1.79462,2.03787,-1.49463,5.24372,-38.85232,-0.70025,-1.59001,2.20122,-0.44967,4.40361,-38.9402,-0.70024,-1.59001,2.20122,-0.44967,4.40361,-38.9402,8.37456,3.07521,-12.0495,-16.79974,6.70089,-33.58773,22.34899,3.71756,-13.31878,-4.09022,3.56058,-35.22095,-7.4909,3.41509,-28.43975,-3.26147,2.52465,-23.16064,-20.1262,-4.18103,-12.6149,-39.69491,0.35973,-13.27426,21.34416,8.42737,-23.44503,23.60041,-25.15784,6.87246,146.46162,-23.93231,-94.98202,134.69769,16.34649,120.22838,136.65346,-16.6523,-97.85991,132.16594,4.14409,120.00649
272,-6.49564,-1.83198,2.30469,-1.44623,5.05688,-38.86066,-0.62265,-1.58651,2.48002,-0.44466,4.25132,-38.94193,-0.62264,-1.58651,2.48002,-0.44466,4.25132,-38.94193,8.32674,3.05735,-12.22224,-16.81494,6.73796,-33.33201,22.42213,3.66121,-13.49735,-4.09075,3.57502,-34.96703,-7.45855,3.38613,-28.42699,-3.21562,2.56476,-23.10669,-20.13478,-4.15462,-12.43638,-39.71752,0.32495,-13.09766,21.53958,8.8864,-23.61922,23.59611,-25.19889,6.92987,146.25974,-24.36284,-95.1499,134.5955,16.38455,120.01353,136.81763,-16.72132,-97.92061,132.56439,3.40719,119.63082
273,-6.57021,-1.92016,2.61504,-1.44885,4.73001,-38.91058,-0.67451,-1.64132,2.7984,-0.44297,3.91925,-38.98643,-0.67451,-1.64132,2.7984,-0.44297,3.91925,-38.98643,8.22427,3.00714,-12.37637,-16.86229,6.79788,-33.18921,22.55484,3.62457,-13.67505,-4.05877,3.5895,-34.84151,-7.3385,3.35777,-28.40339,-3.18103,2.62102,-23.09248,-20.04646,-4.21832,-12.26931,-39.64202,0.20908,-12.96204,21.90058,9.30238,-23.69614,23.54559,-25.29791,6.83489,146.2475,-24.6841,-95.29167,134.55139,16.341,119.6446,136.95081,-16.83659,-98.03165,132.55635,3.47071,119.26967
274,-6.89846,-2.20508,2.92782,-1.50347,4.37165,-38.96672,-0.74394,-1.87838,3.1473,-0.47521,3.54087,-39.03767,-0.74394,-1.87838,3.1473,-0.47521,3.54088,-39.03767,8.09535,2.95011,-12.53483,-16.93664,6.8469,-33.11573,22.71218,3.60677,-13.86782,-3.96005,3.611,-34.8054,-7.16387,3.36175,-28.41461,-3.17443,2.69224,-23.14141,-19.766,-4.31535,-12.15811,-39.37002,0.08048,-12.89011,22.28116,9.69855,-23.64747,23.59304,-25.39646,6.75194,146.42305,-24.87232,-95.38266,134.58983,16.30191,119.00665,137.03621,-17.02061,-98.18063,132.10597,4.45107,118.82016
275,-7.56641,-2.60682,3.14968,-1.55721,4.15082,-38.9961,-0.78614,-2.21665,3.43533,-0.54123,3.32895,-39.06237,-0.78613,-2.21665,3.43533,-0.54123,3.32895,-39.06237,7.94701,2.92276,-12.63723,-17.0205,6.86987,-33.07008,22.89123,3.59146,-14.00891,-3.81969,3.62509,-34.80518,-6.97986,3.37038,-28.46622,-3.18376,2.77102,-23.22779,-19.36798,-4.39944,-12.10993,-38.97568,-0.01486,-12.87307,22.61324,10.09568,-23.53051,23.77954,-25.52418,6.74167,146.69585,-24.99025,-95.52574,134.63324,16.29565,117.9342,136.96051,-17.36487,-98.49718,131.49147,5.94667,118.026
276,-8.05389,-2.82959,3.23629,-1.54349,4.12284,-38.97657,-0.91053,-2.40514,3.56292,-0.6179,3.37471,-39.03709,-0.91053,-2.40514,3.56292,-0.6179,3.37471,-39.03709,7.76989,2.92314,-12.48471,-17.09646,6.87587,-33.08743,23.12591,3.56481,-13.89551,-3.69588,3.61028,-34.85875,-6.83466,3.3385,-28.51635,-3.19105,2.84111,-23.28253,-19.04488,-4.4822,-12.10792,-38.65275,-0.09349,-12.89896,22.95498,10.47969,-23.42061,24.03703,-25.73838,6.77471,146.99422,-25.1057,-95.88675,134.59802,16.31667,116.82991,136.70351,-17.95338,-99.15135,131.004,7.3707,117.16364
277,-8.02434,-2.81554,3.23204,-1.46751,4.18699,-38.91304,-1.20671,-2.41191,3.54331,-0.67601,3.54886,-38.96643,-1.20671,-2.41191,3.54331,-0.67601,3.54886,-38.96643,7.5482,2.91343,-12.05847,-17.1545,6.8788,-33.15574,23.44549,3.54055,-13.51661,-3.62992,3.56355,-34.9438,-6.7498,3.26586,-28.52225,-3.1904,2.88894,-23.25246,-18.90944,-4.57265,-12.13382,-38.51539,-0.17003,-12.95364,23.41716,10.82929,-23.34556,24.36055,-26.03572,6.85615,147.2572,-25.2436,-96.46358,134.55946,16.3963,116.12162,136.48018,-18.70648,-100.03869,130.68916,8.32586,116.61331
278,-7.85815,-2.83977,3.20052,-1.40347,4.21961,-38.86817,-1.60178,-2.47406,3.49083,-0.69567,3.64998,-38.91674,-1.60178,-2.47406,3.49083,-0.69567,3.64998,-38.91674,7.27289,2.86847,-11.63794,-17.18615,6.88894,-33.14952,23.83773,3.54752,-13.16797,-3.62961,3.50096,-34.93221,-6.68516,3.18031,-28.49647,-3.17045,2.91405,-23.15734,-18.87916,-4.61749,-12.1557,-38.48348,-0.20496,-12.98923,24.06183,11.14014,-23.305,24.81236,-26.37687,7.04981,147.46057,-25.40386,-97.16493,134.62651,16.59293,115.78777,136.54666,-19.38178,-100.92123,130.48625,8.72842,116.37074
279,-8.14347,-3.0139,3.17536,-1.40286,4.20012,-38.93678,-1.95392,-2.65401,3.48168,-0.67507,3.61293,-38.98637,-1.95392,-2.65401,3.48168,-0.67507,3.61293,-38.98637,6.94788,2.7923,-11.48058,-17.18383,6.91458,-32.99155,24.26587,3.59536,-13.11568,-3.68288,3.44528,-34.75054,-6.59551,3.11001,-28.48272,-3.11039,2.9228,-23.06533,-18.80958,-4.55615,-12.14083,-38.41497,-0.15215,-12.95468,24.85724,11.42931,-23.3127,25.35199,-26.76158,7.37117,147.68698,-25.59523,-98.0333,134.73523,16.91334,115.84321,136.88628,-19.8774,-101.85188,130.44034,8.76556,116.44885
