Unnamed: 0_level_0,L_MTP_ANGLE,L_MTP_ANGLE,L_MTP_ANGLE,R_MTP_ANGLE,R_MTP_ANGLE,R_MTP_ANGLE,L_ANKLE_ANGLE,L_ANKLE_ANGLE,L_ANKLE_ANGLE,R_ANKLE_ANGLE,R_ANKLE_ANGLE,R_ANKLE_ANGLE,L_KNEE_ANGLE,L_KNEE_ANGLE,L_KNEE_ANGLE,R_KNEE_ANGLE,R_KNEE_ANGLE,R_KNEE_ANGLE,L_HIP_ANGLE,L_HIP_ANGLE,L_HIP_ANGLE,R_HIP_ANGLE,R_HIP_ANGLE,R_HIP_ANGLE,L_SHOULDER_ANGLE,L_SHOULDER_ANGLE,L_SHOULDER_ANGLE,R_SHOULDER_ANGLE,R_SHOULDER_ANGLE,R_SHOULDER_ANGLE,L_ELBOW_ANGLE,L_ELBOW_ANGLE,L_ELBOW_ANGLE,R_ELBOW_ANGLE,R_ELBOW_ANGLE,R_ELBOW_ANGLE,L_WRIST_ANGLE,L_WRIST_ANGLE,L_WRIST_ANGLE,R_WRIST_ANGLE,R_WRIST_ANGLE,R_WRIST_ANGLE,NECK_ANGLE,NECK_ANGLE,NECK_ANGLE,NECK_ANGLE_SHADOW,NECK_ANGLE_SHADOW,NECK_ANGLE_SHADOW,Trunk_Joint_Angle,Trunk_Joint_Angle,Trunk_Joint_Angle
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
3205,-3.90962,0.0,-0.0,-0.58957,0.0,0.0,0.94611,-8.23129,8.30773,13.18877,9.39509,-5.28626,-18.79837,1.07721,0.00077,-10.91215,-1.65007,-0.00016,26.52976,6.00934,4.09989,2.78905,-5.23267,-12.09877,19.92175,13.92301,-3.78893,27.84671,-12.42131,20.67171,135.14211,0.00202,-86.57529,136.40569,0.00145,80.5626,2.21695,8.21783,0.00407,1.21212,3.08362,0.00026,-14.50132,-1.22382,5.93524,-36.34663,-3.34925,5.05283,4.4803,-4.29655,3.84124
3206,-3.70115,0.0,-0.0,-0.44573,0.0,-0.0,0.8239,-8.20736,8.2616,13.33591,9.20116,-5.13821,-19.01539,1.00003,0.00027,-10.62435,-1.43156,0.00037,26.52191,6.24138,4.43364,2.56334,-5.24052,-12.20452,19.92734,13.9374,-3.62728,27.8434,-12.41469,20.94114,135.21434,0.00139,-87.18956,136.52045,0.00126,80.30634,2.69127,8.13427,0.00748,1.02429,4.02029,0.00068,-13.90352,-1.01434,5.88819,-35.74597,-3.1373,5.08717,4.31878,-4.24972,3.84053
3207,-3.03473,0.0,-0.0,-0.31816,0.0,0.0,0.50791,-8.16757,8.04954,13.42322,8.89875,-4.77073,-19.14788,1.01634,-0.00021,-10.26602,-1.21049,0.00068,26.49507,6.40733,4.80534,2.30276,-5.26183,-12.53156,19.97053,14.04039,-3.60065,27.78441,-12.42795,21.23537,135.19635,8e-05,-87.22609,136.65683,0.00043,80.56808,3.16607,8.1169,0.0095,0.81477,4.6849,0.00075,-13.26317,-0.86307,5.89091,-35.10251,-2.99791,5.14605,4.18244,-4.22205,3.79072
3208,-2.43906,0.0,-0.0,-0.25389,0.0,-0.0,0.19282,-8.21106,7.82574,13.40546,8.61765,-4.40505,-19.28332,1.07765,-0.00026,-9.83865,-1.06687,0.00016,26.53857,6.56445,5.00925,2.03349,-5.17703,-12.96255,20.0243,14.10297,-4.02119,27.67427,-12.46044,21.48375,135.03731,-0.00086,-87.30499,136.7388,0.00043,81.50847,2.73353,8.33712,-0.00191,0.72956,4.90605,0.00036,-12.64101,-0.76005,5.90949,-34.47775,-2.90919,5.20169,4.10852,-4.13495,3.65299
3209,-2.30882,-0.0,0.0,-0.3485,0.0,0.0,0.04154,-8.4218,7.75291,13.32333,8.45439,-4.20782,-19.56319,1.08973,0.00025,-9.41452,-1.04805,-0.00052,26.72392,6.83435,4.93902,1.8025,-4.88453,-13.28098,20.11254,14.00753,-4.9868,27.4953,-12.49424,21.63523,134.77029,-0.00083,-87.46961,136.76718,0.00068,82.58841,0.71397,8.83554,-0.02763,0.98572,4.67217,-0.00256,-12.13566,-0.68023,5.89684,-33.97134,-2.83039,5.21966,4.10416,-3.90928,3.44177
3210,-2.73495,-0.0,-0.0,-0.6161,-0.0,0.0,0.06268,-8.79961,7.9213,13.26932,8.39427,-4.22053,-20.01652,1.01467,0.00079,-9.06745,-1.09873,-0.00049,27.04099,7.23654,4.65189,1.64875,-4.4417,-13.2855,20.27063,13.73833,-6.25641,27.28219,-12.51929,21.69742,134.49486,-0.00038,-87.41288,136.7708,0.00032,83.10013,-2.42436,9.4792,-0.03828,1.52344,4.13671,-0.00432,-11.73626,-0.60137,5.79854,-33.57384,-2.72062,5.15768,4.14623,-3.57116,3.2432
3211,-3.36624,0.0,0.0,-0.96491,0.0,0.0,0.08257,-9.15898,8.21375,13.27604,8.32516,-4.30778,-20.52463,0.90422,0.00054,-8.83606,-1.12058,-9e-05,27.42797,7.66349,4.32631,1.60151,-4.019,-13.03392,20.46328,13.36086,-7.36051,27.14371,-12.53028,21.74302,134.32756,-0.00087,-86.946,136.73862,-0.00045,82.88414,-5.06738,10.00982,-0.02051,1.97858,3.51896,-0.00148,-11.32721,-0.49527,5.54316,-33.1714,-2.52714,4.95991,4.21173,-3.22714,3.13526
3212,-3.6371,0.0,0.0,-1.25684,-0.0,-0.0,-0.09032,-9.22105,8.36048,13.29539,8.17035,-4.22191,-20.94625,0.82263,-5e-05,-8.72569,-1.07486,8e-05,27.80553,8.00613,4.13199,1.65621,-3.74513,-12.85837,20.60364,12.97889,-7.99754,27.12684,-12.52036,21.8228,134.29198,-0.00122,-86.23123,136.67319,-0.00062,82.31743,-6.00381,10.52472,0.00437,2.04294,3.02222,0.00174,-10.82005,-0.37079,5.1329,-32.67512,-2.25892,4.62517,4.28236,-2.96977,3.11433
3213,-3.56111,-0.0,0.0,-1.4454,0.0,0.0,-0.39516,-8.98444,8.3005,13.30537,8.00041,-3.92351,-21.23699,0.76186,-0.00013,-8.71102,-0.98893,4e-05,28.07685,8.24584,4.05117,1.7336,-3.62975,-12.93269,20.68103,12.68369,-8.30955,27.13301,-12.50812,21.90265,134.30881,-0.00019,-85.67023,136.63614,0.0002,81.78201,-5.55747,11.3907,0.02218,1.73076,2.8052,0.00099,-10.22732,-0.29967,4.69704,-32.09399,-2.03061,4.24687,4.30853,-2.82921,3.13173
3214,-3.76896,0.0,-0.0,-1.62643,0.0,-0.0,-0.59401,-8.80854,8.28746,13.34431,7.98429,-3.64183,-21.45197,0.67314,0.00019,-8.76102,-0.90755,1e-05,28.18668,8.43953,3.92068,1.74523,-3.59727,-13.05804,20.79513,12.49686,-8.61495,27.06296,-12.53372,21.93179,134.35289,0.00046,-85.3761,136.65927,0.00094,81.40535,-4.52907,12.26154,0.01144,1.27948,2.87694,-0.00142,-9.60412,-0.30889,4.38832,-31.47917,-1.92417,3.95677,4.22169,-2.77368,3.1791
3215,-4.45956,0.0,-0.0,-1.81982,0.0,0.0,-0.65345,-8.97416,8.47721,13.39206,8.25664,-3.50928,-21.6848,0.56962,0.00025,-8.8643,-0.858,5e-05,28.21974,8.66782,3.72847,1.72168,-3.56122,-13.01339,21.01322,12.35672,-8.96594,26.97069,-12.5948,21.95223,134.53621,-0.00114,-85.09039,136.67171,0.0008,81.20235,-3.0396,11.9717,-0.04094,0.91242,3.03,-0.00225,-8.9842,-0.31863,4.28076,-30.8621,-1.89314,3.85327,4.02823,-2.72106,3.29501
3216,-4.98985,-0.0,-0.0,-1.88716,0.0,0.0,-0.82895,-9.35119,8.63926,13.33306,8.75251,-3.39943,-22.00536,0.53642,-0.00038,-8.99298,-0.82798,8e-05,28.35484,8.98253,3.701,1.77633,-3.47126,-12.85094,21.27432,12.17689,-9.17565,26.98457,-12.63516,22.08156,134.92726,-0.00349,-84.68034,136.59682,-0.00011,81.12973,-1.11946,10.11569,-0.08285,0.64039,3.03084,-0.0016,-8.38572,-0.277,4.37581,-30.26069,-1.88992,3.95704,3.83482,-2.58257,3.47277
3217,-4.84338,0.0,0.0,-1.80581,0.0,-0.0,-1.31141,-9.62088,8.49632,13.11622,9.14394,-3.21459,-22.41054,0.60276,-0.00102,-9.0785,-0.78401,0.0001,28.67273,9.37371,3.96137,1.93818,-3.3098,-12.71503,21.47703,11.92841,-9.20204,27.1259,-12.6311,22.37774,135.36153,-0.00341,-84.3266,136.46695,-0.0012,81.13422,0.57614,8.03707,-0.05611,0.21145,2.82442,0.00068,-7.82175,-0.24893,4.60137,-29.69039,-1.9479,4.17694,3.7383,-2.33702,3.6304
3218,-4.22892,0.0,-0.0,-1.67398,-0.0,0.0,-1.9996,-9.63473,8.11309,12.82146,9.13712,-3.00307,-22.83335,0.67393,-0.00077,-9.08012,-0.75042,0.00011,29.07875,9.78538,4.32932,2.1223,-3.08138,-12.66711,21.57127,11.65906,-9.24097,27.28199,-12.61856,22.77644,135.60323,-0.00175,-84.2471,136.35539,-0.00129,81.40722,1.36745,7.32697,-0.01489,-0.58673,2.47191,0.00337,-7.30702,-0.30131,4.81047,-29.17054,-2.07439,4.3516,3.74807,-2.05735,3.71823
3219,-3.58747,0.0,-0.0,-1.49377,0.0,-0.0,-2.67265,-9.49125,7.78058,12.53198,8.8494,-2.7746,-23.22407,0.62531,0.00013,-9.04023,-0.81783,0.0001,29.43446,10.16588,4.55233,2.2518,-2.81958,-12.72721,21.5611,11.44262,-9.41339,27.35032,-12.60261,23.1711,135.64766,0.0009,-84.4312,136.24533,0.00063,82.24049,1.45015,7.91755,-0.00125,-1.53504,2.05827,0.00262,-6.87324,-0.40411,4.88588,-28.73604,-2.19787,4.38333,3.81724,-1.84284,3.77756
3220,-3.19756,0.0,0.0,-1.28302,0.0,-0.0,-3.21513,-9.42001,7.71784,12.2851,8.66245,-2.51694,-23.60219,0.42299,0.00088,-9.02473,-1.00108,0.00017,29.6877,10.4923,4.55635,2.31752,-2.60026,-12.8167,21.50419,11.31995,-9.58577,27.35612,-12.52797,23.49307,135.70421,0.00539,-84.76019,136.069,0.00312,83.52301,1.58734,8.54861,0.0005,-2.13495,1.77183,-0.00052,-6.53689,-0.47764,4.8401,-28.40205,-2.24906,4.3134,3.88354,-1.74363,3.86548
3221,-3.15703,0.0,-0.0,-1.17314,-0.0,-0.0,-3.6591,-9.5709,7.89906,12.11832,8.69775,-2.31186,-24.02166,0.14932,0.00083,-9.04254,-1.16157,0.00019,29.87556,10.76008,4.4577,2.33447,-2.5009,-12.75096,21.46813,11.28295,-9.54862,27.41428,-12.37276,23.69444,135.96228,0.00656,-85.03504,135.8434,0.00276,84.69487,2.10949,8.44114,-0.00317,-2.13961,1.89455,0.00059,-6.26366,-0.45807,4.77473,-28.13037,-2.20655,4.25998,3.8938,-1.7452,3.98186
3222,-3.256,-0.0,0.0,-1.21225,-0.0,-0.0,-4.13319,-9.79493,8.00868,12.04037,8.68222,-2.19011,-24.52169,-0.0664,-0.00013,-9.0646,-1.15917,0.00013,30.09988,10.99488,4.43759,2.33048,-2.49821,-12.50911,21.4557,11.29977,-9.26329,27.60876,-12.1934,23.72243,136.46251,-0.00404,-84.60052,135.65927,0.00026,85.02629,2.79763,7.70739,-0.00559,-1.72366,2.51135,0.00451,-6.01641,-0.33099,4.75559,-27.88188,-2.0815,4.28957,3.85099,-1.77442,4.07021
3223,-3.20594,-0.0,0.0,-1.41184,-0.0,0.0,-4.73255,-9.79316,7.72592,12.02759,8.39626,-2.05398,-25.10468,-0.17085,-0.00082,-9.10099,-1.01193,-2e-05,30.47113,11.25003,4.56624,2.36021,-2.4763,-12.30407,21.45935,11.3326,-8.94199,27.91932,-12.05617,23.5764,137.08356,-0.01703,-82.82016,135.5563,-0.00115,84.02682,3.39008,6.68311,-0.00343,-1.26541,3.28402,0.00436,-5.79745,-0.1759,4.74073,-27.6613,-1.93202,4.33357,3.81155,-1.74475,4.09571
