L_MTP_ANGLE,L_MTP_ANGLE,L_MTP_ANGLE,R_MTP_ANGLE,R_MTP_ANGLE,R_MTP_ANGLE,L_ANKLE_ANGLE,L_ANKLE_ANGLE,L_ANKLE_ANGLE,R_ANKLE_ANGLE,R_ANKLE_ANGLE,R_ANKLE_ANGLE,L_KNEE_ANGLE,L_KNEE_ANGLE,L_KNEE_ANGLE,R_KNEE_ANGLE,R_KNEE_ANGLE,R_KNEE_ANGLE,L_HIP_ANGLE,L_HIP_ANGLE,L_HIP_ANGLE,R_HIP_ANGLE,R_HIP_ANGLE,R_HIP_ANGLE,L_SHOULDER_ANGLE,L_SHOULDER_ANGLE,L_SHOULDER_ANGLE,R_SHOULDER_ANGLE,R_SHOULDER_ANGLE,R_SHOULDER_ANGLE,L_ELBOW_ANGLE,L_ELBOW_ANGLE,L_ELBOW_ANGLE,R_ELBOW_ANGLE,R_ELBOW_ANGLE,R_ELBOW_ANGLE,L_WRIST_ANGLE,L_WRIST_ANGLE,L_WRIST_ANGLE,R_WRIST_ANGLE,R_WRIST_ANGLE,R_WRIST_ANGLE,NECK_ANGLE,NECK_ANGLE,NECK_ANGLE,NECK_ANGLE_SHADOW,NECK_ANGLE_SHADOW,NECK_ANGLE_SHADOW,Trunk_Joint_Angle,Trunk_Joint_Angle,Trunk_Joint_Angle
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-7.335520000000001,0.0,0.0,-4.686860000000002,0.0,0.0,-6.099110000000001,-7.633070000000002,7.569730000000001,13.869720000000003,-0.15057,-22.678330000000003,-18.33888,-0.8387700000000001,0.00093,-18.03856,-3.3347700000000002,0.0004000000000000001,25.527899999999995,13.221200000000001,8.358160000000002,9.912140000000003,4.38498,-14.513180000000004,15.350010000000001,18.3914,-3.882700000000001,38.268530000000005,-11.785530000000001,30.251310000000007,127.62245000000003,0.0005700000000000001,-106.83827000000002,120.86077000000003,-0.0003300000000000001,105.17319000000002,-5.714860000000001,-11.95763,-0.008530000000000001,-3.9306600000000005,5.46436,-0.0021300000000000004,-7.744020000000002,-9.520030000000002,8.404560000000002,-30.879030000000004,-12.028510000000004,4.021050000000001,0.39028,-0.44615,6.841700000000002
-6.731241484286173,0.0,0.0,-3.8785218257665504,0.0,0.0,-5.648325659200471,-7.428788649865992,8.079727178546857,14.361040089785083,-0.4757878213260571,-22.929254291676916,-17.60667491618828,-0.4544659787744943,-1.0461896513107089e-05,-19.5279514573612,-3.389743678259847,-0.00154268564927056,24.88443343937501,12.578927850160515,8.631564071031121,10.492220724179296,4.058818098814493,-13.92103701155294,15.594018552086096,18.185335992539287,-4.002176023939587,38.91824769019156,-12.161898930660065,30.423610939453475,127.58382013928828,-0.0006917321495791399,-109.31372272154027,120.7191485708165,0.002330788471874941,107.43816898741792,-3.4029525444248647,-12.490882152159525,-0.0057470962340080735,-4.113361316103432,5.506004244112365,-0.0006827811005809364,-7.7281000347380795,-9.394525093408879,8.274968327648303,-30.856257710131175,-11.862870231696476,3.9512923931430715,0.612252373048289,-0.29255228696354046,6.505672890088942
-6.027557992591313,0.0,0.0,-2.8804159715938096,0.0,0.0,-5.02857784158999,-7.6249989604471144,8.553702154614834,14.87437701758868,-0.6527547125374397,-22.98958340611956,-17.372994123529626,-0.14573846518733477,-0.0018632035241424342,-20.994749878706205,-3.4075627981267282,-0.00011511498549422982,24.52875268061149,12.131566032991241,8.557244233119372,11.118905541362137,3.77942506275363,-13.464657820927776,16.078366099142833,18.064013039043246,-4.26107267928675,39.94985710811708,-12.610217365279238,31.035011622429977,127.50405474966257,0.0018603739356814317,-110.85375483282446,120.46834404971386,0.002590956012792799,109.43362991226199,-2.2413807216433046,-12.962848136746528,0.00025601357145121147,-4.695165191952578,5.699360830827662,0.001687013777438742,-7.863291427440995,-9.691068681655917,8.177641707442804,-31.018773228864518,-12.097833223266225,3.7419267004730066,0.932042960249739,0.1468667215139394,6.243564360501048
-4.770718178116187,0.0,0.0,-2.0491026999664177,0.0,0.0,-4.492827990630048,-8.061070305379893,8.628719781959424,15.471826563379583,-0.7048438074623163,-22.86608797974085,-17.82858595978089,0.026287904297517265,-0.0038620452426001294,-22.42384791697038,-3.5540627729078165,0.0010960975694922705,24.509654782837558,11.912053425871665,8.330431746461706,11.733592834754358,3.4884174876984493,-13.381921526934384,17.207893066144674,18.232684581291853,-4.763357027821691,41.579816567568855,-12.808446724999609,31.975556144459546,127.50448947339758,0.004964850469406847,-111.23203060926886,120.18583623457928,-0.0015274793140168568,109.27684997556233,-1.9149340282753957,-13.214343579858392,-0.0006783412557144631,-4.593364353036342,6.062127060066289,0.004181718579178999,-7.91012629097916,-9.996793067408888,8.355657792448055,-31.08712412158853,-12.447906238031441,3.7838624660232276,1.2162717754081402,0.555584196467713,6.0649070393613895
-4.066571695606162,0.0,0.0,-1.547896028079935,0.0,0.0,-4.1350759653496985,-8.441679864435278,8.322203788400493,15.977692352830687,-0.7730770755026654,-22.853960629395146,-19.333402040057237,-0.11815724545360015,-0.0018391339258278638,-23.648994677451764,-3.6914569112649827,0.0003414585369455359,24.901275753539814,11.963307145523594,8.022492593265564,12.12399245827324,3.119811388686632,-13.216482851500945,19.129176552587325,18.55983285202049,-5.636885274849084,43.624239193015754,-12.663475096111384,33.099961433199304,127.75093908862607,0.00013218742003564556,-110.08882653363897,119.94624837179387,-0.005153456474184604,106.81981190161767,-1.9674648252704645,-13.58939689053728,-0.0013752167402751806,-4.154041182113811,6.507322678914598,0.0026428999567820032,-7.841182585048704,-10.299546571495249,8.777656302750664,-31.033489781040984,-12.889749868568149,4.053085974615275,1.33709110357162,0.7426767325325745,5.980104159654152
-3.7070353565570406,0.0,0.0,-1.4253530631398084,0.0,0.0,-4.540853867419318,-8.414596001208622,7.512186229489248,16.255900176910153,-0.8667023732994728,-22.656075146240422,-22.313659357205534,-0.5721299883211233,0.0037737070556453953,-24.462408491880925,-3.7421981125986683,-0.0003578489763361728,26.03259012487256,12.359598140539937,7.91598431411534,12.190194832764337,2.6380304375702,-13.144796918560258,21.552419856278338,19.012963943323612,-6.838690203213191,45.858712963064065,-12.342134397189506,34.30408630423338,128.42919771790034,-0.010291370925737212,-107.01991272907156,119.57271523430323,-0.0011211698729572592,104.82259045356321,-2.960401512411722,-14.350608051289756,0.004760406978873944,-4.034766796298009,6.482561837516939,-0.0006333649657405941,-7.529341570903062,-10.826880273187587,9.250714250096053,-30.75677550590623,-13.557675481991943,4.278640847867204,1.25607141357781,0.8517922583785705,6.001074368000574
-3.5768065968842895,0.0,0.0,-1.9575618592298223,0.0,0.0,-6.6793297522532145,-8.440853769370069,5.95027023116228,16.558804188564213,-1.1088138729189447,-22.0779417635308,-26.9731900427566,-1.1110293669832516,0.009470500795159285,-24.91845104112023,-3.7082477823216853,-0.0005373302288218192,28.197738757308485,13.10901467923926,8.321305579935066,11.982795007613246,1.9577324437467267,-13.340465245723449,24.280201951162475,19.75849930457284,-8.074036271732323,48.24946134464549,-11.881710677916342,35.57455378696668,129.41059714425904,-0.006048413787624889,-103.50274153439764,118.97047947113914,0.007470537974240202,105.49866133528464,-4.937309404517433,-15.181819021501195,0.006589424503123688,-3.3408760882729487,6.075802038796684,-0.002400479224763622,-7.042055082579277,-11.464295807200216,9.598081610839916,-30.321402502574667,-14.277864411485016,4.341995048908806,1.0004800149280277,0.9537855316599041,6.135889031828745
-5.599437443757044,0.0,0.0,-3.0126176365224078,0.0,0.0,-10.835083624592215,-8.555092380253717,3.4631350405638193,17.048452483281274,-1.261678407706725,-21.585360917172277,-33.32212898777622,-1.5945535635236263,0.007195449291741289,-25.224026357302844,-3.6532243818505745,-0.0003685106633999523,31.528248892067566,14.117504204237123,8.769944396003405,11.638758815223945,1.1092171506754387,-13.32131343255092,27.539330769684778,20.687382041193647,-9.080238565942928,50.78937431700399,-11.378956301308536,36.91027438670067,130.4436625368884,0.001279175099522248,-100.81870100726246,118.29179519471833,0.00680466750230899,107.38679707619345,-6.678528119113898,-15.945569695393042,0.0013922169427471266,-1.8985094092945742,6.014964624401121,-0.00026169901040222764,-6.787658646186961,-11.992184009942596,9.962949758978917,-30.110113711892243,-14.904012747790407,4.4652628993740775,0.6116329071450062,0.9190982073611332,6.4903869341703455
-9.175778386728167,0.0,0.0,-3.777676836778262,0.0,0.0,-15.901682813092176,-7.6663362471445895,-0.11189488650884877,17.367621586931048,-1.0730119076014768,-21.286012130294633,-41.25203799536437,-1.8111295262361067,-0.009694135461398162,-25.60061127814338,-3.6938703287677894,0.0005805987254328188,35.9483313206502,15.06274813544939,8.901211156227513,11.391461863597016,0.032381136138857076,-13.016267455448288,31.597719621777074,21.69150698725721,-9.982029684358618,53.36956389242446,-11.052315515233484,38.171550751113685,131.38564596678097,-0.00042205927756212174,-98.34248573801356,117.942743609004,-0.0013288390158174633,109.14557523010056,-7.199473234252817,-16.604048968769256,-0.0037997905328159276,-1.233589721800531,6.581661842410671,-0.004421137415256325,-6.870141652213816,-12.207774447036488,10.23612691571657,-30.206846315201037,-15.207757988854727,4.630843371304721,0.1027504554590914,0.5546655043887715,7.135058517966169
