Unnamed: 0_level_0,Head_AngMom_wrt_LAB,Head_AngMom_wrt_LAB,Head_AngMom_wrt_LAB,Head_Shadow_AngMom_wrt_LAB,Head_Shadow_AngMom_wrt_LAB,Head_Shadow_AngMom_wrt_LAB,Trunk_AngMom_wrt_LAB,Trunk_AngMom_wrt_LAB,Trunk_AngMom_wrt_LAB,R_UA_AngMom_wrt_LAB,R_UA_AngMom_wrt_LAB,R_UA_AngMom_wrt_LAB,R_FA_AngMom_wrt_LAB,R_FA_AngMom_wrt_LAB,R_FA_AngMom_wrt_LAB,R_Hand_AngMom_wrt_LAB,R_Hand_AngMom_wrt_LAB,R_Hand_AngMom_wrt_LAB,L_UA_AngMom_wrt_LAB,L_UA_AngMom_wrt_LAB,L_UA_AngMom_wrt_LAB,L_FA_AngMom_wrt_LAB,L_FA_AngMom_wrt_LAB,L_FA_AngMom_wrt_LAB,L_Hand_AngMom_wrt_LAB,L_Hand_AngMom_wrt_LAB,L_Hand_AngMom_wrt_LAB,Pelvis_AngMom_wrt_LAB,Pelvis_AngMom_wrt_LAB,Pelvis_AngMom_wrt_LAB,R_Thigh_AngMom_wrt_LAB,R_Thigh_AngMom_wrt_LAB,R_Thigh_AngMom_wrt_LAB,R_Shank_AngMom_wrt_LAB,R_Shank_AngMom_wrt_LAB,R_Shank_AngMom_wrt_LAB,R_Foot_AngMom_wrt_LAB,R_Foot_AngMom_wrt_LAB,R_Foot_AngMom_wrt_LAB,R_Foot_Shadow_AngMom_wrt_LAB,R_Foot_Shadow_AngMom_wrt_LAB,R_Foot_Shadow_AngMom_wrt_LAB,R_Toes_AngMom_wrt_LAB,R_Toes_AngMom_wrt_LAB,R_Toes_AngMom_wrt_LAB,L_Thigh_AngMom_wrt_LAB,L_Thigh_AngMom_wrt_LAB,L_Thigh_AngMom_wrt_LAB,L_Shank_AngMom_wrt_LAB,L_Shank_AngMom_wrt_LAB,L_Shank_AngMom_wrt_LAB,L_Foot_AngMom_wrt_LAB,L_Foot_AngMom_wrt_LAB,L_Foot_AngMom_wrt_LAB,L_Foot_Shadow_AngMom_wrt_LAB,L_Foot_Shadow_AngMom_wrt_LAB,L_Foot_Shadow_AngMom_wrt_LAB,L_Toes_AngMom_wrt_LAB,L_Toes_AngMom_wrt_LAB,L_Toes_AngMom_wrt_LAB,FullBody_AngMom,FullBody_AngMom,FullBody_AngMom
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1364,0.00016,-5e-05,-0.00011,0.00874,-0.00269,-0.0058,0.15359,0.08161,-0.02206,0.01121,-0.00845,0.00424,0.00412,-0.00122,0.00328,0.00012,-0.00094,0.00141,0.01899,-0.00292,-0.00295,0.00768,-0.00218,-0.00301,0.00242,-0.00062,-0.00031,0.01004,0.00422,-0.00272,0.05168,-0.05583,-0.00544,-0.00417,0.01014,0.00014,-2e-05,-0.0009,0.00058,-2e-05,-0.0009,0.00058,-0.0,-1e-05,0.0,0.20885,-0.13059,-0.03503,-0.0169,0.01894,0.00319,-0.00681,0.00369,-0.00136,-0.00681,0.00369,-0.00136,-1e-05,1e-05,-1e-05,3.74974,0.0456,-0.47348
1365,5e-05,-4e-05,-0.00011,0.00292,-0.00181,-0.00618,0.15611,0.08574,-0.03871,0.01191,-0.00975,0.00428,0.00433,-0.00205,0.00291,0.00043,-0.00121,0.00113,0.02019,-0.00273,-0.00292,0.00782,-0.00261,-0.00447,0.00239,-0.00097,-0.00094,0.01033,0.00562,-0.00408,0.04634,-0.05257,-0.018,-0.00409,0.00957,-0.00157,3e-05,-0.0007,0.00061,3e-05,-0.0007,0.00061,-0.0,-1e-05,0.0,0.24844,-0.15049,-0.0443,-0.01888,0.0221,0.00309,-0.00924,0.00462,-0.00173,-0.00924,0.00462,-0.00173,-2e-05,1e-05,-1e-05,4.2048,-0.04019,-0.61375
1366,-5e-05,0.0,-0.00014,-0.00225,0.00085,-0.00756,0.15712,0.08868,-0.0432,0.01273,-0.01131,0.00466,0.00473,-0.00344,0.00261,0.00083,-0.00134,0.00052,0.02134,-0.00252,-0.00326,0.00844,-0.00282,-0.00594,0.00241,-0.00126,-0.00145,0.01116,0.00641,-0.00525,0.03654,-0.04855,-0.02616,-0.00423,0.00913,-0.00267,0.00013,-0.00038,0.00063,0.00013,-0.00038,0.00063,0.0,-1e-05,0.0,0.29652,-0.17227,-0.04951,-0.02181,0.02399,0.00354,-0.01186,0.00575,-0.00182,-0.01186,0.00575,-0.00182,-2e-05,1e-05,-1e-05,4.72371,-0.12461,-0.74931
1367,-9e-05,7e-05,-0.00018,-0.00488,0.00409,-0.00959,0.15789,0.08895,-0.03406,0.01364,-0.01299,0.00532,0.0053,-0.00506,0.00265,0.00119,-0.00127,-0.0002,0.02232,-0.0024,-0.00404,0.00944,-0.00287,-0.00739,0.00244,-0.00149,-0.00181,0.0125,0.00659,-0.00585,0.02228,-0.0456,-0.0279,-0.00417,0.00911,-0.00303,0.00022,-1e-05,0.0006,0.00022,-1e-05,0.0006,0.0,-0.0,0.0,0.35246,-0.1965,-0.04862,-0.02566,0.02399,0.00477,-0.01452,0.00709,-0.00156,-0.01452,0.00709,-0.00156,-3e-05,1e-05,-1e-05,5.29211,-0.20329,-0.86735
1368,-7e-05,0.00011,-0.0002,-0.00387,0.00607,-0.01109,0.16182,0.08787,-0.01221,0.01443,-0.01469,0.00602,0.00586,-0.00661,0.00315,0.00138,-0.00109,-0.00079,0.02313,-0.00258,-0.00519,0.01071,-0.00291,-0.00866,0.00244,-0.00159,-0.00201,0.0142,0.00661,-0.00571,0.006,-0.04469,-0.02471,-0.00372,0.00962,-0.00291,0.00021,0.00034,0.00054,0.00021,0.00034,0.00054,1e-05,-0.0,0.0,0.41365,-0.22292,-0.0409,-0.03013,0.02202,0.00684,-0.01711,0.00855,-0.00096,-0.01711,0.00855,-0.00096,-4e-05,2e-05,-0.0,5.8964,-0.27913,-0.95686
1369,2e-05,0.00012,-0.00019,0.00062,0.00575,-0.01074,0.17143,0.09021,0.01888,0.01484,-0.01635,0.0065,0.00622,-0.00798,0.00394,0.00143,-0.00093,-0.00112,0.0238,-0.00321,-0.0065,0.01211,-0.00315,-0.00953,0.00237,-0.00139,-0.00201,0.01625,0.00691,-0.00491,-0.00875,-0.04627,-0.01954,-0.00294,0.01058,-0.00265,8e-05,0.00062,0.00051,8e-05,0.00062,0.00051,0.0,0.0,0.0,0.47608,-0.25018,-0.02859,-0.03485,0.0188,0.00943,-0.01946,0.01,-0.00011,-0.01946,0.01,-0.00011,-5e-05,3e-05,-0.0,6.51862,-0.35955,-1.01246
1370,0.00014,9e-05,-0.00014,0.00705,0.00379,-0.00806,0.18605,0.10142,0.05193,0.01479,-0.01788,0.00662,0.00625,-0.00907,0.00484,0.0014,-0.00089,-0.00114,0.02439,-0.00416,-0.00764,0.0134,-0.00363,-0.01,0.00223,-0.00087,-0.0019,0.01861,0.00767,-0.00376,-0.01936,-0.05096,-0.01466,-0.00203,0.01177,-0.00243,-0.00013,0.00077,0.00055,-0.00013,0.00077,0.00055,0.0,0.0,0.0,0.53629,-0.27704,-0.01639,-0.03961,0.01562,0.012,-0.02134,0.01122,0.00086,-0.02134,0.01122,0.00086,-7e-05,4e-05,0.0,7.13715,-0.44534,-1.03922
1371,0.00026,7e-05,-7e-05,0.01293,0.00208,-0.00391,0.20224,0.12389,0.07644,0.01443,-0.01908,0.00637,0.00599,-0.00962,0.00582,0.00131,-0.00097,-0.00077,0.02491,-0.00513,-0.00838,0.01424,-0.00424,-0.01035,0.00209,-0.00022,-0.00189,0.02104,0.00892,-0.00262,-0.02499,-0.05973,-0.01052,-0.00121,0.01299,-0.00223,-0.00035,0.00076,0.00063,-0.00035,0.00076,0.00063,-0.0,0.0,0.0,0.59331,-0.30313,-0.00934,-0.0446,0.01387,0.01405,-0.02241,0.01194,0.00185,-0.02241,0.01194,0.00185,-9e-05,5e-05,1e-05,7.73488,-0.52608,-1.05449
1372,0.00032,8e-05,1e-05,0.01575,0.00228,3e-05,0.21542,0.15501,0.08293,0.01401,-0.01973,0.00586,0.00558,-0.00941,0.00684,0.00115,-0.00111,-4e-05,0.02538,-0.0058,-0.00864,0.01443,-0.00471,-0.01089,0.00204,0.00029,-0.00219,0.02315,0.01057,-0.00181,-0.02603,-0.07264,-0.00671,-0.00063,0.01404,-0.00189,-0.00046,0.00056,0.00065,-0.00046,0.00056,0.00065,-1e-05,0.0,0.0,0.64885,-0.32879,-0.01041,-0.05043,0.01433,0.01541,-0.02225,0.01199,0.00271,-0.02225,0.01199,0.00271,-0.00011,5e-05,1e-05,8.31099,-0.59171,-1.08219
1373,0.00029,0.00014,5e-05,0.0142,0.00464,0.00215,0.22092,0.18784,0.06869,0.01374,-0.01982,0.00521,0.00519,-0.00844,0.00783,0.00096,-0.00124,0.00096,0.02574,-0.00596,-0.00849,0.01396,-0.00483,-0.01177,0.00212,0.00047,-0.00288,0.02476,0.01225,-0.00149,-0.02317,-0.08776,-0.00389,-0.00052,0.01477,-0.00146,-0.00041,0.00027,0.00051,-0.00041,0.00027,0.00051,-1e-05,0.0,0.0,0.70496,-0.35466,-0.01921,-0.05762,0.01697,0.01621,-0.02061,0.0114,0.00339,-0.02061,0.0114,0.00339,-0.00012,6e-05,1e-05,8.88347,-0.65089,-1.1405
1374,0.0002,0.0002,4e-05,0.00892,0.00814,0.00163,0.21513,0.2137,0.04074,0.01374,-0.0197,0.00444,0.00481,-0.00706,0.00865,0.00086,-0.00133,0.00201,0.02596,-0.00558,-0.00796,0.01295,-0.00454,-0.01289,0.00229,0.00028,-0.00386,0.02611,0.01335,-0.00162,-0.01694,-0.10147,-0.00367,-0.00116,0.01506,-0.00107,-0.00024,6e-05,0.00018,-0.00024,6e-05,0.00018,-0.0,0.0,0.0,0.76125,-0.38118,-0.03264,-0.06599,0.02127,0.01678,-0.01764,0.01039,0.00401,-0.01764,0.01039,0.00401,-0.00012,6e-05,2e-05,9.47184,-0.73354,-1.23036
1375,7e-05,0.00026,-1e-05,0.0023,0.01141,-0.00103,0.19811,0.22562,0.01312,0.01395,-0.01995,0.00352,0.00444,-0.00584,0.00907,0.00097,-0.00141,0.00284,0.02619,-0.00476,-0.00703,0.01169,-0.00392,-0.01395,0.00245,-0.00016,-0.00487,0.02746,0.01325,-0.0019,-0.00811,-0.11001,-0.00701,-0.00277,0.01492,-0.00085,-3e-05,9e-05,-0.00026,-3e-05,9e-05,-0.00026,-0.0,0.0,-0.0,0.81509,-0.40795,-0.04681,-0.07459,0.02659,0.01734,-0.01383,0.00922,0.00478,-0.01383,0.00922,0.00478,-0.0001,6e-05,2e-05,10.07324,-0.86612,-1.33184
1376,-3e-05,0.0003,-7e-05,-0.00275,0.01375,-0.00414,0.17643,0.2211,0.00039,0.01424,-0.02099,0.00242,0.00409,-0.00543,0.00886,0.00129,-0.00155,0.00317,0.02665,-0.00361,-0.00572,0.01055,-0.00309,-0.01457,0.0025,-0.00066,-0.00558,0.02877,0.01174,-0.00168,0.00148,-0.11092,-0.0134,-0.00524,0.01446,-0.0008,0.00011,0.00041,-0.0007,0.00011,0.00041,-0.0007,0.0,0.0,-0.0,0.86337,-0.43363,-0.05842,-0.08214,0.03218,0.01793,-0.00984,0.00813,0.00582,-0.00984,0.00813,0.00582,-7e-05,4e-05,2e-05,10.65689,-1.03901,-1.41067
