Unnamed: 0_level_0,RTOES_DIST,RTOES_DIST,RTOES_DIST,LTOES_DIST,LTOES_DIST,LTOES_DIST,RTOES_PROX,RTOES_PROX,RTOES_PROX,LTOES_PROX,LTOES_PROX,LTOES_PROX,RFTS_DIST,RFTS_DIST,RFTS_DIST,LFTS_DIST,LFTS_DIST,LFTS_DIST,RFTS_PROX,RFTS_PROX,RFTS_PROX,LFTS_PROX,LFTS_PROX,LFTS_PROX
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2868,0.23171,0.29366,0.01342,0.11274,0.77399,0.00881,0.18363,0.28287,0.01606,0.09403,0.72969,0.01988,0.19489,0.26426,0.02412,0.09007,0.73793,0.02824,0.01303,0.22353,0.02457,0.0144,0.55696,0.0358
2869,0.23169,0.29396,0.01346,0.11274,0.77399,0.0089,0.18361,0.28312,0.01607,0.09404,0.72966,0.01988,0.1949,0.26452,0.02412,0.09007,0.73789,0.02825,0.01309,0.22359,0.02472,0.01446,0.55688,0.0355
2870,0.2317,0.29409,0.01336,0.11279,0.77393,0.00895,0.18363,0.28322,0.01596,0.09405,0.72959,0.01982,0.19494,0.26463,0.02402,0.09009,0.73781,0.0282,0.01316,0.22358,0.02484,0.01433,0.55686,0.03531
2871,0.23175,0.29406,0.01313,0.11291,0.77381,0.00895,0.18369,0.28317,0.0157,0.09407,0.72946,0.01957,0.19502,0.26461,0.02379,0.09015,0.73769,0.02795,0.01326,0.22346,0.02491,0.01396,0.55692,0.03528
2872,0.23186,0.2939,0.01278,0.1131,0.77364,0.00887,0.18379,0.283,0.01528,0.09409,0.72926,0.01907,0.19514,0.26447,0.02342,0.09023,0.73752,0.02744,0.01339,0.22327,0.02491,0.0134,0.55706,0.03552
2873,0.23202,0.29362,0.0123,0.11335,0.77344,0.00867,0.18395,0.28273,0.01474,0.09413,0.72904,0.01839,0.1953,0.26423,0.02294,0.09035,0.73736,0.02674,0.01356,0.22303,0.02481,0.01276,0.55729,0.03611
2874,0.23221,0.29327,0.0117,0.11363,0.77326,0.00832,0.18413,0.2824,0.01413,0.09422,0.72887,0.01768,0.19549,0.26392,0.02237,0.09051,0.73728,0.02599,0.01374,0.22278,0.02463,0.01219,0.55762,0.03715
2875,0.2324,0.29288,0.01101,0.11389,0.77318,0.00784,0.18432,0.28204,0.0135,0.09433,0.72882,0.01705,0.19568,0.26357,0.02175,0.09071,0.73732,0.0253,0.01391,0.22256,0.02441,0.01184,0.55807,0.03877
2876,0.23256,0.29248,0.0103,0.11408,0.77323,0.00723,0.18447,0.28169,0.01291,0.09446,0.72892,0.01656,0.19584,0.2632,0.0211,0.09092,0.73754,0.02473,0.01403,0.22238,0.02421,0.01183,0.55863,0.04111
