Unnamed: 0_level_0,FullBody_CoG_pos,FullBody_CoG_pos,FullBody_CoG_pos,L_Hand_CoG_pos,L_Hand_CoG_pos,L_Hand_CoG_pos,R_Hand_CoG_pos,R_Hand_CoG_pos,R_Hand_CoG_pos,L_Forearm_CoG_pos,L_Forearm_CoG_pos,L_Forearm_CoG_pos,R_Forearm_CoG_pos,R_Forearm_CoG_pos,R_Forearm_CoG_pos,L_UpperArm_CoG_pos,L_UpperArm_CoG_pos,L_UpperArm_CoG_pos,R_UpperArm_CoG_pos,R_UpperArm_CoG_pos,R_UpperArm_CoG_pos,Head_Shadow_CoG_pos,Head_Shadow_CoG_pos,Head_Shadow_CoG_pos,Head_CoG_pos,Head_CoG_pos,Head_CoG_pos,Trunk_CoG_pos,Trunk_CoG_pos,Trunk_CoG_pos,Pelvis_CoG_pos,Pelvis_CoG_pos,Pelvis_CoG_pos,L_Thigh_CoG_pos,L_Thigh_CoG_pos,L_Thigh_CoG_pos,R_Thigh_CoG_pos,R_Thigh_CoG_pos,R_Thigh_CoG_pos,L_Shank_CoG_pos,L_Shank_CoG_pos,L_Shank_CoG_pos,R_Shank_CoG_pos,R_Shank_CoG_pos,R_Shank_CoG_pos,L_Foot_CoG_pos,L_Foot_CoG_pos,L_Foot_CoG_pos,R_Foot_CoG_pos,R_Foot_CoG_pos,R_Foot_CoG_pos,L_Foot_Shadow_CoG_pos,L_Foot_Shadow_CoG_pos,L_Foot_Shadow_CoG_pos,R_Foot_Shadow_CoG_pos,R_Foot_Shadow_CoG_pos,R_Foot_Shadow_CoG_pos
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1364,0.10061,0.33684,0.98909,0.1191,0.61809,1.49149,0.33009,0.47226,1.50285,0.0017,0.56405,1.32481,0.36779,0.33181,1.34457,-0.05789,0.4781,1.33134,0.31856,0.21441,1.34597,0.14069,0.37823,1.63041,0.1144,0.32823,1.61439,0.09002,0.28792,1.24564,0.07026,0.28141,0.93008,0.03917,0.4426,0.73975,0.16344,0.25399,0.72506,0.04763,0.56076,0.33242,0.12362,0.26536,0.30501,0.03985,0.62147,0.03283,0.1086,0.24334,0.02172,0.04361,0.63439,0.03166,0.12748,0.24034,0.02115
1365,0.1012,0.33655,0.98915,0.12013,0.61559,1.49499,0.32986,0.47153,1.50446,0.00315,0.56374,1.32731,0.36883,0.33176,1.34587,-0.05661,0.47778,1.33268,0.31968,0.21406,1.34624,0.14159,0.37653,1.62978,0.11523,0.32659,1.61367,0.09037,0.28687,1.24526,0.07036,0.28104,0.92978,0.04024,0.44365,0.74051,0.16381,0.25395,0.72456,0.04919,0.5629,0.3343,0.12412,0.26562,0.30474,0.03995,0.62181,0.03406,0.1087,0.24339,0.02168,0.04374,0.6347,0.0327,0.12758,0.24041,0.02115
1366,0.10186,0.3363,0.98931,0.1211,0.6126,1.49872,0.32972,0.47061,1.50633,0.00456,0.56325,1.32997,0.36996,0.33166,1.34733,-0.05535,0.4774,1.33409,0.32091,0.21365,1.34661,0.14255,0.37475,1.62911,0.1161,0.32486,1.613,0.09074,0.28578,1.24491,0.07052,0.28072,0.92957,0.04151,0.44501,0.74154,0.16418,0.25389,0.72411,0.05104,0.5656,0.3367,0.12462,0.2658,0.30451,0.04016,0.62224,0.03563,0.10877,0.24342,0.02165,0.04397,0.6351,0.03402,0.12765,0.24046,0.02114
1367,0.10255,0.33612,0.98959,0.12207,0.60908,1.5026,0.32966,0.46953,1.50857,0.00597,0.56261,1.33274,0.37111,0.33158,1.34901,-0.05412,0.47704,1.33554,0.32226,0.21323,1.34711,0.14359,0.37289,1.62844,0.11702,0.32305,1.61238,0.09111,0.28466,1.24457,0.07068,0.2805,0.92946,0.04296,0.44677,0.7429,0.16452,0.25382,0.72371,0.05322,0.56896,0.33971,0.12506,0.26586,0.3043,0.04051,0.62285,0.03761,0.10875,0.24341,0.02163,0.04434,0.63566,0.03569,0.12764,0.24047,0.02112
1368,0.10328,0.33604,0.98999,0.1231,0.60505,1.50659,0.3296,0.46834,1.51119,0.00745,0.56182,1.33559,0.37222,0.33158,1.35095,-0.05287,0.47674,1.33701,0.32373,0.21288,1.34777,0.14469,0.37099,1.62781,0.11796,0.3212,1.61184,0.09147,0.28352,1.24423,0.07084,0.2804,0.92943,0.04453,0.44899,0.7446,0.16483,0.25379,0.72337,0.05574,0.57306,0.3434,0.12545,0.26582,0.30413,0.04104,0.62365,0.0401,0.10862,0.24335,0.02161,0.04486,0.6364,0.03779,0.1275,0.24042,0.02109
1369,0.10404,0.33607,0.99052,0.1243,0.60053,1.51066,0.32944,0.4671,1.51413,0.00911,0.56087,1.33854,0.37329,0.33166,1.35315,-0.05154,0.47651,1.33853,0.32533,0.21263,1.34861,0.14579,0.36904,1.62724,0.11889,0.31933,1.61134,0.09183,0.28238,1.2439,0.07096,0.28041,0.92948,0.04617,0.45167,0.74671,0.16512,0.2538,0.72306,0.05859,0.57792,0.34785,0.12578,0.2657,0.30398,0.04179,0.62466,0.04318,0.10836,0.24322,0.0216,0.04559,0.63734,0.04044,0.12724,0.24031,0.02105
1370,0.10483,0.33621,0.99119,0.12574,0.59563,1.51477,0.32908,0.46584,1.51723,0.01095,0.55979,1.34163,0.37434,0.33179,1.35557,-0.05006,0.47634,1.34013,0.32708,0.21247,1.34961,0.14683,0.36706,1.62675,0.11979,0.31744,1.61083,0.09221,0.28124,1.24358,0.07106,0.28051,0.92961,0.04785,0.45478,0.74923,0.16542,0.25387,0.72278,0.06176,0.58347,0.35311,0.1261,0.26555,0.30383,0.04279,0.62583,0.04696,0.10802,0.24306,0.02158,0.04653,0.6384,0.04373,0.1269,0.24016,0.021
1371,0.10565,0.33644,0.992,0.12744,0.59044,1.51888,0.32845,0.46456,1.52034,0.01292,0.55858,1.34489,0.3754,0.33192,1.35811,-0.04846,0.4762,1.34183,0.32897,0.21235,1.35074,0.14777,0.36505,1.62631,0.12063,0.3155,1.61029,0.09263,0.28008,1.24328,0.07115,0.28066,0.9298,0.04957,0.45822,0.75217,0.16575,0.25401,0.72249,0.06521,0.58957,0.3592,0.12645,0.26543,0.30369,0.04401,0.62707,0.05157,0.10766,0.24288,0.02157,0.04765,0.63952,0.04782,0.12655,0.24,0.02097
1372,0.10651,0.3367,0.99294,0.12934,0.58505,1.52297,0.32755,0.46324,1.52331,0.01493,0.55731,1.34831,0.37653,0.33197,1.36066,-0.04679,0.47608,1.34363,0.331,0.21222,1.35191,0.14858,0.36298,1.62586,0.12143,0.31349,1.60968,0.09308,0.27887,1.24304,0.0712,0.28083,0.93004,0.05132,0.46194,0.75555,0.1661,0.2542,0.72219,0.06886,0.59609,0.36617,0.12689,0.26535,0.30354,0.04541,0.62831,0.05715,0.10735,0.24271,0.02156,0.04893,0.64063,0.05287,0.12625,0.23985,0.02095
1373,0.10738,0.33698,0.994,0.13132,0.57943,1.52701,0.32643,0.46182,1.52605,0.01689,0.55599,1.35182,0.37776,0.33188,1.36313,-0.04514,0.47595,1.3455,0.33313,0.212,1.35301,0.14929,0.36084,1.62535,0.12216,0.31139,1.60902,0.09355,0.2776,1.24285,0.07119,0.28099,0.9303,0.05309,0.46587,0.75934,0.16648,0.25442,0.72184,0.07266,0.60288,0.37405,0.12744,0.26533,0.30338,0.0469,0.62954,0.06388,0.10716,0.24258,0.02157,0.05028,0.64172,0.05909,0.12605,0.23973,0.02097
1374,0.10823,0.33725,0.99517,0.13328,0.57354,1.53097,0.32517,0.46022,1.52855,0.01871,0.55462,1.35536,0.3791,0.3316,1.36546,-0.04357,0.47578,1.34742,0.33531,0.21164,1.35397,0.14993,0.35861,1.62472,0.12282,0.30918,1.6083,0.09398,0.27625,1.24269,0.07109,0.28113,0.93055,0.05491,0.46998,0.76354,0.16684,0.25468,0.72145,0.07656,0.60982,0.3829,0.1281,0.26537,0.30319,0.0484,0.63078,0.07188,0.10708,0.2425,0.0216,0.05162,0.64281,0.06665,0.12598,0.23966,0.021
1375,0.10906,0.33751,0.99642,0.13511,0.56731,1.53483,0.32386,0.45838,1.53088,0.02039,0.55317,1.35884,0.38056,0.33111,1.36766,-0.0421,0.47548,1.34934,0.33749,0.21114,1.35477,0.15053,0.35625,1.62395,0.12341,0.30683,1.60753,0.09433,0.27481,1.24249,0.0709,0.28124,0.93077,0.0568,0.47425,0.76812,0.16718,0.25497,0.72101,0.08057,0.61682,0.39278,0.12885,0.26548,0.30298,0.04982,0.63207,0.08127,0.1071,0.24248,0.02164,0.05288,0.64398,0.07568,0.126,0.23964,0.02104
1376,0.10985,0.33775,0.99772,0.13672,0.5608,1.53858,0.32257,0.45627,1.53316,0.02189,0.55158,1.36224,0.38209,0.33044,1.36979,-0.04076,0.47498,1.35124,0.3396,0.21048,1.35544,0.15109,0.35377,1.62303,0.1239,0.30436,1.6067,0.09455,0.27328,1.24219,0.07066,0.28137,0.93094,0.05879,0.47867,0.77307,0.16752,0.25535,0.72053,0.08467,0.62379,0.40368,0.12967,0.26569,0.30278,0.05113,0.63345,0.09205,0.10717,0.2425,0.02168,0.05402,0.64527,0.08619,0.12607,0.23965,0.02107
1377,0.11061,0.33799,0.99905,0.13807,0.55416,1.54218,0.32131,0.45393,1.53547,0.02323,0.54987,1.36554,0.38363,0.32964,1.37191,-0.03952,0.47425,1.3531,0.34161,0.20969,1.35607,0.15162,0.3512,1.62198,0.12432,0.3018,1.60578,0.09466,0.27171,1.24173,0.07043,0.28156,0.93104,0.0609,0.4832,0.77833,0.16788,0.25588,0.72004,0.08882,0.6307,0.41557,0.13051,0.26601,0.30258,0.05231,0.63493,0.10418,0.10725,0.24255,0.02172,0.05501,0.64671,0.09814,0.12614,0.23968,0.02108
1378,0.11137,0.3383,1.00039,0.1392,0.54761,1.54564,0.32005,0.45149,1.53781,0.02442,0.54809,1.36878,0.38514,0.32876,1.3741,-0.03836,0.47336,1.35492,0.34351,0.20881,1.35673,0.15212,0.34858,1.6208,0.12471,0.2992,1.60474,0.09471,0.27017,1.24107,0.07025,0.28185,0.93107,0.06308,0.48782,0.78389,0.16831,0.25663,0.71954,0.09296,0.63754,0.42839,0.13136,0.26649,0.3024,0.05334,0.63655,0.11754,0.1073,0.24261,0.02175,0.05584,0.64831,0.11137,0.12619,0.2397,0.02106
1379,0.11215,0.33872,1.00176,0.14021,0.54133,1.54893,0.31875,0.4491,1.5401,0.02553,0.54637,1.37199,0.3866,0.32784,1.37637,-0.03725,0.47243,1.35674,0.34535,0.2079,1.35747,0.15261,0.34598,1.61953,0.12512,0.29661,1.60357,0.09477,0.26871,1.24024,0.07017,0.28233,0.93105,0.06527,0.49253,0.7897,0.16884,0.25766,0.71901,0.09702,0.64434,0.44205,0.13219,0.26714,0.30221,0.05425,0.63837,0.13198,0.10733,0.24265,0.02176,0.05653,0.65014,0.12575,0.1262,0.23971,0.02102
