Unnamed: 0_level_0,FullBody_CoG_vel,FullBody_CoG_vel,FullBody_CoG_vel,L_Hand_CoG_vel,L_Hand_CoG_vel,L_Hand_CoG_vel,R_Hand_CoG_vel,R_Hand_CoG_vel,R_Hand_CoG_vel,L_Forearm_CoG_vel,L_Forearm_CoG_vel,L_Forearm_CoG_vel,R_Forearm_CoG_vel,R_Forearm_CoG_vel,R_Forearm_CoG_vel,L_UpperArm_CoG_vel,L_UpperArm_CoG_vel,L_UpperArm_CoG_vel,R_UpperArm_CoG_vel,R_UpperArm_CoG_vel,R_UpperArm_CoG_vel,Head_CoG_vel,Head_CoG_vel,Head_CoG_vel,Head_Shadow_CoG_vel,Head_Shadow_CoG_vel,Head_Shadow_CoG_vel,Trunk_CoG_vel,Trunk_CoG_vel,Trunk_CoG_vel,Pelvis_CoG_vel,Pelvis_CoG_vel,Pelvis_CoG_vel,L_Thigh_CoG_vel,L_Thigh_CoG_vel,L_Thigh_CoG_vel,R_Thigh_CoG_vel,R_Thigh_CoG_vel,R_Thigh_CoG_vel,L_Shank_CoG_vel,L_Shank_CoG_vel,L_Shank_CoG_vel,R_Shank_CoG_vel,R_Shank_CoG_vel,R_Shank_CoG_vel,L_Foot_CoG_vel,L_Foot_CoG_vel,L_Foot_CoG_vel,R_Foot_CoG_vel,R_Foot_CoG_vel,R_Foot_CoG_vel,L_Foot_Shadow_CoG_vel,L_Foot_Shadow_CoG_vel,L_Foot_Shadow_CoG_vel,R_Foot_Shadow_CoG_vel,R_Foot_Shadow_CoG_vel,R_Foot_Shadow_CoG_vel
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1088,0.02346,0.0066,-0.0194,0.18326,-0.20158,0.1508,0.0323,-0.04419,0.08087,0.15834,0.01086,0.10697,0.03489,0.01132,0.04666,0.07523,0.04276,0.06557,0.03632,-0.00053,0.01169,0.00681,-0.05361,-0.03453,0.02483,-0.06206,-0.03549,8e-05,-0.00284,-0.0262,0.00633,0.01891,-0.03355,0.03586,0.02328,-0.02411,0.03477,0.0317,-0.03734,0.04402,0.01135,-0.0176,0.04595,0.02847,-0.02276,-0.02087,0.01842,-0.00761,-0.00542,-0.0039,-0.01239,-0.02034,0.01897,-0.00413,-0.00539,-0.00355,-0.01402
1089,0.02555,0.00612,-0.01786,0.20764,-0.22529,0.15098,0.035,-0.02377,0.08801,0.16135,0.0098,0.11441,0.02745,0.02585,0.05568,0.08504,0.04266,0.06762,0.03243,0.00344,0.01914,0.00822,-0.05504,-0.03475,0.02753,-0.06226,-0.04073,-0.00038,-0.00882,-0.02975,0.00322,0.01828,-0.03209,0.04439,0.03117,-0.01393,0.03608,0.02884,-0.03792,0.05675,0.03092,0.00246,0.05077,0.02138,-0.02343,-0.02032,0.01753,0.00274,-0.00637,-0.00502,-0.01398,-0.01876,0.01723,0.00256,-0.00644,-0.00511,-0.01691
1090,0.03081,0.00813,-0.01467,0.24553,-0.23503,0.14612,0.03261,0.00291,0.09014,0.17107,0.01354,0.12686,0.02574,0.03965,0.06678,0.09752,0.04767,0.07156,0.03271,0.00545,0.02692,0.01149,-0.05657,-0.03775,0.03118,-0.06259,-0.04756,0.00336,-0.01549,-0.0332,0.00328,0.02177,-0.02861,0.05598,0.04773,0.00142,0.03903,0.028,-0.03682,0.07305,0.06093,0.03011,0.05604,0.0146,-0.0234,-0.01452,0.01712,0.01687,-0.00487,-0.00533,-0.01589,-0.01238,0.01584,0.01199,-0.00501,-0.00575,-0.0199
1091,0.03855,0.01369,-0.01036,0.28896,-0.23391,0.14091,0.02666,0.02776,0.09004,0.18621,0.02033,0.14357,0.03105,0.04948,0.07945,0.10876,0.05516,0.07843,0.03905,0.00304,0.03572,0.01594,-0.06163,-0.04434,0.03417,-0.06654,-0.05538,0.00966,-0.01988,-0.03656,0.00689,0.02959,-0.02458,0.07021,0.07471,0.021,0.04407,0.03007,-0.03586,0.09364,0.10356,0.06506,0.0618,0.01035,-0.02376,-0.00263,0.0204,0.03549,-0.00238,-0.00565,-0.01852,-0.00041,0.01806,0.02537,-0.00256,-0.00619,-0.02309
1092,0.04749,0.02175,-0.00522,0.32674,-0.22811,0.14015,0.01826,0.04302,0.08892,0.20303,0.02692,0.16291,0.04149,0.05131,0.09173,0.11592,0.06189,0.08878,0.05055,-0.00531,0.0455,0.02126,-0.07258,-0.05417,0.03558,-0.07626,-0.06344,0.01642,-0.02063,-0.03939,0.01311,0.03787,-0.02163,0.08609,0.11002,0.04336,0.05105,0.03292,-0.03617,0.11767,0.15819,0.10688,0.06813,0.00935,-0.02433,0.01553,0.0296,0.06054,-0.00019,-0.00688,-0.01949,0.01722,0.02628,0.04542,-0.00037,-0.00746,-0.02373
1093,0.05635,0.03025,0.00066,0.35138,-0.22366,0.14624,0.00808,0.04177,0.0874,0.21812,0.0303,0.18305,0.05392,0.04235,0.10065,0.11936,0.06596,0.10211,0.06497,-0.0181,0.05409,0.02755,-0.08895,-0.06603,0.03559,-0.09107,-0.07115,0.02201,-0.0189,-0.04124,0.0201,0.04211,-0.02075,0.10225,0.14965,0.06752,0.05962,0.0341,-0.0379,0.14383,0.22253,0.15597,0.07498,0.0106,-0.02431,0.03839,0.04569,0.09462,0.00114,-0.0095,-0.01562,0.03879,0.04155,0.07529,0.00096,-0.0103,-0.01843
1094,0.06422,0.03767,0.00713,0.36221,-0.22627,0.15909,-0.00347,0.02007,0.08783,0.23052,0.02866,0.20246,0.06635,0.02431,0.10458,0.12238,0.06725,0.11662,0.08075,-0.03009,0.05836,0.03499,-0.10696,-0.07816,0.03519,-0.10711,-0.07803,0.02536,-0.01773,-0.04243,0.02579,0.04078,-0.022,0.11711,0.19013,0.09367,0.06898,0.03343,-0.04109,0.17158,0.2941,0.21375,0.08205,0.01244,-0.02382,0.06184,0.06734,0.13923,0.00153,-0.01351,-0.00678,0.06028,0.06246,0.1163,0.00132,-0.01482,-0.00734
1095,0.07034,0.04384,0.01383,0.36415,-0.24116,0.17676,-0.01688,-0.01858,0.09436,0.24148,0.02158,0.22037,0.07834,0.00504,0.10514,0.12865,0.06668,0.1298,0.09787,-0.03353,0.05641,0.04335,-0.12084,-0.08863,0.03569,-0.11883,-0.08372,0.0257,-0.01999,-0.04413,0.02843,0.03567,-0.02482,0.12943,0.22992,0.123,0.07748,0.03277,-0.04643,0.20077,0.37031,0.28178,0.08873,0.01384,-0.02447,0.08064,0.0902,0.19435,0.00115,-0.01871,0.00314,0.07679,0.08443,0.16761,0.00091,-0.02059,0.00499
1096,0.0744,0.04978,0.02038,0.36452,-0.27119,0.19589,-0.03318,-0.06292,0.1104,0.25275,0.01007,0.23649,0.0897,-0.0044,0.10652,0.13958,0.06528,0.13968,0.11665,-0.022,0.04867,0.05175,-0.12574,-0.09594,0.03816,-0.12192,-0.088,0.0229,-0.02631,-0.0477,0.02737,0.03008,-0.02842,0.13892,0.26911,0.15681,0.08332,0.03438,-0.05475,0.23046,0.44758,0.3607,0.09428,0.01511,-0.02824,0.0911,0.10789,0.25976,0.00073,-0.02423,0.00931,0.08515,0.10074,0.22847,0.00049,-0.02642,0.0132
1097,0.07698,0.05703,0.0269,0.36923,-0.31429,0.21199,-0.05188,-0.09965,0.13583,0.26468,-0.00334,0.25021,0.09951,0.0035,0.11248,0.15338,0.06409,0.1454,0.13608,0.00477,0.03784,0.05883,-0.12027,-0.09999,0.04303,-0.11577,-0.09103,0.01855,-0.03449,-0.05359,0.02374,0.02685,-0.03188,0.14632,0.30831,0.19574,0.08624,0.04008,-0.06557,0.25838,0.52102,0.4499,0.09857,0.01812,-0.03547,0.09232,0.11407,0.33666,0.00166,-0.02837,0.00945,0.08503,0.10496,0.30035,0.00146,-0.03042,0.01495
1098,0.07949,0.06674,0.03428,0.37977,-0.36286,0.22046,-0.06979,-0.12022,0.16551,0.27541,-0.01497,0.26007,0.10671,0.02676,0.12408,0.16598,0.06447,0.14706,0.15386,0.03875,0.02798,0.06334,-0.10705,-0.10215,0.04984,-0.10368,-0.09338,0.016,-0.0411,-0.0607,0.01945,0.02787,-0.03406,0.15273,0.34817,0.23973,0.08768,0.0514,-0.07665,0.28212,0.58532,0.54826,0.10269,0.0256,-0.04413,0.08559,0.10408,0.4275,0.0047,-0.02944,0.00436,0.0782,0.09259,0.38672,0.0046,-0.03088,0.01093
1099,0.08303,0.07916,0.04385,0.39213,-0.40697,0.21893,-0.08247,-0.12277,0.19083,0.28192,-0.02156,0.26435,0.11128,0.05424,0.13998,0.17309,0.06789,0.14518,0.16813,0.06717,0.02355,0.0647,-0.09127,-0.10416,0.0573,-0.09081,-0.0958,0.01834,-0.04412,-0.06674,0.01489,0.03418,-0.03395,0.15883,0.38959,0.28875,0.08895,0.06944,-0.08544,0.301,0.63578,0.65507,0.10841,0.03989,-0.05106,0.0747,0.07616,0.53519,0.00892,-0.02659,-0.00344,0.06842,0.06236,0.49182,0.00895,-0.02711,0.00327
1100,0.08729,0.09329,0.05671,0.39942,-0.43933,0.20961,-0.08817,-0.10867,0.20383,0.28259,-0.02177,0.26293,0.11447,0.07303,0.15871,0.17263,0.07516,0.14098,0.17884,0.08026,0.0276,0.06351,-0.0784,-0.10677,0.06373,-0.08147,-0.09907,0.02564,-0.04429,-0.06967,0.00817,0.04576,-0.03119,0.1644,0.43299,0.34297,0.08959,0.09396,-0.09099,0.31668,0.66926,0.77055,0.11688,0.06117,-0.05413,0.06645,0.03375,0.6629,0.01295,-0.02002,-0.01032,0.06187,0.01857,0.62024,0.01307,-0.01971,-0.00462
1101,0.09065,0.10743,0.07288,0.3984,-0.45778,0.19834,-0.08977,-0.08035,0.20248,0.2788,-0.0161,0.25912,0.11782,0.07756,0.18001,0.16626,0.08601,0.13709,0.18706,0.07752,0.04028,0.06141,-0.07204,-0.10975,0.06791,-0.07751,-0.10393,0.03413,-0.04401,-0.06922,-0.00315,0.06121,-0.0262,0.16864,0.47675,0.40194,0.08802,0.12302,-0.09413,0.33148,0.68519,0.89518,0.12782,0.08711,-0.05315,0.06738,-0.01304,0.81272,0.01692,-0.01104,-0.01254,0.06443,-0.02774,0.77508,0.01706,-0.01038,-0.00851
1102,0.09143,0.12052,0.09122,0.39329,-0.46368,0.19147,-0.09188,-0.04391,0.19361,0.27416,-0.00536,0.25952,0.12227,0.07273,0.20428,0.15876,0.09949,0.13787,0.19358,0.06749,0.05887,0.06039,-0.07251,-0.1128,0.06983,-0.07796,-0.11087,0.03861,-0.04478,-0.06737,-0.01937,0.07866,-0.02004,0.17135,0.51741,0.46357,0.08323,0.15421,-0.09618,0.34632,0.68685,1.02747,0.1397,0.11442,-0.04929,0.07875,-0.0504,0.98201,0.02199,-0.00144,-0.00854,0.0769,-0.06237,0.95341,0.02208,-0.00104,-0.00616
1103,0.08928,0.13309,0.10973,0.39135,-0.45982,0.1936,-0.09679,-0.00918,0.18896,0.2727,0.01001,0.27042,0.12849,0.06913,0.23123,0.15551,0.11512,0.14798,0.19874,0.06142,0.07976,0.06186,-0.07701,-0.1164,0.0707,-0.08015,-0.11971,0.03615,-0.04556,-0.06725,-0.03781,0.0975,-0.01398,0.17317,0.55187,0.52391,0.07569,0.18601,-0.0976,0.3602,0.68129,1.16198,0.14986,0.14059,-0.04405,0.09609,-0.06617,1.16113,0.02797,0.00753,-0.00038,0.09456,-0.07367,1.14377,0.02793,0.00722,0.00061
1104,0.08543,0.14686,0.12642,0.39566,-0.45005,0.20622,-0.10305,0.01672,0.19663,0.27667,0.02918,0.29314,0.13726,0.07521,0.25943,0.15958,0.13296,0.16911,0.20382,0.06631,0.10039,0.06594,-0.0815,-0.12177,0.07185,-0.08142,-0.12966,0.02822,-0.04333,-0.07093,-0.054,0.11875,-0.0089,0.17462,0.57919,0.57846,0.06696,0.21798,-0.09807,0.37187,0.67711,1.29016,0.15508,0.16419,-0.03881,0.11392,-0.05303,1.33558,0.03213,0.01545,0.00754,0.11168,-0.05553,1.3293,0.03193,0.01417,0.00713
1105,0.08202,0.16333,0.14016,0.40169,-0.43883,0.22673,-0.10691,0.03473,0.21541,0.28466,0.04985,0.32238,0.14912,0.09293,0.28645,0.16966,0.15226,0.1974,0.21144,0.08239,0.11948,0.07107,-0.08316,-0.12995,0.07357,-0.0807,-0.13959,0.01972,-0.0352,-0.07802,-0.06406,0.14329,-0.00543,0.17538,0.60044,0.62424,0.05902,0.2499,-0.0974,0.38164,0.68143,1.40437,0.15296,0.18447,-0.03468,0.1306,-0.0087,1.49182,0.03048,0.02202,0.01135,0.12649,-0.0067,1.49477,0.03011,0.01972,0.00914
1106,0.08067,0.18256,0.15083,0.39985,-0.4295,0.24997,-0.10418,0.05071,0.23686,0.2918,0.06835,0.34941,0.16348,0.11875,0.30858,0.18027,0.16999,0.22452,0.22381,0.10538,0.13594,0.0745,-0.08156,-0.14088,0.07491,-0.07892,-0.14829,0.01563,-0.02025,-0.08609,-0.06642,0.16994,-0.00427,0.17422,0.61716,0.66112,0.05356,0.2813,-0.09631,0.39099,0.6979,1.50221,0.1433,0.20126,-0.03235,0.14935,0.06509,1.62324,0.02028,0.02674,0.01016,0.14244,0.07068,1.63322,0.01977,0.02379,0.00564
1107,0.08146,0.2031,0.15904,0.38294,-0.42291,0.27127,-0.09186,0.06666,0.25284,0.29308,0.08121,0.36809,0.17821,0.14674,0.32106,0.18479,0.18177,0.24257,0.23989,0.12992,0.14762,0.07364,-0.07827,-0.15307,0.07465,-0.0781,-0.15485,0.01797,-0.00055,-0.09265,-0.06241,0.19598,-0.00607,0.16924,0.63011,0.69178,0.05115,0.31204,-0.09647,0.40058,0.72645,1.58735,0.128,0.21549,-0.0322,0.17542,0.16361,1.73188,0.00214,0.02973,0.00614,0.1653,0.17192,1.74726,0.00162,0.02701,-0.00073
1108,0.08288,0.22269,0.16561,0.35309,-0.41759,0.28798,-0.07072,0.0756,0.26128,0.28732,0.08698,0.37841,0.19003,0.17084,0.31968,0.18035,0.1851,0.24918,0.25462,0.15161,0.15128,0.06787,-0.07523,-0.16419,0.07245,-0.0796,-0.15878,0.02497,0.01917,-0.09685,-0.05554,0.21909,-0.01081,0.15872,0.63919,0.7206,0.05059,0.34251,-0.09965,0.4094,0.76465,1.66619,0.10968,0.22919,-0.03463,0.21258,0.28162,1.82464,-0.01985,0.0322,0.00233,0.19926,0.29199,1.84454,-0.02021,0.0308,-0.00608
1109,0.08299,0.2392,0.17129,0.32083,-0.41021,0.29904,-0.04721,0.067,0.26469,0.27809,0.08719,0.38449,0.1955,0.1863,0.30343,0.17001,0.18184,0.24833,0.2613,0.16769,0.14445,0.05932,-0.07285,-0.17237,0.06914,-0.08256,-0.16004,0.0324,0.0334,-0.09957,-0.04943,0.23823,-0.0172,0.14302,0.64399,0.75148,0.04927,0.37231,-0.1063,0.41663,0.80947,1.74277,0.0906,0.244,-0.0396,0.26125,0.41758,1.90722,-0.03973,0.03541,0.00059,0.24486,0.4296,1.93144,-0.03978,0.03618,-0.00788
1110,0.08086,0.2516,0.1767,0.29705,-0.39551,0.30422,-0.03054,0.03808,0.26469,0.27052,0.08562,0.38971,0.1923,0.19136,0.27605,0.16007,0.17737,0.24688,0.25573,0.17795,0.12745,0.05177,-0.06913,-0.17681,0.06623,-0.08344,-0.15885,0.03593,0.03886,-0.10216,-0.0457,0.25329,-0.02291,0.12592,0.64442,0.78631,0.04492,0.39921,-0.11473,0.42415,0.85842,1.81589,0.07286,0.25976,-0.04602,0.3187,0.57536,1.98055,-0.05162,0.03926,0.00089,0.29918,0.58893,2.0097,-0.05131,0.04234,-0.00609
1111,0.07729,0.26071,0.18241,0.2865,-0.36797,0.3033,-0.0266,-0.00118,0.25994,0.26712,0.08643,0.39398,0.18038,0.18912,0.24435,0.15501,0.17668,0.2499,0.23927,0.18545,0.10388,0.04852,-0.06087,-0.17766,0.06504,-0.07794,-0.15567,0.03333,0.03677,-0.1052,-0.04325,0.26498,-0.02581,0.11311,0.64117,0.8244,0.03782,0.42031,-0.12177,0.43653,0.91065,1.881,0.0589,0.27418,-0.05202,0.38037,0.76195,2.04284,-0.05165,0.04228,0.00198,0.35721,0.77721,2.07851,-0.05104,0.04701,-0.00261
1112,0.07446,0.26887,0.18876,0.28768,-0.32546,0.2961,-0.03523,-0.03385,0.24804,0.2664,0.09189,0.39523,0.16258,0.18664,0.21468,0.15503,0.18042,0.25801,0.21849,0.1952,0.07918,0.05083,-0.0466,-0.17542,0.06609,-0.06413,-0.15108,0.02569,0.03208,-0.10818,-0.03912,0.27492,-0.02561,0.10898,0.63595,0.86324,0.03116,0.43399,-0.12467,0.45718,0.96753,1.93556,0.0509,0.28397,-0.05618,0.44042,0.9828,2.09573,-0.03936,0.0434,0.00232,0.41253,0.99993,2.1404,-0.03864,0.04852,0.00013
1113,0.07442,0.27856,0.19574,0.29519,-0.27227,0.28439,-0.05071,-0.0457,0.22769,0.26538,0.10103,0.39205,0.1441,0.19015,0.19047,0.15737,0.18397,0.2678,0.20143,0.21014,0.05842,0.0582,-0.02837,-0.17068,0.06911,-0.04393,-0.14608,0.01696,0.03057,-0.11009,-0.03076,0.28551,-0.02415,0.11405,0.63127,0.89982,0.02836,0.44058,-0.12305,0.48423,1.03173,1.98249,0.04894,0.28679,-0.05872,0.49191,1.23572,2.1473,-0.01849,0.04305,0.0007,0.45796,1.25445,2.20368,-0.01789,0.04712,0.00027
1114,0.07761,0.29117,0.20285,0.30157,-0.21891,0.27258,-0.0632,-0.0321,0.19969,0.26262,0.1102,0.38442,0.13097,0.19911,0.17228,0.1595,0.18121,0.27438,0.1933,0.22768,0.04479,0.06935,-0.01013,-0.16431,0.07354,-0.02133,-0.14219,0.01148,0.03602,-0.11018,-0.0184,0.29916,-0.02423,0.12511,0.62978,0.93198,0.02973,0.44168,-0.11924,0.51027,1.10503,2.02815,0.04995,0.28293,-0.06113,0.5282,1.50636,2.20665,0.00328,0.04276,-0.00306,0.48743,1.52535,2.27614,0.00356,0.04453,-0.00249
1115,0.08254,0.30661,0.20931,0.30023,-0.17837,0.26443,-0.0639,-0.00145,0.1676,0.25856,0.11604,0.37306,0.12833,0.20484,0.15967,0.16073,0.1706,0.2744,0.19438,0.23987,0.03885,0.08282,0.006,-0.15766,0.0791,0.00111,-0.14105,0.0113,0.04948,-0.10828,-0.00533,0.31685,-0.02803,0.13745,0.63318,0.95869,0.03202,0.4386,-0.11667,0.52644,1.18681,2.07724,0.04926,0.27521,-0.06468,0.54714,1.77162,2.2747,0.01752,0.0437,-0.00756,0.50035,1.78842,2.35575,0.01737,0.04249,-0.0063
1116,0.08688,0.3237,0.21443,0.28949,-0.15939,0.25858,-0.05008,0.02596,0.13835,0.25357,0.11884,0.35872,0.13844,0.19649,0.1521,0.16111,0.15812,0.26763,0.20121,0.23839,0.03872,0.09684,0.02163,-0.15271,0.08592,0.02362,-0.14374,0.01519,0.07002,-0.10468,0.00429,0.3373,-0.03607,0.14689,0.64069,0.97977,0.03134,0.4317,-0.11767,0.52753,1.27342,2.12983,0.04442,0.26688,-0.06951,0.556,2.01192,2.34282,0.02048,0.0456,-0.01069,0.50598,2.02396,2.43091,0.01993,0.04154,-0.00844
1117,0.0888,0.34075,0.21795,0.27419,-0.15965,0.24822,-0.02405,0.02994,0.1201,0.2469,0.12275,0.34191,0.15863,0.17006,0.14865,0.15949,0.15352,0.25624,0.20894,0.22126,0.04086,0.10923,0.04021,-0.15168,0.09401,0.04748,-0.15017,0.02002,0.09536,-0.10013,0.00821,0.35751,-0.04694,0.1498,0.64792,0.99634,0.02637,0.4218,-0.12272,0.51417,1.35818,2.18281,0.03674,0.2599,-0.07524,0.57041,2.22213,2.40149,0.01487,0.04711,-0.0117,0.52135,2.228,2.49121,0.01405,0.04106,-0.00777
1118,0.08766,0.35618,0.22011,0.262,-0.16524,0.22604,0.00918,0.00725,0.11652,0.23723,0.13264,0.32237,0.18162,0.13298,0.14779,0.15355,0.16319,0.24239,0.21343,0.19576,0.04128,0.11773,0.06357,-0.15601,0.10244,0.07276,-0.15918,0.02334,0.12214,-0.09608,0.00714,0.37408,-0.05777,0.143,0.64772,1.01149,0.01895,0.41197,-0.13084,0.49114,1.43358,2.23295,0.02924,0.25509,-0.08154,0.60501,2.41065,2.44871,0.0059,0.04711,-0.0116,0.56118,2.41056,2.53614,0.00498,0.04022,-0.00554
1119,0.08428,0.36934,0.22125,0.25652,-0.15843,0.19018,0.04239,-0.02462,0.1233,0.22382,0.15053,0.2989,0.19923,0.10033,0.14751,0.14192,0.18637,0.22636,0.21278,0.17414,0.0375,0.12076,0.08996,-0.1655,0.10896,0.09759,-0.16933,0.02506,0.14653,-0.09473,0.00406,0.38577,-0.06601,0.12589,0.63488,1.02851,0.01288,0.40779,-0.14001,0.46461,1.49499,2.27912,0.02431,0.25329,-0.08781,0.66384,2.58926,2.4914,-0.0024,0.04604,-0.01178,0.62838,2.5844,2.57498,-0.00334,0.03912,-0.00396
1120,0.08067,0.38118,0.22136,0.25411,-0.12806,0.1457,0.06876,-0.0422,0.13104,0.20679,0.17445,0.27017,0.20682,0.08566,0.14526,0.12577,0.21689,0.20654,0.20797,0.16526,0.02934,0.11793,0.11519,-0.17808,0.11099,0.11923,-0.17926,0.02701,0.16557,-0.0982,0.00249,0.39619,-0.07129,0.1025,0.61131,1.04747,0.01198,0.41492,-0.14758,0.43989,1.54256,2.32306,0.02308,0.25538,-0.0928,0.73813,2.7637,2.54272,-0.00809,0.04556,-0.01267,0.71232,2.75528,2.62281,-0.00904,0.03878,-0.0043
1121,0.0786,0.39327,0.22046,0.24794,-0.07425,0.10071,0.08576,-0.03492,0.1316,0.18665,0.20006,0.23608,0.20468,0.0926,0.1376,0.10829,0.24734,0.18122,0.20166,0.16966,0.01773,0.11015,0.13549,-0.19057,0.10731,0.13572,-0.18761,0.03104,0.17849,-0.10705,0.00414,0.4118,-0.07471,0.0792,0.58482,1.06519,0.01749,0.43498,-0.15127,0.41885,1.57862,2.36841,0.02561,0.26095,-0.0949,0.81088,2.9304,2.61718,-0.01104,0.04633,-0.01322,0.79408,2.91905,2.69526,-0.01207,0.03945,-0.00583
1122,0.07832,0.40601,0.21912,0.23468,-0.00578,0.06095,0.0947,-0.01158,0.12182,0.16388,0.22345,0.19874,0.19641,0.11366,0.12129,0.09259,0.27253,0.15069,0.19583,0.18096,0.00318,0.09915,0.14993,-0.19991,0.09917,0.14706,-0.193,0.03759,0.187,-0.11948,0.00817,0.43605,-0.07651,0.06071,0.56217,1.07839,0.02697,0.46332,-0.15075,0.39903,1.60346,2.41762,0.03123,0.26815,-0.09311,0.86516,3.07899,2.72394,-0.01236,0.04671,-0.01155,0.85545,3.0646,2.80186,-0.01348,0.03966,-0.0061
