Unnamed: 0_level_0,FP1,FP1,FP1,FP2,FP2,FP2
ITEM,X,Y,Z,X,Y,Z
1989,-9.47557,-15.05307,110.69858,40.13913,48.23339,643.37329
1990,-8.13313,-14.24763,122.86729,41.05131,47.12973,627.97607
1991,-5.60714,-11.79046,135.34488,41.64659,46.91512,614.77686
1992,-2.65633,-9.17562,149.61472,41.52388,47.4913,605.60352
1993,-0.00892,-7.58684,166.94148,40.4049,48.71356,602.03003
1994,1.91506,-7.40996,187.65245,38.22377,50.59267,605.04089
1995,3.20204,-8.09667,210.53473,35.21529,53.3704,615.11603
1996,4.27986,-8.47124,232.87482,31.81982,57.41909,632.42572
1997,5.51415,-7.27617,250.8781,28.4072,63.12049,656.51971
1998,6.94054,-3.8177,260.63602,25.12068,70.65643,686.27924
1999,8.33967,1.78666,259.01437,22.00946,79.90395,719.97278
2000,9.43052,8.74374,244.42023,19.247,90.4623,755.32904
2001,9.96539,15.80861,217.57509,17.12368,101.80375,790.23267
2002,9.77766,21.54429,181.28305,15.81975,113.394,823.29559
2003,8.83256,24.58277,139.83951,15.17314,124.60202,853.86987
2004,7.26553,24.10665,98.15735,14.66877,134.62276,881.34875
2005,5.32239,20.285,60.85291,13.74416,142.57861,904.41791
2006,3.2792,14.36161,31.60448,12.17129,147.94705,921.27808
2007,1.46142,8.35976,11.98048,10.1193,150.83612,930.73865
2008,0.21966,3.82754,1.08983,7.88861,151.68687,932.60522
2009,-0.42812,1.07353,-3.44907,5.66075,150.97302,927.63
2010,-0.67472,-0.28139,-4.2488,3.40715,149.05663,917.56012
2011,-0.71745,-0.70023,-3.30033,0.99558,146.15736,904.57507
2012,-0.68858,-0.64253,-1.89182,-1.52563,142.43671,890.55518
2013,-0.646,-0.39262,-0.66727,-3.80143,138.1418,876.82117
2014,-0.59883,-0.14801,0.17408,-5.4223,133.60585,864.19464
2015,-0.53087,0.04402,0.64949,-6.21607,129.15088,852.76886
2016,-0.4579,0.17126,0.86036,-6.30233,125.03915,841.8349
2017,-0.40211,0.25297,0.91638,-5.98028,121.43233,830.35413
2018,-0.36829,0.2972,0.88558,-5.59466,118.35824,817.55164
2019,-0.35242,0.31824,0.80974,-5.46401,115.73257,803.52924
2020,-0.34742,0.32369,0.7216,-5.78074,113.43419,789.46008
2021,-0.34502,0.32131,0.64752,-6.47967,111.37478,776.96509
2022,-0.34041,0.32109,0.5964,-7.21603,109.55384,767.13269
2023,-0.33468,0.3248,0.56433,-7.5832,108.02509,760.1181
2024,-0.32984,0.33302,0.54214,-7.44206,106.80167,755.32367
2025,-0.32768,0.33495,0.53043,-7.0343,105.79829,751.79559
2026,-0.32891,0.31945,0.52719,-6.80577,104.87853,748.74487
2027,-0.33331,0.29662,0.52994,-7.06059,103.92972,745.68781
2028,-0.33838,0.27663,0.5337,-7.77989,102.88061,742.20221
2029,-0.34221,0.25437,0.52348,-8.82745,101.69089,737.96301
2030,-0.34864,0.22781,0.49787,-10.17129,100.30803,733.01074
2031,-0.35748,0.21497,0.47193,-11.88522,98.61405,727.89038
2032,-0.36927,0.22473,0.45629,-14.04494,96.47686,723.52405
2033,-0.38826,0.25678,0.4555,-16.55416,93.84639,720.83813
2034,-0.40966,0.2937,0.46278,-19.11448,90.79709,720.3938
2035,-0.42606,0.31108,0.4737,-21.42009,87.43586,722.43335
2036,-0.43964,0.31224,0.49113,-23.26498,83.79607,727.02069
2037,-0.45971,0.31363,0.50665,-24.45578,79.8606,733.96613
2038,-0.48485,0.3158,0.50604,-24.78916,75.65685,742.9314
2039,-0.50015,0.31229,0.48812,-24.17367,71.27213,753.56812
2040,-0.50123,0.30232,0.46064,-22.75259,66.8334,765.41327
2041,-0.4831,0.28843,0.44003,-20.87654,62.48196,777.87909
2042,-0.44871,0.27332,0.43491,-18.98737,58.36802,790.30963
2043,-0.39459,0.25825,0.44422,-17.47855,54.65039,801.77936
2044,-0.32579,0.23349,0.4625,-16.6198,51.41983,810.95648
2045,-0.25286,0.19588,0.48321,-16.48776,48.60478,816.30634
2046,-0.18249,0.14756,0.49314,-16.88834,45.94423,816.65918
2047,-0.12605,0.10006,0.48371,-17.38765,43.04849,811.69672
2048,-0.09111,0.06655,0.46112,-17.40932,39.47905,802.04242
2049,-0.06778,0.04756,0.4252,-16.48659,34.89797,789.05994
