Unnamed: 0_level_0,R_HEEL,R_HEEL,R_HEEL,L_HEEL,L_HEEL,L_HEEL
ITEM,X,Y,Z,X,Y,Z
2594,0.01409,0.22226,0.01647,-0.01931,0.5503,0.02952
2595,0.01417,0.22226,0.01657,-0.0185,0.54998,0.02814
2596,0.01431,0.22224,0.01664,-0.0178,0.54959,0.02673
2597,0.01449,0.22225,0.01669,-0.01726,0.5492,0.02534
2598,0.01466,0.2223,0.01671,-0.01694,0.5489,0.02407
2599,0.01477,0.22244,0.01671,-0.0169,0.54876,0.02302
2600,0.0148,0.22266,0.01668,-0.01718,0.54882,0.02227
2601,0.01474,0.22291,0.01661,-0.01777,0.54909,0.02194
2602,0.01463,0.22316,0.01653,-0.01864,0.54953,0.02215
2603,0.01451,0.22339,0.01645,-0.01971,0.55014,0.02304
2604,0.01442,0.22358,0.01636,-0.02088,0.55088,0.0248
2605,0.01437,0.22374,0.01625,-0.02202,0.55178,0.02765
2606,0.01435,0.22388,0.0161,-0.023,0.55289,0.03184
2607,0.01435,0.22398,0.01586,-0.0237,0.55428,0.03759
2608,0.01435,0.22405,0.01553,-0.0241,0.55608,0.04513
2609,0.01433,0.22408,0.01514,-0.02434,0.55839,0.05464
2610,0.01427,0.22409,0.01475,-0.02461,0.56124,0.06624
2611,0.01418,0.22408,0.01441,-0.02512,0.56456,0.07995
2612,0.0141,0.22407,0.01417,-0.02589,0.56815,0.09561
2613,0.01406,0.22407,0.01407,-0.02681,0.57173,0.11293
2614,0.01413,0.22405,0.01413,-0.02762,0.575,0.1315
2615,0.0143,0.22401,0.01439,-0.02802,0.57775,0.15096
2616,0.01449,0.22398,0.01485,-0.02777,0.57996,0.17094
2617,0.01457,0.22402,0.01547,-0.02677,0.58183,0.19112
2618,0.01445,0.22417,0.01615,-0.02505,0.58368,0.21132
2619,0.01414,0.22442,0.01677,-0.02269,0.58585,0.23141
2620,0.01375,0.2247,0.01723,-0.01972,0.58866,0.25133
2621,0.01344,0.22493,0.01749,-0.01616,0.5924,0.27094
2622,0.01332,0.22509,0.01755,-0.01197,0.59736,0.29009
2623,0.01341,0.22521,0.01748,-0.00712,0.60383,0.30861
2624,0.01365,0.22532,0.01734,-0.00163,0.61204,0.32632
2625,0.01395,0.22549,0.01716,0.0044,0.62221,0.34316
2626,0.01419,0.22576,0.01696,0.01086,0.63446,0.35917
2627,0.01431,0.22614,0.01673,0.01768,0.64885,0.37454
2628,0.01428,0.22664,0.01646,0.02479,0.6654,0.38946
2629,0.01416,0.22725,0.01618,0.03217,0.68415,0.40407
2630,0.01401,0.22792,0.01593,0.03979,0.7052,0.41847
2631,0.0139,0.2286,0.01572,0.04767,0.72863,0.43274
2632,0.01382,0.22921,0.01556,0.05585,0.75448,0.44702
2633,0.01373,0.22968,0.01545,0.06433,0.78262,0.46164
2634,0.01357,0.23002,0.01538,0.07305,0.81276,0.47698
2635,0.01333,0.23024,0.01534,0.08193,0.84454,0.4934
2636,0.01305,0.23038,0.01533,0.09088,0.87757,0.51109
2637,0.01279,0.23045,0.01537,0.09986,0.91157,0.53013
2638,0.0126,0.23047,0.01548,0.10888,0.94628,0.55051
2639,0.01251,0.23046,0.01568,0.11793,0.98143,0.57217
2640,0.01253,0.23045,0.01595,0.12699,1.01675,0.59505
2641,0.01259,0.23049,0.01626,0.13594,1.05186,0.61904
2642,0.01266,0.23065,0.01655,0.14462,1.08631,0.644
2643,0.01268,0.23098,0.01675,0.15287,1.11964,0.66977
2644,0.01262,0.23148,0.01683,0.16059,1.15144,0.69616
2645,0.01246,0.23214,0.01678,0.16767,1.18136,0.7229
2646,0.01223,0.2329,0.01662,0.17398,1.20917,0.7496
2647,0.01198,0.23369,0.01639,0.17937,1.23479,0.7757
2648,0.01176,0.23447,0.01614,0.18364,1.2583,0.80065
2649,0.01163,0.23526,0.01591,0.18665,1.27987,0.82394
2650,0.01157,0.23608,0.01573,0.18832,1.2997,0.84516
2651,0.0115,0.23694,0.01565,0.1886,1.31799,0.86402
2652,0.01135,0.23786,0.01569,0.18752,1.33504,0.88034
2653,0.0111,0.23879,0.01584,0.1851,1.35123,0.894
2654,0.01082,0.23969,0.01608,0.18139,1.367,0.90503
2655,0.01056,0.24055,0.01634,0.17645,1.38275,0.91349
2656,0.01031,0.24139,0.0166,0.17033,1.39869,0.91959
2657,0.01003,0.24223,0.01686,0.16316,1.41467,0.92357
2658,0.00965,0.24308,0.01712,0.1553,1.43023,0.92571
2659,0.00922,0.24389,0.0174,0.14731,1.44482,0.92625
2660,0.0088,0.24463,0.01768,0.13989,1.45803,0.92545
2661,0.00849,0.24526,0.01792,0.13372,1.4697,0.92363
2662,0.00834,0.24575,0.01813,0.12933,1.47978,0.92107
2663,0.00834,0.2461,0.01832,0.12699,1.48827,0.91801
2664,0.00841,0.24635,0.0185,0.12663,1.49502,0.91454
2665,0.00847,0.2466,0.01865,0.12779,1.49996,0.91063
2666,0.00848,0.24689,0.01877,0.12978,1.50322,0.90622
2667,0.00842,0.24723,0.01885,0.13183,1.50518,0.90131
2668,0.00834,0.24753,0.01889,0.13332,1.50641,0.89581
2669,0.00827,0.24768,0.01889,0.13388,1.50741,0.88954
2670,0.00824,0.24756,0.01884,0.1333,1.50842,0.88208
2671,0.00828,0.24717,0.01873,0.1315,1.50927,0.87279
2672,0.00843,0.24657,0.01852,0.12843,1.50945,0.861
2673,0.00868,0.24591,0.0182,0.12408,1.50824,0.84624
2674,0.00899,0.2453,0.01781,0.1185,1.505,0.82844
2675,0.0093,0.24483,0.01739,0.1118,1.49926,0.80792
2676,0.00956,0.24451,0.01698,0.10428,1.49072,0.78511
2677,0.00973,0.24433,0.01661,0.09648,1.47921,0.76034
2678,0.00983,0.24423,0.01627,0.08919,1.46482,0.7338
2679,0.00985,0.24414,0.01594,0.0831,1.44788,0.70573
2680,0.00982,0.24403,0.01565,0.07851,1.42888,0.67652
2681,0.00972,0.24384,0.01539,0.07527,1.40826,0.64667
2682,0.00958,0.24357,0.01516,0.07293,1.38628,0.61673
2683,0.00941,0.24324,0.01492,0.07106,1.36306,0.58722
2684,0.00925,0.24283,0.01464,0.06937,1.33866,0.55853
2685,0.00913,0.24234,0.0143,0.06767,1.31309,0.53088
2686,0.00908,0.24176,0.01391,0.06585,1.28638,0.50433
