Unnamed: 0_level_0,L_MTP_ANGLE,L_MTP_ANGLE,L_MTP_ANGLE,R_MTP_ANGLE,R_MTP_ANGLE,R_MTP_ANGLE,L_ANKLE_ANGLE,L_ANKLE_ANGLE,L_ANKLE_ANGLE,R_ANKLE_ANGLE,R_ANKLE_ANGLE,R_ANKLE_ANGLE,L_KNEE_ANGLE,L_KNEE_ANGLE,L_KNEE_ANGLE,R_KNEE_ANGLE,R_KNEE_ANGLE,R_KNEE_ANGLE,L_HIP_ANGLE,L_HIP_ANGLE,L_HIP_ANGLE,R_HIP_ANGLE,R_HIP_ANGLE,R_HIP_ANGLE,L_SHOULDER_ANGLE,L_SHOULDER_ANGLE,L_SHOULDER_ANGLE,R_SHOULDER_ANGLE,R_SHOULDER_ANGLE,R_SHOULDER_ANGLE,L_ELBOW_ANGLE,L_ELBOW_ANGLE,L_ELBOW_ANGLE,R_ELBOW_ANGLE,R_ELBOW_ANGLE,R_ELBOW_ANGLE,L_WRIST_ANGLE,L_WRIST_ANGLE,L_WRIST_ANGLE,R_WRIST_ANGLE,R_WRIST_ANGLE,R_WRIST_ANGLE,NECK_ANGLE,NECK_ANGLE,NECK_ANGLE,NECK_ANGLE_SHADOW,NECK_ANGLE_SHADOW,NECK_ANGLE_SHADOW,Trunk_Joint_Angle,Trunk_Joint_Angle,Trunk_Joint_Angle
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1989,-5.70986,0.0,0.0,-1.94707,0.0,-0.0,-9.17549,-6.84691,2.43665,16.7231,0.20797,-20.423,-23.86973,-1.8614,-6e-05,-21.2891,-4.76612,0.0024,29.21586,11.7152,8.07766,11.63704,4.39803,-12.61071,29.87078,20.80849,-4.27194,43.20602,-10.33311,34.82967,131.21028,-0.00062,-103.51073,118.04192,0.00264,102.66441,-3.96053,-11.82674,0.00137,-10.56917,2.57735,0.00072,-10.6499,-13.05073,10.44697,-34.07348,-16.06314,4.47959,-1.06314,-0.08899,6.26421
1990,-6.08795,0.0,-0.0,-1.82235,-0.0,0.0,-8.72396,-6.67378,3.03936,17.074,0.52788,-20.69796,-23.69494,-1.78708,-0.00016,-21.96328,-4.96607,0.00177,29.11306,11.38757,7.86382,11.95158,4.41032,-12.34683,29.826,20.70784,-4.32548,43.11148,-10.72355,34.73611,131.27025,-0.00022,-102.91209,118.15074,0.0006,102.47176,-4.14589,-11.83998,0.00037,-10.73997,2.54586,-0.00021,-10.53553,-12.86815,10.41715,-33.93928,-15.88405,4.52731,-1.0215,0.00587,6.07788
1991,-6.31305,0.0,0.0,-1.67368,-0.0,0.0,-8.2868,-6.55197,3.58399,17.38892,0.8018,-20.95607,-23.62516,-1.72865,-0.00014,-22.62648,-5.12834,0.0007,29.01268,11.07684,7.63392,12.21816,4.38942,-12.12997,29.84507,20.61727,-4.37642,43.02713,-11.09697,34.60045,131.29527,0.00091,-101.99931,118.2828,-0.00124,102.57385,-4.20906,-11.70738,0.00019,-10.78485,2.61356,-0.00041,-10.39563,-12.65124,10.36537,-33.77671,-15.66492,4.56863,-1.02075,0.08867,5.90303
1992,-6.2354,0.0,-0.0,-1.50466,0.0,-0.0,-7.91649,-6.4794,4.00937,17.64553,0.98137,-21.17481,-23.6617,-1.65673,-0.00033,-23.27151,-5.2424,-0.00046,28.92593,10.78751,7.4355,12.43421,4.33074,-11.98763,29.92107,20.56228,-4.41878,42.95205,-11.45837,34.42644,131.28262,0.00213,-100.84196,118.43727,-0.00241,102.87456,-4.15823,-11.46997,0.00047,-10.68625,2.81883,0.00032,-10.23584,-12.44655,10.29969,-33.59643,-15.45159,4.59183,-1.04678,0.17139,5.74501
1993,-5.81584,0.0,0.0,-1.33779,-0.0,-0.0,-7.63524,-6.44923,4.2856,17.83462,1.03873,-21.34011,-23.80805,-1.55362,-0.00099,-23.89514,-5.30763,-0.0014,28.87253,10.52626,7.30953,12.61352,4.23316,-11.92308,30.04369,20.55809,-4.45091,42.88895,-11.81141,34.22915,131.24808,0.00256,-99.551,118.59748,-0.00271,103.3049,-4.05645,-11.21419,0.00048,-10.46091,3.13591,0.0015,-10.07041,-12.28529,10.2204,-33.41599,-15.27284,4.58439,-1.07513,0.26097,5.61705
1994,-5.15761,0.0,-0.0,-1.21364,-0.0,-0.0,-7.43312,-6.45659,4.41975,17.96088,0.97275,-21.45643,-24.07897,-1.42462,-0.00206,-24.49489,-5.33005,-0.00186,28.88525,10.30264,7.27042,12.78297,4.09738,-11.91805,30.19868,20.60382,-4.47542,42.84866,-12.15296,34.02955,131.22105,0.00206,-98.31241,118.7377,-0.00217,103.80788,-4.00257,-11.04205,0.00017,-10.13437,3.49941,0.00242,-9.91475,-12.18034,10.12902,-33.25196,-15.1411,4.5425,-1.07875,0.35917,5.52952
1995,-4.41566,-0.0,-0.0,-1.16794,0.0,0.0,-7.30144,-6.49112,4.4297,18.03784,0.81812,-21.53509,-24.50034,-1.29232,-0.00318,-25.06656,-5.32498,-0.00161,28.99699,10.12679,7.31434,12.96391,3.92265,-11.95756,30.36545,20.68329,-4.49349,42.84796,-12.47653,33.84521,131.23604,0.00181,-97.37446,118.84118,-0.00117,104.29995,-4.06265,-11.04596,7e-05,-9.71952,3.84245,0.00271,-9.77723,-12.13259,10.03868,-33.11219,-15.06227,4.4781,-1.04634,0.464,5.48183
1996,-3.70343,0.0,-0.0,-1.20686,0.0,0.0,-7.26486,-6.52881,4.31815,18.08121,0.64045,-21.57755,-25.10519,-1.18403,-0.0038,-25.6052,-5.31782,-0.00065,29.23155,10.00789,7.43584,13.16023,3.70564,-12.04779,30.52089,20.77328,-4.50017,42.90114,-12.77929,33.68464,131.31914,0.0033,-96.95923,118.91462,-0.00031,104.68768,-4.20649,-11.28963,-0.00017,-9.22368,4.12463,0.00248,-9.65513,-12.13714,9.97635,-32.99252,-15.04231,4.41829,-0.98843,0.5708,5.4621
1997,-3.08273,0.0,0.0,-1.30315,0.0,0.0,-7.3842,-6.53563,4.07214,18.10444,0.50998,-21.57263,-25.93258,-1.12334,-0.00342,-26.1087,-5.33523,0.0007,29.61143,9.95546,7.63263,13.36539,3.4428,-12.20785,30.64923,20.85615,-4.49206,43.01187,-13.06433,33.54987,131.4745,0.00636,-97.14594,118.98632,9e-05,104.93162,-4.33631,-11.78257,-0.0014,-8.67661,4.34352,0.00196,-9.53752,-12.18606,9.97344,-32.88021,-15.0861,4.39553,-0.92231,0.67253,5.45468
