Unnamed: 0_level_0,R_KNEE_MOMENT,R_KNEE_MOMENT,R_KNEE_MOMENT,L_KNEE_MOMENT,L_KNEE_MOMENT,L_KNEE_MOMENT,R_HIP_MOMENT,R_HIP_MOMENT,R_HIP_MOMENT,L_HIP_MOMENT,L_HIP_MOMENT,L_HIP_MOMENT,R_ANKLE_MOMENT,R_ANKLE_MOMENT,R_ANKLE_MOMENT,L_ANKLE_MOMENT,L_ANKLE_MOMENT,L_ANKLE_MOMENT,WAIST_JOINT_MOMENT,WAIST_JOINT_MOMENT,WAIST_JOINT_MOMENT,NECK_MOMENT,NECK_MOMENT,NECK_MOMENT,L_SHOULDER_MOMENT,L_SHOULDER_MOMENT,L_SHOULDER_MOMENT,R_SHOULDER_MOMENT,R_SHOULDER_MOMENT,R_SHOULDER_MOMENT,L_ELBOW_MOMENT,L_ELBOW_MOMENT,L_ELBOW_MOMENT,R_ELBOW_MOMENT,R_ELBOW_MOMENT,R_ELBOW_MOMENT,L_WRIST_MOMENT,L_WRIST_MOMENT,L_WRIST_MOMENT,R_WRIST_MOMENT,R_WRIST_MOMENT,R_WRIST_MOMENT
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2868,22.89343,-50.41395,4.88891,-19.90594,9.28784,2.54441,-16.50304,-34.25636,4.94387,-19.88486,16.71602,5.11371,3.271,-11.21883,3.83827,-34.93885,15.84884,3.94377,-30.09804,5.90891,-1.7484,42.99405,-0.48499,-2.46924,5.50043,-1.51209,-0.49237,4.92841,-4.33821,-0.81417,1.04008,-1.43715,-0.10909,2.27405,0.89873,0.07337,0.1956,-0.09164,-0.01022,0.24921,0.06958,0.03043
2869,22.82476,-49.05909,4.89752,-21.40808,10.74188,2.88702,-15.81417,-33.30646,4.33304,-21.74614,17.97384,5.15168,3.3286,-11.0617,4.03236,-37.06873,17.05695,4.28727,-32.99534,4.39733,-3.3897,44.98094,2.50703,-1.20339,5.75311,-1.40675,-0.77232,5.44101,-4.89834,-0.70871,1.23015,-1.05296,-0.24184,2.17274,0.8595,0.05523,0.21943,0.04443,-0.04731,0.21646,0.05435,0.03074
2870,22.77614,-48.24294,4.99446,-22.80824,12.20703,3.31447,-14.81209,-33.71432,3.9625,-21.76474,17.49393,5.05013,3.32189,-10.82297,4.22472,-39.11626,18.27031,4.68109,-31.55816,0.09392,-5.33497,42.20121,4.74931,-0.59718,5.80724,-1.58146,-1.10923,6.07129,-5.33089,-0.49512,1.39987,-0.90483,-0.41588,2.05148,0.80412,-0.0024,0.24991,0.0935,-0.09248,0.2086,0.02846,0.02529
2871,22.61043,-47.8007,5.21309,-23.87021,13.5241,3.78066,-14.12455,-34.52275,4.18234,-19.6323,15.89837,4.87349,3.24215,-10.47733,4.40517,-40.93277,19.45651,5.13058,-26.80708,-4.49183,-6.86903,36.56952,5.07512,-0.60605,5.48422,-2.02896,-1.47335,6.61163,-5.43331,-0.16413,1.56438,-1.00402,-0.6212,1.93049,0.71497,-0.05605,0.28606,0.03757,-0.13193,0.22579,-0.00663,0.02145
2872,22.05471,-47.51134,5.57241,-24.59865,14.69674,4.24672,-14.49914,-34.91838,5.09985,-16.21932,14.32833,4.81127,3.04294,-9.95689,4.55349,-42.41791,20.59332,5.61042,-21.48293,-7.05688,-7.22313,31.22731,2.7028,-0.67548,4.82789,-2.54376,-1.73179,6.87915,-5.18043,0.2446,1.6985,-1.26643,-0.78553,1.80198,0.56544,-0.06809,0.3121,-0.08713,-0.14402,0.24714,-0.05022,0.02354
2873,20.89445,-47.32458,6.05811,-25.30477,15.87584,4.70657,-16.22989,-34.90608,6.39954,-12.63077,13.67475,5.18822,2.64618,-9.16045,4.64821,-43.58169,21.67365,6.07004,-17.29266,-6.9508,-6.27885,28.93289,-2.37333,-0.23955,4.18902,-2.8677,-1.67842,6.8281,-4.76301,0.61185,1.72688,-1.67191,-0.81419,1.70746,0.37373,-0.01172,0.31055,-0.23672,-0.11649,0.25813,-0.09478,0.03499
2874,19.11782,-47.31736,6.61012,-26.13043,17.16231,5.14666,-19.25624,-34.84234,7.58884,-9.13771,14.15823,6.16011,1.97375,-7.99813,4.66854,-44.42304,22.64189,6.4519,-14.27889,-4.66527,-4.83308,30.01873,-8.95267,0.78757,3.99813,-2.84986,-1.22182,6.52789,-4.46812,0.75892,1.6205,-2.21434,-0.68987,1.71631,0.20488,0.10156,0.28755,-0.37435,-0.06495,0.25866,-0.12693,0.05206
2875,16.80077,-47.6665,7.18739,-26.94819,18.44015,5.48015,-23.35284,-35.2736,8.37778,-5.61891,15.36935,7.43908,0.96224,-6.40632,4.59456,-44.84028,23.36102,6.67666,-11.96989,-1.35258,-3.75194,32.22736,-14.67027,1.86395,4.43131,-2.50229,-0.52329,6.11977,-4.47107,0.56158,1.45002,-2.75363,-0.50915,1.85807,0.12881,0.2076,0.27301,-0.45764,-0.03036,0.25795,-0.13555,0.05986
2876,14.02075,-48.59067,7.79288,-27.66355,19.44542,5.58268,-28.26167,-36.76619,8.739,-2.40343,16.62193,8.4673,-0.42025,-4.35076,4.41405,-44.64795,23.6524,6.65482,-10.35606,1.82572,-3.32483,32.62935,-16.98518,2.23822,5.28259,-1.98778,0.09594,5.76056,-4.69782,0.06626,1.32786,-3.06967,-0.39836,2.09596,0.18843,0.23812,0.29126,-0.45799,-0.04336,0.26793,-0.11763,0.04723
2877,10.87376,-50.18493,8.45255,-28.37181,19.99294,5.39442,-33.93455,-39.48148,8.78497,-0.25685,17.51992,8.87452,-2.14994,-1.86224,4.14697,-43.61306,23.34475,6.33058,-10.25602,4.63243,-3.26418,30.14037,-14.83712,1.5351,6.10535,-1.52565,0.38293,5.56052,-4.92989,-0.55357,1.32767,-3.0649,-0.42311,2.36318,0.39824,0.17444,0.33709,-0.39573,-0.09564,0.29642,-0.07624,0.0196
2878,7.49196,-52.31034,9.18547,-29.25117,20.1104,4.95542,-40.48559,-43.0813,8.69814,0.23817,18.05249,8.66377,-4.15436,0.96192,3.84153,-41.51344,22.31488,5.69773,-12.61039,7.59748,-2.98288,26.07841,-9.60724,-0.07737,6.50328,-1.22717,0.26749,5.51713,-5.009,-1.12992,1.47191,-2.81236,-0.602,2.59597,0.72273,0.05377,0.38486,-0.32116,-0.16223,0.33591,-0.02165,-0.00712
2879,4.06521,-54.64784,9.98353,-30.50233,19.83928,4.36728,-47.76049,-46.66594,8.78821,-1.12805,17.87357,7.87795,-6.32536,3.97689,3.54387,-38.23404,20.516,4.80743,-17.53613,11.16745,-2.06025,22.61519,-4.70697,-2.09612,6.36801,-0.99508,-0.10765,5.56153,-4.94289,-1.55604,1.71827,-2.4346,-0.89784,2.75501,1.06763,-0.05701,0.41059,-0.26464,-0.2238,0.368,0.03044,-0.01989
2880,0.76729,-56.99357,10.82374,-32.19185,19.04194,3.72986,-55.2409,-49.31751,9.35321,-4.27309,16.04893,6.30478,-8.53317,7.0126,3.2653,-33.8598,17.99909,3.75154,-24.45914,14.71891,-0.56913,20.72505,-3.56613,-3.92266,5.94443,-0.67574,-0.42626,5.67632,-4.83993,-1.76391,1.91513,-2.03868,-1.15347,2.85328,1.33186,-0.09523,0.39891,-0.22123,-0.25619,0.38629,0.06979,-0.01499
2881,-2.28629,-59.42008,11.67273,-33.86996,17.6628,3.14279,-62.02573,-50.9279,10.26576,-8.15475,12.20604,3.93443,-10.65904,9.91884,3.00127,-28.65895,14.94006,2.65693,-31.44077,17.01503,1.30928,19.92333,-7.3274,-5.02205,5.60501,-0.28688,-0.42947,5.89955,-4.77123,-1.66519,1.84272,-1.68624,-1.15965,2.9091,1.42964,-0.02512,0.33729,-0.16704,-0.23278,0.39761,0.09021,0.0049
2882,-5.08003,-62.00583,12.48025,-34.46091,15.87226,2.66973,-67.64353,-51.74898,11.05956,-10.27177,7.38503,1.45219,-12.61491,12.58928,2.74207,-23.00303,11.6098,1.66179,-35.4414,18.20159,3.52832,18.66204,-13.82148,-4.95522,5.57799,-0.06562,-0.17705,6.18024,-4.69703,-1.18106,1.39442,-1.38877,-0.84548,2.83122,1.29753,0.12636,0.2281,-0.09236,-0.15264,0.38544,0.08182,0.03108
2883,-7.69986,-64.68837,13.23432,-32.68754,13.81364,2.28454,-72.8894,-52.03346,11.50434,-7.72071,2.91689,-0.2282,-14.33707,14.95858,2.47053,-17.2697,8.29335,0.88159,-34.50833,19.06189,5.8161,15.47277,-19.08202,-3.34329,5.81691,-0.26719,0.05051,6.3423,-4.50139,-0.35987,0.67876,-1.16521,-0.32366,2.46602,0.95597,0.26703,0.09711,-0.02221,-0.0408,0.31364,0.04038,0.0506
2884,-10.16284,-67.38399,13.9641,-27.81526,11.41807,1.90973,-78.69878,-52.3709,11.71256,0.66635,-0.95558,-0.72356,-15.7761,16.99837,2.17281,-11.79327,5.25114,0.38972,-28.79,18.90648,7.83245,9.93471,-20.13436,-0.1047,6.07482,-0.8756,0.08089,6.24127,-4.12602,0.53667,-0.06036,-1.0253,0.23795,1.81639,0.56639,0.30747,-0.01523,0.01454,0.07644,0.17908,-0.01705,0.05693
2885,-12.34018,-69.91172,14.67018,-20.19336,8.48083,1.51271,-85.18395,-53.11087,11.90344,13.62511,-4.97109,-0.31328,-16.91436,18.73377,1.84291,-6.87555,2.68765,0.21483,-20.03364,16.5787,9.42063,3.21822,-16.70973,4.02178,6.14824,-1.5447,-0.02267,5.85945,-3.65047,1.09656,-0.579,-0.91706,0.70674,1.10917,0.36561,0.21864,-0.06728,0.01759,0.17658,0.02867,-0.0559,0.05294
2886,-14.039,-72.01958,15.31066,-11.35594,5.00879,1.12845,-91.75517,-53.86982,12.31289,28.16068,-9.87444,0.23904,-17.79122,20.2208,1.47796,-2.8206,0.71089,0.29919,-10.98793,12.02506,10.3348,-2.38984,-10.9718,7.37979,6.0335,-1.90111,-0.04152,5.265,-3.25,0.97318,-0.79656,-0.86028,1.00568,0.64231,0.49321,0.04228,-0.04874,-0.01684,0.24004,-0.07619,-0.04937,0.04273
2887,-15.04002,-73.63522,15.80725,-3.17416,1.55114,0.7652,-97.23366,-54.00543,12.98748,41.38652,-15.43196,0.28118,-18.49719,21.50528,1.07122,0.12965,-0.62955,0.47387,-3.32993,6.63501,10.32749,-4.75909,-5.88067,8.10231,5.84196,-1.84827,0.17623,4.58859,-3.09306,0.10488,-0.83947,-0.96909,1.09697,0.61386,0.88981,-0.13486,0.00326,-0.10484,0.25069,-0.09546,0.00218,0.02572
2888,-15.18781,-74.87194,16.07366,3.09805,-1.18071,0.43308,-100.39497,-52.91151,13.61614,51.85683,-20.5976,-0.07645,-19.12854,22.6167,0.62764,1.93814,-1.37494,0.61118,3.42747,2.72751,9.55317,-2.83819,-3.69798,5.31912,5.63883,-1.56464,0.49201,4.03493,-3.28529,-1.21548,-0.82657,-1.25564,0.9314,0.99397,1.35473,-0.24321,0.04752,-0.22678,0.18943,-0.03683,0.07538,-0.00239
2889,-14.5509,-75.6957,16.08009,7.24946,-2.82832,0.11175,-101.21618,-49.82735,13.82524,59.5007,-24.2326,-0.16157,-19.742,23.57934,0.18174,2.81327,-1.66812,0.6634,9.95912,2.79029,8.41164,2.81932,-5.31689,-0.02461,5.40971,-1.29403,0.6108,3.84236,-3.80051,-2.45662,-0.76652,-1.57668,0.50437,1.5695,1.69254,-0.25891,0.06756,-0.32535,0.05563,0.0627,0.14562,-0.04035
2890,-13.3743,-75.95007,15.89516,9.95306,-3.60665,-0.26377,-101.09166,-44.42259,13.60745,64.78065,-25.85181,0.41074,-20.34195,24.39689,-0.21831,3.0931,-1.69598,0.62795,15.0705,7.66341,6.90116,10.12795,-10.49262,-5.59935,5.22961,-1.18262,0.43147,4.24936,-4.4842,-3.10739,-0.68128,-1.80389,-0.03773,2.13188,1.84217,-0.2018,0.05857,-0.36113,-0.10296,0.17935,0.20376,-0.07795
2891,-11.89411,-75.80236,15.67749,12.20999,-4.1446,-0.69717,-101.50731,-38.14127,13.22739,68.04282,-26.06026,1.17812,-20.89894,25.0742,-0.54018,3.13605,-1.63534,0.55477,16.60375,14.51911,4.4339,16.01753,-17.95953,-9.15464,5.33774,-1.24234,0.12232,5.24005,-5.05756,-2.8944,-0.62599,-1.93243,-0.46405,2.50484,1.831,-0.13769,0.03,-0.34476,-0.21648,0.29037,0.24438,-0.10881
2892,-10.16694,-75.70031,15.56482,14.60426,-4.89665,-1.11405,-102.66869,-33.76097,12.75858,69.43384,-25.8474,1.42266,-21.37555,25.6859,-0.77186,3.15357,-1.57522,0.50307,13.88102,18.41245,0.7099,17.78614,-25.64687,-9.8244,5.94892,-1.40966,-0.10904,6.38245,-5.18403,-1.87373,-0.59749,-2.02272,-0.63063,2.53775,1.69034,-0.13625,0.00998,-0.31292,-0.24583,0.35574,0.25738,-0.1347
2893,-8.05089,-75.78468,15.54756,17.10711,-5.76607,-1.44623,-103.52454,-32.94455,11.99784,69.50659,-25.74302,1.09893,-21.75014,26.39174,-0.90951,3.19253,-1.51199,0.50838,8.94251,16.56204,-3.4447,14.8734,-31.29768,-8.23916,6.88358,-1.57747,-0.15406,7.08959,-4.67384,-0.42553,-0.57344,-2.07741,-0.51434,2.25014,1.47045,-0.1802,0.01087,-0.28714,-0.18793,0.36101,0.24416,-0.14783
2894,-5.35101,-75.63365,15.46664,19.36142,-6.29724,-1.69422,-102.87769,-34.56623,10.85687,69.23063,-25.63693,0.89453,-22.04272,27.35733,-0.95735,3.23134,-1.41435,0.57821,4.9793,10.95432,-6.46827,9.38375,-33.12508,-5.54455,7.57788,-1.61251,0.04782,7.07534,-3.71142,0.88554,-0.62851,-2.01628,-0.13191,1.8702,1.25418,-0.17463,-0.00128,-0.25463,-0.05054,0.3409,0.21741,-0.12809
2895,-2.01802,-74.64614,15.15905,21.03163,-6.14718,-1.91346,-100.27785,-35.80222,9.60827,69.37656,-25.14901,1.55995,-22.30639,28.6849,-0.92744,3.24985,-1.27714,0.6835,4.15764,6.70392,-7.07761,4.30941,-30.39893,-2.44281,7.41808,-1.40125,0.49482,6.50475,-2.79917,1.57308,-0.83614,-1.74658,0.43502,1.60941,1.1215,-0.07943,-0.06751,-0.18651,0.14055,0.33308,0.18682,-0.07129
2896,1.74089,-72.58339,14.59832,22.00033,-5.4268,-2.13888,-96.05103,-34.75962,8.65258,70.0976,-24.18186,3.3225,-22.60218,30.41233,-0.84384,3.24613,-1.14635,0.76621,6.77911,7.44842,-4.81297,1.30972,-23.98276,0.87445,6.30441,-1.0005,1.06703,5.82462,-2.40624,1.47083,-1.11455,-1.36,0.97408,1.51679,1.14375,0.03602,-0.17306,-0.09481,0.32312,0.34319,0.1637,-0.00291
2897,5.51677,-69.75149,13.90153,22.36543,-4.42664,-2.39826,-90.74423,-31.90174,8.18229,71.29466,-22.91271,6.05598,-22.96522,32.52052,-0.75966,3.21664,-1.074,0.75819,12.29316,12.61286,0.2548,-0.17831,-16.37813,4.15294,4.76507,-0.6591,1.53648,5.40109,-2.62911,0.85371,-1.26038,-1.12864,1.21779,1.50616,1.29898,0.09082,-0.24919,-0.04529,0.4194,0.35322,0.15316,0.04714
