Unnamed: 0_level_0,Neck_Joint_Position,Neck_Joint_Position,Neck_Joint_Position,L_ANKLE_POSITION,L_ANKLE_POSITION,L_ANKLE_POSITION,R_ANKLE_POSITION,R_ANKLE_POSITION,R_ANKLE_POSITION,L_KNEE_POSITION,L_KNEE_POSITION,L_KNEE_POSITION,R_KNEE_POSITION,R_KNEE_POSITION,R_KNEE_POSITION,L_HIP_POSITION,L_HIP_POSITION,L_HIP_POSITION,R_HIP_POSITION,R_HIP_POSITION,R_HIP_POSITION,L_SHOULDER_POSITION,L_SHOULDER_POSITION,L_SHOULDER_POSITION,R_SHOULDER_POSITION,R_SHOULDER_POSITION,R_SHOULDER_POSITION,L_ELBOW_POSITION,L_ELBOW_POSITION,L_ELBOW_POSITION,R_ELBOW_POSITION,R_ELBOW_POSITION,R_ELBOW_POSITION,L_WRIST_POSITION,L_WRIST_POSITION,L_WRIST_POSITION,R_WRIST_POSITION,R_WRIST_POSITION,R_WRIST_POSITION
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2594,0.0906,0.33725,1.54072,0.00418,0.60034,0.09631,0.06568,0.23924,0.0837,0.0371,0.55197,0.51316,0.15585,0.29228,0.48783,0.00505,0.38877,0.90269,0.15028,0.2533,0.90729,-0.07683,0.40783,1.47003,0.20774,0.20428,1.48056,-0.11743,0.49633,1.2006,0.35153,0.29188,1.24209,0.03373,0.60291,1.38015,0.29787,0.46004,1.43631
2595,0.09094,0.33629,1.54015,0.00491,0.59971,0.09519,0.06576,0.23955,0.08373,0.03756,0.55056,0.51198,0.15775,0.29428,0.48722,0.00552,0.38946,0.90238,0.15061,0.25382,0.90651,-0.07613,0.4084,1.46995,0.20736,0.20341,1.47976,-0.1159,0.49808,1.20078,0.35255,0.29165,1.24238,0.03545,0.60332,1.38096,0.299,0.45916,1.43719
2596,0.09132,0.33506,1.53956,0.00548,0.59902,0.09404,0.0659,0.23987,0.08371,0.03811,0.54938,0.51076,0.1597,0.29624,0.48656,0.00596,0.39019,0.90194,0.15089,0.25438,0.90569,-0.07541,0.40884,1.46994,0.20707,0.20242,1.47894,-0.11433,0.49995,1.20113,0.3538,0.29148,1.24281,0.03732,0.60368,1.38193,0.30005,0.45828,1.43817
2597,0.09182,0.33359,1.53894,0.00586,0.59838,0.09289,0.06608,0.24019,0.08368,0.03872,0.54851,0.50957,0.16166,0.29813,0.48588,0.00636,0.39093,0.90139,0.15112,0.25494,0.90483,-0.07466,0.4091,1.47,0.20689,0.20123,1.47804,-0.11276,0.50195,1.20167,0.3553,0.29136,1.24338,0.03927,0.60396,1.38313,0.30102,0.45736,1.43928
2598,0.09247,0.33192,1.53829,0.00605,0.59787,0.09182,0.06627,0.2405,0.08362,0.0394,0.548,0.50847,0.16359,0.29997,0.48518,0.00671,0.39169,0.90075,0.15128,0.25548,0.90395,-0.07384,0.40916,1.47011,0.20683,0.19976,1.47703,-0.11118,0.50418,1.20244,0.35707,0.29135,1.2441,0.04131,0.60412,1.38467,0.30192,0.45638,1.44057
2599,0.09323,0.33011,1.53757,0.00603,0.59758,0.0909,0.0664,0.24081,0.08355,0.04015,0.54795,0.50751,0.16549,0.30177,0.48446,0.00702,0.39243,0.90007,0.15134,0.25596,0.90303,-0.07298,0.40898,1.47028,0.2069,0.19802,1.47585,-0.1095,0.50671,1.20347,0.3591,0.29152,1.24496,0.04346,0.60409,1.38668,0.30272,0.45532,1.44212
2600,0.09407,0.3282,1.53679,0.0058,0.59754,0.0902,0.06645,0.24113,0.08347,0.04099,0.54848,0.50679,0.16731,0.30349,0.48373,0.0073,0.39317,0.89939,0.15132,0.25637,0.90208,-0.0721,0.40856,1.4705,0.20709,0.19605,1.47453,-0.1076,0.50963,1.20479,0.36137,0.29194,1.24602,0.04581,0.60384,1.38928,0.30337,0.45415,1.44401
2601,0.09495,0.32621,1.53597,0.00537,0.59779,0.08984,0.06641,0.24144,0.08338,0.04195,0.5497,0.50642,0.16902,0.30512,0.48298,0.00759,0.3939,0.89877,0.15123,0.2567,0.90111,-0.07123,0.40793,1.47077,0.2074,0.19392,1.47316,-0.10536,0.51294,1.20642,0.36381,0.29263,1.24731,0.04837,0.6033,1.39256,0.30381,0.45289,1.44629
2602,0.09592,0.32408,1.53514,0.00478,0.5983,0.0899,0.06633,0.24173,0.08327,0.04306,0.55175,0.5065,0.17058,0.3066,0.48225,0.0079,0.39461,0.89825,0.15112,0.25696,0.90016,-0.07039,0.40712,1.4711,0.20781,0.1917,1.47184,-0.10271,0.51658,1.20833,0.36635,0.29356,1.24889,0.05114,0.60237,1.39653,0.30403,0.45157,1.44896
2603,0.09703,0.32181,1.53433,0.00415,0.59909,0.0905,0.06625,0.24198,0.08314,0.04442,0.55478,0.50716,0.17197,0.30787,0.48157,0.00824,0.3953,0.89786,0.15099,0.25717,0.89928,-0.06953,0.40612,1.47147,0.20829,0.18938,1.47068,-0.09972,0.52042,1.21052,0.36891,0.29462,1.2508,0.05404,0.60091,1.40112,0.30406,0.45022,1.45195
2604,0.09832,0.31939,1.53355,0.00361,0.60021,0.09176,0.06621,0.24219,0.08301,0.04613,0.55891,0.5085,0.1732,0.30886,0.48097,0.00858,0.39595,0.89764,0.15086,0.25732,0.8985,-0.06864,0.40487,1.47188,0.20885,0.18693,1.46969,-0.09653,0.52431,1.21298,0.37144,0.2957,1.25301,0.05696,0.59881,1.40621,0.30398,0.44884,1.45518
